time,low,high,open,close,volume,symbol
1761955200,0.03062,0.0309,0.03085,0.03085,71394,BIGTIME-USD
1761958800,0.03054,0.03098,0.03084,0.03054,105608,BIGTIME-USD
1761962400,0.03043,0.0308,0.03053,0.0308,140249,BIGTIME-USD
1761966000,0.03076,0.03114,0.03077,0.03109,258977,BIGTIME-USD
1761969600,0.03081,0.03109,0.03109,0.03089,73397,BIGTIME-USD
1761973200,0.0307,0.03089,0.03079,0.03071,127067,BIGTIME-USD
1761976800,0.03061,0.03085,0.03073,0.03082,290301,BIGTIME-USD
1761980400,0.03082,0.03115,0.03082,0.03115,67286,BIGTIME-USD
1761984000,0.03106,0.03131,0.03114,0.0313,142681,BIGTIME-USD
1761987600,0.03108,0.03138,0.03131,0.03118,111008,BIGTIME-USD
1761991200,0.03109,0.03134,0.03119,0.03131,45522,BIGTIME-USD
1761994800,0.03119,0.03138,0.03131,0.03134,244241,BIGTIME-USD
1761998400,0.0313,0.03147,0.03136,0.03138,79090,BIGTIME-USD
1762002000,0.03093,0.03143,0.03136,0.03124,325428,BIGTIME-USD
1762005600,0.03082,0.03123,0.03123,0.03096,170161,BIGTIME-USD
1762009200,0.03096,0.03129,0.03097,0.03129,167169,BIGTIME-USD
1762012800,0.03124,0.03156,0.03128,0.03137,1654925,BIGTIME-USD
1762016400,0.03127,0.03147,0.03137,0.03139,192716,BIGTIME-USD
1762020000,0.03132,0.03145,0.03139,0.03143,45850,BIGTIME-USD
1762023600,0.03116,0.03143,0.03142,0.03131,3025628,BIGTIME-USD
1762027200,0.03112,0.0315,0.03132,0.03114,3173195,BIGTIME-USD
1762030800,0.03106,0.03132,0.03116,0.03113,359737,BIGTIME-USD
1762034400,0.03106,0.03122,0.03114,0.03122,219069,BIGTIME-USD
1762038000,0.03122,0.03134,0.03122,0.03132,24147,BIGTIME-USD
1762041600,0.03114,0.03136,0.03131,0.03114,119287,BIGTIME-USD
1762045200,0.03103,0.0313,0.03108,0.03121,269106,BIGTIME-USD
1762048800,0.03115,0.03142,0.03115,0.03133,300976,BIGTIME-USD
1762052400,0.03104,0.03132,0.03132,0.03107,66096,BIGTIME-USD
1762056000,0.03109,0.03157,0.03109,0.03153,153561,BIGTIME-USD
1762059600,0.03122,0.03154,0.03154,0.03142,62963,BIGTIME-USD
1762063200,0.03141,0.03163,0.03144,0.03155,372491,BIGTIME-USD
1762066800,0.03148,0.03167,0.03155,0.03157,352704,BIGTIME-USD
1762070400,0.03129,0.03158,0.03158,0.03135,373076,BIGTIME-USD
1762074000,0.03111,0.03155,0.03136,0.03114,154497,BIGTIME-USD
1762077600,0.03087,0.03116,0.03116,0.03097,237231,BIGTIME-USD
1762081200,0.03098,0.03143,0.03098,0.03141,313749,BIGTIME-USD
1762084800,0.03122,0.03141,0.03141,0.03127,101844,BIGTIME-USD
1762088400,0.03089,0.03127,0.03127,0.03099,261371,BIGTIME-USD
1762092000,0.03038,0.03101,0.03099,0.03038,196560,BIGTIME-USD
