time,low,high,open,close,volume,symbol
1777035600,0.14,0.28,0.17,0.1502,3981132.0,BLEND-USD
1777039200,0.125,0.1701,0.1501,0.1353,5837893.6,BLEND-USD
1777042800,0.102,0.1352,0.1352,0.1021,5532063.4,BLEND-USD
1777046400,0.081,0.1061,0.102,0.0951,4972306.3,BLEND-USD
1777050000,0.0901,0.1077,0.0951,0.0998,2497678.7,BLEND-USD
1777053600,0.0984,0.1165,0.0999,0.1035,1544976.9,BLEND-USD
1777057200,0.098,0.1091,0.1036,0.098,1593647.3,BLEND-USD
1777060800,0.0951,0.1074,0.098,0.1031,1552476.3,BLEND-USD
1777064400,0.103,0.12,0.1032,0.1141,2504768.1,BLEND-USD
1777068000,0.107,0.124,0.1141,0.1186,1372815.0,BLEND-USD
1777071600,0.1155,0.13,0.1186,0.1232,1425106.3,BLEND-USD
1777075200,0.106,0.1251,0.1232,0.1128,2393749.2,BLEND-USD
1777078800,0.1075,0.119,0.1117,0.1144,1397272.7,BLEND-USD
1777082400,0.1128,0.1227,0.1142,0.115,1027084.3,BLEND-USD
1777086000,0.1086,0.1231,0.1157,0.112,1193382.6,BLEND-USD
1777089600,0.1041,0.113,0.112,0.1078,1138142.5,BLEND-USD
1777093200,0.1068,0.122,0.1078,0.1168,957476.8,BLEND-USD
1777096800,0.1138,0.1275,0.1173,0.1202,503117.2,BLEND-USD
1777100400,0.1155,0.1305,0.1209,0.1218,1229872.7,BLEND-USD
1777104000,0.1165,0.1252,0.1216,0.1233,504360.2,BLEND-USD
1777107600,0.1169,0.1259,0.1233,0.1181,388365.1,BLEND-USD
1777111200,0.1169,0.1231,0.119,0.12,333683.0,BLEND-USD
1777114800,0.1088,0.1235,0.1199,0.1162,857867.6,BLEND-USD
1777118400,0.1073,0.1174,0.1163,0.1088,988269.4,BLEND-USD
1777122000,0.103,0.112,0.1087,0.1063,1469360.1,BLEND-USD
1777125600,0.1033,0.1109,0.1063,0.1056,592332.5,BLEND-USD
1777129200,0.1011,0.1103,0.1055,0.1102,847827.2,BLEND-USD
1777132800,0.109,0.1245,0.109,0.1137,3381746.1,BLEND-USD
1777136400,0.1103,0.1228,0.1129,0.1128,1594045.0,BLEND-USD
1777140000,0.1083,0.1166,0.1149,0.1095,1183982.9,BLEND-USD
1777143600,0.1048,0.1095,0.1095,0.1066,1720111.0,BLEND-USD
1777147200,0.106,0.1114,0.1066,0.1095,551785.6,BLEND-USD
1777150800,0.1025,0.1096,0.1092,0.1027,1249289.9,BLEND-USD
1777154400,0.091,0.1043,0.1027,0.091,1641687.1,BLEND-USD
1777158000,0.0909,0.1035,0.0966,0.1026,1221974.8,BLEND-USD
1777161600,0.0998,0.107,0.1026,0.103,1258854.9,BLEND-USD
1777165200,0.1008,0.1068,0.1031,0.1015,610752.7,BLEND-USD
1777168800,0.098,0.1025,0.1015,0.0981,760333.4,BLEND-USD
1777172400,0.097,0.1013,0.0981,0.0987,283871.6,BLEND-USD
1777176000,0.097,0.0995,0.099,0.0985,369043.1,BLEND-USD
1777179600,0.0926,0.1002,0.0984,0.0944,518186.4,BLEND-USD
1777183200,0.0915,0.0952,0.0944,0.0916,343810.3,BLEND-USD
1777186800,0.0899,0.0933,0.0915,0.0905,792522.0,BLEND-USD
1777190400,0.0881,0.0907,0.0905,0.0888,764446.9,BLEND-USD
1777194000,0.0887,0.0921,0.0892,0.0914,219330.9,BLEND-USD
1777197600,0.0919,0.104,0.0919,0.0969,673189.4,BLEND-USD
1777201200,0.091,0.0977,0.0974,0.0962,481608.1,BLEND-USD
1777204800,0.086,0.0961,0.096,0.0903,545961.5,BLEND-USD
