time,low,high,open,close,volume,symbol
1761958800,0.0465,0.0466,0.0465,0.0466,5374.1,BLUR-USD
1761973200,0.0465,0.0465,0.0465,0.0465,8493.2,BLUR-USD
1761980400,0.0466,0.0469,0.0466,0.0469,1913.0,BLUR-USD
1761984000,0.0474,0.0482,0.0474,0.0479,300246.2,BLUR-USD
1761987600,0.0477,0.0486,0.0481,0.0479,234958.6,BLUR-USD
1762002000,0.0473,0.048,0.048,0.0473,1264.5,BLUR-USD
1762005600,0.0473,0.0477,0.0473,0.0477,69660.9,BLUR-USD
1762009200,0.0474,0.0481,0.0474,0.0481,161509.7,BLUR-USD
1762012800,0.0482,0.0499,0.0482,0.0493,854935.4,BLUR-USD
1762016400,0.0489,0.0512,0.0493,0.0502,1408450.3,BLUR-USD
1762020000,0.0496,0.0506,0.0506,0.0496,57580.0,BLUR-USD
1762023600,0.0496,0.0502,0.0497,0.0501,194852.4,BLUR-USD
1762027200,0.0502,0.0504,0.0502,0.0503,7976.5,BLUR-USD
1762030800,0.0497,0.0514,0.05,0.0498,395015.6,BLUR-USD
1762034400,0.0497,0.0499,0.0499,0.0497,135089.2,BLUR-USD
1762038000,0.0495,0.0499,0.0495,0.0499,44849.7,BLUR-USD
1762041600,0.0494,0.0499,0.0499,0.0494,117993.5,BLUR-USD
1762045200,0.0494,0.0505,0.0494,0.0499,161402.4,BLUR-USD
1762048800,0.0495,0.0499,0.0495,0.0498,90107.6,BLUR-USD
1762052400,0.0494,0.0498,0.0497,0.0498,2131.6,BLUR-USD
1762056000,0.0498,0.0505,0.0498,0.0505,56205.8,BLUR-USD
1762059600,0.0502,0.0505,0.0502,0.0505,33339.8,BLUR-USD
1762066800,0.0504,0.0506,0.0505,0.0504,48415.3,BLUR-USD
1762070400,0.05,0.0505,0.0505,0.0502,100739.3,BLUR-USD
1762074000,0.0495,0.0502,0.0502,0.0495,212506.1,BLUR-USD
1762077600,0.0492,0.0496,0.0496,0.0495,13622.4,BLUR-USD
1762081200,0.0505,0.0543,0.0505,0.0539,2210243.1,BLUR-USD
1762084800,0.0518,0.0541,0.0541,0.0525,229254.8,BLUR-USD
1762088400,0.0507,0.0521,0.052,0.051,156226.7,BLUR-USD
1762092000,0.0491,0.0506,0.0506,0.0491,63680.7,BLUR-USD
1762095600,0.0489,0.0496,0.0489,0.0494,58287.7,BLUR-USD
1762099200,0.0488,0.0494,0.0488,0.0492,18083.4,BLUR-USD
1762102800,0.0489,0.049,0.0489,0.049,32.0,BLUR-USD
