time,low,high,open,close,volume,symbol
1761955200,0.116,0.118,0.118,0.116,30165.78,BTRST-USD
1761958800,0.116,0.117,0.117,0.116,3114.0,BTRST-USD
1761962400,0.115,0.117,0.116,0.117,6141.22,BTRST-USD
1761966000,0.113,0.116,0.115,0.116,33721.55,BTRST-USD
1761969600,0.117,0.117,0.117,0.117,408.44,BTRST-USD
1761973200,0.115,0.117,0.117,0.116,6522.88,BTRST-USD
1761976800,0.116,0.116,0.116,0.116,308.93,BTRST-USD
1761980400,0.113,0.116,0.116,0.114,14226.13,BTRST-USD
1761984000,0.111,0.114,0.114,0.112,25046.86,BTRST-USD
1761987600,0.112,0.113,0.112,0.113,33721.85,BTRST-USD
1761991200,0.112,0.116,0.113,0.116,51675.24,BTRST-USD
1761994800,0.115,0.117,0.116,0.117,4103.46,BTRST-USD
1761998400,0.113,0.117,0.115,0.114,27185.14,BTRST-USD
1762002000,0.112,0.115,0.114,0.113,11524.94,BTRST-USD
1762005600,0.111,0.113,0.111,0.113,549.63,BTRST-USD
1762009200,0.111,0.114,0.111,0.114,58618.56,BTRST-USD
1762012800,0.113,0.116,0.113,0.116,11437.06,BTRST-USD
1762016400,0.115,0.116,0.115,0.116,17593.81,BTRST-USD
1762020000,0.113,0.116,0.114,0.116,1361.48,BTRST-USD
1762023600,0.116,0.118,0.116,0.117,73032.97,BTRST-USD
1762027200,0.116,0.127,0.118,0.12,88544.38,BTRST-USD
1762030800,0.112,0.12,0.12,0.119,112557.88,BTRST-USD
1762034400,0.117,0.119,0.118,0.119,796.86,BTRST-USD
1762038000,0.119,0.119,0.119,0.119,301.39,BTRST-USD
1762041600,0.115,0.119,0.119,0.119,1162.69,BTRST-USD
1762045200,0.118,0.119,0.119,0.119,425.79,BTRST-USD
1762048800,0.117,0.119,0.119,0.118,348.83,BTRST-USD
1762052400,0.118,0.119,0.119,0.119,341.54,BTRST-USD
1762056000,0.114,0.119,0.119,0.118,3965.4,BTRST-USD
1762059600,0.118,0.119,0.118,0.119,341.99,BTRST-USD
1762063200,0.119,0.121,0.119,0.12,334.04,BTRST-USD
1762066800,0.118,0.12,0.12,0.118,7827.72,BTRST-USD
1762070400,0.117,0.118,0.118,0.118,539.36,BTRST-USD
1762074000,0.11,0.117,0.117,0.112,44641.01,BTRST-USD
1762077600,0.112,0.114,0.112,0.113,7535.2,BTRST-USD
1762081200,0.113,0.116,0.114,0.113,116111.41,BTRST-USD
1762084800,0.114,0.119,0.114,0.119,13146.33,BTRST-USD
1762088400,0.115,0.119,0.118,0.115,17973.72,BTRST-USD
1762092000,0.113,0.118,0.115,0.116,16312.41,BTRST-USD
1762095600,0.117,0.12,0.118,0.117,65177.33,BTRST-USD
1762099200,0.115,0.119,0.118,0.115,11983.69,BTRST-USD
1762102800,0.113,0.117,0.115,0.113,4637.35,BTRST-USD
1762106400,0.11,0.114,0.114,0.112,12082.97,BTRST-USD
1762110000,0.112,0.112,0.112,0.112,1080.69,BTRST-USD
1762113600,0.11,0.113,0.112,0.113,4012.37,BTRST-USD
1762117200,0.112,0.113,0.112,0.113,906.98,BTRST-USD
1762120800,0.113,0.119,0.113,0.118,72266.83,BTRST-USD
1762124400,0.115,0.117,0.117,0.117,74726.4,BTRST-USD
1762128000,0.115,0.118,0.117,0.116,55630.62,BTRST-USD
1762131600,0.113,0.116,0.115,0.115,5023.02,BTRST-USD
1762135200,0.113,0.115,0.115,0.115,1619.43,BTRST-USD
1762138800,0.112,0.115,0.115,0.114,7570.33,BTRST-USD
1762142400,0.114,0.115,0.115,0.115,443.53,BTRST-USD
1762146000,0.114,0.115,0.115,0.115,427.8,BTRST-USD
1762149600,0.114,0.116,0.115,0.116,25682.5,BTRST-USD
1762153200,0.113,0.115,0.115,0.115,1852.59,BTRST-USD
1762156800,0.114,0.115,0.114,0.115,3755.31,BTRST-USD
1762160400,0.113,0.115,0.115,0.113,6679.22,BTRST-USD
1762164000,0.112,0.114,0.112,0.113,2314.44,BTRST-USD
1762167600,0.112,0.115,0.114,0.115,3435.42,BTRST-USD
1762171200,0.114,0.116,0.115,0.116,509.67,BTRST-USD
1762174800,0.113,0.115,0.114,0.115,404.26,BTRST-USD
1762178400,0.112,0.115,0.115,0.115,1103.51,BTRST-USD
1762182000,0.113,0.115,0.115,0.113,1057.81,BTRST-USD
1762185600,0.114,0.115,0.114,0.114,6349.74,BTRST-USD
1762189200,0.112,0.115,0.115,0.112,1256.41,BTRST-USD
1762192800,0.111,0.125,0.113,0.125,36147.09,BTRST-USD
1762196400,0.122,0.182,0.125,0.17,3786081.86,BTRST-USD
1762200000,0.156,0.179,0.169,0.176,1536403.88,BTRST-USD
1762203600,0.164,0.212,0.175,0.168,3381938.97,BTRST-USD
1762207200,0.156,0.179,0.166,0.166,1096033.76,BTRST-USD
1762210800,0.159,0.182,0.166,0.164,732600.07,BTRST-USD
1762214400,0.145,0.169,0.164,0.153,896239.41,BTRST-USD
1762218000,0.141,0.159,0.153,0.159,928977.79,BTRST-USD
1762221600,0.155,0.2,0.155,0.188,2532852.21,BTRST-USD
1762225200,0.179,0.21,0.186,0.198,914939.66,BTRST-USD
1762228800,0.174,0.198,0.198,0.178,689056.14,BTRST-USD
1762232400,0.158,0.179,0.178,0.168,1253236.42,BTRST-USD
1762236000,0.151,0.173,0.17,0.17,257411.34,BTRST-USD
1762239600,0.156,0.17,0.17,0.164,108623.17,BTRST-USD
1762243200,0.158,0.178,0.164,0.173,342542.71,BTRST-USD
1762246800,0.155,0.175,0.173,0.157,357233.67,BTRST-USD
1762250400,0.148,0.159,0.157,0.151,233348.56,BTRST-USD
1762254000,0.14,0.154,0.151,0.142,242304.18,BTRST-USD
1762257600,0.13,0.147,0.144,0.132,344932.49,BTRST-USD
1762261200,0.131,0.149,0.132,0.143,390396.64,BTRST-USD
1762264800,0.124,0.146,0.144,0.135,266276.51,BTRST-USD
1762268400,0.128,0.138,0.135,0.134,166216.67,BTRST-USD
1762272000,0.135,0.15,0.135,0.144,239646.17,BTRST-USD
1762275600,0.138,0.164,0.143,0.147,1022910.05,BTRST-USD
1762279200,0.145,0.198,0.15,0.19,976239.83,BTRST-USD
1762282800,0.157,0.197,0.19,0.159,785050.75,BTRST-USD
1762286400,0.15,0.166,0.159,0.155,544033.79,BTRST-USD
1762290000,0.147,0.155,0.155,0.15,244150.05,BTRST-USD
1762293600,0.146,0.153,0.149,0.146,79616.37,BTRST-USD
1762297200,0.139,0.147,0.146,0.145,106618.36,BTRST-USD
1762300800,0.137,0.148,0.144,0.139,120825.03,BTRST-USD
1762304400,0.137,0.145,0.137,0.142,72844.49,BTRST-USD
1762308000,0.128,0.146,0.143,0.133,322616.3,BTRST-USD
1762311600,0.128,0.14,0.138,0.139,213040.18,BTRST-USD
1762315200,0.136,0.14,0.138,0.138,50303.48,BTRST-USD
1762318800,0.133,0.138,0.138,0.136,132063.98,BTRST-USD
1762322400,0.122,0.136,0.136,0.129,391976.26,BTRST-USD
1762326000,0.128,0.137,0.129,0.133,93901.39,BTRST-USD
1762329600,0.131,0.136,0.132,0.134,39354.93,BTRST-USD
1762333200,0.128,0.135,0.134,0.135,29504.05,BTRST-USD
1762336800,0.122,0.135,0.135,0.123,86843.93,BTRST-USD
1762340400,0.126,0.131,0.127,0.129,17351.54,BTRST-USD
1762344000,0.125,0.134,0.129,0.128,63705.96,BTRST-USD
1762347600,0.124,0.129,0.129,0.124,111164.49,BTRST-USD
1762351200,0.124,0.129,0.125,0.128,6588.63,BTRST-USD
1762354800,0.123,0.127,0.127,0.123,52629.54,BTRST-USD
1762358400,0.123,0.134,0.124,0.13,214877.13,BTRST-USD
1762362000,0.124,0.131,0.131,0.124,324543.97,BTRST-USD
1762365600,0.124,0.137,0.126,0.135,286648.52,BTRST-USD
1762369200,0.131,0.135,0.134,0.135,97513.7,BTRST-USD
1762372800,0.131,0.139,0.133,0.131,39822.33,BTRST-USD
1762376400,0.124,0.139,0.135,0.128,266830.62,BTRST-USD
1762380000,0.125,0.135,0.129,0.127,87147.5,BTRST-USD
1762383600,0.125,0.132,0.127,0.128,58017.62,BTRST-USD
1762387200,0.123,0.13,0.127,0.13,100681.52,BTRST-USD
1762390800,0.125,0.129,0.128,0.126,19603.39,BTRST-USD
1762394400,0.116,0.126,0.126,0.118,430034.21,BTRST-USD
1762398000,0.117,0.121,0.118,0.119,50124.97,BTRST-USD
1762401600,0.118,0.124,0.118,0.123,43133.14,BTRST-USD
1762405200,0.12,0.126,0.122,0.125,29750.93,BTRST-USD
1762408800,0.123,0.126,0.125,0.126,21522.49,BTRST-USD
1762412400,0.12,0.127,0.125,0.126,16219.49,BTRST-USD
1762416000,0.118,0.132,0.126,0.12,127632.33,BTRST-USD
1762419600,0.117,0.133,0.12,0.133,204375.68,BTRST-USD
1762423200,0.121,0.131,0.131,0.124,49667.25,BTRST-USD
1762426800,0.123,0.127,0.125,0.126,20940.93,BTRST-USD
1762430400,0.12,0.127,0.127,0.123,24778.7,BTRST-USD
1762434000,0.115,0.123,0.122,0.115,155266.84,BTRST-USD
1762437600,0.115,0.121,0.115,0.119,42636.45,BTRST-USD
1762441200,0.115,0.12,0.118,0.12,59545.43,BTRST-USD
1762444800,0.117,0.12,0.119,0.12,19078.54,BTRST-USD
1762448400,0.118,0.123,0.119,0.12,59559.53,BTRST-USD
1762452000,0.118,0.122,0.12,0.118,20161.24,BTRST-USD
1762455600,0.114,0.12,0.119,0.116,231352.68,BTRST-USD
1762459200,0.115,0.119,0.116,0.117,47143.12,BTRST-USD
1762462800,0.115,0.12,0.118,0.12,8896.06,BTRST-USD
1762466400,0.116,0.121,0.12,0.116,94452.63,BTRST-USD
1762470000,0.11,0.118,0.118,0.114,163586.46,BTRST-USD
1762473600,0.112,0.115,0.115,0.114,70851.3,BTRST-USD
1762477200,0.11,0.114,0.113,0.113,45116.4,BTRST-USD
1762480800,0.113,0.121,0.113,0.121,152151.77,BTRST-USD
1762484400,0.112,0.122,0.121,0.114,95039.92,BTRST-USD
1762488000,0.114,0.117,0.115,0.117,11857.14,BTRST-USD
1762491600,0.114,0.117,0.117,0.115,28813.15,BTRST-USD
1762495200,0.113,0.116,0.114,0.115,11624.25,BTRST-USD
1762498800,0.115,0.12,0.115,0.117,74585.05,BTRST-USD
1762502400,0.115,0.118,0.118,0.118,76221.67,BTRST-USD
1762506000,0.117,0.119,0.117,0.118,67612.77,BTRST-USD
1762509600,0.115,0.118,0.117,0.117,10379.74,BTRST-USD
1762513200,0.114,0.117,0.117,0.114,3789.96,BTRST-USD
1762516800,0.115,0.116,0.115,0.116,3691.11,BTRST-USD
1762520400,0.109,0.116,0.115,0.11,180226.12,BTRST-USD
1762524000,0.11,0.119,0.11,0.116,177286.76,BTRST-USD
1762527600,0.111,0.12,0.118,0.116,187724.93,BTRST-USD
1762531200,0.112,0.119,0.115,0.117,142636.97,BTRST-USD
1762534800,0.116,0.12,0.117,0.119,80452.27,BTRST-USD
1762538400,0.113,0.119,0.119,0.119,88232.56,BTRST-USD
1762542000,0.115,0.121,0.117,0.119,163813.58,BTRST-USD
1762545600,0.115,0.118,0.118,0.118,21616.48,BTRST-USD
1762549200,0.114,0.118,0.118,0.114,10250.22,BTRST-USD
1762552800,0.112,0.118,0.115,0.118,71413.36,BTRST-USD
1762556400,0.115,0.118,0.118,0.115,101973.42,BTRST-USD
1762560000,0.114,0.12,0.114,0.119,29747.22,BTRST-USD
1762563600,0.119,0.12,0.119,0.119,652.38,BTRST-USD
1762567200,0.114,0.119,0.119,0.116,16443.29,BTRST-USD
1762570800,0.112,0.117,0.117,0.116,21161.68,BTRST-USD
1762574400,0.114,0.116,0.116,0.114,37539.42,BTRST-USD
1762578000,0.114,0.116,0.114,0.115,90244.81,BTRST-USD
1762581600,0.111,0.116,0.114,0.114,26467.8,BTRST-USD
1762585200,0.114,0.116,0.115,0.115,4500.76,BTRST-USD
1762588800,0.114,0.115,0.115,0.115,14107.36,BTRST-USD
1762592400,0.115,0.117,0.115,0.117,8799.67,BTRST-USD
1762596000,0.117,0.119,0.117,0.119,8894.64,BTRST-USD
1762599600,0.117,0.119,0.119,0.119,658.1,BTRST-USD
1762603200,0.114,0.119,0.119,0.115,20628.63,BTRST-USD
1762606800,0.115,0.117,0.116,0.117,1346.42,BTRST-USD
1762610400,0.113,0.118,0.117,0.115,8994.17,BTRST-USD
1762614000,0.114,0.127,0.115,0.123,151458.96,BTRST-USD
1762617600,0.114,0.122,0.122,0.116,36584.26,BTRST-USD
1762621200,0.116,0.122,0.117,0.122,22042.22,BTRST-USD
1762624800,0.117,0.121,0.12,0.12,11937.93,BTRST-USD
1762628400,0.118,0.12,0.119,0.119,1009.02,BTRST-USD
1762632000,0.119,0.121,0.119,0.12,6310.3,BTRST-USD
1762635600,0.119,0.124,0.121,0.119,98728.75,BTRST-USD
1762639200,0.118,0.125,0.121,0.119,62195.96,BTRST-USD
1762642800,0.119,0.122,0.119,0.122,7186.24,BTRST-USD
1762646400,0.117,0.124,0.121,0.117,74172.8,BTRST-USD
1762650000,0.117,0.122,0.118,0.12,11347.7,BTRST-USD
1762653600,0.121,0.126,0.121,0.123,108512.05,BTRST-USD
1762657200,0.114,0.122,0.122,0.115,88738.64,BTRST-USD
1762660800,0.115,0.116,0.116,0.115,4562.13,BTRST-USD
1762664400,0.114,0.117,0.116,0.115,15074.64,BTRST-USD
1762668000,0.111,0.115,0.115,0.114,81477.38,BTRST-USD
1762671600,0.113,0.116,0.113,0.116,10269.14,BTRST-USD
1762675200,0.115,0.119,0.116,0.118,8200.93,BTRST-USD
1762678800,0.116,0.12,0.119,0.116,4008.47,BTRST-USD
1762682400,0.117,0.118,0.118,0.118,638.03,BTRST-USD
1762686000,0.116,0.118,0.118,0.118,6287.71,BTRST-USD
1762689600,0.116,0.122,0.116,0.121,38290.25,BTRST-USD
1762693200,0.117,0.121,0.121,0.118,8255.85,BTRST-USD
1762696800,0.115,0.118,0.118,0.117,16485.35,BTRST-USD
1762700400,0.117,0.119,0.118,0.118,9243.8,BTRST-USD
1762704000,0.115,0.119,0.118,0.115,38241.38,BTRST-USD
1762707600,0.117,0.123,0.117,0.12,137581.13,BTRST-USD
1762711200,0.119,0.12,0.119,0.12,3563.26,BTRST-USD
1762714800,0.117,0.12,0.12,0.118,31550.89,BTRST-USD
1762718400,0.116,0.118,0.117,0.118,32652.56,BTRST-USD
1762722000,0.117,0.119,0.118,0.117,11007.51,BTRST-USD
1762725600,0.117,0.119,0.119,0.118,2088.88,BTRST-USD
1762729200,0.117,0.119,0.118,0.117,422.89,BTRST-USD
1762732800,0.117,0.119,0.117,0.119,2766.56,BTRST-USD
1762736400,0.117,0.12,0.117,0.12,18052.82,BTRST-USD
1762740000,0.117,0.12,0.119,0.12,7223.3,BTRST-USD
1762743600,0.117,0.12,0.119,0.12,30807.22,BTRST-USD
1762747200,0.119,0.125,0.12,0.121,172402.29,BTRST-USD
