time,low,high,open,close,volume,symbol
1775145600,0.06547,0.07124,0.0679,0.06621,487864,CHECK-USD
1775149200,0.062,0.0664,0.06617,0.06325,530689,CHECK-USD
1775152800,0.06332,0.06445,0.06338,0.06445,98535,CHECK-USD
1775156400,0.06201,0.06395,0.06366,0.0627,59554,CHECK-USD
1775160000,0.06227,0.06319,0.06265,0.06263,32928,CHECK-USD
1775163600,0.06174,0.06263,0.06263,0.06174,16842,CHECK-USD
1775167200,0.06165,0.06261,0.06212,0.06261,12314,CHECK-USD
1775170800,0.05938,0.0627,0.06263,0.05947,157638,CHECK-USD
1775174400,0.052,0.05948,0.05947,0.05291,187862,CHECK-USD
1775178000,0.053,0.05821,0.053,0.05424,165297,CHECK-USD
1775181600,0.05236,0.0547,0.05434,0.0537,100676,CHECK-USD
1775185200,0.05358,0.054,0.0537,0.0538,49979,CHECK-USD
1775188800,0.05382,0.05503,0.05382,0.05467,105788,CHECK-USD
1775192400,0.05442,0.0548,0.05465,0.05446,49294,CHECK-USD
1775196000,0.05367,0.05512,0.05446,0.05449,172739,CHECK-USD
1775199600,0.05403,0.05448,0.05448,0.05403,2087,CHECK-USD
1775203200,0.05267,0.05432,0.05403,0.05286,132365,CHECK-USD
1775206800,0.05222,0.05286,0.05286,0.05267,32999,CHECK-USD
1775210400,0.05239,0.05271,0.05268,0.05242,34043,CHECK-USD
1775214000,0.05239,0.05247,0.0524,0.05239,25102,CHECK-USD
1775217600,0.05195,0.053,0.05231,0.05242,100179,CHECK-USD
1775221200,0.05201,0.053,0.05242,0.0523,209786,CHECK-USD
1775224800,0.052,0.05235,0.0523,0.05206,47335,CHECK-USD
1775228400,0.04929,0.05213,0.05213,0.05031,157864,CHECK-USD
1775232000,0.05,0.05115,0.05032,0.05,57251,CHECK-USD
1775235600,0.04996,0.05018,0.05006,0.05018,181843,CHECK-USD
1775239200,0.04952,0.05095,0.05019,0.05061,188371,CHECK-USD
1775242800,0.05044,0.05103,0.05075,0.05077,72844,CHECK-USD
1775246400,0.05,0.05108,0.05077,0.05006,63670,CHECK-USD
1775250000,0.05025,0.05102,0.05043,0.05047,11262,CHECK-USD
1775253600,0.05012,0.0507,0.05039,0.05033,57646,CHECK-USD
1775257200,0.05064,0.05086,0.05065,0.05082,14776,CHECK-USD
1775260800,0.05076,0.05334,0.05083,0.0523,88304,CHECK-USD
1775264400,0.05223,0.05296,0.0523,0.05252,157192,CHECK-USD
1775268000,0.05231,0.05304,0.05252,0.05241,41786,CHECK-USD
1775271600,0.05247,0.05274,0.05255,0.0525,51179,CHECK-USD
1775275200,0.0511,0.05252,0.05252,0.05121,237437,CHECK-USD
1775278800,0.05075,0.0516,0.05136,0.05075,17173,CHECK-USD
1775282400,0.04902,0.05084,0.05074,0.04902,94144,CHECK-USD
1775286000,0.04631,0.04904,0.049,0.04672,19164,CHECK-USD
1775289600,0.04663,0.04738,0.04671,0.04684,27496,CHECK-USD
1775293200,0.04628,0.04713,0.04683,0.04628,32380,CHECK-USD
1775296800,0.04548,0.04897,0.04627,0.0488,158958,CHECK-USD
1775300400,0.04736,0.04846,0.0484,0.04802,25699,CHECK-USD
1775304000,0.04774,0.04949,0.04785,0.04913,27043,CHECK-USD
1775307600,0.0487,0.04929,0.04913,0.04873,49744,CHECK-USD
1775311200,0.04873,0.05075,0.04873,0.05007,200397,CHECK-USD
1775314800,0.05003,0.05034,0.05007,0.05023,24007,CHECK-USD
1775318400,0.04897,0.05025,0.05022,0.04897,137611,CHECK-USD
1775322000,0.04787,0.04899,0.04897,0.04838,89413,CHECK-USD
1775325600,0.0469,0.04839,0.04839,0.04761,121087,CHECK-USD
1775329200,0.047,0.04795,0.04761,0.04752,124924,CHECK-USD
1775332800,0.04735,0.04752,0.04752,0.04735,12213,CHECK-USD
1775336400,0.04711,0.0474,0.04735,0.04728,14403,CHECK-USD
1775340000,0.04723,0.04746,0.04728,0.04738,38618,CHECK-USD
1775343600,0.04656,0.04727,0.04727,0.04689,93746,CHECK-USD
1775347200,0.04645,0.04741,0.04689,0.04741,40045,CHECK-USD
1775350800,0.04732,0.04782,0.0474,0.04754,30990,CHECK-USD
1775354400,0.04754,0.04765,0.0476,0.04759,20940,CHECK-USD
1775358000,0.0475,0.0477,0.04758,0.04762,87664,CHECK-USD
1775361600,0.04749,0.04764,0.04762,0.04751,20284,CHECK-USD
1775365200,0.04656,0.04751,0.04749,0.04657,52357,CHECK-USD
1775368800,0.04598,0.04665,0.04655,0.04617,78636,CHECK-USD
1775372400,0.04604,0.04622,0.04616,0.04612,20687,CHECK-USD
1775376000,0.04594,0.0462,0.04612,0.0462,12681,CHECK-USD
1775379600,0.0462,0.04638,0.0462,0.04638,10618,CHECK-USD
1775383200,0.0463,0.04641,0.04639,0.04633,13975,CHECK-USD
1775386800,0.04633,0.04641,0.04633,0.04638,10608,CHECK-USD
1775390400,0.04634,0.04642,0.04638,0.0464,14910,CHECK-USD
1775394000,0.0464,0.04695,0.0464,0.04686,21501,CHECK-USD
1775397600,0.04675,0.04696,0.04686,0.04694,15998,CHECK-USD
1775401200,0.04689,0.047,0.04694,0.04694,89287,CHECK-USD
1775404800,0.04653,0.04695,0.04689,0.04653,14608,CHECK-USD
1775408400,0.04653,0.04696,0.04664,0.04689,23607,CHECK-USD
1775412000,0.04672,0.04724,0.04689,0.04723,30527,CHECK-USD
1775415600,0.0471,0.04721,0.04721,0.04716,18492,CHECK-USD
1775419200,0.04696,0.04738,0.04711,0.04731,30141,CHECK-USD
1775422800,0.04714,0.04732,0.04731,0.0473,23678,CHECK-USD
1775426400,0.04699,0.04729,0.04728,0.04699,24110,CHECK-USD
1775430000,0.04701,0.04744,0.04701,0.04728,38497,CHECK-USD
1775433600,0.0466,0.0473,0.04728,0.04704,140840,CHECK-USD
1775437200,0.04691,0.04715,0.04691,0.04712,20217,CHECK-USD
1775440800,0.04696,0.04714,0.04712,0.04709,25096,CHECK-USD
1775444400,0.04678,0.04716,0.04709,0.04711,20157,CHECK-USD
1775448000,0.04704,0.04715,0.04712,0.04709,19194,CHECK-USD
1775451600,0.04702,0.04709,0.04709,0.04707,23218,CHECK-USD
1775455200,0.04689,0.04709,0.04706,0.04689,10401,CHECK-USD
1775455200,0.04689,0.04709,0.04706,0.04689,10401,CHECK-USD
1775458800,0.04676,0.04696,0.04688,0.04688,12410,CHECK-USD
1775462400,0.0468,0.04715,0.04693,0.04712,21258,CHECK-USD
1775466000,0.04712,0.04725,0.04712,0.04719,96487,CHECK-USD
1775469600,0.04715,0.04729,0.04719,0.04729,4256,CHECK-USD
1775473200,0.04726,0.0473,0.04726,0.04728,26167,CHECK-USD
1775476800,0.04657,0.0475,0.04728,0.04704,47136,CHECK-USD
1775480400,0.0465,0.0471,0.04709,0.04677,162782,CHECK-USD
1775484000,0.04675,0.04681,0.04675,0.04676,22087,CHECK-USD
1775491200,0.04676,0.04681,0.04676,0.04676,6427,CHECK-USD
1775494800,0.04674,0.04675,0.04675,0.04674,403,CHECK-USD
1775498400,0.04678,0.04694,0.04678,0.04681,1688,CHECK-USD
1775502000,0.04589,0.04689,0.0468,0.04658,109086,CHECK-USD
1775505600,0.04648,0.04681,0.04658,0.04681,10725,CHECK-USD
1775509200,0.04669,0.04697,0.04673,0.04682,22755,CHECK-USD
1775512800,0.04663,0.04703,0.04684,0.04664,17336,CHECK-USD
1775516400,0.04654,0.04702,0.04654,0.047,54471,CHECK-USD
1775520000,0.04683,0.04713,0.047,0.047,35406,CHECK-USD
1775523600,0.04648,0.04703,0.04682,0.04703,41909,CHECK-USD
1775527200,0.04703,0.04704,0.04703,0.04703,10037,CHECK-USD
1775530800,0.04641,0.04703,0.04703,0.04699,69495,CHECK-USD
1775534400,0.04699,0.04705,0.04699,0.04705,14667,CHECK-USD
1775538000,0.047,0.04705,0.04705,0.047,10418,CHECK-USD
1775541600,0.04686,0.04709,0.04703,0.04705,98627,CHECK-USD
1775545200,0.04699,0.04707,0.04705,0.04704,21566,CHECK-USD
1775548800,0.04704,0.04711,0.04704,0.04711,6816,CHECK-USD
1775556000,0.04691,0.04724,0.04707,0.04712,11073,CHECK-USD
1775559600,0.04706,0.04712,0.04712,0.04707,2413,CHECK-USD
1775563200,0.04704,0.0471,0.04706,0.04706,2366,CHECK-USD
1775566800,0.047,0.04707,0.04706,0.04707,67468,CHECK-USD
1775570400,0.0466,0.04708,0.04708,0.04662,4300,CHECK-USD
1775574000,0.04661,0.04701,0.04661,0.04701,11028,CHECK-USD
1775581200,0.04701,0.04707,0.04701,0.04707,207,CHECK-USD
1775584800,0.0471,0.0472,0.0471,0.0472,17284,CHECK-USD
1775588400,0.04712,0.04751,0.04722,0.04712,58166,CHECK-USD
1775592000,0.04706,0.04732,0.04726,0.04716,14039,CHECK-USD
1775599200,0.04719,0.04744,0.04724,0.04738,21570,CHECK-USD
1775602800,0.04715,0.04745,0.04739,0.04725,101574,CHECK-USD
1775606400,0.04714,0.04729,0.04722,0.04729,11368,CHECK-USD
1775610000,0.04681,0.04721,0.04714,0.04681,74836,CHECK-USD
1775613600,0.0468,0.04682,0.04681,0.04682,25003,CHECK-USD
1775617200,0.0467,0.04732,0.04682,0.04695,43212,CHECK-USD
1775620800,0.04681,0.04697,0.04697,0.04681,9649,CHECK-USD
1775624400,0.04682,0.04686,0.04686,0.04684,8168,CHECK-USD
1775628000,0.04683,0.04686,0.04683,0.04686,386,CHECK-USD
1775631600,0.04702,0.04711,0.04702,0.04711,6600,CHECK-USD
1775635200,0.04706,0.04717,0.04706,0.04717,5406,CHECK-USD
1775642400,0.0459,0.04717,0.04716,0.0459,111493,CHECK-USD
1775646000,0.0459,0.04597,0.04591,0.04597,3221,CHECK-USD
1775649600,0.04593,0.04599,0.04593,0.04599,15681,CHECK-USD
1775653200,0.04602,0.04625,0.04609,0.04625,52663,CHECK-USD
1775656800,0.04597,0.04916,0.04626,0.04636,106338,CHECK-USD
1775660400,0.0463,0.04638,0.04636,0.04637,9919,CHECK-USD
1775664000,0.04165,0.04646,0.04637,0.04165,194013,CHECK-USD
1775667600,0.0413,0.04464,0.04165,0.04464,91685,CHECK-USD
1775671200,0.04393,0.04452,0.04413,0.04401,7750,CHECK-USD
1775674800,0.04397,0.04439,0.04406,0.04399,16529,CHECK-USD
1775678400,0.04234,0.04399,0.04399,0.04235,62720,CHECK-USD
1775682000,0.04232,0.04325,0.04232,0.04302,16816,CHECK-USD
1775685600,0.03816,0.04187,0.04187,0.04044,77524,CHECK-USD
1775689200,0.0389,0.04175,0.04052,0.03917,97163,CHECK-USD
1775692800,0.03654,0.0398,0.0389,0.03715,163077,CHECK-USD
1775696400,0.03655,0.03815,0.03758,0.0369,36540,CHECK-USD
