time,low,high,open,close,volume,symbol
1776776400,0.05,0.07001,0.05,0.06091,2898170,CHIP-USD
1776780000,0.0575,0.06433,0.0609,0.05993,5189377,CHIP-USD
1776783600,0.05675,0.06238,0.05996,0.0585,2143630,CHIP-USD
1776787200,0.0576,0.06052,0.0587,0.05911,2664939,CHIP-USD
1776790800,0.0561,0.0635,0.05986,0.05996,3742658,CHIP-USD
1776794400,0.05801,0.066,0.05996,0.05945,2916275,CHIP-USD
1776798000,0.05899,0.06559,0.0593,0.05994,5027827,CHIP-USD
1776801600,0.0587,0.07,0.06037,0.06835,6283658,CHIP-USD
1776805200,0.0601,0.075,0.06835,0.0622,14147738,CHIP-USD
1776808800,0.05774,0.06858,0.0623,0.06183,6834169,CHIP-USD
1776812400,0.06032,0.06275,0.06183,0.06112,2176693,CHIP-USD
1776816000,0.05442,0.065,0.06152,0.05842,7475350,CHIP-USD
1776819600,0.05421,0.05895,0.05829,0.058,5174524,CHIP-USD
1776823200,0.057,0.06265,0.05804,0.05993,4052664,CHIP-USD
1776826800,0.05893,0.06548,0.05992,0.0642,10824332,CHIP-USD
1776830400,0.05979,0.06466,0.06417,0.06146,4039708,CHIP-USD
1776834000,0.06142,0.078,0.06142,0.07725,15391897,CHIP-USD
1776837600,0.0745,0.08293,0.07748,0.07763,28510406,CHIP-USD
1776841200,0.07668,0.08656,0.07718,0.08545,8166112,CHIP-USD
1776844800,0.08211,0.08969,0.08548,0.08533,6309265,CHIP-USD
1776848400,0.076,0.08568,0.08525,0.08024,5870202,CHIP-USD
1776852000,0.07956,0.08618,0.08033,0.08549,3981968,CHIP-USD
1776855600,0.08478,0.0995,0.08529,0.0944,13768348,CHIP-USD
1776859200,0.09294,0.119,0.09455,0.11064,29401330,CHIP-USD
1776862800,0.09334,0.11747,0.11065,0.0963,24095288,CHIP-USD
1776866400,0.0955,0.11382,0.09638,0.10938,20538120,CHIP-USD
1776870000,0.10123,0.11855,0.10934,0.11249,21731983,CHIP-USD
1776873600,0.10587,0.11775,0.11249,0.10819,15761107,CHIP-USD
1776877200,0.1021,0.11334,0.10816,0.11164,8498236,CHIP-USD
1776880800,0.107,0.12127,0.1115,0.11473,12046054,CHIP-USD
1776884400,0.10159,0.11565,0.11468,0.1041,14910451,CHIP-USD
1776888000,0.10046,0.1108,0.1041,0.11002,9830553,CHIP-USD
1776891600,0.10618,0.115,0.11002,0.10889,10756391,CHIP-USD
1776895200,0.10399,0.11092,0.10903,0.10902,7002873,CHIP-USD
1776898800,0.10691,0.115,0.10908,0.11285,12983531,CHIP-USD
1776902400,0.1084,0.12703,0.11261,0.12214,26163381,CHIP-USD
1776906000,0.12,0.1407,0.12229,0.13408,40055233,CHIP-USD
1776909600,0.11286,0.1365,0.13411,0.12083,35224463,CHIP-USD
1776913200,0.09798,0.12264,0.12081,0.10213,26711556,CHIP-USD
1776916800,0.09144,0.10869,0.10226,0.09534,26251442,CHIP-USD
1776920400,0.09183,0.1089,0.09536,0.10435,19218370,CHIP-USD
1776924000,0.09777,0.11476,0.10414,0.11165,17999636,CHIP-USD
1776927600,0.10543,0.114,0.11185,0.11038,9474587,CHIP-USD
1776931200,0.10685,0.1187,0.1102,0.11494,6079349,CHIP-USD
1776934800,0.1049,0.11675,0.11496,0.10954,5963374,CHIP-USD
1776938400,0.10207,0.11225,0.1094,0.10448,5437263,CHIP-USD
1776942000,0.09967,0.10833,0.10463,0.10584,6794664,CHIP-USD
1776945600,0.1035,0.11083,0.10585,0.10623,9532226,CHIP-USD
1776949200,0.09682,0.10676,0.10625,0.10091,10503031,CHIP-USD
1776952800,0.09605,0.10258,0.1009,0.10058,7042691,CHIP-USD
1776956400,0.09253,0.10436,0.10056,0.09584,9328594,CHIP-USD
1776960000,0.09003,0.09791,0.09542,0.09181,12727724,CHIP-USD
1776963600,0.0895,0.0945,0.09222,0.09222,8205347,CHIP-USD
1776967200,0.09214,0.09978,0.09226,0.09451,6663574,CHIP-USD
1776970800,0.09301,0.09783,0.09448,0.09693,4595798,CHIP-USD
1776974400,0.09552,0.10078,0.09688,0.09998,8536203,CHIP-USD
1776978000,0.09732,0.10665,0.09993,0.10261,10665925,CHIP-USD
1776981600,0.10097,0.10899,0.10257,0.10638,5235629,CHIP-USD
1776985200,0.10249,0.10829,0.1063,0.10394,8960578,CHIP-USD
1776988800,0.09701,0.10577,0.1039,0.09824,14746353,CHIP-USD
1776992400,0.09826,0.10419,0.09826,0.09866,7214366,CHIP-USD
1776996000,0.09544,0.10032,0.09878,0.09721,5970654,CHIP-USD
1776999600,0.09379,0.09822,0.09721,0.09427,4000840,CHIP-USD
1777003200,0.09354,0.09669,0.0943,0.09644,1692472,CHIP-USD
1777006800,0.0943,0.09876,0.09658,0.09452,1750358,CHIP-USD
1777010400,0.09101,0.09571,0.09458,0.09332,2120447,CHIP-USD
1777014000,0.09318,0.09561,0.09332,0.09382,3755513,CHIP-USD
1777017600,0.09277,0.09781,0.0938,0.09601,1637936,CHIP-USD
1777021200,0.093,0.09712,0.096,0.095,3826897,CHIP-USD
1777024800,0.09165,0.09618,0.0951,0.09448,1351135,CHIP-USD
1777028400,0.08725,0.09521,0.09472,0.09078,5935776,CHIP-USD
1777032000,0.08988,0.0942,0.09072,0.09287,3675972,CHIP-USD
1777035600,0.08927,0.09332,0.0929,0.0895,3116068,CHIP-USD
1777039200,0.08601,0.09002,0.08942,0.08803,3724877,CHIP-USD
1777042800,0.08731,0.08921,0.08794,0.08867,2090261,CHIP-USD
1777046400,0.08547,0.08867,0.08867,0.08826,2896171,CHIP-USD
1777050000,0.08713,0.092,0.08824,0.08766,3118245,CHIP-USD
1777053600,0.086,0.08888,0.0877,0.08727,2826424,CHIP-USD
1777057200,0.08668,0.08968,0.08718,0.08685,1833626,CHIP-USD
