time,low,high,open,close,volume,symbol
1761955200,0.0307,0.0309,0.0307,0.0309,53370.3,CHZ-USD
1761962400,0.0307,0.0309,0.0307,0.0309,125.4,CHZ-USD
1761966000,0.0309,0.031,0.031,0.0309,8459.0,CHZ-USD
1761969600,0.0308,0.0309,0.0309,0.0308,35390.3,CHZ-USD
1761973200,0.0307,0.0308,0.0308,0.0308,182369.3,CHZ-USD
1761976800,0.0308,0.031,0.0308,0.031,3753.2,CHZ-USD
1761980400,0.031,0.0312,0.031,0.0312,3799.2,CHZ-USD
1761987600,0.0311,0.0312,0.0312,0.0311,9545.6,CHZ-USD
1761991200,0.0311,0.0313,0.0311,0.0313,71913.2,CHZ-USD
1761994800,0.0312,0.0313,0.0312,0.0313,159663.1,CHZ-USD
1761998400,0.0313,0.0314,0.0313,0.0314,110177.8,CHZ-USD
1762002000,0.0311,0.0314,0.0314,0.0311,472.0,CHZ-USD
1762005600,0.031,0.0312,0.031,0.0312,382558.7,CHZ-USD
1762009200,0.0311,0.0314,0.0312,0.0314,21705.3,CHZ-USD
1762016400,0.0313,0.0315,0.0314,0.0313,80184.8,CHZ-USD
1762023600,0.0311,0.0315,0.0314,0.0315,1284179.6,CHZ-USD
1762027200,0.0314,0.0315,0.0315,0.0314,17970.1,CHZ-USD
1762030800,0.0312,0.0314,0.0313,0.0312,61524.4,CHZ-USD
1762034400,0.0312,0.0313,0.0312,0.0313,182084.9,CHZ-USD
1762038000,0.0313,0.0315,0.0313,0.0315,85061.9,CHZ-USD
1762041600,0.0314,0.0315,0.0315,0.0314,136847.5,CHZ-USD
1762045200,0.0313,0.0314,0.0313,0.0314,53.0,CHZ-USD
1762048800,0.0313,0.0314,0.0313,0.0313,23272.4,CHZ-USD
1762052400,0.0312,0.0313,0.0313,0.0313,9335.9,CHZ-USD
1762056000,0.0313,0.0316,0.0313,0.0315,32937.3,CHZ-USD
1762059600,0.0313,0.0316,0.0316,0.0316,80309.0,CHZ-USD
1762063200,0.0316,0.0317,0.0316,0.0317,17807.3,CHZ-USD
1762066800,0.0317,0.0319,0.0317,0.0318,389227.5,CHZ-USD
1762074000,0.0314,0.0318,0.0317,0.0314,82070.0,CHZ-USD
1762077600,0.0314,0.0318,0.0314,0.0318,3857.3,CHZ-USD
1762081200,0.0317,0.0317,0.0317,0.0317,4.4,CHZ-USD
1762084800,0.0317,0.0318,0.0318,0.0317,41442.4,CHZ-USD
1762088400,0.0314,0.0316,0.0316,0.0314,25553.2,CHZ-USD
1762092000,0.031,0.0313,0.0313,0.0313,31312.1,CHZ-USD
1762095600,0.0309,0.0312,0.0312,0.0309,28303.4,CHZ-USD
1762099200,0.0313,0.0314,0.0313,0.0314,34782.0,CHZ-USD
1762106400,0.0312,0.0312,0.0312,0.0312,808.0,CHZ-USD
1762110000,0.0312,0.0313,0.0312,0.0312,68422.4,CHZ-USD
1762113600,0.0313,0.0315,0.0313,0.0315,322.1,CHZ-USD
1762117200,0.0314,0.0314,0.0314,0.0314,32051.2,CHZ-USD
1762120800,0.0315,0.0318,0.0316,0.0318,14712.3,CHZ-USD
1762124400,0.0319,0.032,0.0319,0.032,8302.3,CHZ-USD
1762128000,0.0314,0.032,0.032,0.0314,30122.0,CHZ-USD
1762131600,0.0312,0.0314,0.0314,0.0312,8368.6,CHZ-USD
1762135200,0.0308,0.0311,0.0311,0.0308,6069.8,CHZ-USD
1762138800,0.0301,0.0307,0.0307,0.0301,101964.5,CHZ-USD
