time,low,high,open,close,volume,symbol
1761955200,0.2944,0.2968,0.2944,0.2968,1775.32,COSMOSDYDX-USD
1761958800,0.2917,0.2975,0.296,0.2917,6970.8,COSMOSDYDX-USD
1761962400,0.292,0.295,0.2927,0.2946,7041.59,COSMOSDYDX-USD
1761969600,0.2892,0.2948,0.2948,0.2903,15972.63,COSMOSDYDX-USD
1761973200,0.2905,0.2905,0.2905,0.2905,3.41,COSMOSDYDX-USD
1761976800,0.2906,0.2929,0.2906,0.2929,1718.25,COSMOSDYDX-USD
1761980400,0.2937,0.3031,0.2937,0.3031,8407.74,COSMOSDYDX-USD
1761984000,0.2987,0.3042,0.3031,0.3041,9248.01,COSMOSDYDX-USD
1761987600,0.3007,0.3031,0.3031,0.302,8163.67,COSMOSDYDX-USD
1761991200,0.3041,0.3055,0.3041,0.3052,6410.48,COSMOSDYDX-USD
1761994800,0.3051,0.3085,0.3051,0.3085,2145.28,COSMOSDYDX-USD
1761998400,0.3081,0.3091,0.3081,0.3091,2414.89,COSMOSDYDX-USD
1762002000,0.3056,0.3112,0.31,0.3071,7231.01,COSMOSDYDX-USD
1762005600,0.3048,0.3085,0.3053,0.3085,3534.81,COSMOSDYDX-USD
1762009200,0.3072,0.3093,0.3093,0.3079,2198.27,COSMOSDYDX-USD
1762012800,0.3106,0.3135,0.3106,0.3114,7604.3,COSMOSDYDX-USD
1762016400,0.3116,0.3122,0.3122,0.3121,2755.27,COSMOSDYDX-USD
1762020000,0.3112,0.3126,0.3118,0.3112,12099.44,COSMOSDYDX-USD
1762023600,0.3119,0.3146,0.3119,0.3144,8747.69,COSMOSDYDX-USD
1762027200,0.312,0.3155,0.3143,0.312,4069.64,COSMOSDYDX-USD
1762030800,0.31,0.311,0.311,0.31,1385.16,COSMOSDYDX-USD
1762034400,0.3105,0.3112,0.3111,0.3112,4593.4,COSMOSDYDX-USD
1762038000,0.3111,0.3119,0.3111,0.3115,3250.64,COSMOSDYDX-USD
1762041600,0.3094,0.3109,0.3109,0.3094,1099.65,COSMOSDYDX-USD
1762052400,0.3105,0.3147,0.3107,0.314,12349.37,COSMOSDYDX-USD
1762056000,0.3146,0.319,0.3146,0.319,24906.96,COSMOSDYDX-USD
1762059600,0.3184,0.3225,0.3189,0.3218,6016.72,COSMOSDYDX-USD
1762063200,0.3196,0.3207,0.3196,0.3207,8942.6,COSMOSDYDX-USD
1762070400,0.3198,0.3228,0.3228,0.3226,4237.25,COSMOSDYDX-USD
1762074000,0.3203,0.3221,0.3221,0.3218,3287.76,COSMOSDYDX-USD
1762084800,0.3173,0.3221,0.3221,0.3173,1395.29,COSMOSDYDX-USD
1762088400,0.3165,0.318,0.318,0.3165,2402.99,COSMOSDYDX-USD
1762092000,0.3099,0.3175,0.3175,0.3099,4590.39,COSMOSDYDX-USD
1762095600,0.3126,0.316,0.3147,0.3141,2985.69,COSMOSDYDX-USD
1762099200,0.311,0.3166,0.311,0.3166,362.0,COSMOSDYDX-USD
1762102800,0.3135,0.3165,0.3165,0.3135,341.22,COSMOSDYDX-USD
1762106400,0.3116,0.3126,0.3116,0.3126,3137.05,COSMOSDYDX-USD
1762110000,0.3096,0.312,0.311,0.312,890.47,COSMOSDYDX-USD
1762113600,0.3135,0.3148,0.3135,0.3147,1777.51,COSMOSDYDX-USD
1762117200,0.3131,0.3138,0.3138,0.3131,1747.34,COSMOSDYDX-USD
1762124400,0.3157,0.3211,0.3157,0.321,583.47,COSMOSDYDX-USD
1762128000,0.3137,0.3205,0.3205,0.3137,9801.34,COSMOSDYDX-USD
1762131600,0.308,0.3144,0.3133,0.308,4486.57,COSMOSDYDX-USD
1762135200,0.3039,0.309,0.3071,0.3039,15282.95,COSMOSDYDX-USD
1762138800,0.294,0.3035,0.3035,0.294,12340.03,COSMOSDYDX-USD
1762142400,0.2897,0.2962,0.294,0.2962,940.87,COSMOSDYDX-USD
1762146000,0.2878,0.2927,0.2927,0.2878,8118.37,COSMOSDYDX-USD
1762149600,0.2852,0.2931,0.2888,0.2931,4540.89,COSMOSDYDX-USD
1762153200,0.2919,0.2938,0.2919,0.2923,1728.07,COSMOSDYDX-USD
1762156800,0.2897,0.2945,0.2923,0.2945,3947.96,COSMOSDYDX-USD
1762160400,0.2897,0.2913,0.2913,0.2901,4553.17,COSMOSDYDX-USD
1762164000,0.2859,0.2892,0.2872,0.2892,30183.12,COSMOSDYDX-USD
1762167600,0.2887,0.29,0.29,0.2887,1016.19,COSMOSDYDX-USD
1762171200,0.2899,0.293,0.2899,0.293,1244.35,COSMOSDYDX-USD
1762174800,0.2907,0.2931,0.2931,0.2922,3308.15,COSMOSDYDX-USD
1762178400,0.2913,0.297,0.2937,0.293,13478.55,COSMOSDYDX-USD
1762182000,0.2549,0.2908,0.2904,0.2645,105803.47,COSMOSDYDX-USD
1762185600,0.2642,0.2745,0.2644,0.2693,108821.67,COSMOSDYDX-USD
1762189200,0.269,0.2767,0.2704,0.2725,108144.82,COSMOSDYDX-USD
1762192800,0.2703,0.2718,0.2718,0.2703,492.12,COSMOSDYDX-USD
1762200000,0.2617,0.265,0.265,0.2618,2168.38,COSMOSDYDX-USD
1762203600,0.2602,0.265,0.2647,0.2639,2852.02,COSMOSDYDX-USD
1762207200,0.2626,0.264,0.2626,0.2635,12441.66,COSMOSDYDX-USD
1762210800,0.2647,0.2694,0.2648,0.2688,5068.8,COSMOSDYDX-USD
1762214400,0.2671,0.2746,0.2675,0.2702,9122.02,COSMOSDYDX-USD
1762221600,0.2712,0.2758,0.2721,0.2758,2460.66,COSMOSDYDX-USD
1762228800,0.2757,0.2801,0.2771,0.2757,7470.7,COSMOSDYDX-USD
1762232400,0.2649,0.276,0.2749,0.268,6044.69,COSMOSDYDX-USD
1762236000,0.268,0.2761,0.2707,0.268,1670.53,COSMOSDYDX-USD
1762239600,0.2649,0.268,0.2675,0.268,4722.69,COSMOSDYDX-USD
1762243200,0.2707,0.2761,0.2707,0.2732,1814.63,COSMOSDYDX-USD
1762246800,0.2728,0.2746,0.2735,0.2735,12554.2,COSMOSDYDX-USD
1762250400,0.2738,0.2773,0.2741,0.2773,5757.02,COSMOSDYDX-USD
1762254000,0.2702,0.277,0.277,0.2702,7153.29,COSMOSDYDX-USD
1762257600,0.2675,0.27,0.27,0.2675,416.98,COSMOSDYDX-USD
1762261200,0.2686,0.2738,0.2686,0.2703,13399.73,COSMOSDYDX-USD
1762264800,0.2697,0.2796,0.2702,0.2796,2678.24,COSMOSDYDX-USD
1762268400,0.2729,0.2798,0.2757,0.2745,5654.87,COSMOSDYDX-USD
1762272000,0.2697,0.2761,0.2761,0.2701,16689.09,COSMOSDYDX-USD
1762275600,0.2616,0.2707,0.2699,0.2675,10877.98,COSMOSDYDX-USD
1762279200,0.2566,0.2665,0.2649,0.2638,9263.56,COSMOSDYDX-USD
1762282800,0.2606,0.268,0.268,0.2606,1515.18,COSMOSDYDX-USD
1762286400,0.249,0.268,0.2596,0.2665,35087.25,COSMOSDYDX-USD
1762290000,0.2535,0.268,0.2622,0.268,8737.91,COSMOSDYDX-USD
1762293600,0.2649,0.2748,0.2663,0.2702,9840.68,COSMOSDYDX-USD
1762297200,0.2679,0.2706,0.2706,0.2679,135.22,COSMOSDYDX-USD
1762300800,0.2649,0.2675,0.2675,0.2649,381.3,COSMOSDYDX-USD
1762304400,0.2545,0.268,0.2648,0.268,9502.62,COSMOSDYDX-USD
1762308000,0.267,0.2685,0.267,0.2672,1075.33,COSMOSDYDX-USD
1762311600,0.2707,0.2734,0.2707,0.2732,2846.63,COSMOSDYDX-USD
1762315200,0.2707,0.2739,0.2707,0.2731,234.47,COSMOSDYDX-USD
1762318800,0.2733,0.2756,0.2733,0.2756,3101.74,COSMOSDYDX-USD
