time,low,high,open,close,volume,symbol
1761955200,0.4773,0.4822,0.4797,0.4814,385789.36,CRV-USD
1761958800,0.4792,0.4831,0.4815,0.4792,130320.83,CRV-USD
1761962400,0.4758,0.4841,0.4793,0.4833,497659.25,CRV-USD
1761966000,0.4821,0.4856,0.4838,0.4836,472498.67,CRV-USD
1761969600,0.4789,0.4843,0.4838,0.479,350829.27,CRV-USD
1761973200,0.4758,0.4792,0.479,0.4759,111843.58,CRV-USD
1761976800,0.4725,0.4768,0.4764,0.4762,599512.63,CRV-USD
1761980400,0.4753,0.4833,0.4763,0.4827,230366.36,CRV-USD
1761984000,0.48,0.4842,0.4828,0.4836,174644.93,CRV-USD
1761987600,0.4771,0.4842,0.4833,0.4781,120767.02,CRV-USD
1761991200,0.4771,0.4813,0.478,0.4803,172967.07,CRV-USD
1761994800,0.4798,0.4841,0.4804,0.4829,228497.49,CRV-USD
1761998400,0.4815,0.4853,0.4826,0.4818,254291.84,CRV-USD
1762002000,0.4802,0.4872,0.4819,0.4835,764602.08,CRV-USD
1762005600,0.4751,0.4838,0.4836,0.4769,230238.21,CRV-USD
1762009200,0.4767,0.4844,0.477,0.4826,209284.02,CRV-USD
1762012800,0.4809,0.4868,0.4825,0.4844,508954.45,CRV-USD
1762016400,0.4816,0.485,0.4831,0.4829,196817.25,CRV-USD
1762020000,0.4826,0.4861,0.4827,0.4852,52857.74,CRV-USD
1762023600,0.4816,0.4855,0.4851,0.4855,208974.83,CRV-USD
1762027200,0.4852,0.4896,0.4854,0.4874,244259.76,CRV-USD
1762030800,0.4746,0.4881,0.4874,0.4758,313407.14,CRV-USD
1762034400,0.4745,0.479,0.4758,0.4785,276076.41,CRV-USD
1762038000,0.477,0.4791,0.4786,0.4788,346076.83,CRV-USD
1762041600,0.4755,0.4791,0.4787,0.4755,258540.62,CRV-USD
1762045200,0.4718,0.4779,0.4754,0.477,515912.58,CRV-USD
1762048800,0.4762,0.4814,0.4768,0.4784,134418.72,CRV-USD
1762052400,0.4758,0.4788,0.4785,0.4762,127209.66,CRV-USD
1762056000,0.4758,0.4827,0.4761,0.4824,187004.23,CRV-USD
1762059600,0.4767,0.4827,0.4824,0.4804,197000.56,CRV-USD
1762063200,0.4787,0.4838,0.4803,0.4824,97324.69,CRV-USD
1762066800,0.4807,0.4867,0.4828,0.4861,153534.93,CRV-USD
1762070400,0.4801,0.4868,0.4863,0.4815,120339.29,CRV-USD
1762074000,0.4761,0.4848,0.4816,0.4779,110079.76,CRV-USD
1762077600,0.4711,0.4788,0.478,0.4736,452012.86,CRV-USD
1762081200,0.4733,0.4813,0.4735,0.4812,129395.73,CRV-USD
1762084800,0.477,0.4817,0.4813,0.4775,239182.11,CRV-USD
1762088400,0.4655,0.4785,0.4774,0.4709,770038.54,CRV-USD
1762092000,0.4593,0.4715,0.4706,0.4647,388735.63,CRV-USD
1762095600,0.4619,0.4682,0.4645,0.462,416247.97,CRV-USD
1762099200,0.4563,0.4691,0.4621,0.469,579838.5,CRV-USD
1762102800,0.4659,0.4717,0.469,0.4682,336014.48,CRV-USD
1762106400,0.466,0.4696,0.4683,0.4664,337411.51,CRV-USD
1762110000,0.4628,0.4672,0.4664,0.4654,177060.97,CRV-USD
1762113600,0.4631,0.4663,0.4655,0.4658,187148.47,CRV-USD
1762117200,0.4642,0.4677,0.4659,0.4665,87442.64,CRV-USD
1762120800,0.4629,0.468,0.4663,0.4658,141164.6,CRV-USD
1762124400,0.4659,0.48,0.4659,0.4795,539628.44,CRV-USD
1762128000,0.4673,0.4801,0.4788,0.4673,248926.75,CRV-USD
1762131600,0.4604,0.4696,0.4676,0.4625,335110.09,CRV-USD
1762135200,0.4532,0.4671,0.4627,0.4585,1561848.96,CRV-USD
1762138800,0.4421,0.459,0.4584,0.4434,849687.17,CRV-USD
1762142400,0.4378,0.4449,0.4434,0.4446,667650.53,CRV-USD
1762146000,0.4416,0.4491,0.4447,0.4416,320319.83,CRV-USD
1762149600,0.435,0.4428,0.4415,0.44,716631.16,CRV-USD
1762153200,0.4378,0.4483,0.4399,0.4461,261350.94,CRV-USD
1762156800,0.4398,0.4471,0.4459,0.445,390182.02,CRV-USD
1762160400,0.4397,0.4503,0.4447,0.4405,174776.84,CRV-USD
1762164000,0.4339,0.4428,0.4409,0.4357,426638.96,CRV-USD
1762167600,0.4357,0.4442,0.4357,0.4407,321063.66,CRV-USD
1762171200,0.4394,0.4467,0.4405,0.4395,240094.7,CRV-USD
1762174800,0.4374,0.4447,0.4395,0.4418,402147.79,CRV-USD
1762178400,0.4394,0.4476,0.4419,0.4459,253792.02,CRV-USD
1762182000,0.4061,0.4471,0.446,0.422,2573551.67,CRV-USD
1762185600,0.4188,0.4317,0.4222,0.4287,1292214.78,CRV-USD
1762189200,0.4276,0.4407,0.4286,0.4366,694095.9,CRV-USD
1762192800,0.4306,0.438,0.4365,0.431,292890.66,CRV-USD
1762196400,0.427,0.4327,0.431,0.4273,254625.45,CRV-USD
1762200000,0.4174,0.4284,0.4274,0.4202,384782.27,CRV-USD
1762203600,0.4166,0.4275,0.4197,0.4272,807564.72,CRV-USD
1762207200,0.4217,0.429,0.4273,0.4253,210248.08,CRV-USD
1762210800,0.422,0.4304,0.4252,0.4299,379235.62,CRV-USD
1762214400,0.4266,0.4392,0.4298,0.4371,724165.28,CRV-USD
1762218000,0.4317,0.4374,0.4372,0.4338,167493.48,CRV-USD
1762221600,0.4296,0.4338,0.4337,0.4296,149766.43,CRV-USD
1762225200,0.4288,0.4373,0.4296,0.433,219036.01,CRV-USD
1762228800,0.4299,0.4357,0.4332,0.43,210661.4,CRV-USD
1762232400,0.4091,0.4304,0.4299,0.4099,480905.5,CRV-USD
1762236000,0.4098,0.428,0.4098,0.4205,333589.26,CRV-USD
1762239600,0.4117,0.4212,0.4204,0.4149,1619000.44,CRV-USD
1762243200,0.4123,0.4263,0.4146,0.4237,281257.97,CRV-USD
1762246800,0.4204,0.426,0.4236,0.4224,315093.47,CRV-USD
1762250400,0.4186,0.4236,0.4223,0.4213,728457.53,CRV-USD
1762254000,0.4192,0.4264,0.421,0.4208,884333.22,CRV-USD
1762257600,0.4155,0.422,0.4207,0.4181,676474.18,CRV-USD
1762261200,0.413,0.4197,0.4179,0.4172,402435.67,CRV-USD
1762264800,0.4131,0.435,0.4171,0.4303,969352.28,CRV-USD
1762268400,0.4213,0.4333,0.4306,0.4233,1173260.19,CRV-USD
1762272000,0.4138,0.4264,0.4235,0.415,729766.26,CRV-USD
