time,low,high,open,close,volume,symbol
1761955200,0.03205,0.0327,0.0325,0.03241,407591,DBR-USD
1761958800,0.03207,0.03255,0.03241,0.0324,110975,DBR-USD
1761962400,0.03221,0.03295,0.03249,0.03295,122232,DBR-USD
1761966000,0.03262,0.0329,0.0329,0.03277,144476,DBR-USD
1761969600,0.03225,0.03271,0.03271,0.03243,47811,DBR-USD
1761973200,0.03219,0.03243,0.03241,0.03237,70486,DBR-USD
1761976800,0.03222,0.03248,0.03237,0.03248,20952,DBR-USD
1761980400,0.03251,0.03276,0.03251,0.03269,4558,DBR-USD
1761984000,0.032,0.03269,0.03269,0.03215,261646,DBR-USD
1761987600,0.03206,0.03233,0.03219,0.03216,180301,DBR-USD
1761991200,0.03212,0.03223,0.03217,0.03219,24035,DBR-USD
1761994800,0.03217,0.03227,0.0322,0.03223,19261,DBR-USD
1761998400,0.03218,0.03228,0.03226,0.03224,5380,DBR-USD
1762002000,0.03215,0.03233,0.03225,0.03233,14430,DBR-USD
1762005600,0.03204,0.03234,0.03234,0.03232,116805,DBR-USD
1762009200,0.03244,0.03434,0.03244,0.033,2551658,DBR-USD
1762012800,0.03145,0.03327,0.03297,0.03181,359901,DBR-USD
1762016400,0.0311,0.03197,0.0318,0.03136,87168,DBR-USD
1762020000,0.03134,0.03172,0.03137,0.0317,24948,DBR-USD
1762023600,0.03156,0.03179,0.03171,0.03176,30085,DBR-USD
1762027200,0.0316,0.03185,0.03176,0.0316,78265,DBR-USD
1762030800,0.03156,0.03172,0.0317,0.03166,67787,DBR-USD
1762034400,0.03154,0.03196,0.03163,0.03188,180556,DBR-USD
1762038000,0.03182,0.03212,0.03187,0.03192,57187,DBR-USD
1762041600,0.03155,0.03194,0.0319,0.03159,56705,DBR-USD
1762045200,0.03145,0.03168,0.03167,0.03161,50879,DBR-USD
1762048800,0.03165,0.0318,0.03165,0.03177,42647,DBR-USD
1762052400,0.03178,0.03203,0.03178,0.03194,13089,DBR-USD
1762056000,0.03194,0.03205,0.03194,0.03204,22352,DBR-USD
1762059600,0.0315,0.032,0.032,0.03156,35113,DBR-USD
1762063200,0.03145,0.03164,0.03154,0.03162,23391,DBR-USD
1762066800,0.03138,0.03162,0.03162,0.03145,37564,DBR-USD
1762070400,0.03072,0.03145,0.03143,0.03107,232310,DBR-USD
1762074000,0.03102,0.03112,0.03105,0.03103,33032,DBR-USD
1762077600,0.03081,0.03116,0.031,0.03115,328671,DBR-USD
1762081200,0.03113,0.03138,0.03115,0.03132,200743,DBR-USD
1762084800,0.03116,0.03144,0.03126,0.03131,295064,DBR-USD
1762088400,0.03111,0.03142,0.03122,0.03142,57688,DBR-USD
1762092000,0.03144,0.03338,0.03144,0.0332,354979,DBR-USD
1762095600,0.03137,0.03419,0.03291,0.03163,1046546,DBR-USD
1762099200,0.03055,0.03181,0.03167,0.03105,307540,DBR-USD
1762102800,0.03088,0.03139,0.03099,0.03139,11024,DBR-USD
1762106400,0.03144,0.03201,0.03144,0.03189,177959,DBR-USD
1762110000,0.03176,0.03206,0.03193,0.03206,109046,DBR-USD
1762113600,0.03187,0.03226,0.03203,0.03188,89707,DBR-USD
1762117200,0.03158,0.03191,0.03189,0.03158,209732,DBR-USD
1762120800,0.03145,0.0316,0.03158,0.03155,20599,DBR-USD
1762124400,0.03136,0.03166,0.03156,0.03137,36837,DBR-USD
1762128000,0.0305,0.03134,0.03134,0.03055,134859,DBR-USD
1762131600,0.03047,0.03085,0.0305,0.03068,390595,DBR-USD
1762135200,0.03015,0.03057,0.03057,0.03029,288304,DBR-USD
1762138800,0.03027,0.0306,0.03029,0.03037,40910,DBR-USD
1762142400,0.03004,0.03044,0.03036,0.03044,107494,DBR-USD
1762146000,0.03044,0.03109,0.03045,0.031,74888,DBR-USD
1762149600,0.03026,0.03109,0.03109,0.03032,104778,DBR-USD
1762153200,0.03025,0.03084,0.03025,0.03042,269721,DBR-USD
1762156800,0.03024,0.03094,0.03041,0.03089,88261,DBR-USD
1762160400,0.03071,0.03106,0.03086,0.03072,97192,DBR-USD
1762164000,0.03049,0.03093,0.03073,0.03077,271777,DBR-USD
1762167600,0.03087,0.03115,0.03087,0.03115,31323,DBR-USD
1762171200,0.03115,0.0318,0.03117,0.03116,488345,DBR-USD
1762174800,0.0306,0.03114,0.03114,0.03074,237807,DBR-USD
1762178400,0.0306,0.03128,0.03074,0.03123,220504,DBR-USD
1762182000,0.02972,0.03119,0.03117,0.03009,295969,DBR-USD
1762185600,0.03008,0.03067,0.03008,0.03043,108952,DBR-USD
1762189200,0.03043,0.03066,0.03043,0.03052,84484,DBR-USD
1762192800,0.03062,0.03087,0.03062,0.03064,13673,DBR-USD
1762196400,0.0298,0.03053,0.03053,0.02985,323525,DBR-USD
1762200000,0.02961,0.02991,0.02979,0.02984,143589,DBR-USD
1762203600,0.02974,0.02996,0.02985,0.02993,63244,DBR-USD
1762207200,0.02981,0.0299,0.0299,0.02983,56363,DBR-USD
1762210800,0.02938,0.02988,0.02982,0.02939,783447,DBR-USD
1762214400,0.02919,0.03051,0.0294,0.03,606271,DBR-USD
1762218000,0.02968,0.02999,0.02999,0.02968,182236,DBR-USD
1762221600,0.02947,0.02978,0.02966,0.02947,32010,DBR-USD
1762225200,0.02944,0.03013,0.02948,0.0296,79663,DBR-USD
1762228800,0.02955,0.02983,0.02959,0.02963,54692,DBR-USD
1762232400,0.02894,0.02976,0.02962,0.02896,80898,DBR-USD
1762236000,0.029,0.03003,0.029,0.02981,42255,DBR-USD
1762239600,0.02874,0.02989,0.02977,0.02882,302547,DBR-USD
1762243200,0.0287,0.02915,0.0288,0.02874,25920,DBR-USD
1762246800,0.02865,0.02886,0.02875,0.02869,17397,DBR-USD
1762250400,0.0288,0.02917,0.0288,0.02917,25416,DBR-USD
1762254000,0.02873,0.02921,0.02915,0.02921,37256,DBR-USD
1762257600,0.0289,0.02939,0.029,0.029,152339,DBR-USD
1762261200,0.02885,0.02896,0.02896,0.02885,2282,DBR-USD
1762264800,0.02848,0.02937,0.02884,0.02937,365847,DBR-USD
1762268400,0.02889,0.02994,0.02961,0.029,260185,DBR-USD
1762272000,0.02847,0.02912,0.02895,0.02855,101304,DBR-USD
1762275600,0.02742,0.02856,0.02854,0.02818,451887,DBR-USD
1762279200,0.02767,0.02836,0.02824,0.02828,59206,DBR-USD
1762282800,0.02781,0.02842,0.02834,0.02786,142607,DBR-USD
1762286400,0.02736,0.02818,0.02785,0.02813,77409,DBR-USD
1762290000,0.02759,0.02833,0.02817,0.02805,118493,DBR-USD
1762293600,0.02801,0.02831,0.02807,0.02815,179268,DBR-USD
1762297200,0.02799,0.0282,0.02816,0.02799,7701,DBR-USD
1762300800,0.0275,0.02798,0.02798,0.0275,26148,DBR-USD
1762304400,0.0271,0.02781,0.02749,0.02781,26001,DBR-USD
1762308000,0.028,0.0281,0.02807,0.0281,4861,DBR-USD
1762311600,0.02805,0.02822,0.0281,0.02821,8580,DBR-USD
1762315200,0.02802,0.02915,0.02826,0.02821,722675,DBR-USD
1762318800,0.02771,0.02821,0.02821,0.02774,67877,DBR-USD
1762322400,0.0274,0.02802,0.02774,0.02802,66588,DBR-USD
1762326000,0.02786,0.02857,0.02799,0.02806,319405,DBR-USD
1762329600,0.02762,0.02807,0.02807,0.02801,81649,DBR-USD
1762333200,0.02791,0.02806,0.02803,0.02804,1467,DBR-USD
1762336800,0.02781,0.02809,0.02803,0.02796,46148,DBR-USD
1762340400,0.02793,0.02806,0.02794,0.02804,1469,DBR-USD
1762344000,0.02793,0.02826,0.02803,0.02804,12555,DBR-USD
1762347600,0.02802,0.02831,0.02803,0.02831,14646,DBR-USD
1762351200,0.02832,0.02906,0.02832,0.02834,429280,DBR-USD
1762354800,0.02827,0.02862,0.02833,0.02827,102686,DBR-USD
1762358400,0.028,0.02839,0.02829,0.02821,124342,DBR-USD
1762362000,0.02786,0.02844,0.02817,0.02791,199352,DBR-USD
1762365600,0.02781,0.02831,0.02791,0.02823,52671,DBR-USD
1762369200,0.02793,0.02823,0.02823,0.02793,10322,DBR-USD
1762372800,0.02784,0.02887,0.02792,0.02861,352586,DBR-USD
1762376400,0.02852,0.02958,0.02857,0.02887,930906,DBR-USD
1762380000,0.02848,0.02896,0.02888,0.02848,253051,DBR-USD
1762383600,0.02858,0.02896,0.02858,0.02883,244414,DBR-USD
1762387200,0.02849,0.02878,0.02878,0.02868,54653,DBR-USD
1762390800,0.02847,0.02874,0.02867,0.02851,407358,DBR-USD
1762394400,0.02843,0.02891,0.02849,0.02883,87698,DBR-USD
1762398000,0.02882,0.02909,0.02884,0.02882,247878,DBR-USD
1762401600,0.02878,0.0291,0.02878,0.02881,91310,DBR-USD
1762405200,0.02849,0.02892,0.02885,0.02869,27778,DBR-USD
1762408800,0.02857,0.02911,0.02866,0.029,169621,DBR-USD
1762412400,0.02909,0.02945,0.02911,0.02936,191351,DBR-USD
1762416000,0.0294,0.02985,0.02944,0.0298,35863,DBR-USD
1762419600,0.0292,0.02983,0.02983,0.02925,19161,DBR-USD
1762423200,0.02895,0.02952,0.0292,0.02927,38202,DBR-USD
1762426800,0.02912,0.02955,0.02922,0.02955,64197,DBR-USD
1762430400,0.02924,0.02965,0.02957,0.02942,56671,DBR-USD
1762434000,0.02896,0.02941,0.02941,0.02901,116381,DBR-USD
1762437600,0.02857,0.02899,0.02899,0.02883,233417,DBR-USD
1762441200,0.02849,0.02891,0.02886,0.02849,284535,DBR-USD
1762444800,0.02835,0.0286,0.02852,0.02844,123840,DBR-USD
1762448400,0.02833,0.0288,0.02842,0.02874,199216,DBR-USD
1762452000,0.02856,0.02888,0.02872,0.02877,133663,DBR-USD
1762455600,0.0286,0.02887,0.02877,0.02878,33742,DBR-USD
1762459200,0.02856,0.02903,0.02879,0.02859,109077,DBR-USD
1762462800,0.02863,0.02878,0.0287,0.02873,48419,DBR-USD
1762466400,0.02862,0.02908,0.02872,0.02908,88712,DBR-USD
1762470000,0.02909,0.03064,0.02909,0.02993,1558854,DBR-USD
1762473600,0.02929,0.02999,0.02989,0.02936,422150,DBR-USD
1762477200,0.02912,0.02945,0.02935,0.02931,231951,DBR-USD
1762480800,0.02898,0.02933,0.02931,0.02933,227866,DBR-USD
1762484400,0.02936,0.02947,0.02936,0.02942,51884,DBR-USD
1762488000,0.029,0.02942,0.02942,0.02912,35507,DBR-USD
1762491600,0.02909,0.02963,0.02909,0.0294,131840,DBR-USD
1762495200,0.02912,0.02957,0.02934,0.02942,102697,DBR-USD
1762498800,0.02947,0.03008,0.02961,0.02992,555579,DBR-USD
1762502400,0.02958,0.03018,0.02992,0.02969,640473,DBR-USD
1762506000,0.02913,0.02999,0.02975,0.02941,201592,DBR-USD
1762509600,0.02912,0.02951,0.0294,0.02939,69232,DBR-USD
1762513200,0.02898,0.02932,0.02932,0.02912,24767,DBR-USD
1762516800,0.02888,0.02949,0.02909,0.02949,258622,DBR-USD
1762520400,0.02921,0.02972,0.02946,0.02934,174276,DBR-USD
1762524000,0.02909,0.03016,0.02931,0.03016,186684,DBR-USD
1762527600,0.02701,0.03263,0.03024,0.02832,5217659,DBR-USD
1762531200,0.0254,0.0285,0.02834,0.02671,2309966,DBR-USD
1762534800,0.02661,0.02729,0.02667,0.02728,121533,DBR-USD
1762538400,0.02714,0.02765,0.02728,0.02735,282962,DBR-USD
1762542000,0.02728,0.02752,0.02732,0.0274,86586,DBR-USD
1762545600,0.02732,0.02751,0.02733,0.02747,92236,DBR-USD
1762549200,0.0274,0.02771,0.02747,0.02771,307263,DBR-USD
1762552800,0.02709,0.02917,0.02764,0.02762,8131210,DBR-USD
1762556400,0.02747,0.02777,0.02754,0.02757,88218,DBR-USD
1762560000,0.02643,0.02768,0.02759,0.0268,934605,DBR-USD
1762563600,0.02674,0.02698,0.0268,0.02691,143942,DBR-USD
1762567200,0.02683,0.02714,0.02692,0.02705,127686,DBR-USD
1762570800,0.02692,0.02718,0.02704,0.02696,72987,DBR-USD
1762574400,0.02647,0.02696,0.02691,0.02673,465562,DBR-USD
1762578000,0.02626,0.02672,0.02672,0.0264,353464,DBR-USD
1762581600,0.02635,0.02673,0.02644,0.02668,91132,DBR-USD
1762585200,0.02663,0.02692,0.02668,0.02686,40071,DBR-USD
1762588800,0.02676,0.02712,0.02699,0.02697,413472,DBR-USD
1762592400,0.02671,0.02704,0.02686,0.02671,45695,DBR-USD
1762596000,0.02676,0.02696,0.02676,0.0269,93034,DBR-USD
1762599600,0.02676,0.02699,0.02693,0.02676,213754,DBR-USD
1762603200,0.02678,0.02691,0.02678,0.02689,244000,DBR-USD
1762606800,0.02651,0.02694,0.0269,0.02651,238802,DBR-USD
1762610400,0.02601,0.02673,0.02652,0.02673,946635,DBR-USD
1762614000,0.02469,0.02863,0.02671,0.02514,6029479,DBR-USD
1762617600,0.0239,0.02513,0.02512,0.02421,1070070,DBR-USD
1762621200,0.024,0.02466,0.02415,0.02464,269910,DBR-USD
1762624800,0.02469,0.02517,0.0247,0.02497,534746,DBR-USD
1762628400,0.0241,0.02498,0.02498,0.02451,554795,DBR-USD
1762632000,0.0245,0.02489,0.02452,0.02484,211053,DBR-USD
1762635600,0.02481,0.02514,0.02484,0.02484,25069,DBR-USD
1762639200,0.02481,0.02497,0.02483,0.02496,6816,DBR-USD
1762642800,0.02482,0.02511,0.02498,0.02482,265224,DBR-USD
1762646400,0.02466,0.02503,0.02483,0.02502,423611,DBR-USD
1762650000,0.02477,0.02509,0.02501,0.02487,87897,DBR-USD
1762653600,0.02473,0.02498,0.02497,0.02478,199914,DBR-USD
1762657200,0.02425,0.0248,0.0248,0.02445,623139,DBR-USD
1762660800,0.02446,0.02532,0.02446,0.02467,1551950,DBR-USD
1762664400,0.02457,0.02509,0.02468,0.02509,610792,DBR-USD
1762668000,0.02506,0.02521,0.02509,0.02515,178943,DBR-USD
1762671600,0.0251,0.02567,0.0251,0.02535,352746,DBR-USD
1762675200,0.02491,0.02526,0.02526,0.02503,212963,DBR-USD
1762678800,0.02503,0.02554,0.02506,0.02545,246187,DBR-USD
1762682400,0.02496,0.02541,0.02541,0.02539,197006,DBR-USD
1762686000,0.02538,0.02584,0.02539,0.02556,1125959,DBR-USD
1762689600,0.02499,0.02559,0.02557,0.02524,358845,DBR-USD
1762693200,0.02516,0.02546,0.02523,0.0254,19934,DBR-USD
1762696800,0.02533,0.02601,0.02533,0.0257,1501100,DBR-USD
1762700400,0.02548,0.02593,0.02575,0.02593,568725,DBR-USD
1762704000,0.02553,0.02603,0.02592,0.02556,833255,DBR-USD
1762707600,0.0253,0.02562,0.02555,0.02554,157843,DBR-USD
1762711200,0.02535,0.02578,0.02554,0.02574,588817,DBR-USD
1762714800,0.02552,0.02591,0.02574,0.02576,1080204,DBR-USD
1762718400,0.02535,0.02591,0.02578,0.02535,633161,DBR-USD
1762722000,0.02492,0.02544,0.02538,0.02494,740015,DBR-USD
1762725600,0.0243,0.02497,0.02492,0.02474,1117053,DBR-USD
1762729200,0.0246,0.02501,0.02474,0.02476,338036,DBR-USD
1762732800,0.02466,0.02511,0.02475,0.02494,433863,DBR-USD
1762736400,0.02475,0.02494,0.02494,0.02476,171765,DBR-USD
1762740000,0.02476,0.02533,0.02476,0.02502,1024634,DBR-USD
1762743600,0.02477,0.02501,0.02501,0.0249,135029,DBR-USD
1762747200,0.02485,0.02495,0.0249,0.02491,30284,DBR-USD
1762750800,0.02489,0.02516,0.02499,0.02494,1027047,DBR-USD
1762754400,0.02468,0.025,0.02493,0.02468,278003,DBR-USD
1762758000,0.02476,0.02532,0.02476,0.02487,642328,DBR-USD
1762761600,0.02457,0.02493,0.02484,0.02457,154220,DBR-USD
1762765200,0.02442,0.02489,0.02466,0.02482,126302,DBR-USD
1762768800,0.02445,0.02487,0.02482,0.02468,158019,DBR-USD
1762772400,0.02464,0.02555,0.02464,0.02555,284818,DBR-USD
1762776000,0.025,0.02554,0.02554,0.025,332823,DBR-USD
1762779600,0.02497,0.02513,0.02499,0.02513,38541,DBR-USD
1762783200,0.02473,0.02518,0.02509,0.02504,233643,DBR-USD
1762786800,0.02456,0.02504,0.02504,0.02469,244168,DBR-USD
1762790400,0.02447,0.02468,0.02464,0.02458,327045,DBR-USD
1762794000,0.02459,0.02486,0.02459,0.02472,81517,DBR-USD
1762797600,0.02455,0.02478,0.02473,0.02461,59465,DBR-USD
1762801200,0.02462,0.02481,0.02462,0.02481,162033,DBR-USD
1762804800,0.02474,0.02505,0.02488,0.02474,194903,DBR-USD
1762808400,0.0242,0.02471,0.02471,0.02427,497368,DBR-USD
1762812000,0.02424,0.02435,0.02429,0.02434,108837,DBR-USD
1762815600,0.0239,0.02432,0.02432,0.0239,172044,DBR-USD
1762819200,0.0236,0.02406,0.02397,0.02406,383233,DBR-USD
1762822800,0.02403,0.02447,0.02414,0.02404,108142,DBR-USD
1762826400,0.02402,0.02418,0.02409,0.02418,22157,DBR-USD
1762830000,0.0239,0.02421,0.02415,0.02393,241770,DBR-USD
1762833600,0.02376,0.02396,0.02392,0.02381,80295,DBR-USD
1762837200,0.02358,0.02394,0.02375,0.02358,146430,DBR-USD
1762840800,0.02353,0.02371,0.02366,0.02368,174016,DBR-USD
1762844400,0.02346,0.02366,0.02366,0.02361,193294,DBR-USD
1762848000,0.02365,0.02399,0.02365,0.02386,147817,DBR-USD
1762851600,0.02374,0.02382,0.02382,0.02381,19603,DBR-USD
1762855200,0.02384,0.02412,0.0239,0.02412,10824,DBR-USD
1762855200,0.02384,0.02412,0.0239,0.02412,10824,DBR-USD
1762858800,0.0239,0.02429,0.02419,0.02394,55058,DBR-USD
1762862400,0.02365,0.02397,0.02397,0.02369,4687,DBR-USD
1762866000,0.02365,0.02382,0.02369,0.02378,15847,DBR-USD
1762869600,0.02364,0.02393,0.02377,0.02388,62774,DBR-USD
1762873200,0.02353,0.02386,0.02385,0.02353,278271,DBR-USD
1762876800,0.02354,0.02372,0.02363,0.02372,72189,DBR-USD
1762880400,0.02364,0.02375,0.02372,0.0237,101767,DBR-USD
1762884000,0.02362,0.02375,0.02367,0.02372,19037,DBR-USD
1762887600,0.02348,0.02397,0.02365,0.0238,26814,DBR-USD
1762891200,0.02338,0.02379,0.02376,0.02357,36058,DBR-USD
1762894800,0.02349,0.02361,0.02352,0.0235,18018,DBR-USD
1762898400,0.02343,0.02389,0.02343,0.02371,91621,DBR-USD
1762902000,0.02342,0.02381,0.02377,0.02342,50731,DBR-USD
1762905600,0.02337,0.02366,0.02349,0.02337,67187,DBR-USD
1762909200,0.02322,0.02363,0.02332,0.0236,182434,DBR-USD
1762912800,0.02353,0.02391,0.02373,0.02389,381163,DBR-USD
1762916400,0.02388,0.02397,0.02388,0.02391,42734,DBR-USD
1762920000,0.0239,0.02396,0.02392,0.02391,53983,DBR-USD
1762923600,0.02382,0.02436,0.02394,0.02417,286703,DBR-USD
1762927200,0.02412,0.02439,0.02419,0.02415,57214,DBR-USD
1762930800,0.02417,0.02451,0.02417,0.02417,74429,DBR-USD
1762934400,0.02427,0.02434,0.02427,0.02434,32163,DBR-USD
1762938000,0.02428,0.02446,0.02434,0.02437,60281,DBR-USD
1762941600,0.02437,0.0245,0.02439,0.02443,50193,DBR-USD
1762945200,0.02421,0.0245,0.02445,0.02432,122616,DBR-USD
1762948800,0.0242,0.02439,0.02432,0.02423,37193,DBR-USD
1762952400,0.02412,0.02435,0.02422,0.0243,3777,DBR-USD
1762956000,0.02401,0.0243,0.02429,0.02429,18733,DBR-USD
1762959600,0.02368,0.02426,0.02426,0.02368,134518,DBR-USD
1762963200,0.02341,0.0237,0.0237,0.02341,44065,DBR-USD
1762966800,0.02327,0.0234,0.0234,0.02327,2372,DBR-USD
1762970400,0.02319,0.02335,0.02332,0.02319,9078,DBR-USD
1762974000,0.02249,0.02321,0.02321,0.02292,596384,DBR-USD
1762977600,0.02296,0.02323,0.02296,0.02311,27750,DBR-USD
1762981200,0.02277,0.0233,0.0231,0.02302,176008,DBR-USD
1762984800,0.0225,0.02292,0.02292,0.02266,94690,DBR-USD
1762988400,0.02237,0.02265,0.02265,0.02255,235604,DBR-USD
1762992000,0.02256,0.02286,0.02256,0.02285,48417,DBR-USD
1762995600,0.02291,0.02304,0.02298,0.02294,23257,DBR-USD
1762999200,0.02292,0.02451,0.02293,0.02409,4098280,DBR-USD
1763002800,0.02387,0.02516,0.02404,0.02453,3791686,DBR-USD
1763006400,0.02432,0.02554,0.02453,0.02468,2328205,DBR-USD
1763010000,0.02451,0.02513,0.02465,0.02501,292569,DBR-USD
1763013600,0.02471,0.02512,0.02499,0.02481,356117,DBR-USD
1763017200,0.02463,0.02493,0.02481,0.02465,179032,DBR-USD
1763020800,0.02447,0.02549,0.02465,0.02509,297884,DBR-USD
1763024400,0.0245,0.02491,0.02491,0.02456,98594,DBR-USD
1763028000,0.02444,0.02478,0.02456,0.02472,381039,DBR-USD
1763031600,0.02466,0.02502,0.02473,0.0249,909163,DBR-USD
1763035200,0.02474,0.02634,0.02482,0.02559,1761583,DBR-USD
1763038800,0.0247,0.02562,0.02559,0.02476,1300774,DBR-USD
1763042400,0.02436,0.0251,0.02474,0.02498,485468,DBR-USD
1763046000,0.02457,0.02512,0.02494,0.02476,972944,DBR-USD
1763049600,0.02473,0.02511,0.02479,0.0249,770218,DBR-USD
1763053200,0.02494,0.02546,0.02494,0.02545,688725,DBR-USD
1763056800,0.02504,0.02588,0.02537,0.0255,1890172,DBR-USD
1763060400,0.02506,0.0259,0.02552,0.02589,2220708,DBR-USD
1763064000,0.02517,0.02589,0.02582,0.02535,1737833,DBR-USD
1763067600,0.02474,0.02572,0.02531,0.0251,1721748,DBR-USD
1763071200,0.0243,0.02509,0.02507,0.02492,1346112,DBR-USD
1763074800,0.02466,0.02517,0.02483,0.02466,430934,DBR-USD
1763078400,0.02455,0.02486,0.0247,0.02475,285321,DBR-USD
1763082000,0.02465,0.02515,0.02476,0.02482,689597,DBR-USD
1763085600,0.02458,0.02498,0.0248,0.02462,310852,DBR-USD
1763089200,0.0246,0.02481,0.0246,0.0248,130090,DBR-USD
