time,low,high,open,close,volume,symbol
1761955200,0.51405,0.52801,0.51769,0.52666,94765.06,DIA-USD
1761958800,0.52462,0.53653,0.52649,0.53375,30964.88,DIA-USD
1761962400,0.52496,0.5797,0.53399,0.56253,866826.44,DIA-USD
1761966000,0.54267,0.57407,0.5627,0.561,398987.35,DIA-USD
1761969600,0.5468,0.56373,0.56134,0.54997,186121.08,DIA-USD
1761973200,0.53776,0.5518,0.5502,0.53801,181547.93,DIA-USD
1761976800,0.53573,0.5422,0.53801,0.5416,25456.67,DIA-USD
1761980400,0.53838,0.54259,0.54238,0.53962,33487.43,DIA-USD
1761984000,0.5395,0.54506,0.5396,0.54084,190356.36,DIA-USD
1761987600,0.52874,0.54016,0.5395,0.53572,85182.01,DIA-USD
1761991200,0.53294,0.54187,0.5355,0.5358,55770.97,DIA-USD
1761994800,0.53042,0.53927,0.53516,0.53788,39358.6,DIA-USD
1761998400,0.53691,0.55078,0.53788,0.54687,57442.11,DIA-USD
1762002000,0.53737,0.54774,0.54706,0.54128,76346.38,DIA-USD
1762005600,0.52331,0.543,0.54077,0.53049,128807.95,DIA-USD
1762009200,0.51646,0.53516,0.53057,0.52054,85362.98,DIA-USD
1762012800,0.517,0.53514,0.5202,0.53303,197482.18,DIA-USD
1762016400,0.5138,0.53311,0.53266,0.51442,86095.54,DIA-USD
1762020000,0.51166,0.51816,0.51447,0.51477,51059.01,DIA-USD
1762023600,0.51357,0.51866,0.51582,0.51853,52027.47,DIA-USD
1762027200,0.51571,0.51909,0.51767,0.51595,10562.51,DIA-USD
1762030800,0.51212,0.52053,0.51627,0.51212,19749.16,DIA-USD
1762034400,0.51191,0.51547,0.51191,0.51443,15750.12,DIA-USD
1762038000,0.51388,0.51779,0.51392,0.51563,10933.42,DIA-USD
1762041600,0.50978,0.51643,0.51597,0.51213,70651.97,DIA-USD
1762045200,0.51135,0.51664,0.51244,0.51135,15262.73,DIA-USD
1762048800,0.51092,0.51429,0.5113,0.51207,12792.05,DIA-USD
1762052400,0.50867,0.51351,0.51144,0.51141,20476.9,DIA-USD
1762056000,0.50844,0.5143,0.51252,0.51197,19710.59,DIA-USD
1762059600,0.5036,0.51004,0.51004,0.50449,34545.6,DIA-USD
1762063200,0.50507,0.51212,0.50507,0.51212,26758.74,DIA-USD
1762066800,0.50865,0.51377,0.51377,0.51185,20400.93,DIA-USD
1762070400,0.5,0.5128,0.51225,0.50242,81393.67,DIA-USD
1762074000,0.4965,0.50396,0.50217,0.49761,123267.49,DIA-USD
1762077600,0.495,0.50134,0.49783,0.49942,50032.08,DIA-USD
1762081200,0.49858,0.50323,0.5002,0.50308,57386.1,DIA-USD
1762084800,0.49944,0.50546,0.50257,0.49975,37360.43,DIA-USD
1762088400,0.49724,0.50502,0.50145,0.4988,60909.64,DIA-USD
1762092000,0.4888,0.49908,0.4982,0.49386,109412.8,DIA-USD
1762095600,0.48452,0.49683,0.49391,0.48931,214644.47,DIA-USD
1762099200,0.48694,0.49463,0.48933,0.49404,38550.5,DIA-USD
1762102800,0.49,0.49476,0.49476,0.49394,97820.99,DIA-USD
1762106400,0.49212,0.49536,0.49413,0.49212,29199.15,DIA-USD
1762110000,0.49238,0.49729,0.49238,0.49634,42019.55,DIA-USD
1762113600,0.49428,0.49783,0.49557,0.49428,41848.02,DIA-USD
1762117200,0.4939,0.49844,0.49445,0.49566,50403.72,DIA-USD
1762120800,0.49536,0.49919,0.49602,0.49833,18385.61,DIA-USD
1762124400,0.49843,0.50216,0.49965,0.49953,27564.2,DIA-USD
1762128000,0.49394,0.50093,0.50092,0.49394,5021.1,DIA-USD
1762131600,0.48909,0.49527,0.49387,0.48909,15407.41,DIA-USD
1762135200,0.486,0.49256,0.48949,0.49023,14162.14,DIA-USD
1762138800,0.47256,0.49258,0.49102,0.47428,149527.86,DIA-USD
1762142400,0.47074,0.4782,0.47465,0.47732,48448.31,DIA-USD
1762146000,0.47288,0.47991,0.47732,0.47288,27635.48,DIA-USD
1762149600,0.46673,0.47487,0.47457,0.47252,32148.14,DIA-USD
1762153200,0.47283,0.47723,0.47317,0.47616,18111.83,DIA-USD
