time,low,high,open,close,volume,symbol
1774958400,0.6001,0.6503,0.6144,0.647,154727.43,EDGEX-USD
1774962000,0.6313,0.7473,0.6457,0.7024,685621.79,EDGEX-USD
1774965600,0.6465,0.7032,0.7006,0.6583,347924.25,EDGEX-USD
1774969200,0.6415,0.6751,0.6592,0.6419,120878.63,EDGEX-USD
1774972800,0.6334,0.6647,0.6424,0.6587,78207.57,EDGEX-USD
1774976400,0.6541,0.663,0.6594,0.6582,99542.57,EDGEX-USD
1774980000,0.6584,0.6816,0.6584,0.6784,101367.17,EDGEX-USD
1774983600,0.6676,0.685,0.6788,0.6676,39545.31,EDGEX-USD
1774987200,0.665,0.6788,0.6672,0.6694,22360.35,EDGEX-USD
1774990800,0.6509,0.6672,0.6672,0.652,76027.25,EDGEX-USD
1774994400,0.6464,0.6618,0.6532,0.6614,12723.28,EDGEX-USD
1774998000,0.6568,0.6654,0.6614,0.6584,18750.2,EDGEX-USD
1775001600,0.6521,0.6594,0.6582,0.6587,4690.38,EDGEX-USD
1775005200,0.6453,0.6586,0.6586,0.648,25649.18,EDGEX-USD
1775008800,0.6245,0.6484,0.6478,0.6275,54188.38,EDGEX-USD
1775012400,0.6191,0.6373,0.6278,0.6191,10282.67,EDGEX-USD
1775016000,0.6061,0.6194,0.6184,0.6061,14354.23,EDGEX-USD
1775019600,0.6025,0.6104,0.6061,0.6102,31749.19,EDGEX-USD
1775023200,0.6051,0.6228,0.6104,0.6228,10731.45,EDGEX-USD
1775026800,0.6149,0.6625,0.6218,0.6599,36615.89,EDGEX-USD
1775030400,0.6529,0.7015,0.6589,0.6675,154641.3,EDGEX-USD
1775034000,0.6382,0.6712,0.6675,0.6577,14285.77,EDGEX-USD
1775037600,0.6425,0.6725,0.6569,0.649,45025.32,EDGEX-USD
1775041200,0.6339,0.6541,0.6473,0.6496,7294.23,EDGEX-USD
1775044800,0.6225,0.6496,0.6496,0.6241,10086.41,EDGEX-USD
1775048400,0.6161,0.6337,0.6241,0.6263,80295.84,EDGEX-USD
1775052000,0.6265,0.6418,0.627,0.6418,11609.61,EDGEX-USD
1775055600,0.6439,0.7032,0.6439,0.6741,149354.51,EDGEX-USD
1775059200,0.6422,0.7017,0.6744,0.6655,233258.63,EDGEX-USD
1775062800,0.6575,0.6793,0.6648,0.6707,37492.84,EDGEX-USD
1775066400,0.6662,0.6921,0.6707,0.6899,69399.67,EDGEX-USD
1775070000,0.6795,0.693,0.6887,0.6825,15302.86,EDGEX-USD
1775073600,0.677,0.6878,0.6843,0.6855,11305.47,EDGEX-USD
1775077200,0.6827,0.6999,0.6862,0.6916,17220.18,EDGEX-USD
1775080800,0.6633,0.699,0.6924,0.6693,31199.23,EDGEX-USD
1775084400,0.658,0.6972,0.6688,0.6954,89616.99,EDGEX-USD
1775088000,0.6792,0.7003,0.6889,0.691,64008.59,EDGEX-USD
1775091600,0.6711,0.6935,0.6911,0.6855,74781.76,EDGEX-USD
1775095200,0.6814,0.697,0.6867,0.697,7594.5,EDGEX-USD
1775098800,0.6995,0.7612,0.6995,0.7456,474952.03,EDGEX-USD
1775102400,0.7072,0.751,0.7455,0.7135,102324.02,EDGEX-USD
1775106000,0.7001,0.7436,0.7135,0.7091,52037.94,EDGEX-USD
1775109600,0.7085,0.7352,0.709,0.7248,62273.87,EDGEX-USD
1775113200,0.6771,0.7297,0.7247,0.6845,36284.74,EDGEX-USD
