time,low,high,open,close,volume,symbol
1761955200,0.2659,0.2674,0.2664,0.2674,6984.1,EOS-USD
1761958800,0.2656,0.2676,0.2674,0.2656,3398.0,EOS-USD
1761962400,0.264,0.2675,0.2658,0.2675,6064.6,EOS-USD
1761966000,0.2673,0.2681,0.2674,0.2677,7411.6,EOS-USD
1761969600,0.2665,0.2679,0.2677,0.267,14155.7,EOS-USD
1761973200,0.2664,0.2676,0.267,0.2666,4735.8,EOS-USD
1761976800,0.2666,0.2681,0.2666,0.2677,7079.7,EOS-USD
1761980400,0.2681,0.2695,0.2681,0.2695,617.0,EOS-USD
1761984000,0.2691,0.2701,0.2699,0.2701,25124.8,EOS-USD
1761987600,0.2618,0.2706,0.2701,0.2688,54749.6,EOS-USD
1761991200,0.2692,0.2712,0.2692,0.2712,1870.3,EOS-USD
1761994800,0.2698,0.2708,0.2705,0.2708,1611.6,EOS-USD
1761998400,0.2705,0.2715,0.2705,0.271,2483.0,EOS-USD
1762002000,0.2685,0.2714,0.2713,0.2701,2590.0,EOS-USD
1762005600,0.2675,0.2699,0.2699,0.2682,3578.1,EOS-USD
1762009200,0.2681,0.2706,0.2681,0.2704,6379.5,EOS-USD
1762012800,0.2702,0.272,0.2713,0.2708,3546.2,EOS-USD
1762016400,0.2707,0.2719,0.2708,0.2709,3894.9,EOS-USD
1762020000,0.2706,0.2733,0.2706,0.2717,50489.7,EOS-USD
1762023600,0.271,0.2732,0.2712,0.2732,13119.2,EOS-USD
1762027200,0.2725,0.2739,0.2732,0.2725,5487.3,EOS-USD
1762030800,0.2721,0.2736,0.2729,0.2724,3803.2,EOS-USD
1762034400,0.2706,0.2719,0.2715,0.2714,8290.9,EOS-USD
1762038000,0.2713,0.2719,0.2716,0.2713,910.6,EOS-USD
1762041600,0.2702,0.2718,0.2709,0.2702,14962.0,EOS-USD
1762045200,0.27,0.2714,0.2707,0.2708,8107.0,EOS-USD
1762048800,0.2705,0.2722,0.2722,0.2705,532.7,EOS-USD
1762052400,0.2711,0.272,0.2713,0.272,1212.0,EOS-USD
1762056000,0.2728,0.2755,0.273,0.2755,30514.1,EOS-USD
1762066800,0.2752,0.2753,0.2753,0.2752,876.6,EOS-USD
1762070400,0.2739,0.275,0.274,0.275,1352.3,EOS-USD
1762074000,0.2728,0.2752,0.2752,0.2742,942.6,EOS-USD
1762077600,0.2709,0.2737,0.2729,0.272,15571.7,EOS-USD
1762081200,0.2734,0.2751,0.2735,0.2745,5523.9,EOS-USD
1762084800,0.2731,0.2745,0.2741,0.2731,6380.0,EOS-USD
1762088400,0.2697,0.2746,0.2731,0.2697,24578.0,EOS-USD
1762092000,0.2664,0.269,0.2689,0.2681,10022.8,EOS-USD
1762095600,0.2655,0.2684,0.2671,0.2655,46120.7,EOS-USD
1762099200,0.2633,0.2682,0.2661,0.2682,30449.2,EOS-USD
1762102800,0.2669,0.2686,0.2683,0.2672,5107.5,EOS-USD
1762106400,0.2664,0.2686,0.2685,0.2664,8806.1,EOS-USD
1762113600,0.2665,0.2679,0.2673,0.2669,9881.4,EOS-USD
1762117200,0.2668,0.2682,0.267,0.267,4723.5,EOS-USD
1762120800,0.2672,0.2703,0.2673,0.2703,13890.7,EOS-USD
1762124400,0.2702,0.2729,0.2708,0.272,50918.7,EOS-USD
1762128000,0.267,0.2734,0.2719,0.267,19315.8,EOS-USD
1762131600,0.266,0.2689,0.2672,0.266,27181.7,EOS-USD
1762135200,0.2638,0.2672,0.2672,0.2649,3019.8,EOS-USD
1762138800,0.2576,0.2652,0.2649,0.2577,106430.3,EOS-USD
1762142400,0.2566,0.2604,0.2576,0.2598,77274.7,EOS-USD
1762146000,0.2574,0.2607,0.2607,0.2574,4293.9,EOS-USD
1762149600,0.2543,0.2584,0.2577,0.2564,23037.2,EOS-USD
1762153200,0.2578,0.2628,0.2578,0.2589,19714.8,EOS-USD
1762156800,0.258,0.26,0.2596,0.26,8924.0,EOS-USD
1762160400,0.2578,0.2599,0.2599,0.2578,443.0,EOS-USD
1762164000,0.2556,0.2581,0.2574,0.2581,1596.6,EOS-USD
1762167600,0.2577,0.2588,0.2588,0.2586,12359.3,EOS-USD
1762171200,0.2566,0.2592,0.2592,0.258,7999.5,EOS-USD
1762174800,0.256,0.259,0.258,0.2588,1597.2,EOS-USD
1762178400,0.2568,0.2594,0.2587,0.259,16581.1,EOS-USD
1762182000,0.245,0.2576,0.2574,0.2451,164048.5,EOS-USD
1762185600,0.24,0.2519,0.2461,0.249,163883.2,EOS-USD
1762189200,0.2493,0.2525,0.2495,0.2525,27209.3,EOS-USD
1762192800,0.2488,0.2525,0.2518,0.2488,23184.0,EOS-USD
1762196400,0.2481,0.2547,0.2495,0.25,12770.1,EOS-USD
1762200000,0.2476,0.2546,0.2505,0.2478,27950.2,EOS-USD
1762203600,0.249,0.253,0.2493,0.253,46070.9,EOS-USD
1762207200,0.2475,0.2547,0.2526,0.2475,25588.0,EOS-USD
1762210800,0.2475,0.2519,0.2476,0.2508,22663.7,EOS-USD
1762214400,0.2501,0.2535,0.2507,0.2525,6865.1,EOS-USD
1762218000,0.2496,0.2526,0.2512,0.2509,53696.0,EOS-USD
1762221600,0.2497,0.2506,0.2503,0.2497,5198.3,EOS-USD
1762225200,0.2506,0.2518,0.2506,0.2518,3188.0,EOS-USD
1762228800,0.2506,0.2527,0.2523,0.2518,14136.7,EOS-USD
1762232400,0.241,0.2528,0.2518,0.2417,89983.8,EOS-USD
1762236000,0.2414,0.2489,0.2419,0.2435,5807.5,EOS-USD
1762239600,0.24,0.2423,0.2421,0.2415,78534.0,EOS-USD
1762243200,0.2423,0.2471,0.2423,0.245,26489.3,EOS-USD
1762246800,0.2443,0.253,0.2451,0.2529,26486.9,EOS-USD
1762250400,0.2504,0.2584,0.252,0.2561,84984.0,EOS-USD
1762254000,0.2521,0.2613,0.2562,0.2529,96868.2,EOS-USD
1762257600,0.2514,0.254,0.2537,0.252,38617.2,EOS-USD
1762261200,0.2503,0.2529,0.2529,0.252,11013.5,EOS-USD
1762264800,0.253,0.265,0.253,0.2619,123030.1,EOS-USD
1762268400,0.2586,0.2631,0.2619,0.2591,114387.6,EOS-USD
1762272000,0.2543,0.2611,0.2603,0.2544,39048.1,EOS-USD
1762275600,0.246,0.2536,0.2536,0.2481,213128.9,EOS-USD
1762279200,0.24,0.248,0.2468,0.2464,80260.2,EOS-USD
1762282800,0.2414,0.2493,0.2471,0.2414,8217.2,EOS-USD
1762286400,0.2326,0.2447,0.2439,0.2429,174039.3,EOS-USD
1762290000,0.2304,0.2432,0.242,0.2411,68509.7,EOS-USD
1762293600,0.2408,0.2481,0.2415,0.2456,46022.7,EOS-USD
1762297200,0.244,0.2466,0.2462,0.244,21197.9,EOS-USD
1762300800,0.2403,0.2437,0.2433,0.2411,23145.1,EOS-USD
1762304400,0.2313,0.2459,0.2402,0.2459,66084.3,EOS-USD
