time,low,high,open,close,volume,symbol
1761955200,0.2706,0.2712,0.2706,0.2712,3996.56,ERA-USD
1761958800,0.269,0.2714,0.2714,0.269,4247.19,ERA-USD
1761962400,0.2682,0.2741,0.2685,0.2741,12782.36,ERA-USD
1761966000,0.2749,0.2765,0.2749,0.2765,437.44,ERA-USD
1761969600,0.2758,0.2769,0.2769,0.2759,3400.03,ERA-USD
1761976800,0.2761,0.2761,0.2761,0.2761,1780.0,ERA-USD
1761984000,0.2792,0.2795,0.2792,0.2795,8661.66,ERA-USD
1761991200,0.2754,0.278,0.2776,0.2754,9822.92,ERA-USD
1761994800,0.2733,0.2762,0.2762,0.2733,2464.45,ERA-USD
1762002000,0.2728,0.2739,0.2739,0.2728,1746.74,ERA-USD
1762005600,0.2724,0.275,0.2725,0.275,4322.9,ERA-USD
1762009200,0.275,0.2752,0.2752,0.2752,1342.2,ERA-USD
1762012800,0.2772,0.2794,0.2772,0.278,44575.04,ERA-USD
1762016400,0.2765,0.2768,0.2765,0.2768,664.22,ERA-USD
1762023600,0.2764,0.278,0.2764,0.278,71.52,ERA-USD
1762030800,0.2744,0.2772,0.2772,0.2767,1964.37,ERA-USD
1762034400,0.277,0.2772,0.2772,0.277,255.48,ERA-USD
1762038000,0.2782,0.2787,0.2783,0.2787,2294.92,ERA-USD
1762041600,0.2763,0.2773,0.2773,0.2763,1783.6,ERA-USD
1762048800,0.2766,0.2766,0.2766,0.2766,915.05,ERA-USD
1762052400,0.2745,0.2756,0.2747,0.2756,1080.71,ERA-USD
1762063200,0.2754,0.2761,0.2754,0.2761,6674.65,ERA-USD
1762070400,0.2739,0.2761,0.2761,0.2739,15337.85,ERA-USD
1762074000,0.2711,0.273,0.273,0.2711,2795.78,ERA-USD
1762077600,0.2706,0.2724,0.2707,0.2724,6320.0,ERA-USD
1762081200,0.2741,0.2755,0.2741,0.2755,3390.0,ERA-USD
1762084800,0.2759,0.2769,0.276,0.2759,6013.24,ERA-USD
1762088400,0.272,0.2751,0.2751,0.272,7378.23,ERA-USD
1762092000,0.2689,0.2694,0.2694,0.2689,2320.0,ERA-USD
1762095600,0.2681,0.2698,0.2698,0.2681,8659.35,ERA-USD
1762099200,0.266,0.269,0.266,0.2689,4391.0,ERA-USD
1762106400,0.2675,0.2688,0.2687,0.2675,14599.41,ERA-USD
1762110000,0.2659,0.2685,0.2675,0.2685,2883.92,ERA-USD
1762113600,0.2678,0.2709,0.2686,0.2709,3680.98,ERA-USD
1762117200,0.2709,0.2721,0.2718,0.2709,1789.07,ERA-USD
1762124400,0.2737,0.276,0.274,0.2739,59249.71,ERA-USD
1762128000,0.2683,0.2739,0.2739,0.2683,3404.42,ERA-USD
1762131600,0.2648,0.266,0.2653,0.2652,2104.33,ERA-USD
1762135200,0.261,0.2652,0.2652,0.2629,4436.72,ERA-USD
1762138800,0.2542,0.2603,0.2592,0.2542,7727.91,ERA-USD
1762142400,0.2546,0.2578,0.2548,0.2578,6088.35,ERA-USD
1762146000,0.254,0.2568,0.2568,0.254,1525.2,ERA-USD
1762149600,0.2526,0.256,0.254,0.2533,14766.43,ERA-USD
1762160400,0.2514,0.2564,0.2557,0.2517,11110.71,ERA-USD
1762178400,0.2551,0.2561,0.2553,0.2561,4584.7,ERA-USD
1762182000,0.2392,0.256,0.256,0.241,18134.27,ERA-USD
1762185600,0.24,0.2425,0.241,0.2425,3448.64,ERA-USD
1762189200,0.2465,0.2473,0.2465,0.2473,803.25,ERA-USD
1762192800,0.2448,0.2448,0.2448,0.2448,1266.1,ERA-USD
1762196400,0.2405,0.2441,0.2441,0.2405,3150.0,ERA-USD
1762200000,0.2355,0.2405,0.2405,0.2381,7666.73,ERA-USD
1762203600,0.2362,0.2398,0.238,0.2394,8384.56,ERA-USD
1762207200,0.2362,0.2394,0.2393,0.2371,13310.89,ERA-USD
1762210800,0.2373,0.2385,0.2373,0.238,1540.0,ERA-USD
1762214400,0.2384,0.243,0.239,0.243,273.07,ERA-USD
1762218000,0.2412,0.2444,0.2426,0.2412,2791.07,ERA-USD
1762221600,0.241,0.2413,0.2413,0.2413,3600.0,ERA-USD
1762225200,0.2428,0.2443,0.2428,0.2442,3655.0,ERA-USD
1762228800,0.2421,0.2448,0.244,0.2421,1531.14,ERA-USD
1762232400,0.2306,0.241,0.241,0.2322,5715.99,ERA-USD
1762236000,0.2331,0.2377,0.2333,0.2331,6133.83,ERA-USD
1762239600,0.2305,0.2345,0.2345,0.2332,7269.33,ERA-USD
1762243200,0.2353,0.2376,0.2355,0.2353,2259.62,ERA-USD
1762246800,0.2357,0.2375,0.2357,0.2375,900.0,ERA-USD
1762250400,0.2382,0.2409,0.2382,0.2409,471.0,ERA-USD
1762254000,0.2371,0.2391,0.2391,0.2371,1901.0,ERA-USD
1762261200,0.2359,0.2366,0.2366,0.2359,4778.16,ERA-USD
1762264800,0.2367,0.2389,0.2367,0.2389,3279.08,ERA-USD
1762268400,0.2376,0.2417,0.2417,0.2376,251.22,ERA-USD
1762272000,0.2302,0.2342,0.2342,0.2302,1608.61,ERA-USD
1762275600,0.2285,0.2351,0.2295,0.2351,2296.21,ERA-USD
1762279200,0.2284,0.2315,0.2284,0.2315,3751.9,ERA-USD
1762282800,0.2253,0.2316,0.2306,0.2253,2026.82,ERA-USD
1762286400,0.2199,0.232,0.2238,0.2274,11712.64,ERA-USD
1762290000,0.222,0.2281,0.222,0.2281,4838.7,ERA-USD
1762293600,0.2279,0.2355,0.2279,0.2336,7193.61,ERA-USD
1762297200,0.2318,0.2342,0.2339,0.2318,3490.72,ERA-USD
1762300800,0.2273,0.2325,0.2325,0.2273,4842.21,ERA-USD
1762304400,0.22,0.2305,0.2248,0.2305,29928.19,ERA-USD
1762308000,0.2302,0.2345,0.2304,0.2345,12084.56,ERA-USD
1762311600,0.2338,0.2352,0.2339,0.2344,13879.91,ERA-USD
1762315200,0.2326,0.2354,0.2346,0.235,11586.78,ERA-USD
1762318800,0.235,0.235,0.235,0.235,2125.0,ERA-USD
1762322400,0.2344,0.236,0.2344,0.2352,7243.76,ERA-USD
1762326000,0.236,0.2371,0.236,0.2363,1141.84,ERA-USD
1762329600,0.2388,0.2556,0.2389,0.2555,73932.41,ERA-USD
1762333200,0.2513,0.2768,0.2579,0.257,225291.63,ERA-USD
1762336800,0.2546,0.339,0.2589,0.294,236971.65,ERA-USD
1762340400,0.2878,0.3875,0.2942,0.3548,419622.92,ERA-USD
1762344000,0.3027,0.3852,0.3557,0.3072,470294.77,ERA-USD
1762347600,0.2725,0.3302,0.3065,0.2843,208334.39,ERA-USD
1762351200,0.2747,0.2908,0.2812,0.2819,216902.52,ERA-USD
1762354800,0.2744,0.2883,0.2823,0.2769,80726.25,ERA-USD
1762358400,0.2698,0.2823,0.2796,0.2716,53880.36,ERA-USD
1762362000,0.2693,0.2765,0.2717,0.2736,43497.52,ERA-USD
1762365600,0.2733,0.2994,0.2737,0.2819,136979.16,ERA-USD
1762369200,0.2741,0.295,0.282,0.2751,168785.17,ERA-USD
1762372800,0.2742,0.2814,0.2757,0.281,46615.95,ERA-USD
1762376400,0.2721,0.2809,0.2809,0.2747,79657.34,ERA-USD
1762380000,0.2739,0.281,0.2755,0.281,77115.93,ERA-USD
1762383600,0.2764,0.2843,0.2803,0.2843,65260.39,ERA-USD
1762387200,0.2654,0.2984,0.283,0.266,220053.01,ERA-USD
1762390800,0.2598,0.269,0.2636,0.2675,79542.1,ERA-USD
1762394400,0.2622,0.2677,0.2671,0.2654,28527.33,ERA-USD
1762398000,0.2649,0.2681,0.2652,0.2681,15956.25,ERA-USD
1762401600,0.2642,0.268,0.268,0.2642,76845.62,ERA-USD
1762405200,0.259,0.2643,0.2643,0.2595,11098.62,ERA-USD
1762408800,0.2596,0.292,0.2596,0.2691,510182.92,ERA-USD
1762412400,0.2667,0.2742,0.2712,0.2667,5279.38,ERA-USD
1762416000,0.2608,0.2673,0.2665,0.2633,28988.81,ERA-USD
1762419600,0.2587,0.2635,0.2635,0.2588,20639.5,ERA-USD
1762423200,0.2566,0.2596,0.2588,0.258,22059.86,ERA-USD
1762426800,0.2546,0.2671,0.2579,0.263,35017.52,ERA-USD
1762430400,0.2563,0.2638,0.2634,0.2585,156252.17,ERA-USD
1762434000,0.2586,0.2644,0.2586,0.2635,30186.49,ERA-USD
1762437600,0.256,0.2623,0.2623,0.2568,14363.51,ERA-USD
1762441200,0.2495,0.259,0.2565,0.2513,51636.38,ERA-USD
1762444800,0.2422,0.2521,0.2512,0.2485,446373.58,ERA-USD
1762448400,0.2472,0.253,0.2486,0.2524,145379.8,ERA-USD
1762452000,0.2493,0.2537,0.2521,0.2502,5658.04,ERA-USD
1762455600,0.2458,0.2501,0.2501,0.2472,7778.85,ERA-USD
1762459200,0.2432,0.2481,0.2473,0.2445,13056.94,ERA-USD
1762462800,0.2438,0.2487,0.2446,0.248,3829.95,ERA-USD
