time,low,high,open,close,volume,symbol
1761955200,15.81,15.99,15.85,15.99,1404.36024317,ETC-USD
1761958800,15.91,16.03,16.0,15.91,1180.7179892,ETC-USD
1761962400,15.86,15.99,15.91,15.99,343.40851385,ETC-USD
1761966000,15.98,16.03,15.99,15.99,1263.07861406,ETC-USD
1761969600,15.92,16.03,15.99,16.0,994.54591721,ETC-USD
1761973200,15.95,16.02,15.99,15.99,646.92047709,ETC-USD
1761976800,15.97,16.04,15.98,16.04,1131.21394338,ETC-USD
1761980400,16.01,16.24,16.03,16.21,11678.23701416,ETC-USD
1761984000,16.17,16.31,16.22,16.28,5221.42074577,ETC-USD
1761987600,16.17,16.3,16.28,16.18,2086.58511928,ETC-USD
1761991200,16.16,16.25,16.17,16.21,1083.22323668,ETC-USD
1761994800,16.16,16.26,16.22,16.25,1908.36095996,ETC-USD
1761998400,16.26,16.35,16.26,16.32,3927.73040376,ETC-USD
1762002000,16.17,16.35,16.33,16.26,5379.89393675,ETC-USD
1762005600,16.15,16.28,16.28,16.21,1445.22723681,ETC-USD
1762009200,16.22,16.35,16.23,16.34,871.19865701,ETC-USD
1762012800,16.31,16.49,16.34,16.42,4646.90087813,ETC-USD
1762016400,16.33,16.44,16.44,16.34,2816.96586136,ETC-USD
1762020000,16.28,16.35,16.35,16.28,966.23389549,ETC-USD
1762023600,16.24,16.31,16.28,16.29,1932.4799166,ETC-USD
1762027200,16.29,16.35,16.31,16.31,1110.46959101,ETC-USD
1762030800,16.2,16.33,16.31,16.21,2281.83923386,ETC-USD
1762034400,16.21,16.29,16.22,16.28,2254.14166356,ETC-USD
1762038000,16.25,16.34,16.26,16.33,233.41952109,ETC-USD
1762041600,16.24,16.31,16.31,16.25,998.16433723,ETC-USD
1762045200,16.21,16.27,16.25,16.22,124.64678364,ETC-USD
1762048800,16.21,16.27,16.22,16.24,156.99070273,ETC-USD
1762052400,16.17,16.25,16.23,16.18,3775.20288522,ETC-USD
1762056000,16.19,16.33,16.2,16.33,381.59535608,ETC-USD
1762059600,16.27,16.37,16.31,16.37,319.02804267,ETC-USD
1762063200,16.35,16.4,16.37,16.38,229.73418354,ETC-USD
1762066800,16.38,16.56,16.38,16.55,12614.69550263,ETC-USD
1762070400,16.5,16.68,16.55,16.53,9787.91942181,ETC-USD
1762074000,16.4,16.57,16.54,16.42,2079.66650782,ETC-USD
1762077600,16.26,16.45,16.43,16.3,918.47539658,ETC-USD
1762081200,16.28,16.4,16.31,16.39,1174.37013818,ETC-USD
1762084800,16.34,16.41,16.41,16.37,2202.62393543,ETC-USD
1762088400,16.21,16.38,16.36,16.25,1973.31990772,ETC-USD
1762092000,16.01,16.26,16.24,16.05,4183.21627198,ETC-USD
1762095600,15.98,16.09,16.04,16.0,2767.15465288,ETC-USD
1762099200,15.88,16.1,15.99,16.09,4299.30931621,ETC-USD
1762102800,16.01,16.08,16.08,16.04,216.64468671,ETC-USD
1762106400,15.98,16.07,16.06,15.98,414.14190738,ETC-USD
1762110000,15.96,16.03,16.01,16.0,961.81971107,ETC-USD
1762113600,15.97,16.07,16.02,16.06,166.3357,ETC-USD
1762117200,16.04,16.1,16.07,16.06,1143.77898408,ETC-USD
1762120800,16.0,16.12,16.05,16.1,2335.73818081,ETC-USD
1762124400,16.11,16.39,16.11,16.37,2546.74697207,ETC-USD
1762128000,16.06,16.37,16.37,16.08,5949.97020927,ETC-USD
1762131600,15.98,16.12,16.08,16.01,2216.50621433,ETC-USD
1762135200,15.83,16.01,15.99,15.93,2249.42417428,ETC-USD
1762138800,15.52,15.95,15.93,15.55,2954.55772537,ETC-USD
1762142400,15.37,15.61,15.53,15.61,3003.09619522,ETC-USD
1762146000,15.38,15.66,15.61,15.38,2028.62183183,ETC-USD
1762149600,15.22,15.44,15.37,15.35,4691.35101697,ETC-USD
1762153200,15.3,15.47,15.34,15.39,1600.74921071,ETC-USD
1762156800,15.25,15.41,15.38,15.34,3076.61157427,ETC-USD
1762160400,15.23,15.48,15.35,15.25,1247.59240939,ETC-USD
1762164000,15.13,15.32,15.25,15.17,3773.20326535,ETC-USD
1762167600,15.18,15.39,15.18,15.34,4202.20837969,ETC-USD
1762171200,15.31,15.43,15.34,15.31,6544.09320398,ETC-USD
1762174800,15.28,15.42,15.3,15.4,2841.64369301,ETC-USD
1762178400,15.33,15.5,15.39,15.42,3612.67032512,ETC-USD
1762182000,14.35,15.44,15.42,14.79,55807.69176941,ETC-USD
1762185600,14.7,15.22,14.79,15.07,18972.69465559,ETC-USD
1762189200,15.07,15.29,15.07,15.18,7099.86572039,ETC-USD
1762192800,14.95,15.21,15.19,14.98,4345.25193287,ETC-USD
1762196400,14.84,15.04,14.98,14.85,8289.43474345,ETC-USD
1762200000,14.67,14.89,14.86,14.74,7054.58242289,ETC-USD
1762203600,14.62,14.9,14.75,14.87,4704.83905639,ETC-USD
1762207200,14.69,14.9,14.87,14.81,4127.60074152,ETC-USD
1762210800,14.72,15.02,14.79,15.02,4548.77112081,ETC-USD
1762214400,14.9,15.21,15.0,15.07,4258.37897605,ETC-USD
1762218000,15.0,15.15,15.06,15.05,5043.74558418,ETC-USD
1762221600,14.95,15.06,15.04,15.03,1441.63102245,ETC-USD
1762225200,14.97,15.23,15.02,15.22,1599.60932881,ETC-USD
1762228800,15.19,15.34,15.22,15.19,5184.40190152,ETC-USD
1762232400,14.58,15.31,15.19,14.58,7761.81052043,ETC-USD
1762236000,14.58,15.14,14.58,14.85,7510.8025637,ETC-USD
1762239600,14.54,14.86,14.85,14.61,3995.82614046,ETC-USD
1762243200,14.51,14.88,14.61,14.79,5364.16982791,ETC-USD
1762246800,14.68,14.89,14.78,14.88,1826.6719795,ETC-USD
1762250400,14.83,14.94,14.9,14.87,1789.50166902,ETC-USD
1762254000,14.88,15.02,14.88,14.96,2039.24471819,ETC-USD
1762257600,14.7,14.95,14.95,14.75,3279.06013202,ETC-USD
1762261200,14.59,14.77,14.76,14.7,6744.34994293,ETC-USD
1762264800,14.56,15.23,14.69,15.15,18455.7043994,ETC-USD
1762268400,14.82,15.17,15.13,14.9,7322.18113749,ETC-USD
1762272000,14.59,14.97,14.91,14.62,16459.86622505,ETC-USD
1762275600,14.26,14.7,14.62,14.52,15822.68766755,ETC-USD
1762279200,13.93,14.51,14.51,14.22,22615.2939509,ETC-USD
1762282800,13.94,14.33,14.24,13.98,4284.57699668,ETC-USD
1762286400,13.56,14.21,13.99,14.06,20428.0259131,ETC-USD
1762290000,13.55,14.11,14.07,14.1,12041.89014576,ETC-USD
1762293600,14.04,14.47,14.06,14.46,5594.65038895,ETC-USD
1762297200,14.29,14.56,14.45,14.29,2951.36466416,ETC-USD
1762300800,14.08,14.39,14.29,14.18,2007.16088541,ETC-USD
1762304400,13.63,14.2,14.19,14.09,10842.13710311,ETC-USD
1762308000,14.11,14.55,14.11,14.53,7286.42211562,ETC-USD
1762311600,14.45,14.64,14.54,14.58,2476.8483041,ETC-USD
1762315200,14.47,14.63,14.59,14.51,10606.74671029,ETC-USD
1762318800,14.45,14.63,14.51,14.46,7140.39675547,ETC-USD
1762322400,14.39,14.5,14.45,14.5,3939.30532575,ETC-USD
1762326000,14.32,14.5,14.5,14.35,2095.06723667,ETC-USD
1762329600,14.14,14.36,14.35,14.22,3485.54878576,ETC-USD
1762333200,14.22,14.37,14.23,14.35,5836.72505623,ETC-USD
1762336800,14.15,14.37,14.35,14.16,3745.13152115,ETC-USD
1762340400,14.16,14.45,14.16,14.42,2165.97878603,ETC-USD
1762344000,14.36,14.52,14.42,14.51,2001.89783519,ETC-USD
1762347600,14.4,14.6,14.52,14.52,9988.61539554,ETC-USD
1762351200,14.35,14.56,14.52,14.46,3263.66235639,ETC-USD
1762354800,14.4,14.61,14.45,14.61,3262.04741429,ETC-USD
1762358400,14.47,14.7,14.62,14.7,27054.33315404,ETC-USD
1762362000,14.59,14.71,14.69,14.64,6477.26706169,ETC-USD
1762365600,14.62,14.75,14.62,14.7,1944.5545586,ETC-USD
1762369200,14.6,14.71,14.7,14.63,1804.76454093,ETC-USD
1762372800,14.61,14.72,14.64,14.62,1846.32392927,ETC-USD
1762376400,14.53,14.61,14.6,14.57,3847.64789798,ETC-USD
1762380000,14.54,14.73,14.57,14.71,2478.6979143,ETC-USD
1762383600,14.63,14.73,14.7,14.65,8030.1887775,ETC-USD
1762387200,14.57,14.65,14.63,14.59,4410.03393322,ETC-USD
1762390800,14.42,14.58,14.58,14.55,2305.35165697,ETC-USD
1762394400,14.47,14.69,14.54,14.64,3039.84267942,ETC-USD
1762398000,14.59,14.68,14.65,14.6,3893.09582888,ETC-USD
1762401600,14.58,14.67,14.61,14.61,3064.70519939,ETC-USD
1762405200,14.35,14.61,14.61,14.37,1477.65826274,ETC-USD
1762408800,14.36,14.48,14.38,14.38,3796.34462154,ETC-USD
1762412400,14.3,14.44,14.4,14.35,2876.3067974,ETC-USD
1762416000,14.3,14.39,14.34,14.37,1349.3734225,ETC-USD
1762419600,14.31,14.41,14.37,14.34,2572.41760523,ETC-USD
1762423200,14.3,14.42,14.34,14.37,819.04421896,ETC-USD
1762426800,14.28,14.36,14.36,14.33,603.00616877,ETC-USD
1762430400,14.17,14.38,14.3,14.21,23233.29902536,ETC-USD
1762434000,14.2,14.48,14.2,14.42,3270.01995678,ETC-USD
1762437600,14.17,14.44,14.43,14.19,5379.48509171,ETC-USD
1762441200,14.08,14.43,14.18,14.14,4566.18115695,ETC-USD
1762444800,13.95,14.22,14.14,14.11,9396.44143021,ETC-USD
1762448400,14.12,14.35,14.12,14.33,2854.10303522,ETC-USD
1762452000,14.2,14.5,14.33,14.46,4236.00759972,ETC-USD
1762455600,14.45,14.64,14.47,14.63,1924.17259995,ETC-USD
1762459200,14.47,14.7,14.64,14.49,3189.76470291,ETC-USD
1762462800,14.43,14.64,14.49,14.58,1367.42113788,ETC-USD
1762466400,14.48,14.6,14.58,14.58,2907.02322076,ETC-USD
1762470000,14.43,14.57,14.57,14.55,4946.78204816,ETC-USD
1762473600,14.57,14.85,14.57,14.79,4322.73337132,ETC-USD
1762477200,14.72,15.49,14.78,15.4,50263.94425823,ETC-USD
1762480800,15.18,15.66,15.4,15.37,34074.49781528,ETC-USD
1762484400,15.12,15.48,15.37,15.14,12357.43156355,ETC-USD
1762488000,14.94,15.22,15.13,15.04,12653.96471986,ETC-USD
1762491600,15.02,15.23,15.04,15.2,5494.66414431,ETC-USD
1762495200,15.11,15.23,15.19,15.19,4241.42812113,ETC-USD
1762498800,15.17,16.04,15.19,15.94,36591.53910711,ETC-USD
1762502400,15.74,15.98,15.95,15.88,16319.46752209,ETC-USD
1762506000,15.43,16.25,15.87,16.23,37013.199932,ETC-USD
1762509600,15.96,16.49,16.23,16.06,32537.17379329,ETC-USD
1762513200,15.82,16.27,16.07,16.19,31086.05427894,ETC-USD
1762516800,15.87,16.44,16.19,16.05,33940.37650889,ETC-USD
1762520400,15.81,16.41,16.06,16.05,69867.33306346,ETC-USD
1762524000,15.79,16.5,16.04,16.46,41853.39409673,ETC-USD
1762527600,16.37,17.38,16.47,17.31,115918.29862661,ETC-USD
1762531200,17.28,18.87,17.3,18.53,120331.8253389,ETC-USD
1762534800,17.87,18.5,18.5,18.38,61880.03986323,ETC-USD
1762538400,17.58,18.78,18.39,17.76,64647.30038258,ETC-USD
1762542000,17.52,17.92,17.77,17.72,33011.03260156,ETC-USD
1762545600,17.51,18.05,17.72,17.91,34187.9718499,ETC-USD
1762549200,17.7,18.02,17.91,17.87,25302.06355098,ETC-USD
1762552800,17.78,17.96,17.86,17.84,7412.98149232,ETC-USD
1762556400,17.66,17.93,17.83,17.89,4884.84559302,ETC-USD
1762560000,17.86,18.44,17.91,17.91,20688.00285148,ETC-USD
1762563600,17.81,18.26,17.9,17.87,24597.16661594,ETC-USD
1762567200,17.07,17.95,17.86,17.08,25634.16307691,ETC-USD
1762570800,17.1,17.39,17.11,17.15,14328.59116548,ETC-USD
1762574400,17.14,17.35,17.16,17.14,14179.71528249,ETC-USD
1762578000,16.74,17.17,17.14,16.76,19437.89468593,ETC-USD
1762581600,16.63,16.89,16.76,16.79,5730.35714031,ETC-USD
1762585200,16.65,16.89,16.8,16.85,6287.55066859,ETC-USD
1762588800,16.69,16.98,16.84,16.9,8502.90327832,ETC-USD
1762592400,16.65,16.89,16.89,16.72,9538.89148116,ETC-USD
1762596000,16.65,16.75,16.73,16.73,9996.08372307,ETC-USD
1762599600,16.68,16.81,16.72,16.73,4534.44124823,ETC-USD
1762603200,16.7,16.86,16.74,16.83,4426.49270131,ETC-USD
1762606800,16.44,16.82,16.82,16.45,7957.56952472,ETC-USD
1762610400,16.29,16.55,16.46,16.51,5633.51209273,ETC-USD
1762614000,16.22,16.55,16.49,16.29,4540.86298507,ETC-USD
1762617600,16.1,16.29,16.29,16.18,11530.515625,ETC-USD
1762621200,16.12,16.26,16.18,16.2,3993.48081232,ETC-USD
1762624800,16.18,16.31,16.23,16.26,3483.9183572,ETC-USD
1762628400,16.07,16.28,16.26,16.18,5953.36145941,ETC-USD
1762632000,16.09,16.31,16.17,16.2,6138.44805535,ETC-USD
1762635600,16.15,16.27,16.24,16.22,1894.4648181,ETC-USD
1762639200,16.22,16.33,16.23,16.31,2898.70082106,ETC-USD
1762642800,16.26,16.46,16.3,16.39,5943.3426219,ETC-USD
1762646400,16.17,16.47,16.39,16.21,9293.21349182,ETC-USD
1762650000,16.15,16.32,16.2,16.24,6256.8795567,ETC-USD
1762653600,15.89,16.28,16.23,15.94,19531.65218904,ETC-USD
1762657200,15.78,15.97,15.95,15.9,22876.48599283,ETC-USD
1762660800,15.91,16.08,15.91,16.0,7188.3910573,ETC-USD
1762664400,15.84,15.99,15.99,15.92,7209.33557256,ETC-USD
1762668000,15.87,16.1,15.93,15.96,6504.05260051,ETC-USD
1762671600,15.95,16.11,15.96,16.09,1834.98273787,ETC-USD
1762675200,15.97,16.07,16.07,16.02,445.00226362,ETC-USD
1762678800,15.87,16.13,16.02,15.9,3536.58594658,ETC-USD
1762682400,15.85,16.07,15.88,16.07,5328.7411456,ETC-USD
1762686000,16.07,16.17,16.08,16.07,5912.30273978,ETC-USD
1762689600,16.02,16.14,16.06,16.03,6710.83359411,ETC-USD
1762693200,15.99,16.09,16.01,16.03,10005.72837069,ETC-USD
1762696800,15.94,16.35,16.02,16.09,24160.28589396,ETC-USD
1762700400,16.1,16.3,16.1,16.13,8316.90920458,ETC-USD
1762704000,16.0,16.15,16.14,16.1,3725.05130648,ETC-USD
1762707600,15.93,16.15,16.11,15.98,11765.28004804,ETC-USD
1762711200,15.89,16.11,15.96,16.1,9914.24786362,ETC-USD
1762714800,16.0,16.2,16.09,16.2,5444.90203612,ETC-USD
1762718400,16.12,16.26,16.21,16.21,11045.58650527,ETC-USD
1762722000,16.12,16.26,16.22,16.25,2034.14384352,ETC-USD
1762725600,16.16,16.29,16.25,16.22,4213.17727192,ETC-USD
1762729200,16.1,16.33,16.23,16.16,5075.23292841,ETC-USD
1762732800,16.05,16.37,16.15,16.28,12904.83931685,ETC-USD
1762736400,16.19,16.31,16.29,16.2,8150.19977644,ETC-USD
1762740000,16.15,16.3,16.21,16.27,5304.90163152,ETC-USD
1762743600,16.28,16.38,16.28,16.31,3860.16531203,ETC-USD
1762747200,16.18,16.36,16.31,16.33,6098.22927618,ETC-USD
1762750800,16.26,16.41,16.35,16.28,16130.83303829,ETC-USD
1762754400,16.18,16.35,16.29,16.35,8036.78775349,ETC-USD
1762758000,16.24,16.37,16.34,16.29,2212.44931986,ETC-USD
1762761600,16.11,16.29,16.29,16.17,3026.09103234,ETC-USD
1762765200,16.14,16.36,16.14,16.33,1009.46375041,ETC-USD
1762768800,16.15,16.38,16.32,16.23,2319.87873836,ETC-USD
1762772400,16.21,16.36,16.21,16.27,2918.11739046,ETC-USD
1762776000,16.21,16.34,16.26,16.28,1539.8343624,ETC-USD
1762779600,16.28,16.74,16.28,16.58,10058.88791331,ETC-USD
1762783200,15.94,16.57,16.57,16.14,17664.67431518,ETC-USD
1762786800,16.09,16.35,16.13,16.21,16445.64676587,ETC-USD
1762790400,16.05,16.29,16.21,16.09,1931.78046752,ETC-USD
1762794000,16.07,16.31,16.1,16.21,5294.90357039,ETC-USD
1762797600,16.16,16.27,16.23,16.16,2096.55222389,ETC-USD
1762801200,16.17,16.4,16.17,16.29,2877.06434478,ETC-USD
1762804800,16.25,16.41,16.3,16.32,2604.81513402,ETC-USD
1762808400,16.18,16.36,16.31,16.3,13505.62752798,ETC-USD
1762812000,16.22,16.59,16.3,16.57,9185.13244364,ETC-USD
1762815600,16.43,16.6,16.55,16.48,3752.17068457,ETC-USD
1762819200,16.28,16.58,16.49,16.44,9073.08594275,ETC-USD
1762822800,16.39,16.75,16.44,16.43,28522.66110812,ETC-USD
1762826400,16.34,16.65,16.43,16.52,4063.91660125,ETC-USD
1762830000,16.43,16.55,16.53,16.44,1511.19916676,ETC-USD
1762833600,16.24,16.46,16.44,16.26,2917.93017932,ETC-USD
1762837200,16.05,16.26,16.26,16.1,9908.03696635,ETC-USD
1762840800,16.0,16.2,16.08,16.15,2324.30287035,ETC-USD
1762844400,15.83,16.14,16.13,15.86,10647.65648176,ETC-USD
1762848000,15.87,15.99,15.87,15.98,3460.29531377,ETC-USD
1762851600,15.91,16.08,15.99,15.91,4011.43490707,ETC-USD
1762855200,15.92,16.01,15.92,16.0,1012.61168523,ETC-USD
1762855200,15.92,16.01,15.92,16.0,1012.61168523,ETC-USD
1762858800,15.97,16.1,16.01,16.01,2644.46478143,ETC-USD
1762862400,15.86,16.09,16.01,15.93,5315.32366815,ETC-USD
1762866000,15.82,15.98,15.92,15.86,4592.65844553,ETC-USD
1762869600,15.74,16.11,15.85,16.09,12562.46383446,ETC-USD
1762873200,15.84,16.08,16.08,15.94,2517.22981713,ETC-USD
1762876800,15.93,16.06,15.94,15.97,1449.44956566,ETC-USD
1762880400,15.86,16.04,15.98,15.96,1424.64290078,ETC-USD
1762884000,15.83,15.99,15.97,15.85,4275.73026904,ETC-USD
1762887600,15.72,15.87,15.84,15.79,20240.70588874,ETC-USD
1762891200,15.63,15.83,15.8,15.69,4242.17801162,ETC-USD
1762894800,15.59,15.74,15.7,15.66,1687.97090063,ETC-USD
1762898400,15.61,15.78,15.65,15.75,1644.96739927,ETC-USD
1762902000,15.59,15.75,15.74,15.59,1933.33317597,ETC-USD
1762905600,15.55,15.76,15.61,15.63,3899.27097259,ETC-USD
1762909200,15.65,15.83,15.65,15.81,2668.54747297,ETC-USD
1762912800,15.73,15.88,15.81,15.82,7580.18653966,ETC-USD
1762916400,15.77,15.85,15.83,15.78,1314.7206591,ETC-USD
1762920000,15.73,15.79,15.78,15.79,1657.76062061,ETC-USD
1762923600,15.76,15.83,15.79,15.81,2917.6616946,ETC-USD
1762927200,15.78,15.85,15.82,15.78,838.43992513,ETC-USD
