time,low,high,open,close,volume,symbol
1761955200,0.2352,0.2369,0.2364,0.2368,416349.5,FET-USD
1761958800,0.2311,0.2386,0.2369,0.2336,1553287.2,FET-USD
1761962400,0.2321,0.2359,0.2336,0.2355,197259.0,FET-USD
1761966000,0.2355,0.2377,0.2356,0.2366,145027.8,FET-USD
1761969600,0.2347,0.238,0.2365,0.236,261441.1,FET-USD
1761973200,0.235,0.2371,0.2357,0.2356,524015.7,FET-USD
1761976800,0.2354,0.2408,0.2357,0.2407,454908.0,FET-USD
1761980400,0.2397,0.2431,0.2407,0.243,689544.9,FET-USD
1761984000,0.2417,0.2451,0.2429,0.2445,670092.1,FET-USD
1761987600,0.2429,0.2459,0.2445,0.2437,560220.2,FET-USD
1761991200,0.2435,0.2493,0.2437,0.2487,477715.0,FET-USD
1761994800,0.2454,0.2496,0.2488,0.2475,235998.4,FET-USD
1761998400,0.2465,0.25,0.2476,0.2496,666255.8,FET-USD
1762002000,0.2476,0.2513,0.2496,0.2503,550684.1,FET-USD
1762005600,0.2462,0.2511,0.2505,0.2485,623445.9,FET-USD
1762009200,0.2475,0.2518,0.2484,0.2514,657059.7,FET-USD
1762012800,0.2509,0.2567,0.2515,0.2559,1150758.7,FET-USD
1762016400,0.2541,0.2613,0.2556,0.2613,905139.3,FET-USD
1762020000,0.2557,0.2619,0.2614,0.2576,1022192.9,FET-USD
1762023600,0.2548,0.2582,0.2577,0.2554,829573.1,FET-USD
1762027200,0.2543,0.2572,0.2556,0.2569,487786.7,FET-USD
1762030800,0.2555,0.2587,0.257,0.256,457988.1,FET-USD
1762034400,0.2547,0.2571,0.2563,0.2566,416204.1,FET-USD
1762038000,0.2555,0.2602,0.2564,0.2591,672051.2,FET-USD
1762041600,0.257,0.2593,0.259,0.2587,423547.8,FET-USD
1762045200,0.256,0.2601,0.2585,0.2568,232203.8,FET-USD
1762048800,0.2555,0.2586,0.2566,0.2573,182916.1,FET-USD
1762052400,0.2558,0.2578,0.2573,0.2565,183871.5,FET-USD
1762056000,0.256,0.2723,0.2564,0.2704,2094957.0,FET-USD
1762059600,0.2662,0.274,0.2705,0.2675,1354239.5,FET-USD
1762063200,0.2637,0.2676,0.2674,0.2645,688018.1,FET-USD
1762066800,0.2639,0.2666,0.2647,0.2663,927406.7,FET-USD
1762070400,0.2613,0.2669,0.2664,0.2624,411275.7,FET-USD
1762074000,0.2601,0.264,0.2624,0.2618,436082.9,FET-USD
1762077600,0.259,0.2631,0.2619,0.261,447850.0,FET-USD
1762081200,0.2611,0.2665,0.2611,0.2665,683074.5,FET-USD
1762084800,0.2581,0.2666,0.2665,0.2582,909664.8,FET-USD
1762088400,0.2427,0.2585,0.2582,0.245,2381774.6,FET-USD
1762092000,0.2413,0.2481,0.245,0.2424,2434261.4,FET-USD
1762095600,0.2415,0.2481,0.2424,0.2444,954904.5,FET-USD
1762099200,0.2406,0.2458,0.2444,0.2452,727846.2,FET-USD
1762102800,0.243,0.2459,0.2452,0.2441,905158.0,FET-USD
1762106400,0.2426,0.2449,0.244,0.2438,351218.8,FET-USD
1762110000,0.2416,0.2441,0.2438,0.2439,631271.8,FET-USD
1762113600,0.2432,0.2453,0.2438,0.2451,635279.7,FET-USD
1762117200,0.237,0.2463,0.2452,0.2377,1320713.5,FET-USD
1762120800,0.2373,0.2431,0.2378,0.2415,622604.9,FET-USD
1762124400,0.2414,0.2469,0.2414,0.2461,1170389.9,FET-USD
1762128000,0.2399,0.2459,0.2459,0.2399,527816.7,FET-USD
1762131600,0.2388,0.2414,0.2405,0.2397,254676.2,FET-USD
1762135200,0.2357,0.2397,0.2396,0.2375,671704.6,FET-USD
1762138800,0.2306,0.2383,0.2376,0.2311,1451340.9,FET-USD
1762142400,0.2279,0.2323,0.2311,0.2323,957329.0,FET-USD
1762146000,0.2301,0.2346,0.2322,0.2303,487267.8,FET-USD
1762149600,0.2268,0.2312,0.2302,0.2294,508108.8,FET-USD
1762153200,0.2283,0.2328,0.2293,0.2309,287550.2,FET-USD
