time,low,high,open,close,volume,symbol
1761955200,0.0553,0.0557,0.0554,0.0557,801.92,FIDA-USD
1761958800,0.055,0.0558,0.0557,0.055,2430.67,FIDA-USD
1761962400,0.0548,0.0555,0.0549,0.0555,9593.7,FIDA-USD
1761966000,0.0555,0.0558,0.0556,0.0556,11348.44,FIDA-USD
1761969600,0.0553,0.0556,0.0556,0.0553,12335.81,FIDA-USD
1761976800,0.055,0.0554,0.0554,0.0553,27189.92,FIDA-USD
1761980400,0.0553,0.0562,0.0553,0.0561,3806.5,FIDA-USD
1761984000,0.056,0.0566,0.0561,0.0566,13867.09,FIDA-USD
1761987600,0.0561,0.0566,0.0566,0.0562,1509.31,FIDA-USD
1761991200,0.0561,0.0567,0.0562,0.0567,13379.7,FIDA-USD
1761994800,0.0563,0.0567,0.0566,0.0567,112459.51,FIDA-USD
1761998400,0.0565,0.0573,0.0567,0.057,78534.33,FIDA-USD
1762002000,0.0562,0.0571,0.0571,0.057,25988.56,FIDA-USD
1762005600,0.0563,0.0569,0.0567,0.0566,61057.25,FIDA-USD
1762009200,0.0567,0.0576,0.0567,0.0576,1152.08,FIDA-USD
1762012800,0.0577,0.0586,0.0577,0.0578,49283.14,FIDA-USD
1762016400,0.0576,0.0577,0.0576,0.0577,303.36,FIDA-USD
1762023600,0.0575,0.0577,0.0576,0.0577,13042.36,FIDA-USD
1762027200,0.0577,0.058,0.058,0.0577,7708.06,FIDA-USD
1762030800,0.0573,0.0578,0.0578,0.0576,28441.5,FIDA-USD
1762034400,0.0569,0.0574,0.0571,0.0573,44419.88,FIDA-USD
1762041600,0.0571,0.0575,0.0575,0.0571,151.13,FIDA-USD
1762045200,0.057,0.0573,0.0572,0.057,11072.98,FIDA-USD
1762048800,0.0569,0.0574,0.057,0.0569,7531.63,FIDA-USD
1762052400,0.0567,0.0569,0.0569,0.0568,7720.57,FIDA-USD
1762056000,0.0569,0.0573,0.0569,0.0573,9120.03,FIDA-USD
1762066800,0.0574,0.0579,0.0578,0.0574,12184.72,FIDA-USD
1762070400,0.057,0.0575,0.0575,0.057,438.46,FIDA-USD
1762074000,0.0569,0.057,0.0569,0.0569,142.79,FIDA-USD
1762077600,0.0566,0.0572,0.0569,0.0572,11266.56,FIDA-USD
1762081200,0.0574,0.0577,0.0574,0.0577,200.85,FIDA-USD
1762084800,0.0573,0.0575,0.0575,0.0575,4562.21,FIDA-USD
1762088400,0.0565,0.057,0.057,0.0565,15950.0,FIDA-USD
1762092000,0.0557,0.0564,0.0563,0.0557,23553.8,FIDA-USD
