time,low,high,open,close,volume,symbol
1761955200,0.0666,0.0672,0.0666,0.0672,70048.7,FIS-USD
1761958800,0.0665,0.0674,0.0674,0.0665,71644.8,FIS-USD
1761962400,0.0671,0.0671,0.0671,0.0671,79415.9,FIS-USD
1761966000,0.067,0.0674,0.0674,0.067,17838.8,FIS-USD
1761969600,0.067,0.0678,0.067,0.0672,14650.8,FIS-USD
1761973200,0.067,0.0671,0.067,0.0671,20507.0,FIS-USD
1761984000,0.0673,0.0674,0.0674,0.0673,5719.4,FIS-USD
1761987600,0.0666,0.0671,0.0671,0.0666,17749.1,FIS-USD
1761991200,0.0669,0.0672,0.0669,0.0672,10712.2,FIS-USD
1761994800,0.0665,0.0672,0.0672,0.0668,48295.9,FIS-USD
1761998400,0.0667,0.067,0.067,0.067,35067.3,FIS-USD
1762002000,0.0666,0.0671,0.067,0.0666,127555.7,FIS-USD
1762005600,0.0661,0.074,0.0664,0.0681,1250622.7,FIS-USD
1762009200,0.0668,0.068,0.068,0.0674,141065.3,FIS-USD
1762012800,0.0669,0.0678,0.0673,0.0669,73583.4,FIS-USD
1762016400,0.0663,0.0669,0.0669,0.0663,6332.1,FIS-USD
1762020000,0.0661,0.0664,0.0662,0.0661,17065.6,FIS-USD
1762027200,0.0662,0.0667,0.0662,0.0663,47928.5,FIS-USD
1762030800,0.066,0.0663,0.0661,0.066,101876.8,FIS-USD
1762034400,0.0658,0.0664,0.0659,0.0664,13614.0,FIS-USD
1762038000,0.0657,0.0665,0.0663,0.0657,166530.6,FIS-USD
1762041600,0.0657,0.0665,0.0663,0.0657,38910.5,FIS-USD
1762045200,0.0656,0.0657,0.0657,0.0656,25159.6,FIS-USD
1762048800,0.0651,0.0657,0.0656,0.0652,27062.9,FIS-USD
1762052400,0.0651,0.0655,0.0652,0.0655,151572.1,FIS-USD
1762056000,0.0655,0.0657,0.0656,0.0655,6855.9,FIS-USD
1762063200,0.0656,0.0658,0.0656,0.0657,17892.6,FIS-USD
1762066800,0.0651,0.0655,0.0652,0.0655,19724.8,FIS-USD
1762074000,0.0652,0.0656,0.0656,0.0652,37586.1,FIS-USD
1762077600,0.0646,0.0656,0.0652,0.0652,262575.7,FIS-USD
1762084800,0.0644,0.0653,0.0652,0.0644,22096.0,FIS-USD
1762092000,0.0636,0.0643,0.0643,0.0636,76379.6,FIS-USD
1762095600,0.0634,0.0641,0.0636,0.0634,172553.3,FIS-USD
