time,low,high,open,close,volume,symbol
1764090000,3.255,3.328,3.262,3.281,4567.95,FLUID-USD
1764093600,3.271,3.342,3.281,3.342,11545.32,FLUID-USD
1764097200,3.255,3.328,3.307,3.314,4066.63,FLUID-USD
1764100800,3.306,3.352,3.317,3.319,2776.94,FLUID-USD
1764104400,3.324,3.476,3.324,3.371,32351.41,FLUID-USD
1764108000,3.334,3.41,3.371,3.41,1298.94,FLUID-USD
1764111600,3.356,3.426,3.409,3.361,1212.35,FLUID-USD
1764115200,3.341,3.367,3.353,3.343,3468.11,FLUID-USD
1764118800,3.343,3.572,3.343,3.483,6753.55,FLUID-USD
1764122400,3.4,3.493,3.488,3.418,4711.73,FLUID-USD
1764126000,3.382,3.418,3.418,3.403,527.11,FLUID-USD
1764129600,3.35,3.409,3.398,3.359,3148.25,FLUID-USD
1764133200,3.362,3.397,3.362,3.365,1181.37,FLUID-USD
1764136800,3.31,3.375,3.364,3.31,660.68,FLUID-USD
1764140400,3.289,3.308,3.308,3.305,345.98,FLUID-USD
1764144000,3.274,3.307,3.304,3.274,927.81,FLUID-USD
1764147600,3.265,3.295,3.265,3.282,222.17,FLUID-USD
1764151200,3.264,3.287,3.28,3.269,2120.32,FLUID-USD
1764154800,3.223,3.269,3.263,3.245,1360.59,FLUID-USD
1764158400,3.221,3.255,3.244,3.251,2513.71,FLUID-USD
1764162000,3.238,3.26,3.238,3.258,232.44,FLUID-USD
1764165600,3.231,3.284,3.252,3.237,4593.28,FLUID-USD
1764169200,3.227,3.268,3.26,3.244,474.1,FLUID-USD
1764172800,3.244,3.391,3.244,3.335,22541.2,FLUID-USD
1764176400,3.331,3.392,3.336,3.385,3931.07,FLUID-USD
1764180000,3.413,3.482,3.413,3.435,3916.28,FLUID-USD
1764183600,3.43,3.459,3.435,3.43,2423.39,FLUID-USD
1764187200,3.334,3.425,3.419,3.402,16401.11,FLUID-USD
1764190800,3.387,3.419,3.401,3.419,2811.13,FLUID-USD
1764194400,3.393,3.483,3.408,3.471,14172.64,FLUID-USD
1764198000,3.42,3.462,3.442,3.431,912.03,FLUID-USD
1764201600,3.393,3.456,3.444,3.418,1231.62,FLUID-USD
1764205200,3.391,3.425,3.422,3.414,1420.54,FLUID-USD
1764208800,3.365,3.426,3.412,3.365,3572.72,FLUID-USD
1764212400,3.336,3.395,3.388,3.336,2906.84,FLUID-USD
1764216000,3.201,3.361,3.354,3.299,21510.27,FLUID-USD
1764219600,3.257,3.298,3.292,3.264,2610.96,FLUID-USD
1764223200,3.239,3.3,3.261,3.242,2237.65,FLUID-USD
1764226800,3.211,3.246,3.242,3.215,4172.64,FLUID-USD
1764230400,3.162,3.212,3.211,3.166,5866.91,FLUID-USD
1764234000,3.096,3.165,3.162,3.137,7441.76,FLUID-USD
1764237600,3.096,3.227,3.17,3.112,8069.28,FLUID-USD
1764241200,3.109,3.153,3.109,3.137,405.49,FLUID-USD
1764244800,3.088,3.137,3.132,3.106,216.03,FLUID-USD
1764248400,3.083,3.126,3.087,3.083,4272.37,FLUID-USD
1764252000,3.081,3.149,3.086,3.14,2184.69,FLUID-USD
1764255600,3.141,3.473,3.148,3.267,27903.12,FLUID-USD
1764259200,3.213,3.309,3.274,3.227,3803.36,FLUID-USD
1764262800,3.23,3.281,3.23,3.27,1084.4,FLUID-USD
1764266400,3.25,3.27,3.27,3.263,162.8,FLUID-USD
1764270000,3.255,3.296,3.262,3.284,1147.49,FLUID-USD
1764273600,3.247,3.317,3.28,3.276,2843.55,FLUID-USD
1764277200,3.251,3.273,3.268,3.254,188.45,FLUID-USD
1764280800,3.23,3.264,3.264,3.248,322.82,FLUID-USD
1764284400,3.245,3.25,3.248,3.25,110.86,FLUID-USD
1764288000,3.217,3.27,3.236,3.232,1074.98,FLUID-USD
1764291600,3.193,3.239,3.239,3.203,2182.98,FLUID-USD
1764295200,3.186,3.215,3.204,3.194,1332.93,FLUID-USD
1764298800,3.164,3.194,3.188,3.171,2552.23,FLUID-USD
1764302400,3.09,3.172,3.166,3.16,13636.81,FLUID-USD
1764313200,3.144,3.162,3.161,3.162,28.72,FLUID-USD
1764316800,3.19,3.211,3.199,3.19,392.81,FLUID-USD
1764320400,3.168,3.191,3.191,3.169,1370.13,FLUID-USD
1764324000,3.169,3.2,3.169,3.2,199.97,FLUID-USD
1764327600,3.168,3.189,3.184,3.179,87.14,FLUID-USD
1764331200,3.147,3.16,3.152,3.147,387.44,FLUID-USD
1764334800,3.156,3.176,3.156,3.176,723.37,FLUID-USD
1764338400,3.156,3.193,3.193,3.159,1593.45,FLUID-USD
1764342000,3.14,3.168,3.158,3.151,9295.05,FLUID-USD
1764345600,3.08,3.148,3.142,3.08,476.71,FLUID-USD
1764349200,3.084,3.105,3.087,3.091,345.85,FLUID-USD
1764352800,3.086,3.111,3.086,3.106,195.25,FLUID-USD
1764356400,3.121,3.138,3.13,3.121,320.51,FLUID-USD
1764360000,3.118,3.138,3.122,3.121,400.23,FLUID-USD
1764363600,3.116,3.14,3.116,3.126,336.65,FLUID-USD
1764367200,3.119,3.132,3.119,3.132,7.56,FLUID-USD
1764370800,3.132,3.149,3.135,3.14,474.57,FLUID-USD
1764374400,3.106,3.131,3.131,3.106,348.22,FLUID-USD
1764378000,3.107,3.122,3.12,3.118,800.77,FLUID-USD
1764381600,3.105,3.124,3.105,3.118,44.27,FLUID-USD
1764388800,3.103,3.128,3.115,3.103,220.53,FLUID-USD
1764399600,3.079,3.096,3.096,3.079,67.84,FLUID-USD
1764410400,3.075,3.135,3.075,3.134,8924.6,FLUID-USD
1764414000,3.091,3.101,3.091,3.101,159.5,FLUID-USD
1764417600,3.076,3.104,3.101,3.076,406.69,FLUID-USD
1764424800,3.08,3.08,3.08,3.08,3.31,FLUID-USD
1764428400,3.061,3.102,3.061,3.067,1461.75,FLUID-USD
1764432000,3.058,3.068,3.067,3.068,142.95,FLUID-USD
1764435600,3.058,3.073,3.068,3.073,217.7,FLUID-USD
1764439200,3.046,3.087,3.05,3.07,976.65,FLUID-USD
1764442800,3.056,3.072,3.068,3.072,229.38,FLUID-USD
1764446400,3.055,3.075,3.055,3.075,95.25,FLUID-USD
1764450000,3.061,3.071,3.068,3.071,11.25,FLUID-USD
1764453600,3.051,3.073,3.061,3.051,262.4,FLUID-USD
1764460800,3.047,3.074,3.058,3.047,694.6,FLUID-USD
1764464400,3.053,3.069,3.058,3.054,321.55,FLUID-USD
1764468000,3.07,3.084,3.07,3.082,367.52,FLUID-USD
1764471600,3.065,3.137,3.092,3.065,1401.76,FLUID-USD
1764475200,3.027,3.063,3.061,3.044,3935.42,FLUID-USD
1764478800,3.022,3.042,3.032,3.033,493.54,FLUID-USD
1764482400,3.035,3.057,3.038,3.056,40.8,FLUID-USD
1764486000,3.051,3.055,3.054,3.051,25.2,FLUID-USD
1764489600,3.042,3.078,3.049,3.078,715.97,FLUID-USD
1764493200,3.044,3.048,3.047,3.044,33.99,FLUID-USD
1764496800,3.056,3.066,3.056,3.06,42.47,FLUID-USD
1764500400,3.053,3.074,3.063,3.053,143.07,FLUID-USD
1764504000,3.061,3.077,3.061,3.077,16.98,FLUID-USD
1764507600,3.083,3.101,3.1,3.083,81.92,FLUID-USD
1764511200,3.067,3.087,3.084,3.084,66.75,FLUID-USD
1764514800,3.077,3.099,3.078,3.08,1163.32,FLUID-USD
1764518400,3.093,3.12,3.108,3.093,222.53,FLUID-USD
1764522000,3.086,3.119,3.086,3.105,343.6,FLUID-USD
