time,low,high,open,close,volume,symbol
1761955200,0.0349,0.035,0.035,0.0349,35230.96,FORT-USD
1761958800,0.0348,0.035,0.0349,0.0349,42420.92,FORT-USD
1761962400,0.0348,0.0349,0.0349,0.0349,40028.14,FORT-USD
1761966000,0.0345,0.0348,0.0348,0.0347,186290.42,FORT-USD
1761969600,0.0347,0.0349,0.0348,0.0348,75492.15,FORT-USD
1761973200,0.0347,0.0348,0.0348,0.0348,39422.51,FORT-USD
1761976800,0.0346,0.0349,0.0347,0.0347,59650.91,FORT-USD
1761980400,0.0347,0.035,0.0347,0.035,71265.96,FORT-USD
1761984000,0.0348,0.0364,0.0348,0.0364,137270.65,FORT-USD
1761987600,0.0356,0.0364,0.0364,0.0357,87286.89,FORT-USD
1761991200,0.0355,0.0368,0.0359,0.0357,267464.14,FORT-USD
1761994800,0.0353,0.0363,0.0357,0.0355,81570.51,FORT-USD
1761998400,0.0351,0.0364,0.0355,0.0351,266220.92,FORT-USD
1762002000,0.035,0.0351,0.0351,0.035,51908.13,FORT-USD
1762005600,0.0344,0.035,0.035,0.0344,157543.13,FORT-USD
1762009200,0.0345,0.0353,0.0345,0.035,195678.13,FORT-USD
1762012800,0.0345,0.0352,0.035,0.035,353620.91,FORT-USD
1762016400,0.0345,0.0352,0.035,0.0345,206452.74,FORT-USD
1762020000,0.0344,0.0349,0.0346,0.0345,218697.08,FORT-USD
1762023600,0.0344,0.0352,0.0345,0.0345,211097.11,FORT-USD
1762027200,0.0344,0.0351,0.0346,0.0345,272601.48,FORT-USD
1762030800,0.0344,0.0353,0.0345,0.0345,253337.48,FORT-USD
1762034400,0.0344,0.0345,0.0345,0.0344,33633.78,FORT-USD
1762038000,0.0341,0.0345,0.0344,0.0345,239694.75,FORT-USD
1762041600,0.0344,0.0348,0.0345,0.0345,77411.28,FORT-USD
1762045200,0.0342,0.0345,0.0345,0.0342,56219.61,FORT-USD
1762048800,0.0337,0.0344,0.0342,0.0342,1005545.23,FORT-USD
1762052400,0.0341,0.0342,0.0342,0.0341,59911.17,FORT-USD
1762056000,0.0341,0.0342,0.0341,0.0341,34846.38,FORT-USD
1762059600,0.034,0.0342,0.0341,0.0341,40682.27,FORT-USD
1762063200,0.034,0.0342,0.0341,0.034,44666.67,FORT-USD
1762066800,0.0339,0.0341,0.034,0.0341,125355.33,FORT-USD
1762070400,0.034,0.0343,0.034,0.0342,50849.96,FORT-USD
1762074000,0.0341,0.0343,0.0342,0.0341,166451.08,FORT-USD
1762077600,0.0339,0.0342,0.0341,0.0339,74644.58,FORT-USD
1762081200,0.0338,0.0342,0.034,0.0342,134327.24,FORT-USD
1762084800,0.034,0.0342,0.034,0.034,73910.04,FORT-USD
1762088400,0.0338,0.0342,0.034,0.034,180572.85,FORT-USD
1762092000,0.0339,0.0341,0.034,0.0339,129795.39,FORT-USD
1762095600,0.0339,0.0341,0.0341,0.034,105769.84,FORT-USD
1762099200,0.0336,0.0341,0.0339,0.034,73744.44,FORT-USD
1762102800,0.0339,0.0342,0.034,0.0339,36383.77,FORT-USD
1762106400,0.0336,0.034,0.034,0.0336,33633.78,FORT-USD
1762110000,0.0334,0.0336,0.0336,0.0335,48033.78,FORT-USD
1762113600,0.0335,0.0344,0.0335,0.0341,161704.27,FORT-USD
1762117200,0.0339,0.0342,0.0342,0.0339,44967.65,FORT-USD
1762120800,0.0336,0.0341,0.034,0.0339,73063.32,FORT-USD
1762124400,0.034,0.0348,0.034,0.0348,84544.78,FORT-USD
1762128000,0.0343,0.0347,0.0347,0.0343,33120.72,FORT-USD
1762131600,0.0342,0.0348,0.0343,0.0342,68184.14,FORT-USD
1762135200,0.0334,0.0341,0.0341,0.0334,192295.53,FORT-USD
1762138800,0.0333,0.0334,0.0334,0.0333,40967.89,FORT-USD
1762142400,0.0331,0.0333,0.0332,0.0332,36633.77,FORT-USD
1762146000,0.0332,0.0339,0.0333,0.0338,68525.74,FORT-USD
1762149600,0.0334,0.0343,0.0337,0.0342,85256.0,FORT-USD
1762153200,0.0336,0.034,0.034,0.0337,49124.86,FORT-USD
1762156800,0.0334,0.0337,0.0337,0.0334,35525.62,FORT-USD
1762160400,0.0333,0.0335,0.0334,0.0334,113771.11,FORT-USD
1762164000,0.0333,0.0336,0.0334,0.0333,170302.66,FORT-USD
1762167600,0.033,0.0332,0.0332,0.0332,80664.09,FORT-USD
1762171200,0.0332,0.0334,0.0333,0.0332,37081.8,FORT-USD
