time,low,high,open,close,volume,symbol
1761955200,0.3531,0.3629,0.3562,0.3607,82197.66,GFI-USD
1761958800,0.3607,0.3627,0.3607,0.361,6362.43,GFI-USD
1761962400,0.361,0.3629,0.361,0.3626,9441.63,GFI-USD
1761966000,0.3626,0.3629,0.3626,0.3627,9732.81,GFI-USD
1761969600,0.3627,0.3724,0.3627,0.3702,57445.16,GFI-USD
1761973200,0.3665,0.3733,0.3702,0.3675,25284.42,GFI-USD
1761976800,0.3657,0.3686,0.3675,0.3678,14015.41,GFI-USD
1761980400,0.3653,0.3681,0.368,0.3666,8719.69,GFI-USD
1761984000,0.359,0.3666,0.3666,0.3634,31611.05,GFI-USD
1761987600,0.3587,0.3642,0.3634,0.3603,22467.37,GFI-USD
1761991200,0.3587,0.3608,0.36,0.36,8026.71,GFI-USD
1761994800,0.3595,0.363,0.36,0.3604,24382.16,GFI-USD
1761998400,0.3571,0.3603,0.3603,0.358,14624.55,GFI-USD
1762002000,0.3534,0.3594,0.358,0.3546,43906.45,GFI-USD
1762005600,0.3546,0.3547,0.3546,0.3546,3837.55,GFI-USD
1762009200,0.3532,0.3558,0.3546,0.3539,8330.56,GFI-USD
1762012800,0.3415,0.3537,0.3537,0.3454,130199.38,GFI-USD
1762016400,0.3425,0.35,0.3454,0.3434,107536.61,GFI-USD
1762020000,0.3435,0.3527,0.3458,0.3496,228386.29,GFI-USD
1762023600,0.3496,0.3515,0.3496,0.3506,6721.47,GFI-USD
1762027200,0.346,0.3519,0.35,0.3498,325299.12,GFI-USD
1762030800,0.3435,0.35,0.3489,0.3469,94163.43,GFI-USD
1762034400,0.3435,0.3485,0.3449,0.3482,28327.14,GFI-USD
1762038000,0.3482,0.3509,0.3482,0.3503,6605.74,GFI-USD
1762041600,0.3478,0.3518,0.3503,0.3493,14978.16,GFI-USD
1762045200,0.3478,0.3495,0.3493,0.3486,4951.12,GFI-USD
1762048800,0.3477,0.3503,0.3479,0.3503,8013.39,GFI-USD
1762052400,0.3466,0.3505,0.3487,0.3498,39523.3,GFI-USD
1762056000,0.3464,0.35,0.3497,0.3485,25039.32,GFI-USD
1762059600,0.3439,0.3491,0.3485,0.3481,34301.76,GFI-USD
1762063200,0.3461,0.3487,0.3481,0.3476,11129.22,GFI-USD
1762066800,0.3471,0.3479,0.3476,0.3479,5478.08,GFI-USD
1762070400,0.346,0.3494,0.3479,0.348,22191.25,GFI-USD
1762074000,0.3476,0.3492,0.348,0.3479,4143.73,GFI-USD
1762077600,0.3449,0.3479,0.3479,0.3473,6491.54,GFI-USD
1762081200,0.3473,0.3529,0.3473,0.3515,14354.89,GFI-USD
1762084800,0.3515,0.3593,0.3515,0.3542,51905.98,GFI-USD
1762088400,0.3503,0.3563,0.3542,0.3563,16351.54,GFI-USD
1762092000,0.3543,0.3578,0.3545,0.356,13134.05,GFI-USD
1762095600,0.3551,0.3562,0.356,0.3551,1326.98,GFI-USD
1762099200,0.354,0.3667,0.3551,0.3647,33599.26,GFI-USD
1762102800,0.3626,0.4043,0.3648,0.3637,454958.5,GFI-USD
1762106400,0.3634,0.3688,0.3634,0.3668,15926.75,GFI-USD
1762110000,0.3611,0.3675,0.3668,0.3617,39058.5,GFI-USD
1762113600,0.3587,0.3618,0.3617,0.3606,13855.15,GFI-USD
1762117200,0.3536,0.3615,0.3606,0.3591,33239.95,GFI-USD
1762120800,0.353,0.3593,0.3591,0.3549,19480.38,GFI-USD
1762124400,0.3539,0.3608,0.3549,0.3594,22086.28,GFI-USD
1762128000,0.3594,0.3642,0.3594,0.363,21859.38,GFI-USD
1762131600,0.3625,0.3926,0.3625,0.3682,219715.79,GFI-USD
1762135200,0.3516,0.3683,0.3682,0.3566,117430.53,GFI-USD
1762138800,0.3432,0.3582,0.3566,0.3464,79653.17,GFI-USD
1762142400,0.3426,0.3558,0.3464,0.3547,172976.7,GFI-USD
1762146000,0.3527,0.3646,0.3543,0.357,83910.06,GFI-USD
1762149600,0.3523,0.3599,0.357,0.3533,20102.37,GFI-USD
1762153200,0.3463,0.3533,0.3532,0.3501,40541.96,GFI-USD
1762156800,0.344,0.3488,0.3488,0.3467,15904.93,GFI-USD
1762160400,0.3425,0.3486,0.3467,0.347,13562.88,GFI-USD
1762164000,0.3437,0.347,0.347,0.3448,10991.84,GFI-USD
1762167600,0.3415,0.3496,0.3448,0.3495,42430.0,GFI-USD
1762171200,0.3438,0.3514,0.3495,0.3486,29602.77,GFI-USD
1762174800,0.3466,0.3528,0.3487,0.3496,24318.65,GFI-USD
1762178400,0.3419,0.3506,0.3496,0.3425,17966.83,GFI-USD
1762182000,0.3332,0.3426,0.3425,0.3332,50681.38,GFI-USD
