time,low,high,open,close,volume,symbol
1761958800,0.297,0.299,0.298,0.299,2379.93,GHST-USD
1761962400,0.299,0.3,0.299,0.3,4.5,GHST-USD
1761966000,0.301,0.304,0.301,0.304,15278.99,GHST-USD
1761969600,0.304,0.305,0.304,0.304,5632.89,GHST-USD
1761976800,0.301,0.304,0.301,0.304,99.54,GHST-USD
1761991200,0.301,0.304,0.303,0.301,162.75,GHST-USD
1762002000,0.301,0.302,0.301,0.302,1200.87,GHST-USD
1762005600,0.299,0.303,0.301,0.303,3665.29,GHST-USD
1762020000,0.304,0.306,0.304,0.304,2385.21,GHST-USD
1762027200,0.304,0.306,0.305,0.306,2566.24,GHST-USD
1762030800,0.304,0.307,0.306,0.304,3398.15,GHST-USD
1762041600,0.302,0.302,0.302,0.302,4.12,GHST-USD
1762052400,0.3,0.302,0.302,0.3,286.07,GHST-USD
1762063200,0.301,0.304,0.301,0.304,3439.83,GHST-USD
1762066800,0.304,0.305,0.305,0.304,65.43,GHST-USD
1762081200,0.302,0.302,0.302,0.302,1.17,GHST-USD
1762092000,0.296,0.301,0.301,0.296,656.18,GHST-USD
1762095600,0.295,0.298,0.298,0.295,186.16,GHST-USD
1762099200,0.294,0.3,0.294,0.299,6113.63,GHST-USD
1762110000,0.3,0.3,0.3,0.3,1524.0,GHST-USD
1762120800,0.299,0.305,0.299,0.305,6.4,GHST-USD
1762128000,0.301,0.309,0.307,0.301,3845.08,GHST-USD
1762131600,0.293,0.3,0.3,0.293,656.27,GHST-USD
1762138800,0.287,0.293,0.293,0.287,16986.73,GHST-USD
1762142400,0.285,0.288,0.287,0.288,8032.05,GHST-USD
1762149600,0.284,0.284,0.284,0.284,2369.97,GHST-USD
1762153200,0.283,0.287,0.287,0.283,1434.51,GHST-USD
1762156800,0.284,0.289,0.286,0.289,124.07,GHST-USD
1762164000,0.289,0.295,0.291,0.289,116.58,GHST-USD
1762171200,0.285,0.289,0.287,0.285,913.98,GHST-USD
1762174800,0.283,0.286,0.283,0.285,1575.0,GHST-USD
1762178400,0.285,0.285,0.285,0.285,662.03,GHST-USD
1762182000,0.265,0.29,0.283,0.272,77521.41,GHST-USD
1762185600,0.268,0.276,0.272,0.275,41626.12,GHST-USD
1762189200,0.275,0.277,0.277,0.277,200.64,GHST-USD
1762196400,0.271,0.273,0.273,0.271,3685.86,GHST-USD
1762200000,0.266,0.271,0.271,0.268,22143.4,GHST-USD
1762203600,0.269,0.271,0.269,0.271,5094.72,GHST-USD
1762207200,0.269,0.272,0.27,0.269,3508.46,GHST-USD
1762210800,0.272,0.273,0.273,0.272,2427.07,GHST-USD
1762214400,0.27,0.274,0.27,0.271,9067.3,GHST-USD
