time,low,high,open,close,volume,symbol
1761955200,0.18,0.18,0.18,0.18,2432.0,GTC-USD
1761962400,0.18,0.18,0.18,0.18,2885.55,GTC-USD
1761973200,0.18,0.18,0.18,0.18,36.4,GTC-USD
1761987600,0.18,0.18,0.18,0.18,34016.96,GTC-USD
1762016400,0.18,0.19,0.19,0.18,111.39,GTC-USD
1762020000,0.18,0.19,0.18,0.19,1283.56,GTC-USD
1762023600,0.18,0.19,0.18,0.19,13855.81,GTC-USD
1762048800,0.19,0.19,0.19,0.19,1520.23,GTC-USD
1762056000,0.18,0.19,0.19,0.18,7338.09,GTC-USD
1762077600,0.18,0.19,0.18,0.18,24947.87,GTC-USD
1762088400,0.18,0.19,0.19,0.18,4544.31,GTC-USD
1762092000,0.18,0.18,0.18,0.18,4169.74,GTC-USD
1762106400,0.17,0.18,0.17,0.18,7878.37,GTC-USD
1762110000,0.17,0.18,0.17,0.18,594.22,GTC-USD
1762117200,0.17,0.17,0.17,0.17,96.18,GTC-USD
1762124400,0.17,0.19,0.18,0.17,13664.08,GTC-USD
1762131600,0.17,0.18,0.18,0.17,6027.99,GTC-USD
1762135200,0.17,0.17,0.17,0.17,1173.78,GTC-USD
1762138800,0.16,0.17,0.17,0.16,20534.21,GTC-USD
1762142400,0.16,0.17,0.17,0.17,118690.99,GTC-USD
1762146000,0.16,0.17,0.17,0.17,106264.44,GTC-USD
1762149600,0.16,0.17,0.16,0.17,9462.52,GTC-USD
1762153200,0.16,0.17,0.17,0.17,29688.87,GTC-USD
1762160400,0.16,0.17,0.17,0.16,17015.76,GTC-USD
1762167600,0.17,0.18,0.17,0.17,12538.95,GTC-USD
1762171200,0.17,0.17,0.17,0.17,58699.22,GTC-USD
1762174800,0.16,0.18,0.17,0.17,25788.41,GTC-USD
1762178400,0.17,0.17,0.17,0.17,8309.92,GTC-USD
1762182000,0.15,0.17,0.17,0.17,126508.58,GTC-USD
1762185600,0.16,0.17,0.16,0.17,10.53,GTC-USD
1762196400,0.16,0.17,0.17,0.16,21013.06,GTC-USD
1762203600,0.16,0.16,0.16,0.16,26002.95,GTC-USD
1762210800,0.16,0.16,0.16,0.16,229.8,GTC-USD
1762214400,0.16,0.17,0.17,0.16,361.25,GTC-USD
1762225200,0.16,0.16,0.16,0.16,1330.39,GTC-USD
1762232400,0.16,0.17,0.17,0.16,7087.27,GTC-USD
