time,low,high,open,close,volume,symbol
1761955200,0.0442,0.0446,0.0446,0.0446,147117.52,HFT-USD
1761958800,0.0442,0.0447,0.0447,0.0442,314026.3,HFT-USD
1761962400,0.0439,0.0448,0.0441,0.0448,357703.37,HFT-USD
1761966000,0.0447,0.045,0.0448,0.045,244809.5,HFT-USD
1761969600,0.0442,0.0449,0.0449,0.0444,348619.95,HFT-USD
1761973200,0.0443,0.0445,0.0445,0.0445,160552.73,HFT-USD
1761976800,0.0445,0.0448,0.0445,0.0448,210368.02,HFT-USD
1761980400,0.0448,0.0454,0.0448,0.0454,708049.85,HFT-USD
1761984000,0.0449,0.0456,0.0454,0.0456,512061.24,HFT-USD
1761987600,0.045,0.0456,0.0455,0.0452,388661.95,HFT-USD
1761991200,0.0452,0.0454,0.0453,0.0453,164835.3,HFT-USD
1761994800,0.0452,0.0456,0.0454,0.0455,485684.97,HFT-USD
1761998400,0.0455,0.0457,0.0455,0.0456,419552.55,HFT-USD
1762002000,0.0451,0.0456,0.0456,0.0455,316555.96,HFT-USD
1762005600,0.0448,0.0455,0.0455,0.045,409666.98,HFT-USD
1762009200,0.0449,0.0455,0.045,0.0454,522368.9,HFT-USD
1762012800,0.0453,0.0457,0.0454,0.0455,768891.0,HFT-USD
1762016400,0.0454,0.0457,0.0455,0.0456,438791.55,HFT-USD
1762020000,0.0456,0.0465,0.0456,0.046,1689142.29,HFT-USD
1762023600,0.0457,0.046,0.0459,0.046,404276.09,HFT-USD
1762027200,0.0459,0.0462,0.046,0.0459,476909.85,HFT-USD
1762030800,0.0458,0.0461,0.0459,0.0458,257625.66,HFT-USD
1762034400,0.0458,0.0461,0.0458,0.0461,213200.77,HFT-USD
1762038000,0.046,0.0465,0.0461,0.0463,352451.46,HFT-USD
1762041600,0.0462,0.0468,0.0463,0.0464,565988.45,HFT-USD
1762045200,0.0461,0.0465,0.0465,0.0461,315452.67,HFT-USD
1762048800,0.046,0.0464,0.0461,0.046,267983.01,HFT-USD
1762052400,0.0458,0.0461,0.046,0.0461,508483.84,HFT-USD
1762056000,0.0461,0.0469,0.0461,0.0469,430689.55,HFT-USD
1762059600,0.0468,0.0471,0.0469,0.0471,1066191.54,HFT-USD
1762063200,0.0469,0.0473,0.047,0.0472,328620.49,HFT-USD
1762066800,0.0472,0.0474,0.0472,0.0474,135847.26,HFT-USD
1762070400,0.0467,0.0474,0.0473,0.0467,752199.46,HFT-USD
1762074000,0.0461,0.0469,0.0468,0.0463,350339.74,HFT-USD
1762077600,0.0459,0.0466,0.0463,0.0464,821008.75,HFT-USD
1762081200,0.0464,0.047,0.0464,0.0469,226493.21,HFT-USD
1762084800,0.0463,0.0468,0.0468,0.0464,327776.85,HFT-USD
1762088400,0.0457,0.0464,0.0464,0.046,374902.27,HFT-USD
1762092000,0.0444,0.0461,0.046,0.0445,947894.01,HFT-USD
1762095600,0.0443,0.0449,0.0444,0.0444,481797.79,HFT-USD
1762099200,0.0439,0.0447,0.0444,0.0447,896702.43,HFT-USD
1762102800,0.0441,0.0447,0.0447,0.0444,312654.23,HFT-USD
1762106400,0.0442,0.0445,0.0444,0.0443,292463.31,HFT-USD
1762110000,0.0438,0.0442,0.0442,0.0441,259250.17,HFT-USD
1762113600,0.044,0.0444,0.0441,0.0443,207008.13,HFT-USD
1762117200,0.0443,0.0446,0.0444,0.0445,236081.87,HFT-USD
1762120800,0.0443,0.0446,0.0445,0.0446,185272.52,HFT-USD
1762124400,0.0447,0.0455,0.0447,0.0454,451019.31,HFT-USD
1762128000,0.0444,0.0454,0.0454,0.0445,480135.34,HFT-USD
1762131600,0.0437,0.0445,0.0444,0.0438,606756.53,HFT-USD
1762135200,0.0434,0.044,0.0439,0.0438,1027023.87,HFT-USD
1762138800,0.042,0.0439,0.0438,0.0421,1215456.7,HFT-USD
1762142400,0.0414,0.0422,0.0421,0.0421,1071456.59,HFT-USD
1762146000,0.0417,0.0424,0.0421,0.0417,577913.59,HFT-USD
1762149600,0.041,0.0418,0.0417,0.0415,1216970.22,HFT-USD
1762153200,0.0414,0.0421,0.0415,0.0418,752814.2,HFT-USD
1762156800,0.0414,0.042,0.0418,0.0417,695995.34,HFT-USD
1762160400,0.0412,0.0424,0.0417,0.0413,740819.66,HFT-USD
1762164000,0.0406,0.0414,0.0412,0.0406,1081833.15,HFT-USD
1762167600,0.0407,0.0415,0.0407,0.0412,908625.35,HFT-USD
1762171200,0.0411,0.0414,0.0412,0.0411,552741.9,HFT-USD
1762174800,0.0407,0.0415,0.0411,0.0411,1816877.56,HFT-USD
1762178400,0.0409,0.0416,0.0412,0.0414,1120733.07,HFT-USD
1762182000,0.0377,0.0414,0.0414,0.0391,4648518.6,HFT-USD
1762185600,0.0387,0.0398,0.0391,0.0393,3114393.93,HFT-USD
1762189200,0.0392,0.0401,0.0393,0.0399,1492828.53,HFT-USD
1762192800,0.0394,0.04,0.0399,0.0395,682883.68,HFT-USD
1762196400,0.0392,0.0397,0.0395,0.0393,568242.24,HFT-USD
1762200000,0.0386,0.0394,0.0394,0.0389,655119.11,HFT-USD
1762203600,0.0385,0.0395,0.0389,0.0394,1069963.15,HFT-USD
1762207200,0.0389,0.0394,0.0394,0.0393,326116.48,HFT-USD
1762210800,0.0389,0.0398,0.0393,0.0398,550711.09,HFT-USD
1762214400,0.0395,0.0406,0.0397,0.0404,209928.99,HFT-USD
1762218000,0.0401,0.0405,0.0404,0.0402,356819.22,HFT-USD
1762221600,0.0402,0.0404,0.0402,0.0403,151869.27,HFT-USD
1762225200,0.0402,0.0412,0.0403,0.0412,213569.9,HFT-USD
1762228800,0.041,0.0414,0.0412,0.0412,172206.79,HFT-USD
1762232400,0.0395,0.0415,0.0412,0.0396,1079203.58,HFT-USD
1762236000,0.0396,0.0415,0.0396,0.0402,636278.01,HFT-USD
1762239600,0.0393,0.0402,0.0402,0.0395,879199.64,HFT-USD
1762243200,0.0394,0.0408,0.0395,0.0401,1086153.78,HFT-USD
1762246800,0.04,0.0407,0.0402,0.0407,657997.54,HFT-USD
1762250400,0.0407,0.041,0.0407,0.0407,581083.47,HFT-USD
1762254000,0.0407,0.0413,0.0407,0.0408,551997.52,HFT-USD
1762257600,0.0401,0.0409,0.0408,0.0404,285390.79,HFT-USD
1762261200,0.04,0.0408,0.0405,0.0406,486698.61,HFT-USD
1762264800,0.0404,0.0427,0.0405,0.0423,1196099.34,HFT-USD
1762268400,0.0422,0.0434,0.0423,0.0428,2691110.37,HFT-USD
1762272000,0.0419,0.0437,0.0428,0.0422,1728882.55,HFT-USD
1762275600,0.0405,0.0424,0.0421,0.0417,1805790.79,HFT-USD
1762279200,0.0395,0.0417,0.0417,0.0411,2174337.8,HFT-USD
1762282800,0.0404,0.0416,0.0411,0.0406,1827056.1,HFT-USD
1762286400,0.0391,0.0426,0.0407,0.0417,5525285.94,HFT-USD
1762290000,0.039,0.042,0.0417,0.0412,4519314.82,HFT-USD
1762293600,0.041,0.0421,0.0412,0.0417,1312999.28,HFT-USD
1762297200,0.0413,0.0418,0.0418,0.0414,589474.21,HFT-USD
1762300800,0.0405,0.0414,0.0414,0.0407,521178.48,HFT-USD
1762304400,0.0385,0.0406,0.0406,0.0403,1415988.8,HFT-USD
1762308000,0.0403,0.0418,0.0403,0.0417,1292307.7,HFT-USD
1762311600,0.0408,0.0417,0.0417,0.0412,727106.84,HFT-USD
1762315200,0.0404,0.0413,0.0412,0.0405,424045.6,HFT-USD
1762318800,0.0404,0.0408,0.0406,0.0405,272798.01,HFT-USD
1762322400,0.0403,0.0407,0.0404,0.0407,378511.53,HFT-USD
1762326000,0.0405,0.041,0.0407,0.0408,334514.12,HFT-USD
1762329600,0.0402,0.041,0.0408,0.0404,637608.28,HFT-USD
1762333200,0.0403,0.0408,0.0404,0.0405,468804.89,HFT-USD
1762336800,0.0402,0.0407,0.0405,0.0402,384936.17,HFT-USD
1762340400,0.0402,0.0414,0.0402,0.0413,271841.31,HFT-USD
1762344000,0.0412,0.0416,0.0413,0.0415,718422.33,HFT-USD
1762347600,0.0412,0.0418,0.0415,0.0417,544052.49,HFT-USD
1762351200,0.041,0.0418,0.0417,0.0416,694843.09,HFT-USD
1762354800,0.0414,0.042,0.0417,0.042,407091.3,HFT-USD
1762358400,0.0416,0.0425,0.042,0.0424,513364.41,HFT-USD
1762362000,0.0421,0.0427,0.0424,0.0425,280331.99,HFT-USD
1762365600,0.0424,0.0429,0.0425,0.0428,532210.69,HFT-USD
1762369200,0.0426,0.0429,0.0428,0.0429,282936.48,HFT-USD
1762372800,0.0427,0.0431,0.0428,0.0428,320556.08,HFT-USD
1762376400,0.0427,0.0434,0.0427,0.0431,296205.01,HFT-USD
1762380000,0.043,0.0432,0.0431,0.0431,95464.16,HFT-USD
1762383600,0.0426,0.0431,0.0431,0.0426,246895.14,HFT-USD
1762387200,0.0425,0.0428,0.0427,0.0425,284322.9,HFT-USD
1762390800,0.0418,0.0424,0.0424,0.0422,218187.54,HFT-USD
1762394400,0.0418,0.0426,0.0422,0.0425,159786.24,HFT-USD
1762398000,0.0425,0.0428,0.0427,0.0425,284981.43,HFT-USD
1762401600,0.0424,0.0426,0.0425,0.0424,148740.58,HFT-USD
1762405200,0.0414,0.0424,0.0424,0.0415,297303.23,HFT-USD
1762408800,0.0415,0.0419,0.0415,0.0416,146656.02,HFT-USD
1762412400,0.0414,0.0419,0.0416,0.0417,147891.07,HFT-USD
1762416000,0.0415,0.042,0.0417,0.042,355420.69,HFT-USD
1762419600,0.0417,0.0422,0.0421,0.0417,250242.07,HFT-USD
1762423200,0.0414,0.042,0.0417,0.0419,248535.15,HFT-USD
1762426800,0.0416,0.0423,0.0418,0.0422,146521.74,HFT-USD
1762430400,0.0418,0.0423,0.0422,0.0419,174813.74,HFT-USD
1762434000,0.042,0.0432,0.042,0.0432,150254.51,HFT-USD
1762437600,0.0425,0.0432,0.0432,0.0427,1372369.3,HFT-USD
1762441200,0.0416,0.0434,0.0426,0.0418,810277.24,HFT-USD
1762444800,0.0408,0.0419,0.0418,0.0413,1441269.72,HFT-USD
1762448400,0.0411,0.0422,0.0413,0.0421,684137.04,HFT-USD
1762452000,0.0414,0.0428,0.0421,0.0424,1220634.73,HFT-USD
1762455600,0.0417,0.0424,0.0424,0.0421,627834.09,HFT-USD
1762459200,0.0405,0.0423,0.0421,0.0407,1492753.37,HFT-USD
1762462800,0.0405,0.041,0.0407,0.0408,490675.74,HFT-USD
1762466400,0.0402,0.0408,0.0407,0.0406,563154.62,HFT-USD
1762470000,0.0402,0.041,0.0406,0.041,770622.52,HFT-USD
1762473600,0.041,0.0416,0.041,0.0414,533396.04,HFT-USD
1762477200,0.041,0.042,0.0415,0.0415,928187.23,HFT-USD
1762480800,0.0411,0.0416,0.0416,0.0412,748710.39,HFT-USD
1762484400,0.0412,0.0417,0.0413,0.0413,760890.21,HFT-USD
1762488000,0.0409,0.0415,0.0413,0.0414,403525.41,HFT-USD
