time,low,high,open,close,volume,symbol
1761955200,2.452,2.484,2.46,2.48,4490.55,HNT-USD
1761958800,2.484,2.56,2.484,2.507,20417.75,HNT-USD
1761962400,2.486,2.506,2.503,2.499,7388.5,HNT-USD
1761966000,2.495,2.545,2.497,2.54,24491.95,HNT-USD
1761969600,2.53,2.555,2.538,2.54,13517.76,HNT-USD
1761973200,2.515,2.542,2.54,2.52,8668.68,HNT-USD
1761976800,2.512,2.529,2.52,2.527,4063.76,HNT-USD
1761980400,2.515,2.536,2.527,2.533,4275.03,HNT-USD
1761984000,2.532,2.56,2.535,2.535,10529.48,HNT-USD
1761987600,2.454,2.54,2.537,2.476,19954.75,HNT-USD
1761991200,2.455,2.499,2.477,2.491,10453.97,HNT-USD
1761994800,2.471,2.497,2.489,2.497,7910.53,HNT-USD
1761998400,2.49,2.512,2.497,2.493,10305.65,HNT-USD
1762002000,2.45,2.502,2.496,2.459,9263.58,HNT-USD
1762005600,2.451,2.487,2.461,2.485,8715.75,HNT-USD
1762009200,2.476,2.54,2.481,2.54,8285.42,HNT-USD
1762012800,2.53,2.56,2.54,2.549,13670.32,HNT-USD
1762016400,2.516,2.547,2.547,2.516,11447.89,HNT-USD
1762020000,2.484,2.522,2.522,2.502,9655.76,HNT-USD
1762023600,2.279,2.502,2.502,2.379,126301.29,HNT-USD
1762027200,2.36,2.424,2.379,2.388,13709.12,HNT-USD
1762030800,2.355,2.397,2.386,2.364,12833.66,HNT-USD
1762034400,2.345,2.384,2.362,2.384,8828.83,HNT-USD
1762038000,2.365,2.39,2.382,2.383,16206.79,HNT-USD
1762041600,2.38,2.387,2.386,2.382,23752.91,HNT-USD
1762045200,2.38,2.391,2.381,2.388,36396.91,HNT-USD
1762048800,2.38,2.39,2.387,2.389,8406.98,HNT-USD
1762052400,2.38,2.39,2.387,2.383,7823.98,HNT-USD
1762056000,2.38,2.429,2.382,2.423,10119.21,HNT-USD
1762059600,2.389,2.424,2.422,2.398,7425.01,HNT-USD
1762063200,2.391,2.417,2.399,2.404,5044.63,HNT-USD
1762066800,2.392,2.41,2.402,2.401,7243.15,HNT-USD
1762070400,2.398,2.414,2.401,2.409,5906.77,HNT-USD
1762074000,2.381,2.423,2.413,2.384,12559.47,HNT-USD
1762077600,2.343,2.39,2.385,2.367,15297.4,HNT-USD
1762081200,2.362,2.38,2.366,2.363,10699.72,HNT-USD
1762084800,2.312,2.366,2.362,2.331,21094.93,HNT-USD
1762088400,2.311,2.336,2.334,2.323,17091.7,HNT-USD
1762092000,2.3,2.332,2.323,2.3,13993.84,HNT-USD
1762095600,2.282,2.305,2.3,2.284,19692.39,HNT-USD
1762099200,2.252,2.304,2.282,2.299,32728.86,HNT-USD
1762102800,2.286,2.325,2.299,2.314,15887.59,HNT-USD
1762106400,2.31,2.34,2.312,2.332,11181.11,HNT-USD
1762110000,2.325,2.351,2.333,2.336,12854.77,HNT-USD
1762113600,2.315,2.377,2.333,2.371,13941.91,HNT-USD
1762117200,2.364,2.426,2.373,2.38,26381.87,HNT-USD
1762120800,2.38,2.407,2.38,2.404,24593.06,HNT-USD
1762124400,2.398,2.43,2.405,2.413,15449.63,HNT-USD
1762128000,2.366,2.433,2.415,2.374,70085.43,HNT-USD
1762131600,2.327,2.382,2.374,2.345,11033.5,HNT-USD
1762135200,2.31,2.357,2.345,2.312,17517.86,HNT-USD
1762138800,2.288,2.328,2.316,2.297,19801.24,HNT-USD
1762142400,2.267,2.3,2.295,2.289,14435.77,HNT-USD
1762146000,2.273,2.312,2.29,2.276,9443.34,HNT-USD
1762149600,2.271,2.337,2.278,2.332,13321.33,HNT-USD
1762153200,2.316,2.348,2.33,2.324,10033.05,HNT-USD
1762156800,2.233,2.325,2.321,2.248,36629.81,HNT-USD
1762160400,2.233,2.259,2.246,2.247,11246.11,HNT-USD
1762164000,2.231,2.261,2.244,2.231,8904.79,HNT-USD
1762167600,2.231,2.262,2.231,2.255,10478.66,HNT-USD
1762171200,2.245,2.27,2.252,2.249,9074.59,HNT-USD
1762174800,2.25,2.297,2.25,2.29,26681.48,HNT-USD
1762178400,2.263,2.304,2.293,2.296,11815.28,HNT-USD
1762182000,2.179,2.295,2.295,2.199,53925.66,HNT-USD
1762185600,2.194,2.23,2.197,2.215,38934.88,HNT-USD
1762189200,2.215,2.307,2.216,2.298,12953.01,HNT-USD
1762192800,2.243,2.312,2.299,2.264,18742.68,HNT-USD
1762196400,2.249,2.287,2.266,2.261,14204.56,HNT-USD
1762200000,2.204,2.279,2.263,2.215,25497.23,HNT-USD
1762203600,2.194,2.24,2.217,2.204,20236.86,HNT-USD
1762207200,2.187,2.218,2.203,2.218,11184.41,HNT-USD
1762210800,2.154,2.22,2.219,2.171,43392.53,HNT-USD
1762214400,2.123,2.18,2.168,2.176,28656.62,HNT-USD
1762218000,2.161,2.184,2.177,2.163,18983.58,HNT-USD
1762221600,2.159,2.22,2.163,2.191,36129.12,HNT-USD
1762225200,2.179,2.207,2.191,2.203,19108.84,HNT-USD
