time,low,high,open,close,volume,symbol
1761955200,0.02173,0.02194,0.02183,0.02194,133037,HOME-USD
1761958800,0.02185,0.02193,0.02193,0.02185,111807,HOME-USD
1761962400,0.02173,0.02194,0.02183,0.02191,268032,HOME-USD
1761966000,0.0219,0.02194,0.02192,0.02194,158093,HOME-USD
1761969600,0.0219,0.02195,0.02193,0.02195,51400,HOME-USD
1761976800,0.02187,0.02196,0.02192,0.02196,58745,HOME-USD
1761980400,0.022,0.02223,0.022,0.02223,50368,HOME-USD
1761987600,0.02234,0.02245,0.02242,0.02245,149839,HOME-USD
1761991200,0.02247,0.02259,0.02247,0.02259,52718,HOME-USD
1761994800,0.02259,0.02273,0.02262,0.02273,125400,HOME-USD
1761998400,0.02261,0.02274,0.02274,0.02268,97186,HOME-USD
1762002000,0.02273,0.0228,0.02275,0.02273,136274,HOME-USD
1762005600,0.02254,0.02271,0.02263,0.02271,272903,HOME-USD
1762009200,0.02275,0.02297,0.02275,0.02297,90897,HOME-USD
1762012800,0.02259,0.023,0.02297,0.02259,412378,HOME-USD
1762016400,0.02262,0.02268,0.02268,0.02266,108739,HOME-USD
1762020000,0.0227,0.02278,0.02278,0.0227,6828,HOME-USD
1762023600,0.0227,0.02275,0.0227,0.02275,49555,HOME-USD
1762027200,0.02263,0.02282,0.02273,0.02269,796510,HOME-USD
1762030800,0.02255,0.02277,0.02273,0.02255,105386,HOME-USD
1762034400,0.02267,0.02276,0.02269,0.02276,39653,HOME-USD
1762038000,0.02274,0.0228,0.02276,0.02276,12015,HOME-USD
1762041600,0.02271,0.02281,0.02279,0.02279,31845,HOME-USD
1762045200,0.0228,0.02287,0.02285,0.02285,17920,HOME-USD
1762048800,0.02278,0.02301,0.02285,0.02278,1158908,HOME-USD
1762052400,0.02287,0.02294,0.02289,0.02289,165435,HOME-USD
1762056000,0.02287,0.02317,0.02287,0.02317,98177,HOME-USD
1762059600,0.02315,0.02345,0.02329,0.02325,775046,HOME-USD
1762063200,0.0233,0.02331,0.0233,0.02331,56480,HOME-USD
1762066800,0.02331,0.02387,0.02331,0.02384,1377823,HOME-USD
1762070400,0.02376,0.0241,0.02388,0.02386,1419565,HOME-USD
1762074000,0.0237,0.02386,0.02386,0.02379,466345,HOME-USD
1762077600,0.02373,0.02384,0.02377,0.02381,303065,HOME-USD
1762081200,0.0238,0.02393,0.02381,0.02385,120506,HOME-USD
1762084800,0.02369,0.02386,0.02384,0.02369,597888,HOME-USD
1762088400,0.02338,0.02379,0.02365,0.0234,958141,HOME-USD
1762092000,0.02308,0.02338,0.02337,0.0232,382046,HOME-USD
1762095600,0.02315,0.02335,0.02326,0.02315,61473,HOME-USD
1762099200,0.02306,0.0233,0.02316,0.0233,60527,HOME-USD
1762102800,0.02318,0.02321,0.02321,0.0232,6503,HOME-USD
1762106400,0.02314,0.02316,0.02316,0.02314,52620,HOME-USD
1762110000,0.02307,0.0231,0.0231,0.02308,41100,HOME-USD
1762113600,0.02298,0.02305,0.02298,0.02305,53445,HOME-USD
1762117200,0.02301,0.02307,0.02301,0.02307,921,HOME-USD
1762120800,0.02309,0.02314,0.02309,0.02312,9030,HOME-USD
1762124400,0.02314,0.02339,0.02315,0.02332,314539,HOME-USD
1762128000,0.02294,0.02329,0.02329,0.02294,12857,HOME-USD
1762131600,0.02269,0.02297,0.02297,0.02276,495286,HOME-USD
1762135200,0.02262,0.02277,0.02276,0.02272,61483,HOME-USD
