time,low,high,open,close,volume,symbol
1769097600,0.01135,0.01476,0.01135,0.01475,710266,IMU-USD
1769101200,0.01268,0.04399,0.01475,0.01529,31208894,IMU-USD
1769104800,0.01206,0.01689,0.01529,0.01225,24975593,IMU-USD
1769108400,0.01203,0.017,0.01225,0.01349,20308142,IMU-USD
1769112000,0.0126,0.01447,0.01349,0.01298,18840187,IMU-USD
1769115600,0.01175,0.0135,0.01298,0.01217,14931530,IMU-USD
1769119200,0.0113,0.01332,0.01217,0.0124,8041531,IMU-USD
1769122800,0.01151,0.01297,0.01203,0.012,8171545,IMU-USD
1769126400,0.01,0.01219,0.012,0.01041,21437772,IMU-USD
1769130000,0.0102,0.01088,0.01041,0.01069,3660916,IMU-USD
1769133600,0.01045,0.01185,0.01074,0.01125,9005133,IMU-USD
1769137200,0.01033,0.01106,0.01105,0.01074,7277129,IMU-USD
1769140800,0.01036,0.01122,0.01073,0.01108,5093847,IMU-USD
1769144400,0.01095,0.0117,0.0111,0.0114,5496416,IMU-USD
1769148000,0.01089,0.01168,0.01138,0.01149,5880287,IMU-USD
1769151600,0.01088,0.01163,0.01149,0.01135,4268381,IMU-USD
1769155200,0.0113,0.0123,0.01134,0.01218,2485648,IMU-USD
1769155200,0.0113,0.0123,0.01134,0.01218,2485648,IMU-USD
1769158800,0.01095,0.01245,0.01218,0.0114,3354377,IMU-USD
1769162400,0.01072,0.01142,0.01133,0.01094,2753167,IMU-USD
1769166000,0.01072,0.01222,0.0109,0.01087,3521112,IMU-USD
1769169600,0.0104,0.01124,0.01092,0.01075,5804452,IMU-USD
1769173200,0.01045,0.01084,0.01075,0.0106,3338909,IMU-USD
1769176800,0.01,0.01076,0.01059,0.0102,5535803,IMU-USD
1769180400,0.00988,0.01075,0.01019,0.01029,12515844,IMU-USD
1769184000,0.00982,0.01027,0.0102,0.01,7423027,IMU-USD
1769187600,0.00989,0.01049,0.00999,0.0101,21484760,IMU-USD
1769191200,0.00994,0.01045,0.0101,0.01002,8431050,IMU-USD
1769194800,0.00992,0.0103,0.01001,0.01019,6750348,IMU-USD
1769198400,0.00973,0.01031,0.0102,0.00996,7625066,IMU-USD
1769202000,0.00989,0.01021,0.00997,0.01,9887892,IMU-USD
1769205600,0.0094,0.01001,0.01,0.00982,8999223,IMU-USD
1769209200,0.00936,0.00988,0.00988,0.00945,3535489,IMU-USD
1769212800,0.00886,0.00947,0.00943,0.00916,15360780,IMU-USD
1769216400,0.0085,0.00914,0.00914,0.0087,12905658,IMU-USD
1769220000,0.00854,0.0089,0.00867,0.00864,8207644,IMU-USD
1769223600,0.00751,0.00864,0.00864,0.00789,21687662,IMU-USD
1769227200,0.00758,0.00864,0.00794,0.00864,13506123,IMU-USD
1769230800,0.00805,0.00887,0.00862,0.00818,16858302,IMU-USD
1769234400,0.00817,0.00856,0.00817,0.00829,3796279,IMU-USD
1769238000,0.00827,0.00878,0.00831,0.00878,1783836,IMU-USD
1769241600,0.00854,0.00878,0.00878,0.00854,1400827,IMU-USD
1769245200,0.00854,0.00877,0.00858,0.00877,1709544,IMU-USD
1769248800,0.00835,0.0091,0.00876,0.00842,3815500,IMU-USD
1769252400,0.0081,0.00868,0.00849,0.00841,6198104,IMU-USD
1769256000,0.00793,0.00839,0.00839,0.00823,3798641,IMU-USD
1769259600,0.00827,0.00899,0.00827,0.00845,4091377,IMU-USD
1769263200,0.00831,0.00884,0.00849,0.00843,7621702,IMU-USD
1769266800,0.00841,0.00918,0.00841,0.00918,8731713,IMU-USD
1769270400,0.00863,0.00913,0.00908,0.00863,3796689,IMU-USD
1769274000,0.00829,0.00909,0.00873,0.00847,11901913,IMU-USD
1769277600,0.00834,0.00879,0.00843,0.00856,3289161,IMU-USD
1769281200,0.00835,0.00856,0.00856,0.00846,1720295,IMU-USD
1769284800,0.00823,0.00853,0.00848,0.00841,2868872,IMU-USD
1769288400,0.00835,0.00891,0.00843,0.00878,3327260,IMU-USD
1769292000,0.00844,0.00898,0.00874,0.0087,6615319,IMU-USD
1769295600,0.0084,0.00868,0.00868,0.00844,2233404,IMU-USD
1769299200,0.00801,0.00845,0.00845,0.00808,7975292,IMU-USD
1769302800,0.00801,0.00822,0.00806,0.00815,6297836,IMU-USD
1769306400,0.00778,0.00814,0.00814,0.00785,3378962,IMU-USD
1769310000,0.00777,0.00794,0.00784,0.0079,2923931,IMU-USD
1769313600,0.00747,0.00789,0.00789,0.0076,11477443,IMU-USD
1769317200,0.00711,0.00762,0.00762,0.00713,15073503,IMU-USD
1769320800,0.0071,0.00759,0.00716,0.00756,7630371,IMU-USD
1769324400,0.00681,0.00774,0.00758,0.00705,9916221,IMU-USD
1769328000,0.00687,0.00743,0.00705,0.00709,6048306,IMU-USD
1769331600,0.00706,0.00742,0.00706,0.00712,4053260,IMU-USD
1769335200,0.00699,0.00733,0.00714,0.007,1892979,IMU-USD
1769338800,0.00687,0.00728,0.007,0.00723,3923246,IMU-USD
1769342400,0.00704,0.00739,0.00708,0.0071,3267586,IMU-USD
1769346000,0.0071,0.00737,0.0072,0.0071,1340168,IMU-USD
1769349600,0.00681,0.00709,0.00707,0.00698,3664285,IMU-USD
1769353200,0.00689,0.00716,0.00695,0.00702,3143904,IMU-USD
1769356800,0.00632,0.00702,0.00702,0.00643,15594285,IMU-USD
1769360400,0.00574,0.00675,0.00644,0.00623,39040085,IMU-USD
1769364000,0.0062,0.0068,0.00623,0.00641,8879654,IMU-USD
1769367600,0.00592,0.00646,0.00642,0.00605,13222581,IMU-USD
1769371200,0.00604,0.00666,0.00605,0.0066,7958270,IMU-USD
1769374800,0.00629,0.00661,0.00661,0.00651,3502154,IMU-USD
1769378400,0.00623,0.00678,0.0065,0.00643,8282588,IMU-USD
1769382000,0.00633,0.00687,0.00638,0.00666,10688334,IMU-USD
1769385600,0.00647,0.00721,0.00667,0.00657,14794278,IMU-USD
1769389200,0.00626,0.00742,0.00651,0.00703,20553705,IMU-USD
1769392800,0.00684,0.0077,0.00703,0.00709,28012242,IMU-USD
1769396400,0.00671,0.00757,0.00707,0.00715,21949185,IMU-USD
1769400000,0.00708,0.0077,0.00716,0.00721,16728705,IMU-USD
1769403600,0.00692,0.00751,0.0074,0.00707,8493630,IMU-USD
1769407200,0.00692,0.00718,0.00703,0.00699,520790,IMU-USD
1769410800,0.00701,0.00759,0.00704,0.00748,3980415,IMU-USD
1769414400,0.00739,0.00811,0.00751,0.00749,14337687,IMU-USD
1769418000,0.00749,0.00801,0.00749,0.00758,3439397,IMU-USD
1769421600,0.00747,0.00775,0.00757,0.00748,792045,IMU-USD
1769425200,0.00713,0.00761,0.00748,0.00718,1754467,IMU-USD
1769428800,0.007,0.0076,0.00717,0.00713,2052752,IMU-USD
1769432400,0.0068,0.00702,0.00702,0.00688,2993106,IMU-USD
1769436000,0.00681,0.00835,0.00684,0.008,29742131,IMU-USD
1769439600,0.0076,0.00816,0.008,0.00785,14965055,IMU-USD
1769443200,0.00749,0.00814,0.00776,0.00788,19014867,IMU-USD
1769446800,0.00788,0.00978,0.00793,0.00935,74238765,IMU-USD
1769450400,0.00839,0.00949,0.00936,0.0089,45648010,IMU-USD
1769454000,0.00881,0.00969,0.0089,0.00932,31373413,IMU-USD
1769457600,0.00866,0.00936,0.00929,0.00886,15314664,IMU-USD
1769461200,0.008,0.00899,0.00891,0.00831,37738243,IMU-USD
1769464800,0.0077,0.00841,0.0083,0.00837,30258115,IMU-USD
1769468400,0.0079,0.00859,0.00834,0.0081,24538369,IMU-USD
1769472000,0.008,0.00848,0.00814,0.00828,9797624,IMU-USD
1769475600,0.00808,0.00861,0.00828,0.00822,16171890,IMU-USD
1769479200,0.00816,0.0095,0.00822,0.00885,24040056,IMU-USD
1769482800,0.0083,0.0093,0.00886,0.0083,21745487,IMU-USD
1769486400,0.00819,0.00886,0.00829,0.00853,11746301,IMU-USD
1769490000,0.00826,0.00864,0.00855,0.00835,1945721,IMU-USD
1769493600,0.0082,0.00911,0.0084,0.0084,6771460,IMU-USD
1769497200,0.00769,0.00857,0.00843,0.00798,6609656,IMU-USD
1769500800,0.00751,0.00817,0.00796,0.00784,5984333,IMU-USD
1769504400,0.00768,0.00803,0.00785,0.0078,2084358,IMU-USD
1769508000,0.0071,0.008,0.00771,0.00742,12512305,IMU-USD
1769511600,0.00675,0.00754,0.00741,0.00704,12588594,IMU-USD
1769515200,0.00697,0.00725,0.007,0.00722,4722329,IMU-USD
1769518800,0.00708,0.00759,0.00721,0.0073,11741641,IMU-USD
1769522400,0.00692,0.00729,0.00728,0.00705,6128937,IMU-USD
1769526000,0.00692,0.00735,0.00703,0.00731,3380848,IMU-USD
1769529600,0.0065,0.00739,0.00731,0.00707,19825342,IMU-USD
1769533200,0.00675,0.00707,0.00707,0.007,8134125,IMU-USD
1769536800,0.00687,0.00755,0.00702,0.00732,10018887,IMU-USD
1769540400,0.00706,0.0078,0.00732,0.00762,13759242,IMU-USD
1769544000,0.00735,0.0079,0.00762,0.00755,9131111,IMU-USD
1769547600,0.00752,0.00779,0.00752,0.00771,5864165,IMU-USD
1769551200,0.00743,0.00804,0.00772,0.00756,9000973,IMU-USD
1769554800,0.00736,0.00785,0.00752,0.0075,5421063,IMU-USD
1769558400,0.00713,0.00751,0.00746,0.0073,4409012,IMU-USD
1769562000,0.0072,0.00769,0.0073,0.0074,4211495,IMU-USD
1769565600,0.0074,0.00785,0.0074,0.00745,5413403,IMU-USD
1769569200,0.00729,0.00748,0.00748,0.0073,2083694,IMU-USD
1769572800,0.0072,0.00777,0.0073,0.00746,6857042,IMU-USD
1769576400,0.00721,0.00765,0.00744,0.00739,3019938,IMU-USD
1769580000,0.00724,0.00775,0.00736,0.00735,8381437,IMU-USD
1769583600,0.0072,0.00752,0.00734,0.0072,1498358,IMU-USD
1769587200,0.00708,0.00735,0.0072,0.0072,2341574,IMU-USD
1769590800,0.007,0.00726,0.00723,0.00709,1415501,IMU-USD
1769594400,0.00706,0.00728,0.0071,0.00718,1658864,IMU-USD
1769598000,0.007,0.00716,0.00713,0.00705,547300,IMU-USD
1769601600,0.00704,0.00709,0.00704,0.00705,945616,IMU-USD
1769605200,0.00705,0.00721,0.00705,0.00719,2444237,IMU-USD
1769608800,0.007,0.0072,0.00716,0.007,3682286,IMU-USD
1769612400,0.00657,0.00703,0.007,0.00675,12586666,IMU-USD
1769616000,0.0066,0.00692,0.00675,0.0067,4683056,IMU-USD
