time,low,high,open,close,volume,symbol
1761955200,35.04,35.67,35.22,35.59,6.2083,INV-USD
1761958800,35.11,35.53,35.53,35.11,1.5558,INV-USD
1761962400,35.04,36.54,35.19,35.66,108.3345,INV-USD
1761966000,35.35,36.0,35.62,35.62,21.8784,INV-USD
1761969600,35.48,36.77,36.11,35.48,107.8948,INV-USD
1761973200,35.47,35.87,35.47,35.51,2.4309,INV-USD
1761976800,35.45,36.07,35.51,35.45,19.1748,INV-USD
1761980400,35.51,35.9,35.83,35.51,2.818,INV-USD
1761984000,35.39,36.43,35.89,35.84,67.9462,INV-USD
1761987600,35.34,35.84,35.37,35.83,9.777,INV-USD
1761991200,34.98,36.17,35.75,35.15,13.7549,INV-USD
1761994800,35.02,35.83,35.55,35.83,4.0973,INV-USD
1761998400,34.98,35.6,35.6,34.98,4.1779,INV-USD
1762002000,34.67,34.98,34.98,34.67,6.0013,INV-USD
1762005600,34.5,35.52,35.0,35.05,350.7398,INV-USD
1762009200,35.1,35.56,35.53,35.5,30.1897,INV-USD
1762012800,35.06,35.77,35.61,35.09,10.7178,INV-USD
1762016400,35.1,36.35,35.1,35.65,71.2252,INV-USD
1762020000,35.17,36.21,36.21,35.62,25.4248,INV-USD
1762027200,35.53,35.76,35.61,35.74,16.4386,INV-USD
1762030800,35.5,35.75,35.75,35.5,27.8343,INV-USD
1762034400,35.2,36.08,35.5,35.44,37.9101,INV-USD
1762038000,35.27,35.61,35.29,35.27,8.1615,INV-USD
1762045200,35.6,36.02,35.6,36.01,1.7847,INV-USD
1762052400,35.54,36.17,36.17,35.54,3.0213,INV-USD
1762056000,35.46,35.98,35.91,35.52,6.5393,INV-USD
1762059600,35.43,35.5,35.43,35.5,1.73,INV-USD
1762063200,35.34,35.87,35.34,35.87,4.3967,INV-USD
1762070400,35.41,36.08,35.41,35.85,6.3,INV-USD
1762074000,35.24,35.83,35.83,35.61,15.0221,INV-USD
1762077600,35.61,35.85,35.61,35.85,1.0244,INV-USD
1762084800,35.39,36.47,35.91,35.39,57.3646,INV-USD
1762088400,35.34,35.91,35.4,35.62,25.8666,INV-USD
1762092000,34.96,35.89,35.62,34.97,73.8984,INV-USD
1762095600,35.04,35.6,35.3,35.09,50.1571,INV-USD
1762099200,34.87,35.97,35.0,35.08,3.4077,INV-USD
1762102800,35.04,35.61,35.42,35.55,4.6257,INV-USD
1762106400,35.1,35.54,35.53,35.54,36.298,INV-USD
1762110000,34.81,36.45,35.61,34.81,66.9403,INV-USD
1762113600,34.55,35.42,35.25,35.12,99.4912,INV-USD
1762120800,34.55,35.32,35.27,35.24,49.8444,INV-USD
1762124400,34.59,35.57,34.59,35.2,18.9128,INV-USD
1762128000,35.01,35.89,35.42,35.15,56.0965,INV-USD
1762131600,35.06,35.56,35.06,35.54,8.1201,INV-USD
1762135200,35.02,35.74,35.14,35.74,15.7174,INV-USD
1762138800,34.32,35.73,35.3,34.59,240.3668,INV-USD
1762142400,34.16,35.17,34.33,34.33,50.5324,INV-USD
1762146000,34.08,34.93,34.2,34.08,15.4952,INV-USD
1762149600,34.08,35.03,34.7,34.84,17.4315,INV-USD
1762153200,33.55,35.06,35.06,34.66,29.351,INV-USD
1762156800,33.66,34.35,33.76,34.33,6.106,INV-USD
1762160400,33.64,33.84,33.84,33.64,6.9263,INV-USD
1762164000,33.6,34.67,33.61,33.84,8.22,INV-USD
1762167600,33.59,34.67,33.7,34.03,13.2995,INV-USD
1762171200,33.71,34.69,34.39,33.87,9.578,INV-USD
1762178400,33.87,34.55,34.39,33.88,3.612,INV-USD
1762182000,33.42,34.09,33.88,33.42,6.163,INV-USD
1762185600,33.41,33.77,33.73,33.77,20.7419,INV-USD
1762189200,33.41,33.79,33.47,33.41,5.5096,INV-USD
1762192800,33.41,33.63,33.63,33.42,6.2907,INV-USD
1762196400,33.21,33.51,33.41,33.51,8.823,INV-USD
1762200000,32.75,33.76,33.51,32.8,36.6467,INV-USD
1762203600,32.75,32.81,32.81,32.75,4.4035,INV-USD
1762207200,32.75,33.07,32.75,33.07,6.4531,INV-USD
1762214400,32.36,32.99,32.99,32.38,25.8707,INV-USD
