time,low,high,open,close,volume,symbol
1761955200,0.8957,0.9059,0.903,0.9037,35600.5,JTO-USD
1761958800,0.9026,0.9103,0.9026,0.9042,7539.7,JTO-USD
1761962400,0.8983,0.9159,0.9047,0.9144,5431.4,JTO-USD
1761966000,0.9131,0.9267,0.9152,0.9266,7754.4,JTO-USD
1761969600,0.9173,0.9278,0.9263,0.9278,19167.2,JTO-USD
1761973200,0.9181,0.9266,0.9258,0.9186,13730.6,JTO-USD
1761976800,0.9163,0.9235,0.9191,0.9205,1228.3,JTO-USD
1761980400,0.921,0.9414,0.9227,0.9363,21072.0,JTO-USD
1761984000,0.9282,0.939,0.937,0.9346,7453.5,JTO-USD
1761987600,0.9219,0.935,0.935,0.924,4200.5,JTO-USD
1761991200,0.9195,0.9299,0.9202,0.9292,15223.6,JTO-USD
1761994800,0.9256,0.9354,0.93,0.9323,13421.2,JTO-USD
1761998400,0.9298,0.9341,0.9329,0.9333,6126.7,JTO-USD
1762002000,0.9262,0.9363,0.9344,0.9342,2225.9,JTO-USD
1762005600,0.9235,0.9326,0.9313,0.9282,12866.6,JTO-USD
1762009200,0.9248,0.9332,0.9331,0.9299,8847.2,JTO-USD
1762012800,0.9275,0.9373,0.9303,0.929,80130.4,JTO-USD
1762016400,0.9286,0.9341,0.9286,0.9341,8773.1,JTO-USD
1762020000,0.9306,0.9335,0.9333,0.9326,14342.3,JTO-USD
1762023600,0.9311,0.9387,0.9323,0.9374,4147.3,JTO-USD
1762027200,0.9342,0.9445,0.938,0.9374,97640.2,JTO-USD
1762030800,0.9294,0.9378,0.9375,0.9294,8804.5,JTO-USD
1762034400,0.9274,0.9375,0.9323,0.9351,9773.3,JTO-USD
1762038000,0.9355,0.9401,0.9359,0.938,3737.2,JTO-USD
1762041600,0.9346,0.9392,0.9366,0.9368,9115.4,JTO-USD
1762045200,0.9323,0.9387,0.9363,0.9348,10974.7,JTO-USD
1762048800,0.9338,0.941,0.9338,0.937,27585.4,JTO-USD
1762052400,0.9305,0.9384,0.9374,0.932,25750.0,JTO-USD
1762056000,0.934,0.9493,0.934,0.9492,9838.4,JTO-USD
1762059600,0.9419,0.9496,0.9484,0.948,2059.5,JTO-USD
1762063200,0.9461,0.9588,0.9481,0.9587,28585.0,JTO-USD
1762066800,0.9558,0.9637,0.9577,0.9603,7289.0,JTO-USD
1762070400,0.9525,0.9617,0.9616,0.9539,7352.0,JTO-USD
1762074000,0.9486,0.9581,0.9554,0.9501,12189.1,JTO-USD
1762077600,0.9429,0.9537,0.9506,0.9462,10189.3,JTO-USD
1762081200,0.947,0.9576,0.9498,0.9576,20343.8,JTO-USD
1762084800,0.9499,0.9567,0.9554,0.9499,6864.1,JTO-USD
1762088400,0.9375,0.9465,0.9465,0.9421,3964.6,JTO-USD
1762092000,0.9231,0.9417,0.9414,0.926,5414.7,JTO-USD
1762095600,0.9267,0.9358,0.9268,0.9267,3465.8,JTO-USD
1762099200,0.9153,0.9337,0.9271,0.9334,12001.6,JTO-USD
1762102800,0.9255,0.9353,0.9326,0.9292,11085.2,JTO-USD
1762106400,0.9276,0.9311,0.9295,0.9309,1675.8,JTO-USD
1762110000,0.9258,0.9316,0.9316,0.9301,1181.3,JTO-USD
1762113600,0.9276,0.9341,0.9289,0.9341,10119.8,JTO-USD
1762117200,0.9339,0.948,0.9348,0.948,10113.6,JTO-USD
1762120800,0.9393,0.9493,0.946,0.944,9276.7,JTO-USD
1762124400,0.9461,0.9622,0.9461,0.9601,26604.0,JTO-USD
1762128000,0.9385,0.963,0.9601,0.9389,16928.0,JTO-USD
1762131600,0.9271,0.9425,0.9396,0.9271,17076.4,JTO-USD
1762135200,0.9157,0.9275,0.9254,0.9221,8172.5,JTO-USD
1762138800,0.8814,0.9223,0.9208,0.8814,28642.9,JTO-USD
1762142400,0.8765,0.8902,0.8812,0.8902,21362.2,JTO-USD
1762146000,0.8744,0.8944,0.8936,0.8768,10252.7,JTO-USD
1762149600,0.8594,0.8778,0.8754,0.8653,10963.5,JTO-USD
1762153200,0.864,0.8753,0.8648,0.8737,5429.1,JTO-USD
1762156800,0.862,0.8737,0.8726,0.8699,22611.6,JTO-USD
1762160400,0.858,0.8773,0.8759,0.8629,4267.1,JTO-USD
1762164000,0.8511,0.8673,0.8635,0.8595,14772.0,JTO-USD
1762167600,0.8583,0.8676,0.8595,0.8586,13273.5,JTO-USD
1762171200,0.8571,0.8674,0.8573,0.8592,24026.7,JTO-USD
1762174800,0.8533,0.8673,0.8602,0.8649,37321.4,JTO-USD
1762178400,0.8575,0.8691,0.866,0.8667,13013.8,JTO-USD
1762182000,0.7743,0.8653,0.8644,0.8037,225201.5,JTO-USD
1762185600,0.799,0.8225,0.8037,0.8137,28656.4,JTO-USD
1762189200,0.8126,0.8346,0.815,0.8334,27457.2,JTO-USD
1762192800,0.8166,0.8346,0.8322,0.8192,16057.2,JTO-USD
1762196400,0.8094,0.8193,0.819,0.8114,21690.4,JTO-USD
1762200000,0.7934,0.8124,0.8121,0.8063,16683.1,JTO-USD
