time,low,high,open,close,volume,symbol
1761955200,0.0258,0.026,0.0258,0.0259,181489.39,KARRAT-USD
1761958800,0.0258,0.0262,0.0259,0.0258,310916.98,KARRAT-USD
1761962400,0.0258,0.0259,0.0258,0.0258,59480.03,KARRAT-USD
1761966000,0.0252,0.0258,0.0258,0.0254,1152200.93,KARRAT-USD
1761969600,0.0252,0.0254,0.0254,0.0252,304559.74,KARRAT-USD
1761973200,0.0251,0.0254,0.0252,0.0251,123109.39,KARRAT-USD
1761976800,0.0249,0.0252,0.0252,0.0251,222812.31,KARRAT-USD
1761980400,0.0249,0.0256,0.0251,0.0255,436538.93,KARRAT-USD
1761984000,0.0253,0.0259,0.0255,0.0258,435619.85,KARRAT-USD
1761987600,0.0255,0.0258,0.0258,0.0257,324066.46,KARRAT-USD
1761991200,0.0255,0.0259,0.0257,0.0259,231067.37,KARRAT-USD
1761994800,0.0255,0.0259,0.0258,0.0258,231629.12,KARRAT-USD
1761998400,0.0256,0.026,0.0258,0.0259,413001.53,KARRAT-USD
1762002000,0.0256,0.026,0.0259,0.0257,222983.84,KARRAT-USD
1762005600,0.0249,0.0257,0.0257,0.0251,385537.92,KARRAT-USD
1762009200,0.0248,0.0253,0.0251,0.0252,395573.32,KARRAT-USD
1762012800,0.025,0.0257,0.0252,0.0257,1227513.2,KARRAT-USD
1762016400,0.0255,0.028,0.0257,0.0277,2759145.44,KARRAT-USD
1762020000,0.0262,0.0278,0.0274,0.0265,1958543.15,KARRAT-USD
1762023600,0.0261,0.0265,0.0265,0.0263,414053.32,KARRAT-USD
1762027200,0.0261,0.0265,0.0263,0.0263,268357.64,KARRAT-USD
1762030800,0.026,0.0264,0.0263,0.0262,260180.28,KARRAT-USD
1762034400,0.0258,0.0263,0.0262,0.0262,445223.43,KARRAT-USD
1762038000,0.0258,0.0263,0.0262,0.0261,294552.02,KARRAT-USD
1762041600,0.0256,0.0262,0.026,0.0256,207977.38,KARRAT-USD
1762045200,0.0252,0.0256,0.0256,0.0252,50818.74,KARRAT-USD
1762048800,0.0251,0.0258,0.0252,0.0257,530961.35,KARRAT-USD
1762052400,0.0255,0.0261,0.0257,0.0261,141657.85,KARRAT-USD
1762056000,0.0255,0.0261,0.0261,0.0258,207590.24,KARRAT-USD
1762059600,0.0256,0.0263,0.0258,0.0262,732619.24,KARRAT-USD
1762063200,0.0261,0.0275,0.0261,0.0275,520820.57,KARRAT-USD
1762066800,0.0263,0.0275,0.0273,0.0264,325702.46,KARRAT-USD
1762070400,0.0261,0.0265,0.0264,0.0262,189699.75,KARRAT-USD
1762074000,0.026,0.0279,0.0261,0.0262,1054896.57,KARRAT-USD
1762077600,0.0259,0.0264,0.0263,0.0261,117278.1,KARRAT-USD
1762081200,0.0259,0.0262,0.0261,0.026,148940.02,KARRAT-USD
1762084800,0.0259,0.0263,0.026,0.0259,113630.51,KARRAT-USD
1762088400,0.0255,0.0259,0.0259,0.0257,136907.79,KARRAT-USD
1762092000,0.0255,0.0258,0.0257,0.0255,106288.39,KARRAT-USD
1762095600,0.025,0.0257,0.0255,0.0252,284812.32,KARRAT-USD
1762099200,0.0249,0.0254,0.0252,0.0252,370435.84,KARRAT-USD
1762102800,0.0251,0.0256,0.0252,0.0253,270607.98,KARRAT-USD
1762106400,0.0251,0.0257,0.0254,0.0252,223366.36,KARRAT-USD
1762110000,0.0245,0.0252,0.0252,0.0247,725037.86,KARRAT-USD
1762113600,0.0247,0.025,0.0247,0.0248,23025.79,KARRAT-USD
1762117200,0.0248,0.0255,0.0248,0.0252,348886.84,KARRAT-USD
1762120800,0.025,0.0252,0.025,0.0251,24869.43,KARRAT-USD
1762124400,0.025,0.0253,0.0251,0.0252,250898.25,KARRAT-USD
1762128000,0.025,0.0256,0.0252,0.0254,266792.23,KARRAT-USD
1762131600,0.025,0.0256,0.0255,0.025,142926.71,KARRAT-USD
1762135200,0.0242,0.0251,0.025,0.0242,353927.26,KARRAT-USD
1762138800,0.0232,0.0242,0.0242,0.0232,272750.82,KARRAT-USD
1762142400,0.0231,0.0239,0.0232,0.0234,242200.38,KARRAT-USD
1762146000,0.0235,0.0244,0.0235,0.0241,422827.13,KARRAT-USD
1762149600,0.0234,0.0239,0.0239,0.0235,28535.94,KARRAT-USD
1762153200,0.023,0.0238,0.0234,0.0238,132633.94,KARRAT-USD
1762156800,0.0238,0.0245,0.0239,0.0242,523527.28,KARRAT-USD
1762160400,0.0241,0.0246,0.0241,0.0243,372649.9,KARRAT-USD
1762164000,0.0242,0.0246,0.0243,0.0242,85190.46,KARRAT-USD
1762167600,0.0241,0.0246,0.0244,0.0241,158250.62,KARRAT-USD
1762171200,0.0231,0.0243,0.0241,0.0234,1205861.31,KARRAT-USD
1762174800,0.0235,0.0236,0.0235,0.0235,49239.11,KARRAT-USD
1762178400,0.0233,0.0235,0.0235,0.0233,199433.21,KARRAT-USD
1762182000,0.0223,0.0234,0.0233,0.0223,1077211.18,KARRAT-USD
1762185600,0.021,0.0224,0.0224,0.0215,1796936.58,KARRAT-USD
1762189200,0.0215,0.0222,0.0215,0.0219,1035270.55,KARRAT-USD
1762192800,0.0216,0.0221,0.0221,0.0217,263276.17,KARRAT-USD
1762196400,0.0215,0.0218,0.0216,0.0215,122203.13,KARRAT-USD
1762200000,0.0214,0.0218,0.0215,0.0215,135764.96,KARRAT-USD
1762203600,0.0214,0.0218,0.0216,0.0215,284189.14,KARRAT-USD
1762207200,0.0212,0.0217,0.0216,0.0212,273836.28,KARRAT-USD
1762210800,0.0212,0.0214,0.0212,0.0214,130220.15,KARRAT-USD
1762214400,0.0212,0.0218,0.0214,0.0217,349800.47,KARRAT-USD
1762218000,0.0214,0.0218,0.0217,0.0215,187625.79,KARRAT-USD
1762221600,0.0212,0.0219,0.0216,0.0212,551228.88,KARRAT-USD
1762225200,0.0211,0.0215,0.0213,0.0212,576481.56,KARRAT-USD
1762228800,0.021,0.0214,0.0212,0.0212,281358.44,KARRAT-USD
1762232400,0.0207,0.0217,0.0213,0.0208,1153613.26,KARRAT-USD
1762236000,0.0204,0.0208,0.0208,0.0208,618793.84,KARRAT-USD
1762239600,0.0206,0.0214,0.0208,0.0213,485535.51,KARRAT-USD
1762243200,0.0207,0.0214,0.0213,0.0209,217444.53,KARRAT-USD
1762246800,0.0207,0.0211,0.0209,0.021,363882.3,KARRAT-USD
1762250400,0.0205,0.0212,0.021,0.0209,339326.82,KARRAT-USD
1762254000,0.0206,0.0214,0.0209,0.0213,696989.53,KARRAT-USD
1762257600,0.0206,0.0213,0.0213,0.0209,338120.97,KARRAT-USD
1762261200,0.0203,0.0209,0.0209,0.0204,90071.35,KARRAT-USD
1762264800,0.0203,0.0211,0.0204,0.0208,559926.44,KARRAT-USD
1762268400,0.0208,0.0211,0.0209,0.021,139907.03,KARRAT-USD
1762272000,0.02,0.021,0.021,0.0202,702791.08,KARRAT-USD
1762275600,0.0195,0.0204,0.0202,0.0197,671301.18,KARRAT-USD
1762279200,0.0194,0.02,0.0197,0.0196,931286.26,KARRAT-USD
1762282800,0.0192,0.0201,0.0196,0.0197,834350.19,KARRAT-USD
1762286400,0.0187,0.0201,0.0198,0.019,698019.48,KARRAT-USD
1762290000,0.0184,0.0193,0.0189,0.0186,401993.24,KARRAT-USD
1762293600,0.0185,0.0197,0.0185,0.0197,1379632.6,KARRAT-USD
1762297200,0.0196,0.0205,0.0197,0.02,1205027.37,KARRAT-USD
1762300800,0.0196,0.0202,0.0202,0.0198,206117.79,KARRAT-USD
1762304400,0.0192,0.0199,0.0197,0.0192,107430.0,KARRAT-USD
1762308000,0.0192,0.0197,0.0192,0.0195,361642.35,KARRAT-USD
1762311600,0.0192,0.0198,0.0197,0.0193,212826.69,KARRAT-USD
1762315200,0.0192,0.0203,0.0193,0.02,415321.46,KARRAT-USD
1762318800,0.0196,0.0205,0.02,0.0196,456181.43,KARRAT-USD
1762322400,0.0193,0.0198,0.0198,0.0193,163869.47,KARRAT-USD
1762326000,0.0193,0.0201,0.0193,0.0198,370388.26,KARRAT-USD
1762329600,0.0196,0.0199,0.0198,0.0197,135419.18,KARRAT-USD
1762333200,0.0192,0.0198,0.0196,0.0193,99733.9,KARRAT-USD
1762336800,0.019,0.0195,0.0192,0.019,129839.68,KARRAT-USD
1762340400,0.0189,0.0194,0.019,0.0191,112356.91,KARRAT-USD
1762344000,0.019,0.0198,0.0191,0.0197,354764.42,KARRAT-USD
1762347600,0.0192,0.0199,0.0199,0.0194,1018080.65,KARRAT-USD
1762351200,0.019,0.0195,0.0194,0.019,510308.2,KARRAT-USD
1762354800,0.0189,0.0193,0.0191,0.0192,418205.8,KARRAT-USD
1762358400,0.0192,0.0197,0.0192,0.0195,1077274.19,KARRAT-USD
1762362000,0.0195,0.02,0.0197,0.0198,263933.56,KARRAT-USD
1762365600,0.0194,0.0204,0.0199,0.0202,971897.86,KARRAT-USD
1762369200,0.02,0.0204,0.0202,0.0201,190439.07,KARRAT-USD
1762372800,0.0199,0.0204,0.02,0.0201,353763.81,KARRAT-USD
1762376400,0.0198,0.0202,0.0201,0.0199,143305.97,KARRAT-USD
1762380000,0.0196,0.0202,0.0199,0.0196,597627.95,KARRAT-USD
1762383600,0.0194,0.0197,0.0195,0.0195,132220.13,KARRAT-USD
1762387200,0.0191,0.0195,0.0195,0.0192,850226.08,KARRAT-USD
1762390800,0.0189,0.0195,0.0192,0.0191,1254693.18,KARRAT-USD
1762394400,0.0188,0.0193,0.019,0.019,394214.84,KARRAT-USD
