time,low,high,open,close,volume,symbol
1761955200,0.001853,0.001863,0.001854,0.001856,224554,KEYCAT-USD
1761958800,0.0018,0.001854,0.001854,0.0018,13319379,KEYCAT-USD
1761962400,0.001811,0.001832,0.001814,0.001832,1094312,KEYCAT-USD
1761966000,0.001827,0.001859,0.00183,0.001851,4431764,KEYCAT-USD
1761969600,0.001846,0.001858,0.001858,0.001848,228367,KEYCAT-USD
1761973200,0.001842,0.001866,0.001855,0.001866,600668,KEYCAT-USD
1761976800,0.001859,0.001892,0.001866,0.001892,1677286,KEYCAT-USD
1761980400,0.001866,0.001894,0.001891,0.001876,971903,KEYCAT-USD
1761984000,0.001877,0.001886,0.001877,0.00188,391963,KEYCAT-USD
1761987600,0.001832,0.001881,0.00188,0.001866,12012777,KEYCAT-USD
1761994800,0.001855,0.00187,0.00186,0.001867,1272139,KEYCAT-USD
1761998400,0.001863,0.00187,0.001866,0.00187,53395,KEYCAT-USD
1762002000,0.001852,0.001864,0.001863,0.001852,466955,KEYCAT-USD
1762005600,0.001848,0.001873,0.00185,0.001868,9527883,KEYCAT-USD
1762009200,0.001862,0.00187,0.001868,0.001866,306312,KEYCAT-USD
1762012800,0.001845,0.00187,0.001868,0.001846,2070619,KEYCAT-USD
1762016400,0.001834,0.001863,0.001845,0.001862,7231856,KEYCAT-USD
1762020000,0.001855,0.001861,0.001856,0.001858,1046554,KEYCAT-USD
1762023600,0.001855,0.001861,0.001856,0.001856,1686269,KEYCAT-USD
1762027200,0.001852,0.001865,0.001862,0.001857,2430801,KEYCAT-USD
1762030800,0.001815,0.001862,0.001852,0.001828,13213360,KEYCAT-USD
1762034400,0.001815,0.001842,0.001834,0.001827,4460029,KEYCAT-USD
1762038000,0.0018,0.001823,0.001822,0.001807,3200704,KEYCAT-USD
1762041600,0.001792,0.001817,0.001803,0.0018,8817512,KEYCAT-USD
1762045200,0.001798,0.001825,0.001798,0.001815,3984890,KEYCAT-USD
1762048800,0.001806,0.001843,0.001815,0.001843,5457280,KEYCAT-USD
1762052400,0.001826,0.001837,0.001836,0.001826,266576,KEYCAT-USD
1762056000,0.001826,0.001848,0.001837,0.001848,997445,KEYCAT-USD
1762059600,0.001844,0.001854,0.001849,0.001852,2559296,KEYCAT-USD
1762063200,0.001836,0.001844,0.001844,0.001836,212856,KEYCAT-USD
1762066800,0.00183,0.001856,0.001836,0.00185,1550513,KEYCAT-USD
1762070400,0.001808,0.00184,0.00184,0.001808,1683423,KEYCAT-USD
1762074000,0.001812,0.001822,0.001816,0.001814,1915019,KEYCAT-USD
1762077600,0.00179,0.001817,0.001814,0.001799,3167779,KEYCAT-USD
1762081200,0.00179,0.001799,0.001792,0.001799,223792,KEYCAT-USD
1762084800,0.001797,0.001802,0.001797,0.001797,2298349,KEYCAT-USD
1762088400,0.0018,0.001806,0.001804,0.001806,3093338,KEYCAT-USD
1762092000,0.001805,0.001822,0.001805,0.001815,1579739,KEYCAT-USD
1762095600,0.00181,0.001828,0.001815,0.001828,2142358,KEYCAT-USD
1762099200,0.001778,0.001829,0.001829,0.001788,7446637,KEYCAT-USD
1762102800,0.001723,0.001798,0.00179,0.001753,26363797,KEYCAT-USD
1762106400,0.001738,0.001766,0.001753,0.001745,4735086,KEYCAT-USD
1762110000,0.001649,0.001777,0.001738,0.001741,67664634,KEYCAT-USD
1762113600,0.001733,0.001748,0.00174,0.001742,3261798,KEYCAT-USD
1762117200,0.001737,0.001747,0.001742,0.001744,657900,KEYCAT-USD
1762120800,0.001742,0.00175,0.001747,0.001749,3278580,KEYCAT-USD
1762124400,0.001744,0.00176,0.001749,0.001749,4818755,KEYCAT-USD
1762128000,0.001712,0.001756,0.001756,0.001722,10194727,KEYCAT-USD
1762131600,0.001699,0.001726,0.001716,0.001699,3332990,KEYCAT-USD
1762135200,0.001669,0.0017,0.001699,0.001669,4631913,KEYCAT-USD
1762138800,0.001636,0.001671,0.001671,0.001636,2822825,KEYCAT-USD
1762142400,0.00163,0.001678,0.001634,0.001643,16083661,KEYCAT-USD
1762146000,0.00164,0.001645,0.001643,0.00164,1627694,KEYCAT-USD
1762149600,0.001637,0.001648,0.001641,0.001637,4433222,KEYCAT-USD
1762153200,0.001636,0.001643,0.001643,0.001642,130915,KEYCAT-USD
1762156800,0.00164,0.001665,0.001644,0.00164,9925521,KEYCAT-USD
1762164000,0.0016,0.00164,0.00164,0.0016,14546115,KEYCAT-USD
1762167600,0.0016,0.001612,0.0016,0.001605,6942556,KEYCAT-USD
1762171200,0.00158,0.001604,0.001598,0.001594,2858917,KEYCAT-USD
1762174800,0.001578,0.001597,0.001592,0.001589,1811705,KEYCAT-USD
1762178400,0.001592,0.001602,0.001594,0.001602,3532822,KEYCAT-USD
1762182000,0.001542,0.001641,0.001602,0.001566,33408783,KEYCAT-USD
1762185600,0.001521,0.001572,0.001564,0.001535,26404765,KEYCAT-USD
1762189200,0.001534,0.001564,0.001546,0.001562,2158631,KEYCAT-USD
1762192800,0.001552,0.001564,0.001559,0.001555,1053261,KEYCAT-USD
1762196400,0.00151,0.001551,0.001547,0.001525,9146265,KEYCAT-USD
1762200000,0.0015,0.001528,0.001519,0.001508,5557481,KEYCAT-USD
1762203600,0.0015,0.001535,0.001508,0.001535,20489294,KEYCAT-USD
1762207200,0.001521,0.001579,0.001532,0.00157,7538771,KEYCAT-USD
1762210800,0.001561,0.001597,0.001568,0.001585,9505055,KEYCAT-USD
1762214400,0.001565,0.001606,0.00159,0.00159,11976141,KEYCAT-USD
1762218000,0.001553,0.001617,0.001586,0.00161,11706684,KEYCAT-USD
1762221600,0.001597,0.001619,0.001612,0.001604,1722352,KEYCAT-USD
1762228800,0.0016,0.001606,0.001603,0.001604,139755,KEYCAT-USD
1762232400,0.001504,0.001604,0.001604,0.001504,20548091,KEYCAT-USD
1762236000,0.001471,0.001505,0.001505,0.001473,13842595,KEYCAT-USD
1762239600,0.001477,0.001494,0.001477,0.001494,1238542,KEYCAT-USD
1762243200,0.001433,0.001528,0.001491,0.001476,40529698,KEYCAT-USD
1762246800,0.001471,0.001483,0.001476,0.001476,843457,KEYCAT-USD
1762250400,0.001474,0.001481,0.00148,0.001481,155432,KEYCAT-USD
1762254000,0.001447,0.001494,0.001479,0.001464,7625812,KEYCAT-USD
1762257600,0.001465,0.001498,0.001465,0.001473,4366598,KEYCAT-USD
1762261200,0.001452,0.001475,0.001475,0.001452,4783534,KEYCAT-USD
1762264800,0.001401,0.001452,0.001452,0.001411,11895670,KEYCAT-USD
1762268400,0.001414,0.001441,0.001414,0.00143,8158662,KEYCAT-USD
1762272000,0.001366,0.001426,0.001426,0.001367,15550187,KEYCAT-USD
1762275600,0.001323,0.001375,0.001367,0.001327,18717711,KEYCAT-USD
1762279200,0.001305,0.001335,0.001328,0.001335,14087857,KEYCAT-USD
1762282800,0.001318,0.001353,0.001335,0.001322,7312687,KEYCAT-USD
1762286400,0.001316,0.001353,0.001322,0.001348,17055792,KEYCAT-USD
1762290000,0.001309,0.00138,0.001348,0.00138,17918938,KEYCAT-USD
1762293600,0.001367,0.001459,0.001369,0.00144,20113789,KEYCAT-USD
1762297200,0.00144,0.001453,0.001441,0.001448,1942072,KEYCAT-USD
1762300800,0.001435,0.001453,0.001448,0.001438,3436073,KEYCAT-USD
1762304400,0.001389,0.001434,0.001434,0.00141,6064838,KEYCAT-USD
1762308000,0.001411,0.001462,0.001411,0.001462,4560576,KEYCAT-USD
1762311600,0.00145,0.001459,0.001459,0.001454,868617,KEYCAT-USD
1762315200,0.001454,0.001458,0.001456,0.001458,95871,KEYCAT-USD
1762318800,0.001428,0.001466,0.001459,0.001454,5357439,KEYCAT-USD
1762322400,0.001435,0.001456,0.00144,0.001456,2778632,KEYCAT-USD
1762326000,0.001449,0.00146,0.001453,0.001449,1759325,KEYCAT-USD
1762329600,0.00144,0.001448,0.001448,0.00144,710625,KEYCAT-USD
1762333200,0.00143,0.00144,0.00144,0.001431,998936,KEYCAT-USD
1762336800,0.001425,0.001435,0.001435,0.00143,503333,KEYCAT-USD
1762340400,0.00142,0.001434,0.001426,0.001434,1735157,KEYCAT-USD
1762344000,0.001431,0.001461,0.001434,0.001454,3473210,KEYCAT-USD
1762347600,0.001448,0.001464,0.001458,0.001464,2534996,KEYCAT-USD
1762351200,0.00146,0.001512,0.001464,0.001496,8263539,KEYCAT-USD
1762354800,0.001485,0.0015,0.001497,0.00149,1985326,KEYCAT-USD
1762358400,0.001478,0.001527,0.001486,0.001512,5531683,KEYCAT-USD
1762362000,0.001507,0.001605,0.001514,0.001579,39991436,KEYCAT-USD
1762365600,0.001555,0.001623,0.001591,0.001584,19784650,KEYCAT-USD
1762369200,0.001552,0.001577,0.001577,0.001553,3007807,KEYCAT-USD
1762372800,0.001552,0.001567,0.00156,0.001554,1877584,KEYCAT-USD
1762376400,0.001528,0.001552,0.001552,0.001538,3228125,KEYCAT-USD
1762380000,0.001504,0.00154,0.001538,0.001518,9374992,KEYCAT-USD
1762383600,0.001493,0.001528,0.001524,0.001502,8779055,KEYCAT-USD
1762387200,0.001492,0.001543,0.001502,0.001522,9759076,KEYCAT-USD
1762390800,0.001477,0.001524,0.001523,0.001491,8794492,KEYCAT-USD
1762394400,0.001474,0.001499,0.001491,0.00149,5126885,KEYCAT-USD
1762398000,0.001481,0.001516,0.00149,0.001502,5448133,KEYCAT-USD
1762401600,0.001502,0.001507,0.001502,0.001507,64514,KEYCAT-USD
1762405200,0.001489,0.001503,0.001502,0.001489,912213,KEYCAT-USD
1762408800,0.00147,0.001489,0.001489,0.001471,3072273,KEYCAT-USD
1762412400,0.001474,0.001476,0.001474,0.001476,50393,KEYCAT-USD
1762416000,0.001469,0.001473,0.001472,0.001473,194075,KEYCAT-USD
1762419600,0.001468,0.001475,0.001469,0.001475,190929,KEYCAT-USD
1762423200,0.001476,0.001481,0.001476,0.001481,400027,KEYCAT-USD
1762426800,0.001473,0.001477,0.001477,0.001475,172268,KEYCAT-USD
1762430400,0.001441,0.001475,0.001475,0.00145,7064029,KEYCAT-USD
1762434000,0.00145,0.001464,0.00145,0.001456,1027788,KEYCAT-USD
1762437600,0.001435,0.001456,0.001456,0.001437,1691605,KEYCAT-USD
1762441200,0.001414,0.00145,0.001439,0.00142,5136947,KEYCAT-USD
1762444800,0.0013,0.001426,0.001421,0.001342,32653429,KEYCAT-USD
1762448400,0.001298,0.001431,0.001339,0.0014,51149552,KEYCAT-USD
1762452000,0.001399,0.001409,0.001403,0.001406,1051460,KEYCAT-USD
1762455600,0.001398,0.001419,0.001405,0.001398,3994180,KEYCAT-USD
1762459200,0.00139,0.001401,0.001398,0.001395,4066116,KEYCAT-USD
1762462800,0.001392,0.001405,0.001392,0.001404,1776021,KEYCAT-USD
1762466400,0.001387,0.001413,0.001404,0.00141,5332207,KEYCAT-USD
1762470000,0.001409,0.001641,0.00141,0.001484,32995722,KEYCAT-USD
1762473600,0.001478,0.001499,0.001482,0.00148,7102456,KEYCAT-USD
1762477200,0.001442,0.00148,0.00148,0.001448,5385415,KEYCAT-USD
1762480800,0.00144,0.001457,0.001448,0.001455,3680581,KEYCAT-USD
1762484400,0.001449,0.001462,0.001457,0.001451,2439308,KEYCAT-USD
1762488000,0.00145,0.001453,0.00145,0.00145,440016,KEYCAT-USD
1762491600,0.001453,0.00146,0.001453,0.00146,569562,KEYCAT-USD
1762495200,0.00146,0.001461,0.00146,0.001461,86843,KEYCAT-USD
1762498800,0.00146,0.001479,0.001461,0.001473,3436982,KEYCAT-USD
1762502400,0.001469,0.001474,0.00147,0.001469,537135,KEYCAT-USD
1762506000,0.001432,0.001468,0.001468,0.001436,3421109,KEYCAT-USD
1762509600,0.001431,0.001438,0.001436,0.001435,385027,KEYCAT-USD
1762513200,0.001418,0.001435,0.001435,0.001428,2001291,KEYCAT-USD
1762516800,0.001391,0.001427,0.001427,0.001393,4763486,KEYCAT-USD
1762520400,0.001377,0.001391,0.001391,0.001378,1882320,KEYCAT-USD
1762524000,0.001377,0.001405,0.001382,0.001405,2835929,KEYCAT-USD
1762527600,0.00138,0.001418,0.001405,0.001399,9659435,KEYCAT-USD
1762531200,0.001393,0.00141,0.001394,0.00141,3623565,KEYCAT-USD
1762534800,0.001405,0.001524,0.001409,0.001519,21881432,KEYCAT-USD
1762538400,0.001515,0.001568,0.001519,0.00154,6790205,KEYCAT-USD
1762542000,0.001534,0.001564,0.001538,0.001556,5723740,KEYCAT-USD
1762545600,0.001541,0.001585,0.001556,0.001568,12718065,KEYCAT-USD
1762549200,0.001552,0.001567,0.001567,0.00156,2020238,KEYCAT-USD
