time,low,high,open,close,volume,symbol
1761955200,0.2505,0.2513,0.2506,0.2513,794.3,KRL-USD
1761962400,0.2504,0.2557,0.2505,0.2557,24397.5,KRL-USD
1761966000,0.2523,0.2601,0.2525,0.2573,187751.2,KRL-USD
1761969600,0.256,0.2576,0.2572,0.256,1223.1,KRL-USD
1761973200,0.2561,0.2563,0.2563,0.2561,369.2,KRL-USD
1761976800,0.256,0.2565,0.2563,0.256,4169.2,KRL-USD
1762002000,0.256,0.257,0.2565,0.256,1984.3,KRL-USD
1762005600,0.256,0.2561,0.256,0.256,1525.3,KRL-USD
1762009200,0.2551,0.2583,0.256,0.2583,1040.0,KRL-USD
1762012800,0.246,0.2584,0.2584,0.2508,159594.9,KRL-USD
1762016400,0.2477,0.2509,0.2494,0.2478,7653.2,KRL-USD
1762027200,0.2483,0.2497,0.2487,0.2497,2573.8,KRL-USD
1762045200,0.2496,0.2498,0.2496,0.2497,1684.9,KRL-USD
1762048800,0.2485,0.2493,0.2493,0.2485,272.4,KRL-USD
1762056000,0.2496,0.2498,0.2496,0.2496,1705.4,KRL-USD
1762063200,0.2487,0.2498,0.2487,0.2498,5906.7,KRL-USD
1762070400,0.2487,0.2498,0.2498,0.2487,2019.0,KRL-USD
1762081200,0.2498,0.2498,0.2498,0.2498,1700.0,KRL-USD
1762084800,0.2485,0.2498,0.2498,0.2485,86.9,KRL-USD
1762088400,0.2489,0.2495,0.2493,0.2495,138.1,KRL-USD
1762099200,0.2461,0.2492,0.2485,0.2487,6081.9,KRL-USD
1762102800,0.248,0.2489,0.2489,0.248,700.4,KRL-USD
1762113600,0.2485,0.2497,0.2485,0.2497,3041.0,KRL-USD
1762120800,0.2489,0.2498,0.2497,0.2489,1523.4,KRL-USD
1762124400,0.2462,0.2498,0.2487,0.2466,8712.8,KRL-USD
1762135200,0.2486,0.2494,0.249,0.2493,519.0,KRL-USD
1762138800,0.2474,0.2492,0.2489,0.2474,504.5,KRL-USD
1762146000,0.2468,0.2479,0.2472,0.2473,2619.4,KRL-USD
1762149600,0.2466,0.2485,0.2468,0.2479,3086.0,KRL-USD
1762171200,0.2465,0.2467,0.2467,0.2465,16.1,KRL-USD
1762174800,0.2464,0.2473,0.2466,0.2473,213.4,KRL-USD
1762182000,0.2423,0.2473,0.2473,0.2423,21793.2,KRL-USD
1762185600,0.2439,0.2455,0.2443,0.2455,3985.9,KRL-USD
1762189200,0.2445,0.2456,0.2456,0.2445,25.3,KRL-USD
1762192800,0.2413,0.2459,0.2434,0.2458,11026.4,KRL-USD
1762196400,0.2437,0.245,0.244,0.245,2053.4,KRL-USD
1762200000,0.2439,0.2439,0.2439,0.2439,1.0,KRL-USD
1762210800,0.2432,0.2446,0.2433,0.2446,1466.4,KRL-USD
1762214400,0.2431,0.2433,0.2433,0.2431,254.1,KRL-USD
1762225200,0.2428,0.2449,0.2429,0.2449,310.1,KRL-USD
1762232400,0.2418,0.2428,0.2428,0.242,7209.0,KRL-USD
1762239600,0.2413,0.2422,0.2422,0.2413,2884.4,KRL-USD
1762246800,0.2413,0.2416,0.2415,0.2413,940.7,KRL-USD
1762250400,0.2412,0.2413,0.2413,0.2412,705.2,KRL-USD
1762264800,0.2412,0.2426,0.2412,0.2426,209.8,KRL-USD
1762272000,0.2413,0.242,0.2413,0.242,2674.0,KRL-USD
1762275600,0.2406,0.2412,0.2412,0.2406,4206.3,KRL-USD
1762279200,0.24,0.2402,0.2401,0.2402,332.6,KRL-USD
1762286400,0.2364,0.24,0.24,0.2364,11570.8,KRL-USD
1762290000,0.2341,0.2387,0.2365,0.2387,12931.5,KRL-USD
1762293600,0.2378,0.2378,0.2378,0.2378,504.5,KRL-USD
1762297200,0.2362,0.2386,0.2377,0.2362,474.8,KRL-USD
1762304400,0.2307,0.2379,0.2379,0.2362,28189.1,KRL-USD
1762308000,0.2349,0.2381,0.2363,0.2381,8559.5,KRL-USD
1762311600,0.2365,0.2365,0.2365,0.2365,35.6,KRL-USD
1762315200,0.2358,0.2386,0.2385,0.2358,4443.4,KRL-USD
1762318800,0.235,0.2387,0.2376,0.2357,3700.8,KRL-USD
1762322400,0.2371,0.238,0.238,0.2371,55.5,KRL-USD
1762340400,0.2365,0.2379,0.2379,0.2365,352.1,KRL-USD
1762354800,0.2353,0.2402,0.2353,0.2402,7212.1,KRL-USD
1762358400,0.2379,0.2391,0.2391,0.2379,748.8,KRL-USD
1762362000,0.2373,0.2386,0.2386,0.2379,176.5,KRL-USD
1762365600,0.239,0.2405,0.2405,0.239,494.8,KRL-USD
1762369200,0.2404,0.2436,0.2405,0.2413,14073.0,KRL-USD
1762372800,0.2413,0.2414,0.2414,0.2414,823.8,KRL-USD
1762376400,0.243,0.2436,0.243,0.2436,3287.3,KRL-USD
1762380000,0.239,0.2401,0.2401,0.2393,4628.3,KRL-USD
1762383600,0.2417,0.2418,0.2417,0.2417,71.4,KRL-USD
1762390800,0.2388,0.2394,0.2393,0.2394,4643.8,KRL-USD
1762401600,0.239,0.2418,0.2418,0.239,2504.3,KRL-USD
1762408800,0.2392,0.2416,0.2416,0.2392,1399.0,KRL-USD
1762412400,0.2368,0.239,0.239,0.2368,1044.7,KRL-USD
1762416000,0.2369,0.241,0.2369,0.2408,1542.8,KRL-USD
1762419600,0.2391,0.2393,0.2393,0.2391,3497.9,KRL-USD
1762430400,0.2368,0.2377,0.2377,0.2368,177.9,KRL-USD
1762437600,0.2228,0.2378,0.2368,0.2312,204723.4,KRL-USD
1762444800,0.2306,0.2341,0.2323,0.2308,19184.6,KRL-USD
1762452000,0.2316,0.2316,0.2316,0.2316,2.5,KRL-USD
1762462800,0.2308,0.233,0.2313,0.233,2339.3,KRL-USD
1762466400,0.2302,0.2304,0.2303,0.2304,268.1,KRL-USD
1762470000,0.2309,0.232,0.2319,0.2309,401.9,KRL-USD
1762480800,0.2314,0.2317,0.2314,0.2317,514.1,KRL-USD
1762491600,0.2314,0.2315,0.2314,0.2315,126.5,KRL-USD
1762495200,0.2314,0.2326,0.2326,0.2314,260.1,KRL-USD
1762520400,0.23,0.2305,0.2305,0.23,63.0,KRL-USD
1762527600,0.2304,0.2319,0.2305,0.2319,2865.3,KRL-USD
1762531200,0.2295,0.232,0.232,0.2295,6450.9,KRL-USD
1762534800,0.2304,0.2407,0.2314,0.24,103785.5,KRL-USD
1762538400,0.24,0.2404,0.24,0.24,68497.6,KRL-USD
1762542000,0.24,0.2404,0.2403,0.24,271.5,KRL-USD
1762545600,0.24,0.2404,0.24,0.2404,695.0,KRL-USD
1762549200,0.2402,0.2436,0.2403,0.2432,17894.8,KRL-USD
1762552800,0.2411,0.2431,0.2431,0.2411,1071.0,KRL-USD
1762556400,0.2402,0.2417,0.2402,0.2417,1996.3,KRL-USD
1762563600,0.239,0.2401,0.2401,0.239,3628.0,KRL-USD
1762567200,0.239,0.2405,0.239,0.2405,146.7,KRL-USD
1762570800,0.2318,0.2393,0.2393,0.2368,35490.1,KRL-USD
1762574400,0.2366,0.2371,0.2371,0.2366,2694.5,KRL-USD
1762603200,0.2356,0.2372,0.2356,0.2372,418.0,KRL-USD
1762610400,0.2355,0.2363,0.2363,0.2355,108.7,KRL-USD
1762614000,0.2343,0.235,0.235,0.2343,781.2,KRL-USD
1762621200,0.2341,0.2378,0.2343,0.2341,11398.7,KRL-USD
1762624800,0.231,0.2349,0.2348,0.2335,16647.6,KRL-USD
1762646400,0.2333,0.2333,0.2333,0.2333,0.9,KRL-USD
