time,low,high,open,close,volume,symbol
1761955200,9.44,9.48,9.48,9.44,54.6441,KSM-USD
1761958800,9.39,9.43,9.43,9.39,2.4169,KSM-USD
1761962400,9.43,9.56,9.44,9.56,91.5845,KSM-USD
1761966000,9.51,9.56,9.56,9.51,104.1143,KSM-USD
1761969600,9.48,9.51,9.5,9.49,418.0773,KSM-USD
1761973200,9.47,9.52,9.47,9.49,44.341,KSM-USD
1761976800,9.48,9.58,9.5,9.58,54.8203,KSM-USD
1761980400,9.57,9.6,9.6,9.59,80.2925,KSM-USD
1761984000,9.52,9.83,9.54,9.79,1265.8177,KSM-USD
1761987600,9.75,9.94,9.79,9.77,1500.1888,KSM-USD
1761991200,9.76,9.83,9.79,9.83,962.4917,KSM-USD
1761994800,9.79,9.89,9.83,9.89,389.1987,KSM-USD
1761998400,9.86,9.93,9.86,9.91,685.8357,KSM-USD
1762002000,9.84,9.97,9.9,9.85,2323.3014,KSM-USD
1762005600,9.84,10.0,9.86,9.98,1719.9881,KSM-USD
1762009200,9.84,9.99,9.99,9.94,1164.2149,KSM-USD
1762012800,9.99,10.06,10.0,9.99,453.2208,KSM-USD
1762016400,10.0,10.08,10.01,10.03,648.9254,KSM-USD
1762020000,10.01,10.04,10.04,10.02,92.6933,KSM-USD
1762023600,9.98,10.0,9.99,10.0,111.0253,KSM-USD
1762027200,10.0,10.04,10.02,10.02,137.632,KSM-USD
1762030800,9.98,10.04,10.0,10.04,58.9157,KSM-USD
1762034400,10.03,10.06,10.06,10.05,42.4208,KSM-USD
1762038000,9.99,10.04,10.04,9.99,59.4527,KSM-USD
1762041600,10.0,10.08,10.0,10.01,611.7985,KSM-USD
1762045200,9.98,10.08,10.08,9.98,10.4528,KSM-USD
1762048800,9.98,10.19,9.98,10.19,140.9643,KSM-USD
1762052400,10.19,10.33,10.19,10.33,4752.0754,KSM-USD
1762056000,10.31,10.76,10.33,10.74,2410.7112,KSM-USD
1762059600,10.63,11.24,10.73,11.08,10909.5221,KSM-USD
1762063200,10.57,11.09,11.02,10.75,7517.7325,KSM-USD
1762066800,10.63,10.8,10.76,10.63,1776.3113,KSM-USD
1762070400,10.59,11.19,10.59,11.07,5139.895,KSM-USD
1762074000,10.89,11.11,11.09,10.96,1304.7916,KSM-USD
1762077600,10.76,10.96,10.96,10.91,555.9264,KSM-USD
1762081200,10.95,11.63,10.95,11.33,7950.4871,KSM-USD
1762084800,11.08,11.53,11.33,11.16,2564.0009,KSM-USD
1762088400,10.84,11.18,11.18,11.04,3183.5645,KSM-USD
1762092000,10.56,11.0,10.96,10.59,3091.5214,KSM-USD
1762095600,10.5,10.86,10.59,10.54,2087.783,KSM-USD
1762099200,10.39,10.59,10.57,10.59,923.5105,KSM-USD
1762102800,10.5,10.61,10.61,10.51,770.6775,KSM-USD
1762106400,10.48,10.56,10.5,10.49,1263.6897,KSM-USD
1762110000,10.41,10.52,10.5,10.52,1059.5946,KSM-USD
1762113600,10.47,10.63,10.49,10.6,82.1821,KSM-USD
1762117200,10.59,10.75,10.59,10.73,429.3214,KSM-USD
1762120800,10.72,10.86,10.76,10.75,172.5777,KSM-USD
1762124400,10.76,11.01,10.76,11.0,1316.6397,KSM-USD
1762128000,10.77,11.13,11.0,10.77,1055.6143,KSM-USD
1762131600,10.62,10.83,10.76,10.68,309.7461,KSM-USD
1762135200,10.46,10.68,10.68,10.5,466.9892,KSM-USD
1762138800,10.13,10.47,10.47,10.13,756.9075,KSM-USD
1762142400,9.98,10.33,10.11,10.33,819.7056,KSM-USD
1762146000,10.09,10.37,10.37,10.1,135.281,KSM-USD
