time,low,high,open,close,volume,symbol
1768489200,1.894,2.1,2.0,1.937,123843.86,LIGHTER-USD
1768492800,1.809,1.987,1.939,1.985,130300.4,LIGHTER-USD
1768496400,1.76,1.986,1.985,1.791,117990.84,LIGHTER-USD
1768500000,1.77,1.852,1.794,1.819,54868.89,LIGHTER-USD
1768503600,1.811,1.879,1.827,1.866,24653.91,LIGHTER-USD
1768507200,1.813,1.885,1.857,1.845,43450.49,LIGHTER-USD
1768510800,1.848,1.884,1.855,1.867,15560.64,LIGHTER-USD
1768514400,1.856,1.986,1.868,1.93,97797.06,LIGHTER-USD
1768518000,1.876,1.977,1.928,1.889,73752.48,LIGHTER-USD
1768521600,1.873,1.931,1.885,1.906,11091.94,LIGHTER-USD
1768525200,1.809,1.905,1.902,1.817,38706.12,LIGHTER-USD
1768528800,1.81,1.858,1.817,1.837,14649.01,LIGHTER-USD
1768532400,1.831,1.851,1.835,1.85,2638.21,LIGHTER-USD
1768536000,1.809,1.861,1.861,1.83,6358.51,LIGHTER-USD
1768539600,1.83,1.906,1.83,1.868,10481.28,LIGHTER-USD
1768543200,1.848,1.888,1.872,1.883,4863.51,LIGHTER-USD
1768546800,1.883,1.898,1.889,1.892,2611.8,LIGHTER-USD
1768550400,1.871,1.902,1.871,1.89,767.93,LIGHTER-USD
1768554000,1.868,1.894,1.885,1.879,5250.55,LIGHTER-USD
1768557600,1.913,1.95,1.918,1.95,4136.98,LIGHTER-USD
1768561200,1.922,1.959,1.953,1.959,7328.21,LIGHTER-USD
1768564800,1.929,1.965,1.958,1.935,18207.01,LIGHTER-USD
1768568400,1.89,1.932,1.927,1.905,12438.47,LIGHTER-USD
1768572000,1.898,1.929,1.907,1.924,45160.62,LIGHTER-USD
1768575600,1.8,1.926,1.926,1.835,43251.07,LIGHTER-USD
1768579200,1.83,1.86,1.835,1.83,30714.9,LIGHTER-USD
1768582800,1.833,1.878,1.839,1.855,24071.78,LIGHTER-USD
1768586400,1.818,1.853,1.85,1.819,4736.09,LIGHTER-USD
1768590000,1.788,1.829,1.823,1.8,20294.17,LIGHTER-USD
1768593600,1.784,1.843,1.803,1.843,1654.47,LIGHTER-USD
1768597200,1.835,1.897,1.84,1.852,21189.78,LIGHTER-USD
1768600800,1.83,1.896,1.838,1.857,280352.71,LIGHTER-USD
