time,low,high,open,close,volume,symbol
1761958800,0.1009,0.102,0.101,0.1009,19283.45,LOKA-USD
1761962400,0.0983,0.0992,0.0992,0.0985,5040.72,LOKA-USD
1761966000,0.0985,0.1005,0.0986,0.1001,6105.47,LOKA-USD
1761969600,0.1002,0.1008,0.1002,0.1008,4068.0,LOKA-USD
1761976800,0.0985,0.0997,0.0986,0.0985,14699.98,LOKA-USD
1761980400,0.0968,0.1011,0.0992,0.0985,91315.58,LOKA-USD
1761984000,0.0994,0.1017,0.101,0.1014,25928.85,LOKA-USD
1761987600,0.1004,0.1015,0.1009,0.1004,2489.82,LOKA-USD
1761991200,0.0988,0.1003,0.0991,0.1003,1186.79,LOKA-USD
1761998400,0.0985,0.0994,0.099,0.0985,6044.91,LOKA-USD
1762002000,0.0986,0.1006,0.0991,0.0988,12833.55,LOKA-USD
1762005600,0.0982,0.0989,0.0986,0.0988,3011.09,LOKA-USD
1762009200,0.0992,0.1,0.0992,0.0999,3071.87,LOKA-USD
1762012800,0.1016,0.1022,0.1016,0.1022,1026.18,LOKA-USD
1762016400,0.099,0.1022,0.1022,0.0993,12704.46,LOKA-USD
1762020000,0.1001,0.1006,0.1001,0.1006,50709.18,LOKA-USD
1762023600,0.0999,0.1017,0.1008,0.1017,13317.45,LOKA-USD
1762027200,0.0989,0.1019,0.1001,0.0989,2627.61,LOKA-USD
1762034400,0.0967,0.1007,0.1004,0.0988,68812.71,LOKA-USD
1762038000,0.0987,0.1003,0.099,0.0999,20328.44,LOKA-USD
1762041600,0.0982,0.1001,0.1001,0.0992,5589.8,LOKA-USD
1762045200,0.0964,0.1012,0.0984,0.1012,40459.09,LOKA-USD
1762048800,0.0992,0.1006,0.1006,0.0992,615.5,LOKA-USD
1762056000,0.0964,0.1005,0.0977,0.1005,29803.24,LOKA-USD
1762059600,0.0982,0.0993,0.0986,0.0984,11957.03,LOKA-USD
1762063200,0.0961,0.0984,0.0984,0.0961,3401.9,LOKA-USD
1762066800,0.0962,0.0982,0.0963,0.097,11746.07,LOKA-USD
1762070400,0.096,0.0982,0.0977,0.0982,5832.62,LOKA-USD
1762074000,0.0949,0.0991,0.099,0.0949,43100.81,LOKA-USD
1762081200,0.0925,0.0964,0.0941,0.0953,37361.95,LOKA-USD
