time,low,high,open,close,volume,symbol
1761955200,0.5824,0.5969,0.589,0.5892,132665.55,LQTY-USD
1761958800,0.584,0.5913,0.5898,0.584,8188.46,LQTY-USD
1761962400,0.5849,0.5912,0.5863,0.5912,3209.78,LQTY-USD
1761966000,0.5903,0.593,0.5903,0.593,1300.06,LQTY-USD
1761969600,0.5834,0.5943,0.5936,0.5834,14667.45,LQTY-USD
1761973200,0.58,0.5858,0.5825,0.58,2231.66,LQTY-USD
1761976800,0.5789,0.5842,0.58,0.5842,1806.56,LQTY-USD
1761980400,0.5824,0.5911,0.5835,0.5911,4185.34,LQTY-USD
1761984000,0.5845,0.6013,0.588,0.5974,12539.88,LQTY-USD
1761987600,0.595,0.6115,0.5981,0.595,38857.15,LQTY-USD
1761991200,0.5905,0.6013,0.5932,0.6013,5663.23,LQTY-USD
1761994800,0.5852,0.5991,0.598,0.5943,116122.53,LQTY-USD
1761998400,0.5899,0.5962,0.5953,0.59,2115.13,LQTY-USD
1762002000,0.5849,0.5933,0.5914,0.5852,26360.89,LQTY-USD
1762005600,0.5795,0.5912,0.5869,0.5912,23435.27,LQTY-USD
1762009200,0.5862,0.596,0.5904,0.5898,6968.97,LQTY-USD
1762012800,0.5902,0.5975,0.5902,0.5912,8046.14,LQTY-USD
1762016400,0.5737,0.5904,0.5904,0.5784,8275.21,LQTY-USD
1762020000,0.5749,0.5812,0.5776,0.5804,2887.46,LQTY-USD
1762023600,0.5806,0.5843,0.5806,0.5843,836.23,LQTY-USD
1762027200,0.5861,0.5941,0.5862,0.5922,5165.49,LQTY-USD
1762030800,0.5775,0.5892,0.589,0.5775,1689.94,LQTY-USD
1762034400,0.5764,0.5821,0.5773,0.5813,3883.1,LQTY-USD
1762038000,0.5793,0.5848,0.5813,0.5793,1794.2,LQTY-USD
1762041600,0.5774,0.5916,0.5774,0.5888,4334.77,LQTY-USD
1762045200,0.5775,0.5882,0.5862,0.5834,4626.83,LQTY-USD
1762048800,0.5818,0.588,0.5862,0.5858,499.93,LQTY-USD
1762052400,0.5781,0.5876,0.5854,0.5827,143308.18,LQTY-USD
1762056000,0.5804,0.5912,0.5804,0.5887,2763.67,LQTY-USD
1762059600,0.5784,0.5862,0.5862,0.5853,7867.83,LQTY-USD
1762063200,0.5833,0.5892,0.5843,0.5833,929.73,LQTY-USD
1762066800,0.5812,0.5869,0.5815,0.5868,859.03,LQTY-USD
1762070400,0.5791,0.5849,0.5848,0.5791,354.48,LQTY-USD
1762074000,0.5765,0.5862,0.5789,0.5765,3601.68,LQTY-USD
1762077600,0.5681,0.5763,0.5763,0.5703,661.89,LQTY-USD
1762081200,0.5646,0.5741,0.568,0.5695,8015.39,LQTY-USD
1762084800,0.5645,0.5742,0.5734,0.5645,4490.75,LQTY-USD
1762088400,0.5571,0.5642,0.5642,0.5592,22897.36,LQTY-USD
1762092000,0.5554,0.5582,0.5575,0.5556,4020.2,LQTY-USD
