time,low,high,open,close,volume,symbol
1761955200,95.0,95.55,95.34,95.5,3084.90574186,LTC-USD
1761958800,95.27,95.9,95.5,95.49,7666.69655938,LTC-USD
1761962400,95.21,95.86,95.48,95.77,2594.79801302,LTC-USD
1761966000,95.74,96.22,95.76,96.11,4970.90495905,LTC-USD
1761969600,96.01,96.43,96.1,96.19,2992.53214287,LTC-USD
1761973200,95.63,96.23,96.18,95.74,3842.23969313,LTC-USD
1761976800,95.61,98.17,95.73,97.65,14013.76388598,LTC-USD
1761980400,97.02,99.39,97.69,99.05,22095.05467805,LTC-USD
1761984000,97.83,99.27,99.08,98.24,7557.33397242,LTC-USD
1761987600,97.77,99.17,98.24,97.98,18430.1559681,LTC-USD
1761991200,97.97,98.69,97.98,98.66,3996.59363581,LTC-USD
1761994800,98.31,98.87,98.67,98.61,4927.07725076,LTC-USD
1761998400,98.55,99.13,98.62,98.91,5330.23995922,LTC-USD
1762002000,98.41,99.55,98.94,99.2,15052.1819183,LTC-USD
1762005600,98.61,99.44,99.19,98.77,5270.53933671,LTC-USD
1762009200,98.48,99.72,98.78,98.63,12041.82953733,LTC-USD
1762012800,98.45,99.32,98.62,99.19,4742.32922782,LTC-USD
1762016400,98.83,99.72,99.21,99.21,7127.76441096,LTC-USD
1762020000,99.05,99.58,99.21,99.43,4608.96661521,LTC-USD
1762023600,99.22,99.8,99.42,99.7,5550.33146202,LTC-USD
1762027200,99.54,100.49,99.72,100.05,9627.20655372,LTC-USD
1762030800,99.8,100.56,100.02,99.82,11021.80022541,LTC-USD
1762034400,99.68,100.49,99.82,100.21,8263.71694606,LTC-USD
1762038000,100.08,101.88,100.21,101.32,14418.99944552,LTC-USD
1762041600,100.37,101.49,101.32,100.77,9158.35629058,LTC-USD
1762045200,99.87,100.98,100.77,99.97,8182.54327381,LTC-USD
1762048800,99.77,100.51,99.95,99.9,4792.4292302,LTC-USD
1762052400,99.34,100.32,99.9,99.48,6626.22014933,LTC-USD
1762056000,99.4,100.21,99.48,100.09,8831.84256052,LTC-USD
1762059600,99.63,100.42,100.12,100.37,2728.42207559,LTC-USD
1762063200,99.72,100.38,100.38,100.01,3317.80693069,LTC-USD
1762066800,99.8,100.85,100.01,100.66,3332.53058203,LTC-USD
1762070400,100.17,101.09,100.66,100.23,4531.41990488,LTC-USD
1762074000,100.17,101.05,100.24,100.5,5982.49744632,LTC-USD
1762077600,99.82,101.22,100.52,100.11,7251.25876162,LTC-USD
1762081200,100.06,101.16,100.11,100.83,5278.56879674,LTC-USD
1762084800,100.09,100.86,100.84,100.33,3932.15332885,LTC-USD
1762088400,98.8,100.5,100.33,99.27,9030.45511511,LTC-USD
1762092000,98.21,99.32,99.25,98.75,8237.69965036,LTC-USD
1762095600,98.23,99.08,98.76,98.37,5695.45554949,LTC-USD
