time,low,high,open,close,volume,symbol
1761955200,0.81,0.81,0.81,0.81,3564.38,MASK-USD
1761962400,0.81,0.82,0.81,0.82,2111.93,MASK-USD
1761966000,0.82,0.82,0.82,0.82,3626.41,MASK-USD
1761969600,0.82,0.82,0.82,0.82,1532.57,MASK-USD
1761973200,0.82,0.82,0.82,0.82,715.15,MASK-USD
1761976800,0.82,0.82,0.82,0.82,2523.37,MASK-USD
1761980400,0.83,0.83,0.83,0.83,2265.31,MASK-USD
1761984000,0.83,0.84,0.83,0.84,10432.19,MASK-USD
1761991200,0.84,0.84,0.84,0.84,3480.34,MASK-USD
1761994800,0.84,0.85,0.84,0.85,4861.33,MASK-USD
1762002000,0.83,0.84,0.84,0.83,5333.79,MASK-USD
1762009200,0.84,0.85,0.84,0.85,9313.16,MASK-USD
1762012800,0.84,0.85,0.85,0.85,24688.67,MASK-USD
1762020000,0.84,0.85,0.85,0.85,14071.35,MASK-USD
1762023600,0.84,0.86,0.85,0.86,4201.28,MASK-USD
1762027200,0.85,0.86,0.86,0.85,891.13,MASK-USD
1762030800,0.85,0.85,0.85,0.85,910.22,MASK-USD
1762034400,0.85,0.85,0.85,0.85,5854.17,MASK-USD
1762041600,0.85,0.86,0.86,0.85,3997.16,MASK-USD
1762045200,0.84,0.86,0.86,0.84,21225.3,MASK-USD
1762048800,0.84,0.85,0.85,0.84,3198.08,MASK-USD
1762056000,0.85,0.86,0.85,0.86,1428.83,MASK-USD
1762059600,0.86,0.86,0.86,0.86,735.64,MASK-USD
1762063200,0.85,0.87,0.86,0.86,11896.5,MASK-USD
1762070400,0.86,0.86,0.86,0.86,185.37,MASK-USD
1762074000,0.85,0.86,0.86,0.85,3891.33,MASK-USD
1762077600,0.85,0.86,0.85,0.86,1313.86,MASK-USD
1762084800,0.86,0.87,0.87,0.86,1745.54,MASK-USD
1762088400,0.85,0.86,0.86,0.85,3258.25,MASK-USD
1762092000,0.84,0.84,0.84,0.84,623.96,MASK-USD
1762095600,0.84,0.84,0.84,0.84,3210.22,MASK-USD
1762099200,0.84,0.85,0.84,0.85,1067.73,MASK-USD
1762102800,0.84,0.84,0.84,0.84,1511.09,MASK-USD
1762110000,0.84,0.84,0.84,0.84,4578.16,MASK-USD
1762113600,0.84,0.84,0.84,0.84,1147.88,MASK-USD
1762117200,0.84,0.85,0.85,0.84,1099.82,MASK-USD
1762120800,0.85,0.86,0.85,0.86,731.72,MASK-USD
1762124400,0.85,0.86,0.86,0.85,400.3,MASK-USD
1762131600,0.83,0.84,0.84,0.83,5815.76,MASK-USD
1762135200,0.83,0.83,0.83,0.83,2153.19,MASK-USD
1762138800,0.8,0.83,0.83,0.8,14207.18,MASK-USD
1762142400,0.8,0.81,0.8,0.81,12638.98,MASK-USD
1762146000,0.8,0.81,0.81,0.8,11996.33,MASK-USD
1762149600,0.79,0.8,0.8,0.8,13538.41,MASK-USD
1762153200,0.8,0.8,0.8,0.8,18682.96,MASK-USD
1762156800,0.8,0.8,0.8,0.8,1025.08,MASK-USD
1762160400,0.79,0.81,0.8,0.79,9196.23,MASK-USD
1762164000,0.79,0.8,0.79,0.8,109.49,MASK-USD
1762167600,0.8,0.8,0.8,0.8,6488.65,MASK-USD
1762171200,0.79,0.8,0.8,0.8,21978.03,MASK-USD
1762174800,0.8,0.8,0.8,0.8,2511.03,MASK-USD
1762178400,0.79,0.8,0.8,0.8,9007.83,MASK-USD
1762182000,0.73,0.8,0.8,0.75,181297.91,MASK-USD
1762185600,0.74,0.77,0.75,0.77,15851.0,MASK-USD
1762189200,0.76,0.78,0.77,0.77,17431.44,MASK-USD
1762192800,0.76,0.77,0.77,0.76,10549.13,MASK-USD
1762196400,0.75,0.77,0.76,0.75,50560.04,MASK-USD
1762200000,0.74,0.76,0.75,0.75,12809.5,MASK-USD
1762203600,0.74,0.75,0.75,0.75,2682.05,MASK-USD
1762207200,0.75,0.75,0.75,0.75,856.33,MASK-USD
