time,low,high,open,close,volume,symbol
1761955200,0.44,0.442,0.441,0.442,3955.58,ME-USD
1761958800,0.439,0.444,0.442,0.444,1123.79,ME-USD
1761966000,0.441,0.447,0.441,0.446,6841.46,ME-USD
1761973200,0.444,0.449,0.445,0.449,7039.86,ME-USD
1761976800,0.451,0.463,0.451,0.457,78254.12,ME-USD
1761980400,0.452,0.46,0.46,0.456,40965.45,ME-USD
1761984000,0.452,0.456,0.452,0.455,14848.89,ME-USD
1761987600,0.454,0.458,0.454,0.457,5272.24,ME-USD
1761991200,0.459,0.462,0.459,0.461,11219.3,ME-USD
1761994800,0.458,0.462,0.462,0.458,11447.42,ME-USD
1762002000,0.459,0.466,0.459,0.463,11775.33,ME-USD
1762005600,0.454,0.463,0.463,0.455,32026.38,ME-USD
1762009200,0.453,0.457,0.456,0.454,11137.48,ME-USD
1762012800,0.455,0.459,0.455,0.456,5112.52,ME-USD
1762016400,0.455,0.458,0.455,0.456,8381.83,ME-USD
1762020000,0.458,0.458,0.458,0.458,1246.9,ME-USD
1762023600,0.453,0.455,0.453,0.455,1002.67,ME-USD
1762027200,0.454,0.456,0.455,0.456,3650.67,ME-USD
1762030800,0.454,0.457,0.457,0.454,1380.56,ME-USD
1762034400,0.454,0.459,0.456,0.459,5209.42,ME-USD
1762038000,0.46,0.461,0.461,0.46,1258.9,ME-USD
1762041600,0.453,0.46,0.46,0.453,9366.7,ME-USD
1762045200,0.452,0.455,0.452,0.454,3754.71,ME-USD
1762048800,0.457,0.459,0.457,0.457,1575.1,ME-USD
1762052400,0.452,0.453,0.453,0.453,1684.36,ME-USD
1762056000,0.452,0.455,0.453,0.455,5858.9,ME-USD
1762059600,0.451,0.456,0.456,0.451,6536.09,ME-USD
1762063200,0.451,0.453,0.451,0.453,3295.59,ME-USD
1762066800,0.453,0.454,0.453,0.454,1496.2,ME-USD
1762070400,0.449,0.454,0.454,0.452,3055.47,ME-USD
1762074000,0.448,0.451,0.451,0.448,2176.44,ME-USD
1762077600,0.443,0.448,0.447,0.446,73860.62,ME-USD
1762081200,0.446,0.452,0.446,0.451,17714.18,ME-USD
1762084800,0.45,0.452,0.451,0.45,8883.19,ME-USD
1762088400,0.447,0.449,0.449,0.448,23234.55,ME-USD
1762092000,0.44,0.448,0.447,0.44,24860.55,ME-USD
1762095600,0.44,0.444,0.44,0.441,6977.19,ME-USD
1762099200,0.445,0.449,0.447,0.445,55218.38,ME-USD
1762102800,0.445,0.45,0.445,0.45,3599.88,ME-USD
1762106400,0.446,0.449,0.449,0.446,7374.95,ME-USD
1762110000,0.445,0.447,0.446,0.446,4675.27,ME-USD
1762117200,0.449,0.45,0.45,0.449,2313.59,ME-USD
1762120800,0.448,0.455,0.448,0.455,13008.27,ME-USD
1762124400,0.452,0.461,0.454,0.461,23336.76,ME-USD
1762128000,0.447,0.46,0.46,0.447,6138.82,ME-USD
1762131600,0.444,0.448,0.448,0.445,3286.65,ME-USD
1762135200,0.435,0.444,0.444,0.435,2751.27,ME-USD
1762138800,0.424,0.434,0.433,0.424,15188.51,ME-USD
1762142400,0.418,0.427,0.421,0.427,34296.67,ME-USD
1762146000,0.421,0.428,0.427,0.422,10282.74,ME-USD
1762149600,0.416,0.424,0.424,0.422,25384.15,ME-USD
1762153200,0.421,0.431,0.421,0.431,6659.67,ME-USD
1762156800,0.425,0.429,0.429,0.427,4514.79,ME-USD
1762160400,0.422,0.429,0.429,0.425,16178.13,ME-USD
1762164000,0.421,0.428,0.424,0.425,14860.06,ME-USD
1762167600,0.427,0.43,0.427,0.428,9445.76,ME-USD
1762174800,0.419,0.427,0.421,0.42,18352.22,ME-USD
1762178400,0.42,0.424,0.422,0.423,32491.3,ME-USD
1762182000,0.385,0.422,0.421,0.399,88790.68,ME-USD
1762185600,0.398,0.41,0.399,0.402,52059.03,ME-USD
1762189200,0.402,0.411,0.403,0.411,19202.8,ME-USD
1762192800,0.403,0.404,0.404,0.404,3133.49,ME-USD
1762196400,0.4,0.403,0.402,0.4,11218.29,ME-USD
1762200000,0.391,0.398,0.396,0.396,25091.16,ME-USD
1762203600,0.392,0.398,0.397,0.396,28424.92,ME-USD
1762207200,0.393,0.399,0.396,0.398,35317.22,ME-USD
1762210800,0.397,0.404,0.397,0.403,15727.37,ME-USD
1762214400,0.4,0.411,0.403,0.41,7940.3,ME-USD
1762218000,0.408,0.414,0.408,0.414,8477.43,ME-USD
1762221600,0.412,0.413,0.413,0.412,3373.84,ME-USD
1762225200,0.413,0.416,0.416,0.414,4785.98,ME-USD
1762232400,0.395,0.415,0.415,0.396,34542.35,ME-USD
1762236000,0.396,0.409,0.396,0.4,30558.96,ME-USD
1762239600,0.394,0.4,0.4,0.395,15656.85,ME-USD
1762243200,0.393,0.403,0.395,0.4,26027.63,ME-USD
1762246800,0.399,0.402,0.4,0.402,8840.36,ME-USD
1762250400,0.401,0.404,0.402,0.404,9145.74,ME-USD
1762254000,0.401,0.405,0.403,0.401,20411.93,ME-USD
1762257600,0.398,0.4,0.4,0.398,1489.06,ME-USD
1762261200,0.395,0.399,0.399,0.395,12297.72,ME-USD
1762264800,0.393,0.408,0.393,0.408,26030.29,ME-USD
