time,low,high,open,close,volume,symbol
1761955200,0.094,0.097,0.094,0.096,551265.605,MINA-USD
1761958800,0.095,0.096,0.096,0.095,30867.641,MINA-USD
1761962400,0.096,0.097,0.097,0.097,229426.095,MINA-USD
1761966000,0.097,0.098,0.097,0.098,125952.601,MINA-USD
1761973200,0.097,0.097,0.097,0.097,111383.57,MINA-USD
1761980400,0.098,0.099,0.099,0.098,45730.256,MINA-USD
1761984000,0.099,0.1,0.099,0.1,209260.788,MINA-USD
1761987600,0.099,0.103,0.1,0.1,551459.569,MINA-USD
1761991200,0.1,0.101,0.1,0.101,196899.946,MINA-USD
1761994800,0.101,0.102,0.102,0.101,36837.727,MINA-USD
1761998400,0.102,0.102,0.102,0.102,37112.324,MINA-USD
1762002000,0.102,0.103,0.103,0.102,107570.356,MINA-USD
1762005600,0.102,0.103,0.102,0.103,118343.155,MINA-USD
1762009200,0.103,0.114,0.103,0.108,717552.167,MINA-USD
1762012800,0.108,0.269,0.112,0.185,8382735.631,MINA-USD
1762016400,0.16,0.238,0.185,0.171,8981415.184,MINA-USD
1762020000,0.124,0.175,0.175,0.13,13860495.9,MINA-USD
1762023600,0.115,0.149,0.13,0.118,11002940.461,MINA-USD
1762027200,0.114,0.123,0.118,0.121,13464387.25,MINA-USD
1762030800,0.116,0.122,0.12,0.117,3510140.159,MINA-USD
1762034400,0.114,0.122,0.117,0.115,2492074.138,MINA-USD
1762038000,0.112,0.116,0.114,0.115,1681098.912,MINA-USD
1762041600,0.114,0.126,0.115,0.118,4759669.963,MINA-USD
1762045200,0.118,0.132,0.118,0.127,5628437.545,MINA-USD
1762048800,0.122,0.129,0.127,0.122,3448178.507,MINA-USD
1762052400,0.12,0.128,0.124,0.125,1133153.524,MINA-USD
1762056000,0.124,0.131,0.126,0.126,2510998.407,MINA-USD
1762059600,0.125,0.139,0.126,0.131,9618864.011,MINA-USD
1762063200,0.129,0.143,0.131,0.137,7542156.676,MINA-USD
1762066800,0.137,0.149,0.137,0.14,5018035.941,MINA-USD
1762070400,0.129,0.139,0.139,0.13,3540535.609,MINA-USD
