time,low,high,open,close,volume,symbol
1761955200,1.952,1.9819,1.953,1.9711,9116.38,MORPHO-USD
1761958800,1.9717,1.9928,1.9742,1.9849,4384.86,MORPHO-USD
1761962400,1.9627,1.993,1.9879,1.9886,10365.9,MORPHO-USD
1761966000,1.9824,1.9941,1.99,1.9919,5420.94,MORPHO-USD
1761969600,1.986,2.0004,1.9917,1.9898,7081.87,MORPHO-USD
1761973200,1.9893,2.0014,1.9893,1.9955,3308.32,MORPHO-USD
1761976800,1.9944,2.0089,1.9956,2.0058,9499.03,MORPHO-USD
1761980400,1.9981,2.019,2.0068,1.9998,4669.52,MORPHO-USD
1761984000,1.9943,2.005,2.001,2.0042,12064.9,MORPHO-USD
1761987600,1.9944,2.0043,2.002,2.0017,1994.84,MORPHO-USD
1761991200,2.0015,2.0285,2.0031,2.0215,8920.26,MORPHO-USD
1761994800,2.0077,2.0272,2.0206,2.0272,3811.08,MORPHO-USD
1761998400,2.0225,2.0482,2.0275,2.0474,32893.53,MORPHO-USD
1762002000,2.0157,2.0551,2.0456,2.0285,18365.47,MORPHO-USD
1762005600,2.0031,2.0299,2.0299,2.0124,17280.87,MORPHO-USD
1762009200,2.01,2.03,2.0102,2.0273,5788.86,MORPHO-USD
1762012800,2.0223,2.0409,2.0223,2.0334,11541.72,MORPHO-USD
1762016400,2.0254,2.0374,2.0336,2.027,9497.57,MORPHO-USD
1762020000,2.0227,2.0375,2.0295,2.0368,3715.95,MORPHO-USD
1762023600,2.0265,2.0463,2.0386,2.0289,21952.44,MORPHO-USD
1762027200,2.0279,2.0535,2.031,2.0448,41148.86,MORPHO-USD
1762030800,2.0148,2.0436,2.0436,2.0166,12450.56,MORPHO-USD
1762034400,2.0148,2.0326,2.0152,2.0253,30791.42,MORPHO-USD
1762038000,2.0226,2.0314,2.0268,2.0281,3551.74,MORPHO-USD
1762041600,2.0148,2.0415,2.0254,2.0148,5477.05,MORPHO-USD
1762045200,2.0066,2.0213,2.0166,2.01,7842.57,MORPHO-USD
1762048800,2.0063,2.0174,2.0097,2.0083,4957.44,MORPHO-USD
1762052400,2.0,2.0091,2.0071,2.0016,4506.88,MORPHO-USD
1762056000,1.999,2.0211,2.0017,2.0171,2807.36,MORPHO-USD
1762059600,2.008,2.017,2.017,2.0167,39.45,MORPHO-USD
1762063200,2.0081,2.0196,2.0127,2.0124,3421.65,MORPHO-USD
1762066800,2.0104,2.0242,2.0128,2.014,384.39,MORPHO-USD
1762070400,1.9989,2.0103,2.0084,2.0035,3031.98,MORPHO-USD
1762074000,1.9895,2.0122,2.0044,1.9895,4634.5,MORPHO-USD
1762077600,1.9864,1.995,1.9911,1.995,582.57,MORPHO-USD
1762081200,1.9965,2.0182,1.9965,2.0171,4070.58,MORPHO-USD
1762084800,2.014,2.037,2.0149,2.0212,4690.75,MORPHO-USD
1762088400,2.018,2.037,2.0194,2.033,10130.79,MORPHO-USD
1762092000,1.9824,2.0354,2.0273,1.9864,8634.18,MORPHO-USD
1762095600,1.9803,2.0062,1.9822,1.9824,32650.1,MORPHO-USD
1762099200,1.9798,2.0149,1.9809,2.0078,10132.48,MORPHO-USD
1762102800,1.9949,2.0115,2.0076,2.0021,2408.96,MORPHO-USD
1762106400,1.9974,2.011,2.0046,2.0023,3806.69,MORPHO-USD
1762110000,1.9883,2.0048,2.0022,1.9924,8730.12,MORPHO-USD
1762113600,1.9853,1.9955,1.991,1.9955,2217.55,MORPHO-USD
1762117200,1.9922,2.011,1.9969,2.0062,5515.9,MORPHO-USD
1762120800,1.991,2.0116,2.0035,2.0004,2355.81,MORPHO-USD
1762124400,2.01,2.0929,2.01,2.0728,64367.59,MORPHO-USD
1762128000,2.0341,2.0893,2.0781,2.0341,16515.48,MORPHO-USD
1762131600,2.0222,2.0418,2.0328,2.024,9791.91,MORPHO-USD
1762135200,1.9808,2.0269,2.0259,2.0125,43238.55,MORPHO-USD
1762138800,1.9377,2.0114,2.0086,1.9413,34787.86,MORPHO-USD
1762142400,1.9019,1.9519,1.9401,1.9519,58540.94,MORPHO-USD
1762146000,1.9473,1.9712,1.9526,1.9473,23170.17,MORPHO-USD
1762149600,1.9232,1.9525,1.9518,1.9405,6476.7,MORPHO-USD
1762153200,1.9284,1.9518,1.9313,1.9381,11663.38,MORPHO-USD
1762156800,1.9229,1.9488,1.9408,1.9418,5585.36,MORPHO-USD
1762160400,1.8894,1.9636,1.9414,1.9023,9878.86,MORPHO-USD
1762164000,1.8878,1.9055,1.8962,1.8938,13951.97,MORPHO-USD
