time,low,high,open,close,volume,symbol
1761955200,0.01557,0.01559,0.01557,0.01559,1459,NCT-USD
1761958800,0.0156,0.01569,0.0156,0.01568,1010491,NCT-USD
1761962400,0.01569,0.01593,0.01569,0.01587,1463217,NCT-USD
1761966000,0.01588,0.01595,0.01588,0.0159,24984,NCT-USD
1761969600,0.01588,0.01591,0.01588,0.01588,16445,NCT-USD
1761973200,0.01585,0.01625,0.01588,0.01615,700553,NCT-USD
1761976800,0.01617,0.01659,0.01617,0.01654,777259,NCT-USD
1761980400,0.01616,0.01653,0.01653,0.01631,563220,NCT-USD
1761984000,0.01622,0.01625,0.01625,0.01622,8989,NCT-USD
1761987600,0.01592,0.01622,0.01622,0.01598,268090,NCT-USD
1761991200,0.01594,0.016,0.01597,0.016,30721,NCT-USD
1762002000,0.01591,0.01599,0.01599,0.01591,8377,NCT-USD
1762005600,0.01592,0.01598,0.01592,0.01598,222163,NCT-USD
1762012800,0.01598,0.01604,0.01598,0.01599,22743,NCT-USD
1762016400,0.01599,0.01612,0.01599,0.01608,99470,NCT-USD
1762020000,0.01588,0.0161,0.01609,0.01595,221974,NCT-USD
1762023600,0.01575,0.01594,0.01594,0.01575,471649,NCT-USD
1762027200,0.01577,0.01613,0.01577,0.0161,1481109,NCT-USD
1762030800,0.01609,0.01619,0.01611,0.01611,63580,NCT-USD
1762034400,0.01607,0.01616,0.01612,0.01611,139701,NCT-USD
1762038000,0.01609,0.01617,0.01609,0.0161,25729,NCT-USD
1762041600,0.01592,0.01611,0.01607,0.01592,126882,NCT-USD
1762045200,0.0159,0.016,0.016,0.01594,19787,NCT-USD
1762048800,0.01594,0.01607,0.01594,0.01604,47062,NCT-USD
1762052400,0.01598,0.01604,0.01604,0.01598,41054,NCT-USD
1762056000,0.01595,0.01599,0.01599,0.01595,2887,NCT-USD
1762059600,0.01595,0.01595,0.01595,0.01595,1075,NCT-USD
1762063200,0.01585,0.01595,0.01595,0.01588,251932,NCT-USD
1762066800,0.01579,0.01586,0.01585,0.01582,40657,NCT-USD
1762070400,0.01579,0.01587,0.01584,0.01579,33845,NCT-USD
1762074000,0.01579,0.01583,0.01579,0.01583,2351,NCT-USD
1762077600,0.01561,0.01586,0.01584,0.01586,1461195,NCT-USD
1762081200,0.01576,0.01582,0.01582,0.01576,28081,NCT-USD
1762084800,0.01576,0.01583,0.01576,0.01583,2426,NCT-USD
1762088400,0.01583,0.01584,0.01583,0.01584,13732,NCT-USD
1762092000,0.01571,0.01583,0.01583,0.01571,23746,NCT-USD
1762095600,0.01577,0.01581,0.01577,0.01581,18914,NCT-USD
1762099200,0.01567,0.01583,0.01581,0.01569,319440,NCT-USD
1762102800,0.0156,0.01569,0.01569,0.01562,58109,NCT-USD
1762106400,0.01562,0.01568,0.01562,0.01565,1012684,NCT-USD
1762110000,0.01559,0.01566,0.01566,0.01559,57402,NCT-USD
1762113600,0.01561,0.01564,0.01561,0.01564,1707,NCT-USD
1762117200,0.01557,0.01565,0.01564,0.01559,625294,NCT-USD
1762120800,0.01557,0.01568,0.01559,0.01568,1098502,NCT-USD
1762124400,0.01561,0.01577,0.01568,0.0157,325214,NCT-USD
1762128000,0.01568,0.0157,0.0157,0.01568,11691,NCT-USD
1762131600,0.01566,0.01573,0.01569,0.01567,216505,NCT-USD
1762135200,0.01566,0.01578,0.01566,0.01578,85118,NCT-USD
1762138800,0.0156,0.01573,0.0157,0.0156,450681,NCT-USD
1762142400,0.01554,0.01561,0.01561,0.01554,287404,NCT-USD
1762146000,0.01544,0.01553,0.01553,0.01553,119955,NCT-USD
1762149600,0.01547,0.01552,0.01551,0.01547,10284,NCT-USD
1762153200,0.01547,0.01551,0.01549,0.01547,13512,NCT-USD
1762160400,0.0154,0.01549,0.01547,0.01542,143829,NCT-USD
1762164000,0.0153,0.01541,0.01541,0.01533,136077,NCT-USD
1762171200,0.0153,0.01537,0.01531,0.01537,14119,NCT-USD
1762174800,0.01533,0.01539,0.01536,0.01538,141662,NCT-USD
1762182000,0.01486,0.01535,0.01535,0.01486,5643982,NCT-USD
1762185600,0.01475,0.01489,0.01488,0.0148,214947,NCT-USD
1762189200,0.01449,0.0148,0.0148,0.01465,1288440,NCT-USD
1762192800,0.01463,0.01468,0.01465,0.01468,102674,NCT-USD
1762196400,0.01451,0.01464,0.01458,0.01464,70282,NCT-USD
1762200000,0.01423,0.01462,0.01462,0.01442,1099771,NCT-USD
1762203600,0.01437,0.01454,0.01441,0.01442,307269,NCT-USD
1762207200,0.01429,0.01444,0.01444,0.01429,58193,NCT-USD
1762210800,0.01427,0.01434,0.01428,0.01433,11520,NCT-USD
1762214400,0.01434,0.01456,0.01434,0.01447,369247,NCT-USD
1762221600,0.01446,0.0145,0.01449,0.01446,3725,NCT-USD
1762225200,0.01447,0.01454,0.01447,0.01447,24505,NCT-USD
1762228800,0.01416,0.01447,0.01447,0.01426,248723,NCT-USD
1762232400,0.01427,0.0143,0.01427,0.0143,21358,NCT-USD
1762236000,0.01429,0.0143,0.0143,0.01429,34499,NCT-USD
1762239600,0.01415,0.0143,0.0143,0.01415,59556,NCT-USD
1762243200,0.0141,0.01418,0.01417,0.01418,20968,NCT-USD
1762246800,0.0141,0.01415,0.01412,0.01413,36682,NCT-USD
1762250400,0.01409,0.01417,0.01413,0.01417,333543,NCT-USD
1762254000,0.01411,0.01423,0.01416,0.01423,427444,NCT-USD
1762257600,0.01412,0.0143,0.01418,0.01415,92999,NCT-USD
