time,low,high,open,close,volume,symbol
1761955200,0.1334,0.1344,0.1334,0.1343,10300.0,NEWT-USD
1761958800,0.1336,0.1346,0.1345,0.1337,8725.57,NEWT-USD
1761962400,0.1336,0.1357,0.1336,0.1357,6514.96,NEWT-USD
1761966000,0.1355,0.1357,0.1355,0.1356,1644.87,NEWT-USD
1761969600,0.1351,0.1358,0.1356,0.1358,5731.94,NEWT-USD
1761973200,0.1358,0.137,0.136,0.1363,10633.89,NEWT-USD
1761976800,0.1348,0.1365,0.136,0.1365,13905.56,NEWT-USD
1761980400,0.1348,0.1365,0.1363,0.135,14418.41,NEWT-USD
1761984000,0.1352,0.1362,0.1352,0.1362,9155.53,NEWT-USD
1761987600,0.1358,0.1364,0.136,0.1358,4249.04,NEWT-USD
1761991200,0.1358,0.137,0.1358,0.1369,10600.2,NEWT-USD
1761994800,0.1326,0.1369,0.1369,0.1332,151336.86,NEWT-USD
1761998400,0.1333,0.1359,0.1338,0.1348,53673.57,NEWT-USD
1762002000,0.1346,0.1356,0.135,0.1356,26837.83,NEWT-USD
1762005600,0.134,0.136,0.1356,0.136,7799.79,NEWT-USD
1762009200,0.1352,0.1384,0.1354,0.1376,37695.27,NEWT-USD
1762012800,0.136,0.1386,0.1375,0.1382,103016.39,NEWT-USD
1762016400,0.1375,0.1385,0.1382,0.1382,10100.2,NEWT-USD
1762020000,0.1387,0.1393,0.1387,0.1391,4123.7,NEWT-USD
1762023600,0.1388,0.139,0.139,0.1388,2084.47,NEWT-USD
1762027200,0.1383,0.1391,0.1385,0.1388,3704.91,NEWT-USD
1762030800,0.1376,0.1381,0.1378,0.1376,1745.27,NEWT-USD
1762034400,0.1379,0.1385,0.1379,0.1384,18344.22,NEWT-USD
1762038000,0.1378,0.1388,0.1386,0.1378,2616.25,NEWT-USD
1762041600,0.1373,0.138,0.1375,0.1379,7776.09,NEWT-USD
1762045200,0.1373,0.1385,0.1385,0.1373,1285.39,NEWT-USD
1762048800,0.1375,0.1382,0.1379,0.1375,8094.24,NEWT-USD
1762052400,0.1369,0.1378,0.1372,0.1378,2529.41,NEWT-USD
1762056000,0.1376,0.1394,0.1376,0.1393,12150.79,NEWT-USD
1762059600,0.1385,0.1396,0.1392,0.139,78103.56,NEWT-USD
