time,low,high,open,close,volume,symbol
1761955200,3.047,3.073,3.06,3.073,3598.44,PENDLE-USD
1761958800,3.065,3.09,3.074,3.07,1245.09,PENDLE-USD
1761962400,3.057,3.096,3.069,3.096,1038.79,PENDLE-USD
1761966000,3.097,3.116,3.097,3.113,1141.24,PENDLE-USD
1761969600,3.088,3.116,3.115,3.099,3196.37,PENDLE-USD
1761973200,3.086,3.117,3.098,3.106,24647.61,PENDLE-USD
1761976800,3.099,3.114,3.106,3.113,8236.28,PENDLE-USD
1761980400,3.112,3.141,3.113,3.141,1799.68,PENDLE-USD
1761984000,3.132,3.178,3.142,3.173,15265.47,PENDLE-USD
1761987600,3.148,3.178,3.172,3.151,7988.64,PENDLE-USD
1761991200,3.148,3.164,3.15,3.155,1782.4,PENDLE-USD
1761994800,3.141,3.167,3.154,3.155,1650.83,PENDLE-USD
1761998400,3.141,3.157,3.154,3.144,2264.62,PENDLE-USD
1762002000,3.111,3.147,3.142,3.133,3523.3,PENDLE-USD
1762005600,3.099,3.133,3.133,3.111,5069.38,PENDLE-USD
1762009200,3.109,3.14,3.112,3.133,3041.91,PENDLE-USD
1762012800,3.123,3.145,3.13,3.123,4936.55,PENDLE-USD
1762016400,3.108,3.128,3.124,3.111,2995.46,PENDLE-USD
1762020000,3.112,3.123,3.114,3.123,3605.47,PENDLE-USD
1762023600,3.122,3.133,3.123,3.132,4603.78,PENDLE-USD
1762027200,3.133,3.169,3.133,3.151,20183.48,PENDLE-USD
1762030800,3.11,3.151,3.15,3.112,4476.17,PENDLE-USD
1762034400,3.094,3.117,3.114,3.111,4897.36,PENDLE-USD
1762038000,3.109,3.128,3.112,3.127,6072.37,PENDLE-USD
1762041600,3.104,3.126,3.126,3.107,8566.06,PENDLE-USD
1762045200,3.098,3.119,3.107,3.098,9551.85,PENDLE-USD
1762048800,3.096,3.125,3.098,3.106,13047.2,PENDLE-USD
1762052400,3.088,3.11,3.106,3.09,30101.96,PENDLE-USD
1762056000,3.086,3.122,3.089,3.119,24354.01,PENDLE-USD
1762059600,3.093,3.119,3.118,3.111,28106.61,PENDLE-USD
1762063200,3.101,3.116,3.112,3.115,27958.0,PENDLE-USD
1762066800,3.103,3.131,3.115,3.124,29067.84,PENDLE-USD
1762070400,3.067,3.124,3.124,3.07,32846.23,PENDLE-USD
1762074000,3.049,3.086,3.07,3.051,29248.67,PENDLE-USD
1762077600,3.034,3.062,3.049,3.056,28585.74,PENDLE-USD
1762081200,3.054,3.088,3.057,3.088,22725.91,PENDLE-USD
1762084800,3.067,3.09,3.088,3.07,40585.92,PENDLE-USD
1762088400,3.047,3.071,3.069,3.05,54588.01,PENDLE-USD
1762092000,3.003,3.055,3.049,3.005,49010.15,PENDLE-USD
1762095600,2.995,3.033,3.004,3.008,9519.84,PENDLE-USD
1762099200,2.989,3.044,3.013,3.044,3900.11,PENDLE-USD
1762102800,3.018,3.044,3.042,3.026,3126.34,PENDLE-USD
1762106400,3.013,3.029,3.024,3.014,1461.59,PENDLE-USD
1762110000,3.006,3.019,3.015,3.014,1942.66,PENDLE-USD
1762113600,2.993,3.01,3.01,3.009,4984.64,PENDLE-USD
1762117200,3.002,3.016,3.009,3.01,2614.62,PENDLE-USD
1762120800,2.996,3.016,3.012,3.011,3498.85,PENDLE-USD
1762124400,3.012,3.061,3.012,3.055,5861.02,PENDLE-USD
1762128000,3.002,3.062,3.054,3.002,1819.14,PENDLE-USD
1762131600,2.976,3.01,3.003,2.989,5534.45,PENDLE-USD
1762135200,2.939,2.994,2.989,2.965,6976.86,PENDLE-USD
1762138800,2.842,2.967,2.965,2.844,51468.88,PENDLE-USD
1762142400,2.83,2.87,2.85,2.868,7221.16,PENDLE-USD
1762146000,2.828,2.892,2.869,2.831,14658.03,PENDLE-USD
1762149600,2.767,2.834,2.83,2.786,9810.46,PENDLE-USD
1762153200,2.773,2.835,2.785,2.803,5005.79,PENDLE-USD
1762156800,2.749,2.81,2.802,2.787,22970.71,PENDLE-USD
1762160400,2.755,2.824,2.784,2.777,13896.12,PENDLE-USD
1762164000,2.734,2.775,2.773,2.746,15470.69,PENDLE-USD
1762167600,2.745,2.792,2.745,2.77,5487.32,PENDLE-USD
1762171200,2.771,2.821,2.771,2.803,20929.72,PENDLE-USD
1762174800,2.779,2.838,2.802,2.825,18636.81,PENDLE-USD
1762178400,2.81,2.851,2.826,2.833,5015.87,PENDLE-USD
1762182000,2.6,2.841,2.834,2.662,78336.2,PENDLE-USD
1762185600,2.643,2.757,2.663,2.734,45478.64,PENDLE-USD
1762189200,2.729,2.791,2.733,2.745,22879.39,PENDLE-USD
1762192800,2.721,2.768,2.744,2.723,17458.77,PENDLE-USD
1762196400,2.711,2.743,2.722,2.718,37676.62,PENDLE-USD
1762200000,2.656,2.727,2.719,2.667,21187.24,PENDLE-USD
1762203600,2.659,2.711,2.669,2.699,14946.43,PENDLE-USD
1762207200,2.661,2.701,2.698,2.694,25432.71,PENDLE-USD
1762210800,2.674,2.722,2.694,2.718,9758.05,PENDLE-USD
1762214400,2.699,2.762,2.717,2.757,13922.87,PENDLE-USD
1762218000,2.735,2.771,2.757,2.74,4383.79,PENDLE-USD
1762221600,2.717,2.746,2.739,2.728,3772.93,PENDLE-USD
1762225200,2.721,2.769,2.729,2.763,42478.22,PENDLE-USD
1762228800,2.742,2.773,2.764,2.742,9094.67,PENDLE-USD
1762232400,2.61,2.758,2.741,2.611,20338.38,PENDLE-USD
1762236000,2.615,2.706,2.615,2.654,13588.78,PENDLE-USD
1762239600,2.61,2.659,2.655,2.617,65872.16,PENDLE-USD
1762243200,2.61,2.685,2.618,2.678,20461.32,PENDLE-USD
1762246800,2.666,2.694,2.68,2.692,18261.32,PENDLE-USD
1762250400,2.674,2.716,2.693,2.679,24775.26,PENDLE-USD
1762254000,2.669,2.711,2.679,2.671,6726.36,PENDLE-USD
1762257600,2.641,2.674,2.67,2.652,4272.3,PENDLE-USD
1762261200,2.629,2.668,2.654,2.657,6805.05,PENDLE-USD
1762264800,2.637,2.749,2.656,2.731,11752.52,PENDLE-USD
1762268400,2.688,2.825,2.734,2.696,24803.64,PENDLE-USD
1762272000,2.636,2.713,2.696,2.639,50174.73,PENDLE-USD
1762275600,2.563,2.66,2.638,2.645,30926.43,PENDLE-USD
