time,low,high,open,close,volume,symbol
1761955200,0.1834,0.185,0.1843,0.1849,242068.02,POL-USD
1761958800,0.1839,0.1852,0.1849,0.1839,175930.39,POL-USD
1761962400,0.1829,0.1846,0.184,0.1846,191344.51,POL-USD
1761966000,0.1847,0.1862,0.1847,0.1859,185103.39,POL-USD
1761969600,0.1847,0.1861,0.1858,0.1855,112059.1,POL-USD
1761973200,0.1846,0.1858,0.1856,0.1846,414394.22,POL-USD
1761976800,0.1841,0.1853,0.1848,0.1853,138988.42,POL-USD
1761980400,0.1851,0.1876,0.1852,0.1872,80887.84,POL-USD
1761984000,0.1866,0.1893,0.1874,0.1889,1006803.82,POL-USD
1761987600,0.1878,0.1902,0.189,0.1881,318025.56,POL-USD
1761991200,0.188,0.1897,0.1884,0.1895,163461.19,POL-USD
1761994800,0.1882,0.19,0.1898,0.1893,241269.05,POL-USD
1761998400,0.1888,0.19,0.1893,0.1899,1204771.83,POL-USD
1762002000,0.1874,0.1899,0.1898,0.1891,375403.52,POL-USD
1762005600,0.187,0.189,0.1889,0.1879,287731.04,POL-USD
1762009200,0.1876,0.1905,0.1877,0.1903,308594.72,POL-USD
1762012800,0.1902,0.192,0.1905,0.191,589238.41,POL-USD
1762016400,0.1903,0.1916,0.1906,0.1909,290020.8,POL-USD
1762020000,0.1903,0.1912,0.1909,0.1911,117118.66,POL-USD
1762023600,0.1907,0.1918,0.1909,0.1917,653388.08,POL-USD
1762027200,0.1915,0.193,0.192,0.1924,180572.31,POL-USD
1762030800,0.1907,0.1927,0.1924,0.1907,174785.97,POL-USD
1762034400,0.1906,0.1919,0.1908,0.1918,151793.19,POL-USD
1762038000,0.1918,0.1929,0.192,0.1927,282580.79,POL-USD
1762041600,0.1917,0.1928,0.1926,0.1918,817368.77,POL-USD
1762045200,0.1907,0.1922,0.192,0.1911,187678.83,POL-USD
1762048800,0.1908,0.192,0.191,0.1912,162751.95,POL-USD
1762052400,0.1908,0.1915,0.1912,0.191,108160.56,POL-USD
1762056000,0.1909,0.1937,0.1911,0.1937,71089.13,POL-USD
1762059600,0.1926,0.1945,0.1936,0.1945,171279.99,POL-USD
1762063200,0.194,0.195,0.1946,0.1948,269894.39,POL-USD
1762066800,0.1937,0.195,0.1949,0.1946,286825.77,POL-USD
1762070400,0.1933,0.1948,0.1944,0.1935,67340.83,POL-USD
1762074000,0.1929,0.1947,0.1936,0.193,168752.6,POL-USD
1762077600,0.1917,0.1935,0.1931,0.1925,213042.2,POL-USD
1762081200,0.1923,0.1952,0.1926,0.195,288550.83,POL-USD
1762084800,0.1932,0.1951,0.1949,0.1932,293595.08,POL-USD
1762088400,0.191,0.1932,0.193,0.1919,137023.58,POL-USD
1762092000,0.1882,0.1925,0.1914,0.1892,418704.97,POL-USD
1762095600,0.1884,0.1907,0.1891,0.1889,182646.69,POL-USD
1762099200,0.1872,0.1905,0.1891,0.1905,339542.77,POL-USD
1762102800,0.1888,0.1905,0.1905,0.1896,191286.62,POL-USD
1762106400,0.1889,0.1899,0.1895,0.1889,98120.4,POL-USD
1762110000,0.1875,0.1892,0.189,0.1887,260294.11,POL-USD
1762113600,0.188,0.1889,0.1887,0.1887,148605.2,POL-USD
1762117200,0.1884,0.1894,0.1888,0.1887,160922.61,POL-USD
1762120800,0.188,0.1897,0.1887,0.1891,252807.06,POL-USD
1762124400,0.1891,0.1931,0.1891,0.1928,236645.39,POL-USD
1762128000,0.1889,0.1929,0.1927,0.189,193033.38,POL-USD
1762131600,0.1873,0.1896,0.1891,0.1879,91463.94,POL-USD
1762135200,0.1851,0.188,0.1879,0.1861,198235.98,POL-USD
1762138800,0.1808,0.1865,0.1863,0.1812,311429.9,POL-USD
1762142400,0.1803,0.1825,0.1811,0.1825,943191.87,POL-USD
1762146000,0.181,0.1836,0.1825,0.181,282991.18,POL-USD
1762149600,0.1792,0.1817,0.181,0.1807,481967.06,POL-USD
1762153200,0.1804,0.1834,0.1807,0.1821,337224.91,POL-USD
