time,low,high,open,close,volume,symbol
1761955200,0.2979,0.3003,0.2994,0.2999,7060.68,PUNDIX-USD
1761958800,0.2972,0.2999,0.2999,0.2972,1965.66,PUNDIX-USD
1761962400,0.2946,0.3002,0.297,0.3002,7068.28,PUNDIX-USD
1761966000,0.299,0.2998,0.2998,0.299,388.08,PUNDIX-USD
1761969600,0.2982,0.2982,0.2982,0.2982,14.19,PUNDIX-USD
1761976800,0.2967,0.3007,0.298,0.3007,6169.09,PUNDIX-USD
1761980400,0.3008,0.3015,0.3015,0.3008,32.77,PUNDIX-USD
1761984000,0.3007,0.3045,0.3007,0.304,11389.63,PUNDIX-USD
1761987600,0.3048,0.3064,0.306,0.3062,15824.45,PUNDIX-USD
1761991200,0.3058,0.3118,0.3069,0.3066,44250.8,PUNDIX-USD
1761994800,0.3053,0.3089,0.3063,0.3066,18527.68,PUNDIX-USD
1761998400,0.3049,0.3069,0.3069,0.3049,3696.21,PUNDIX-USD
1762002000,0.3024,0.3049,0.3043,0.3025,9153.59,PUNDIX-USD
1762005600,0.3022,0.3043,0.3022,0.3043,2622.2,PUNDIX-USD
1762012800,0.306,0.3077,0.306,0.3077,36.73,PUNDIX-USD
1762027200,0.3051,0.3072,0.306,0.3051,4328.12,PUNDIX-USD
1762030800,0.3033,0.3045,0.3045,0.3033,1756.38,PUNDIX-USD
1762034400,0.3029,0.3038,0.3033,0.303,3112.91,PUNDIX-USD
1762038000,0.3016,0.3041,0.304,0.3016,4548.28,PUNDIX-USD
1762041600,0.3017,0.3018,0.3017,0.3017,2806.53,PUNDIX-USD
1762048800,0.3009,0.3016,0.3016,0.3009,801.71,PUNDIX-USD
1762052400,0.3001,0.3008,0.3007,0.3006,1500.29,PUNDIX-USD
1762056000,0.3018,0.3051,0.3018,0.3051,434.1,PUNDIX-USD
1762063200,0.305,0.3065,0.305,0.3063,670.94,PUNDIX-USD
1762066800,0.3043,0.3068,0.3068,0.3043,130.12,PUNDIX-USD
1762070400,0.3033,0.3046,0.3046,0.3033,226.68,PUNDIX-USD
1762074000,0.3018,0.303,0.303,0.3018,453.3,PUNDIX-USD
1762077600,0.3005,0.3033,0.3017,0.3033,27.68,PUNDIX-USD
1762081200,0.3033,0.3034,0.3034,0.3033,39.41,PUNDIX-USD
1762084800,0.3012,0.3033,0.303,0.3012,5545.06,PUNDIX-USD
1762088400,0.3004,0.3008,0.3008,0.3006,1117.49,PUNDIX-USD
1762092000,0.2958,0.301,0.301,0.2958,7334.28,PUNDIX-USD
1762095600,0.2937,0.2979,0.2957,0.2937,9348.73,PUNDIX-USD
1762110000,0.2949,0.2958,0.2958,0.2949,501.99,PUNDIX-USD
1762120800,0.2949,0.2994,0.2949,0.2993,10050.88,PUNDIX-USD
1762124400,0.3006,0.3021,0.3006,0.3012,2187.62,PUNDIX-USD
1762128000,0.2978,0.2991,0.299,0.2978,265.05,PUNDIX-USD
1762131600,0.2968,0.2988,0.2988,0.297,4043.82,PUNDIX-USD
1762135200,0.2955,0.2992,0.2955,0.2992,4988.18,PUNDIX-USD
1762138800,0.2913,0.298,0.2978,0.2913,25310.05,PUNDIX-USD
1762142400,0.2902,0.3009,0.2902,0.3009,4034.18,PUNDIX-USD
1762146000,0.2955,0.2987,0.2981,0.2955,5451.92,PUNDIX-USD
1762149600,0.2939,0.2969,0.2964,0.2969,4546.49,PUNDIX-USD
1762156800,0.2949,0.2958,0.2949,0.2958,9228.06,PUNDIX-USD
1762164000,0.2928,0.2955,0.2944,0.2955,2954.71,PUNDIX-USD
1762167600,0.2974,0.2978,0.2977,0.2974,3226.45,PUNDIX-USD
1762171200,0.2936,0.2957,0.2956,0.2936,3932.84,PUNDIX-USD
1762174800,0.2922,0.2954,0.2939,0.2954,2055.26,PUNDIX-USD
1762178400,0.2907,0.2935,0.2935,0.2907,85.8,PUNDIX-USD
1762182000,0.2803,0.2928,0.2898,0.2873,72668.8,PUNDIX-USD
1762185600,0.2862,0.298,0.2877,0.2928,63177.39,PUNDIX-USD
1762189200,0.2881,0.2934,0.293,0.2886,22266.12,PUNDIX-USD
1762192800,0.2857,0.2901,0.2877,0.2863,12907.91,PUNDIX-USD
1762196400,0.2817,0.285,0.285,0.2818,6481.25,PUNDIX-USD
1762200000,0.2787,0.2823,0.2817,0.2823,8030.26,PUNDIX-USD
1762203600,0.2776,0.2852,0.2781,0.2852,22085.84,PUNDIX-USD
1762207200,0.2802,0.2878,0.2844,0.2873,24360.46,PUNDIX-USD
1762210800,0.2877,0.2957,0.2877,0.2882,36757.36,PUNDIX-USD
1762214400,0.2876,0.2937,0.2884,0.2904,9054.48,PUNDIX-USD
1762218000,0.2884,0.2903,0.2903,0.2884,5492.07,PUNDIX-USD
1762221600,0.2891,0.2896,0.2894,0.2896,1998.43,PUNDIX-USD
1762225200,0.289,0.29,0.2892,0.29,6664.82,PUNDIX-USD
1762228800,0.2873,0.2902,0.2895,0.288,8552.59,PUNDIX-USD
1762232400,0.2747,0.2877,0.2877,0.2755,45063.98,PUNDIX-USD
1762236000,0.2711,0.2789,0.2749,0.2728,34621.08,PUNDIX-USD
1762239600,0.274,0.2822,0.274,0.2822,31227.41,PUNDIX-USD
1762243200,0.2783,0.2816,0.2788,0.2816,20911.18,PUNDIX-USD
1762246800,0.2801,0.2848,0.2816,0.2848,15930.44,PUNDIX-USD
1762250400,0.2843,0.2876,0.2847,0.2864,11407.18,PUNDIX-USD
1762254000,0.2836,0.2863,0.2851,0.2836,286.73,PUNDIX-USD
1762257600,0.2823,0.2832,0.2832,0.2825,3211.85,PUNDIX-USD
1762264800,0.2859,0.2902,0.2859,0.2902,165.21,PUNDIX-USD
1762268400,0.2859,0.2876,0.2876,0.2859,1129.5,PUNDIX-USD
1762272000,0.2822,0.2829,0.2823,0.2822,2505.46,PUNDIX-USD
1762275600,0.2821,0.2836,0.2836,0.2821,49.97,PUNDIX-USD
1762279200,0.2737,0.2818,0.2799,0.2818,4226.8,PUNDIX-USD
1762282800,0.2716,0.2809,0.2809,0.2716,116.19,PUNDIX-USD
1762286400,0.2695,0.2785,0.2709,0.2764,42495.96,PUNDIX-USD
1762290000,0.2697,0.2817,0.2697,0.2817,12481.9,PUNDIX-USD
1762293600,0.2811,0.2829,0.2816,0.2829,6228.56,PUNDIX-USD
1762297200,0.2712,0.2842,0.2842,0.2743,31860.79,PUNDIX-USD
1762300800,0.2676,0.2729,0.2725,0.2676,5620.0,PUNDIX-USD
1762304400,0.2627,0.2711,0.267,0.2711,9390.65,PUNDIX-USD
