time,low,high,open,close,volume,symbol
1761955200,0.004873,0.004912,0.004873,0.004912,118545,QI-USD
1761958800,0.004876,0.004914,0.004914,0.004876,74488,QI-USD
1761962400,0.004876,0.004934,0.004876,0.004929,561622,QI-USD
1761966000,0.004934,0.004949,0.004934,0.004949,115595,QI-USD
1761969600,0.00493,0.004949,0.004949,0.004945,225837,QI-USD
1761973200,0.004949,0.004956,0.004956,0.004949,80663,QI-USD
1761976800,0.004943,0.004956,0.004943,0.004956,151830,QI-USD
1761980400,0.004972,0.005016,0.004972,0.005016,474829,QI-USD
1761984000,0.005006,0.005019,0.005012,0.005019,250489,QI-USD
1761987600,0.005002,0.005022,0.005022,0.005002,152025,QI-USD
1761991200,0.005004,0.005028,0.005004,0.005011,199308,QI-USD
1761994800,0.005013,0.00503,0.005016,0.005013,464373,QI-USD
1761998400,0.005014,0.005021,0.005016,0.005021,162946,QI-USD
1762002000,0.004989,0.005008,0.005008,0.005001,448020,QI-USD
1762005600,0.004961,0.005,0.005,0.004973,687933,QI-USD
1762009200,0.004968,0.005023,0.00498,0.005016,1625556,QI-USD
1762012800,0.004983,0.005027,0.005022,0.004983,728170,QI-USD
1762016400,0.004979,0.004988,0.004987,0.004987,206904,QI-USD
1762020000,0.004979,0.004993,0.004979,0.004993,134732,QI-USD
1762023600,0.005002,0.005025,0.005002,0.005025,105585,QI-USD
1762027200,0.00502,0.005051,0.005031,0.00502,350675,QI-USD
1762030800,0.004991,0.005019,0.005017,0.004991,218360,QI-USD
1762034400,0.004977,0.004997,0.004991,0.004997,316836,QI-USD
1762038000,0.005015,0.005022,0.005015,0.005022,55754,QI-USD
1762041600,0.004983,0.005011,0.005011,0.004983,50272,QI-USD
1762048800,0.004984,0.004996,0.00499,0.004984,92180,QI-USD
1762052400,0.00498,0.004984,0.004984,0.004983,80087,QI-USD
1762056000,0.004976,0.00501,0.004976,0.005006,267606,QI-USD
1762059600,0.005006,0.005022,0.005006,0.005021,141225,QI-USD
1762063200,0.005023,0.005046,0.005025,0.005046,190251,QI-USD
1762066800,0.005042,0.005082,0.005042,0.005082,267395,QI-USD
1762070400,0.005035,0.005081,0.005081,0.005062,311200,QI-USD
1762074000,0.004994,0.005064,0.005064,0.005,277024,QI-USD
1762077600,0.004951,0.005001,0.005,0.004951,265820,QI-USD
1762081200,0.004947,0.005017,0.004957,0.005013,775345,QI-USD
