time,low,high,open,close,volume,symbol
1761955200,0.00837,0.00844,0.00837,0.00844,136005,REZ-USD
1761958800,0.00833,0.00843,0.00841,0.00833,89712,REZ-USD
1761962400,0.00827,0.00844,0.00832,0.00844,743641,REZ-USD
1761966000,0.00844,0.00849,0.00848,0.00847,25767,REZ-USD
1761969600,0.00844,0.0085,0.00847,0.00847,248204,REZ-USD
1761973200,0.0084,0.00848,0.00847,0.00843,100229,REZ-USD
1761976800,0.0084,0.00845,0.00841,0.00845,72953,REZ-USD
1761980400,0.00847,0.00862,0.00847,0.0086,155031,REZ-USD
1761984000,0.00853,0.00866,0.00861,0.00864,3400820,REZ-USD
1761987600,0.00861,0.00868,0.00864,0.00867,647094,REZ-USD
1761991200,0.00867,0.00885,0.00867,0.00881,2513797,REZ-USD
1761994800,0.00872,0.00887,0.0088,0.00872,894633,REZ-USD
1761998400,0.00869,0.00882,0.00875,0.00882,129514,REZ-USD
1762002000,0.00869,0.0088,0.0088,0.00873,569842,REZ-USD
1762005600,0.00861,0.00872,0.00872,0.0087,311901,REZ-USD
1762009200,0.00869,0.00879,0.0087,0.00874,364849,REZ-USD
1762012800,0.00871,0.00883,0.00871,0.00876,607552,REZ-USD
1762016400,0.00871,0.00882,0.00875,0.00873,143819,REZ-USD
1762020000,0.00871,0.00878,0.00876,0.00878,270811,REZ-USD
1762023600,0.00875,0.0088,0.00877,0.00878,68408,REZ-USD
1762027200,0.00877,0.00882,0.00877,0.00878,148208,REZ-USD
1762030800,0.00864,0.00878,0.00877,0.00871,132484,REZ-USD
1762034400,0.00869,0.00872,0.00871,0.00871,33667,REZ-USD
1762038000,0.0087,0.00875,0.00871,0.00871,41145,REZ-USD
1762041600,0.00867,0.00873,0.00871,0.00873,211331,REZ-USD
1762045200,0.00871,0.00878,0.00872,0.00877,34558,REZ-USD
1762048800,0.00872,0.00882,0.00873,0.00878,134515,REZ-USD
1762052400,0.00873,0.00879,0.00879,0.00874,113757,REZ-USD
1762056000,0.00871,0.00883,0.00871,0.00883,47025,REZ-USD
1762059600,0.0088,0.0089,0.00883,0.0089,76324,REZ-USD
1762063200,0.00886,0.00904,0.00891,0.0089,1550367,REZ-USD
1762066800,0.00888,0.009,0.00889,0.00891,253506,REZ-USD
1762070400,0.0088,0.0089,0.0089,0.0088,131841,REZ-USD
1762074000,0.00869,0.00883,0.00882,0.00871,121011,REZ-USD
1762077600,0.00857,0.0087,0.0087,0.00865,7847440,REZ-USD
1762081200,0.00862,0.00877,0.00865,0.00877,512948,REZ-USD
1762084800,0.0087,0.00879,0.00877,0.00873,121843,REZ-USD
1762088400,0.00858,0.00872,0.00872,0.00863,195438,REZ-USD
1762092000,0.00842,0.00863,0.00862,0.0085,498981,REZ-USD
1762095600,0.00843,0.00857,0.00849,0.00844,428175,REZ-USD
1762099200,0.00837,0.00852,0.00844,0.00852,281381,REZ-USD
1762102800,0.00847,0.00853,0.00853,0.00851,79004,REZ-USD
1762106400,0.00845,0.00852,0.00852,0.00845,170477,REZ-USD
1762110000,0.00842,0.00847,0.00844,0.00843,625546,REZ-USD
1762113600,0.00844,0.00851,0.00845,0.00851,9182,REZ-USD
1762117200,0.00848,0.00854,0.00851,0.00852,266902,REZ-USD
1762120800,0.00849,0.0086,0.00851,0.0086,93433,REZ-USD
1762124400,0.0086,0.00873,0.0086,0.00873,513576,REZ-USD
1762128000,0.00856,0.00876,0.00873,0.00856,179582,REZ-USD
1762131600,0.00846,0.0086,0.00854,0.00847,770740,REZ-USD
1762135200,0.00832,0.00846,0.00846,0.00838,166016,REZ-USD
1762138800,0.00799,0.00833,0.00833,0.008,1190740,REZ-USD
1762142400,0.00794,0.00813,0.008,0.00812,956662,REZ-USD
1762146000,0.00799,0.00821,0.00812,0.00799,181789,REZ-USD
1762149600,0.00778,0.00803,0.00798,0.0079,1104931,REZ-USD
1762153200,0.00791,0.00804,0.00793,0.00797,905793,REZ-USD
1762156800,0.00773,0.00825,0.00799,0.00811,2427937,REZ-USD
1762160400,0.00803,0.00826,0.00811,0.00806,231569,REZ-USD
1762164000,0.008,0.00813,0.00806,0.00804,697076,REZ-USD
1762167600,0.00804,0.00814,0.00804,0.00805,786854,REZ-USD
1762171200,0.00806,0.00816,0.00807,0.00809,237943,REZ-USD
1762174800,0.008,0.00815,0.00807,0.00808,2081274,REZ-USD
1762178400,0.00809,0.00817,0.00812,0.00816,781810,REZ-USD
1762182000,0.00732,0.00817,0.00817,0.00758,6339478,REZ-USD
1762185600,0.00755,0.00776,0.00757,0.00761,7122791,REZ-USD
1762189200,0.00761,0.00783,0.00761,0.00783,3747829,REZ-USD
1762192800,0.00773,0.00793,0.00783,0.00773,833096,REZ-USD
1762196400,0.00755,0.00775,0.00775,0.00755,128400,REZ-USD
1762200000,0.0074,0.00753,0.00753,0.00751,154222,REZ-USD
1762203600,0.00745,0.0076,0.00749,0.00754,2204704,REZ-USD
1762207200,0.00752,0.0076,0.00753,0.00752,307960,REZ-USD
1762210800,0.00752,0.00769,0.00752,0.00769,1717722,REZ-USD
1762214400,0.00764,0.00787,0.00771,0.00771,7748292,REZ-USD
1762218000,0.00771,0.0078,0.00771,0.00774,1047212,REZ-USD
1762221600,0.00765,0.00775,0.00774,0.00766,1477189,REZ-USD
1762225200,0.00769,0.00779,0.00772,0.00778,463075,REZ-USD
1762228800,0.00768,0.0078,0.0078,0.00768,10970099,REZ-USD
1762232400,0.00734,0.0077,0.00767,0.0074,2676244,REZ-USD
1762236000,0.00738,0.00765,0.00739,0.00745,1173211,REZ-USD
1762239600,0.00731,0.00745,0.00745,0.00738,2775452,REZ-USD
