time,low,high,open,close,volume,symbol
1761955200,0.3028,0.3063,0.3063,0.3028,673.93,RSC-USD
1761958800,0.2969,0.304,0.3032,0.304,19509.36,RSC-USD
1761962400,0.3006,0.3047,0.3043,0.3047,11741.64,RSC-USD
1761966000,0.3028,0.3063,0.3063,0.305,8169.53,RSC-USD
1761969600,0.2941,0.3049,0.304,0.2941,4027.34,RSC-USD
1761973200,0.2907,0.2947,0.2941,0.2907,1957.91,RSC-USD
1761980400,0.2912,0.2947,0.2912,0.2946,780.2,RSC-USD
1761987600,0.2921,0.298,0.2938,0.2921,558.65,RSC-USD
1761991200,0.2921,0.2985,0.2921,0.2958,971.32,RSC-USD
1761998400,0.2967,0.2993,0.2967,0.2993,26.04,RSC-USD
1762002000,0.2964,0.3004,0.2993,0.3004,5493.97,RSC-USD
1762005600,0.2912,0.2987,0.296,0.2987,14256.6,RSC-USD
1762009200,0.2901,0.2953,0.293,0.2935,33942.68,RSC-USD
1762016400,0.2903,0.296,0.2954,0.296,2189.58,RSC-USD
1762020000,0.2948,0.2948,0.2948,0.2948,200.0,RSC-USD
1762023600,0.2903,0.2955,0.2916,0.2954,3904.59,RSC-USD
1762030800,0.2908,0.2955,0.2943,0.2955,206.43,RSC-USD
1762034400,0.2954,0.2965,0.2956,0.2954,1548.17,RSC-USD
1762038000,0.2916,0.2981,0.2969,0.2973,2184.22,RSC-USD
1762041600,0.2956,0.2959,0.2959,0.2957,308.12,RSC-USD
1762045200,0.2919,0.2958,0.2958,0.2925,7389.56,RSC-USD
1762052400,0.2925,0.2949,0.2925,0.2945,964.44,RSC-USD
1762056000,0.2948,0.2966,0.2948,0.2966,47.85,RSC-USD
1762059600,0.2966,0.2974,0.2966,0.2974,525.98,RSC-USD
1762077600,0.2952,0.2975,0.2965,0.2952,951.4,RSC-USD
1762081200,0.2941,0.2949,0.2949,0.2941,336.83,RSC-USD
1762084800,0.2948,0.3021,0.2948,0.296,14171.81,RSC-USD
1762088400,0.2956,0.296,0.296,0.2956,3.35,RSC-USD
1762092000,0.29,0.2956,0.2956,0.2912,11264.54,RSC-USD
1762099200,0.2833,0.2919,0.2911,0.2919,33004.51,RSC-USD
1762102800,0.2875,0.2899,0.2899,0.2875,1190.86,RSC-USD
1762110000,0.2823,0.293,0.2918,0.2823,17807.87,RSC-USD
1762113600,0.2823,0.2839,0.2823,0.2828,264.44,RSC-USD
1762117200,0.281,0.2827,0.2826,0.281,19.53,RSC-USD
1762120800,0.2807,0.2807,0.2807,0.2807,180.82,RSC-USD
