time,low,high,open,close,volume,symbol
1761955200,0.005592,0.005659,0.005639,0.00562,4376748,RSR-USD
1761958800,0.005581,0.005643,0.005615,0.005611,1851498,RSR-USD
1761962400,0.005563,0.005615,0.00561,0.005608,641329,RSR-USD
1761966000,0.005619,0.00567,0.005632,0.005649,989354,RSR-USD
1761969600,0.005555,0.00567,0.005653,0.005564,1519026,RSR-USD
1761973200,0.005554,0.005621,0.005571,0.005616,3197042,RSR-USD
1761976800,0.005574,0.00563,0.00563,0.005613,601858,RSR-USD
1761980400,0.005591,0.005646,0.005602,0.005645,1416880,RSR-USD
1761984000,0.00562,0.005679,0.005647,0.005678,2273385,RSR-USD
1761987600,0.005636,0.005681,0.005675,0.005681,1019564,RSR-USD
1761991200,0.005679,0.005701,0.005692,0.005696,578968,RSR-USD
1761994800,0.005603,0.005694,0.005692,0.005636,943649,RSR-USD
1761998400,0.00561,0.005629,0.005628,0.005613,786853,RSR-USD
1762002000,0.005551,0.005627,0.005614,0.005568,1658669,RSR-USD
1762005600,0.005532,0.00558,0.005559,0.005568,3531450,RSR-USD
1762009200,0.005522,0.005603,0.005563,0.005573,3763685,RSR-USD
1762012800,0.005566,0.005629,0.005572,0.005592,2101880,RSR-USD
1762016400,0.005564,0.005598,0.005598,0.005589,853920,RSR-USD
1762020000,0.005575,0.005609,0.005587,0.005586,1245596,RSR-USD
1762023600,0.005578,0.005607,0.005589,0.005605,852800,RSR-USD
1762027200,0.005613,0.005649,0.005618,0.005626,1910654,RSR-USD
1762030800,0.005526,0.005624,0.005624,0.005526,1176070,RSR-USD
1762034400,0.005519,0.00555,0.005532,0.00555,718392,RSR-USD
1762038000,0.00553,0.005557,0.005534,0.005547,1849643,RSR-USD
1762041600,0.005501,0.005528,0.005523,0.005509,761210,RSR-USD
1762045200,0.00549,0.005526,0.005507,0.005496,504685,RSR-USD
1762048800,0.005493,0.005529,0.005496,0.005509,414859,RSR-USD
1762052400,0.005514,0.005527,0.005516,0.005522,111190,RSR-USD
1762056000,0.005538,0.005605,0.005562,0.005598,260280,RSR-USD
1762059600,0.005563,0.005608,0.005599,0.005608,176148,RSR-USD
1762063200,0.005555,0.005613,0.005607,0.005583,5074907,RSR-USD
1762066800,0.00555,0.005626,0.00558,0.00561,1955363,RSR-USD
1762070400,0.005567,0.00561,0.00561,0.005582,1219873,RSR-USD
1762074000,0.005491,0.005571,0.005571,0.005492,1613198,RSR-USD
1762077600,0.005471,0.005514,0.005497,0.005471,2992458,RSR-USD
1762081200,0.005468,0.005539,0.005468,0.005531,517165,RSR-USD
1762084800,0.005486,0.00553,0.00553,0.005486,226772,RSR-USD
1762088400,0.005456,0.005482,0.005473,0.005482,734242,RSR-USD
1762092000,0.005379,0.005462,0.005462,0.005395,955401,RSR-USD
1762095600,0.005398,0.005452,0.005406,0.005413,430679,RSR-USD
1762099200,0.005345,0.005439,0.005398,0.005432,1172270,RSR-USD
1762102800,0.005402,0.00545,0.005444,0.005426,536118,RSR-USD
1762106400,0.005396,0.005426,0.005425,0.005398,587494,RSR-USD
1762110000,0.005352,0.005399,0.00539,0.00537,402737,RSR-USD
1762113600,0.005366,0.0054,0.005382,0.0054,271845,RSR-USD
1762117200,0.005386,0.005426,0.005401,0.005401,972706,RSR-USD
1762120800,0.005378,0.005435,0.005404,0.005402,612655,RSR-USD
1762124400,0.005411,0.00551,0.005417,0.005472,2606446,RSR-USD
1762128000,0.005366,0.005509,0.005496,0.005369,2660879,RSR-USD
1762131600,0.005251,0.005369,0.005368,0.005262,2335135,RSR-USD
1762135200,0.005169,0.00526,0.00526,0.005187,3113870,RSR-USD
1762138800,0.005012,0.005192,0.005184,0.005014,3090919,RSR-USD
1762142400,0.004943,0.005048,0.005014,0.005048,4210015,RSR-USD
1762146000,0.005047,0.005154,0.005056,0.005047,5173857,RSR-USD
1762149600,0.004953,0.005052,0.005046,0.004985,1127722,RSR-USD
1762153200,0.004967,0.005063,0.004981,0.005024,2231595,RSR-USD
1762156800,0.004985,0.005064,0.005025,0.005038,699463,RSR-USD
1762160400,0.005001,0.005104,0.005103,0.005015,283707,RSR-USD
1762164000,0.004955,0.005039,0.005024,0.005004,668302,RSR-USD
1762167600,0.005001,0.005037,0.005001,0.005024,581887,RSR-USD
1762171200,0.004986,0.005056,0.005035,0.004986,1731063,RSR-USD
1762174800,0.004972,0.005048,0.004994,0.005033,1576533,RSR-USD
1762178400,0.004989,0.005062,0.005033,0.005033,537867,RSR-USD
1762182000,0.004596,0.005022,0.005021,0.004725,17973222,RSR-USD
1762185600,0.004681,0.004805,0.004723,0.004784,3006497,RSR-USD
1762189200,0.004791,0.004887,0.004804,0.004816,5854274,RSR-USD
1762192800,0.004792,0.004842,0.00484,0.004792,1243204,RSR-USD
1762196400,0.004726,0.004803,0.004792,0.004744,987594,RSR-USD
1762200000,0.004646,0.004738,0.004716,0.004718,3428362,RSR-USD
1762203600,0.004661,0.004762,0.004737,0.004754,4051953,RSR-USD
1762207200,0.004687,0.004762,0.004748,0.004718,2132422,RSR-USD
1762210800,0.004673,0.004786,0.004696,0.00477,2228121,RSR-USD
1762214400,0.004716,0.004858,0.004776,0.004807,5121454,RSR-USD
1762218000,0.004771,0.004836,0.004803,0.004798,3076011,RSR-USD
1762221600,0.004767,0.00483,0.004797,0.004797,2978210,RSR-USD
1762225200,0.004774,0.004874,0.004798,0.00486,2932937,RSR-USD
1762228800,0.004795,0.004862,0.004857,0.004795,851959,RSR-USD
1762232400,0.004574,0.004808,0.004797,0.004574,11063198,RSR-USD
1762236000,0.004577,0.00474,0.004604,0.004586,6338400,RSR-USD
1762239600,0.004505,0.004579,0.004579,0.00454,2403620,RSR-USD
1762243200,0.004487,0.004611,0.004529,0.004551,5454356,RSR-USD
1762246800,0.004545,0.004591,0.004551,0.004585,3684624,RSR-USD
1762250400,0.004529,0.004614,0.004584,0.004575,7102023,RSR-USD
1762254000,0.004567,0.004631,0.00457,0.004576,1634616,RSR-USD
1762257600,0.004492,0.004576,0.004571,0.004519,2102512,RSR-USD
1762261200,0.00445,0.004524,0.004522,0.004505,2965566,RSR-USD
1762264800,0.00447,0.004695,0.0045,0.004675,3801807,RSR-USD
1762268400,0.004511,0.004676,0.004674,0.00453,3159139,RSR-USD
1762272000,0.004426,0.004583,0.00453,0.004426,3363418,RSR-USD
1762275600,0.0043,0.004472,0.004425,0.004424,6835589,RSR-USD
1762279200,0.004252,0.004413,0.0044,0.004381,12766332,RSR-USD
1762282800,0.004359,0.004463,0.004381,0.004378,9810968,RSR-USD
1762286400,0.004146,0.004445,0.004376,0.004376,21894801,RSR-USD
1762290000,0.004165,0.004397,0.004345,0.00434,38101230,RSR-USD
1762293600,0.004319,0.004482,0.004333,0.00445,6702983,RSR-USD
1762297200,0.004417,0.004453,0.00445,0.004418,1777787,RSR-USD
1762300800,0.004292,0.004435,0.004435,0.004292,15305126,RSR-USD
1762304400,0.004165,0.004331,0.004278,0.004331,18839148,RSR-USD
1762308000,0.004294,0.004372,0.004317,0.004372,13292014,RSR-USD
1762311600,0.004364,0.004436,0.004381,0.004436,3115689,RSR-USD
1762315200,0.00439,0.004438,0.004428,0.004426,718712,RSR-USD
1762318800,0.004384,0.004447,0.00443,0.004384,528046,RSR-USD
1762322400,0.004355,0.004398,0.004398,0.004389,763683,RSR-USD
1762326000,0.004348,0.004389,0.004389,0.004372,643946,RSR-USD
1762329600,0.004298,0.004365,0.004363,0.004365,1306660,RSR-USD
1762333200,0.004343,0.004363,0.004345,0.00435,478894,RSR-USD
1762336800,0.004285,0.004355,0.004355,0.004285,591096,RSR-USD
1762340400,0.004295,0.004386,0.004304,0.004369,898028,RSR-USD
1762344000,0.004365,0.004427,0.004365,0.004409,3475796,RSR-USD
1762347600,0.004329,0.004427,0.004408,0.004402,18831691,RSR-USD
1762351200,0.004339,0.004431,0.004414,0.004397,4093383,RSR-USD
1762354800,0.004381,0.004448,0.004381,0.004428,2148789,RSR-USD
1762358400,0.004388,0.004486,0.004433,0.004481,8972279,RSR-USD
1762362000,0.00445,0.00449,0.004467,0.004478,4027513,RSR-USD
1762365600,0.004443,0.004485,0.004477,0.00446,2255894,RSR-USD
1762369200,0.004429,0.004474,0.00446,0.00443,3765241,RSR-USD
1762372800,0.004419,0.00446,0.004435,0.004424,2029382,RSR-USD
1762376400,0.0044,0.004431,0.004428,0.004427,1411917,RSR-USD
1762380000,0.004412,0.004462,0.004431,0.004462,479013,RSR-USD
1762383600,0.004438,0.004474,0.004452,0.004438,823505,RSR-USD
1762387200,0.004388,0.004435,0.004435,0.004388,373351,RSR-USD
1762390800,0.004348,0.004403,0.004386,0.004395,418060,RSR-USD
1762394400,0.004347,0.004419,0.004383,0.004415,1824069,RSR-USD
1762398000,0.0044,0.004426,0.004416,0.00441,317319,RSR-USD
1762401600,0.004395,0.004429,0.004413,0.004415,1480188,RSR-USD
1762405200,0.00431,0.004403,0.004402,0.004323,1283330,RSR-USD
1762408800,0.004321,0.004362,0.004335,0.004341,476026,RSR-USD
1762412400,0.00431,0.004355,0.00431,0.004344,1134377,RSR-USD
1762416000,0.0043,0.004347,0.004347,0.00431,294541,RSR-USD
1762419600,0.004311,0.004347,0.004311,0.004319,954021,RSR-USD
1762423200,0.0043,0.00436,0.004313,0.004325,461071,RSR-USD
1762426800,0.004311,0.004349,0.004314,0.004337,1093346,RSR-USD
1762430400,0.004252,0.004341,0.004328,0.00427,1923733,RSR-USD
1762434000,0.004282,0.004359,0.004282,0.004315,1193063,RSR-USD
1762437600,0.004207,0.004304,0.004304,0.004224,1621076,RSR-USD
1762441200,0.004168,0.004291,0.004215,0.004211,4751725,RSR-USD
1762444800,0.004136,0.004207,0.004201,0.004188,3354101,RSR-USD
1762448400,0.004189,0.004261,0.004196,0.004255,4312895,RSR-USD
1762452000,0.004185,0.004285,0.004255,0.004246,1992956,RSR-USD
1762455600,0.004231,0.004278,0.004237,0.004263,2550333,RSR-USD
1762459200,0.004187,0.004286,0.004274,0.00423,2112151,RSR-USD
1762462800,0.004211,0.004296,0.004211,0.004277,3383956,RSR-USD
1762466400,0.004223,0.004293,0.004293,0.004255,944177,RSR-USD
1762470000,0.004198,0.004259,0.004245,0.004259,626988,RSR-USD
1762473600,0.004222,0.004279,0.00427,0.004278,371443,RSR-USD
1762477200,0.00422,0.004291,0.004273,0.004284,1627637,RSR-USD
1762480800,0.004243,0.004303,0.004284,0.004303,796694,RSR-USD
1762484400,0.004297,0.004341,0.004303,0.004314,1909067,RSR-USD
1762488000,0.004278,0.004344,0.00432,0.004344,2011968,RSR-USD
1762491600,0.004344,0.004388,0.004346,0.004379,2607180,RSR-USD
1762495200,0.004368,0.004397,0.004382,0.004369,3489863,RSR-USD
1762498800,0.004363,0.004415,0.004376,0.004413,5485359,RSR-USD
1762502400,0.004357,0.004419,0.004405,0.004357,975295,RSR-USD
1762506000,0.004273,0.004365,0.004353,0.004318,512633,RSR-USD
1762509600,0.004294,0.004339,0.004339,0.004298,806167,RSR-USD
1762513200,0.004231,0.004287,0.004287,0.004256,6178821,RSR-USD
1762516800,0.004132,0.004278,0.004269,0.004159,12100314,RSR-USD
1762520400,0.004137,0.00425,0.004155,0.004238,2555977,RSR-USD
1762524000,0.004157,0.004366,0.004239,0.004354,2395261,RSR-USD
1762527600,0.004302,0.004453,0.004352,0.004434,6573928,RSR-USD
1762531200,0.004439,0.004722,0.004439,0.004689,11397176,RSR-USD
1762534800,0.004646,0.004772,0.004674,0.004742,4475677,RSR-USD
1762538400,0.004741,0.004845,0.004749,0.004753,5477508,RSR-USD
1762542000,0.004703,0.004803,0.004743,0.004803,3737222,RSR-USD
1762545600,0.00476,0.004852,0.004805,0.004844,10410796,RSR-USD
1762549200,0.00484,0.004896,0.004843,0.004892,4622520,RSR-USD
1762552800,0.00484,0.004893,0.004892,0.004853,6708705,RSR-USD
1762556400,0.004759,0.00486,0.004848,0.004779,27670791,RSR-USD
1762560000,0.004672,0.004832,0.004797,0.004676,3334891,RSR-USD
1762563600,0.004672,0.004783,0.004675,0.004762,1993483,RSR-USD
1762567200,0.004767,0.004859,0.004771,0.004772,3576181,RSR-USD
1762570800,0.004756,0.004913,0.004775,0.004764,10296242,RSR-USD
1762574400,0.004758,0.004821,0.004758,0.004769,1429557,RSR-USD
1762578000,0.004633,0.004772,0.004772,0.004633,2346900,RSR-USD
1762581600,0.004616,0.004678,0.004647,0.004643,1704323,RSR-USD
1762585200,0.004624,0.004684,0.004667,0.00468,479600,RSR-USD
1762588800,0.004669,0.004716,0.004669,0.004672,260153,RSR-USD
1762592400,0.00465,0.004717,0.004681,0.004673,735533,RSR-USD
1762596000,0.004684,0.00473,0.004686,0.004724,3556854,RSR-USD
1762599600,0.004693,0.004765,0.004732,0.004721,1520130,RSR-USD
1762603200,0.004686,0.004738,0.004723,0.004686,211300,RSR-USD
1762606800,0.004593,0.004687,0.004687,0.004593,1433228,RSR-USD
1762610400,0.004543,0.004614,0.004596,0.004612,2534565,RSR-USD
1762614000,0.004506,0.00461,0.00461,0.004551,3371172,RSR-USD
1762617600,0.0045,0.004579,0.004551,0.004556,3973006,RSR-USD
1762621200,0.004545,0.004582,0.00456,0.004573,756249,RSR-USD
1762624800,0.004577,0.00463,0.004577,0.004617,1533353,RSR-USD
1762628400,0.004559,0.004622,0.004619,0.004609,1056873,RSR-USD
1762632000,0.004577,0.004637,0.004609,0.004622,198491,RSR-USD
