time,low,high,open,close,volume,symbol
1761955200,0.1345,0.13773,0.13772,0.13762,588494.5,S-USD
1761958800,0.13685,0.13818,0.1375,0.13738,164341.2,S-USD
1761962400,0.13667,0.13915,0.13735,0.13898,178180.1,S-USD
1761966000,0.13867,0.14038,0.13882,0.14006,222691.1,S-USD
1761969600,0.13864,0.14036,0.14026,0.13925,171919.4,S-USD
1761973200,0.13869,0.13946,0.13931,0.13882,155867.3,S-USD
1761976800,0.13874,0.13997,0.13897,0.13989,114138.9,S-USD
1761980400,0.13961,0.14215,0.13973,0.14197,311317.1,S-USD
1761984000,0.14102,0.14268,0.14185,0.14252,239505.9,S-USD
1761987600,0.14133,0.14284,0.14266,0.14147,309989.4,S-USD
1761991200,0.14126,0.14229,0.14158,0.14165,113302.1,S-USD
1761994800,0.14096,0.14266,0.14193,0.14134,144326.5,S-USD
1761998400,0.14127,0.14227,0.14136,0.1419,238638.4,S-USD
1762002000,0.14025,0.14299,0.14207,0.14085,397592.1,S-USD
1762005600,0.13939,0.1413,0.14092,0.1409,335083.5,S-USD
1762009200,0.1407,0.14251,0.1407,0.14251,215373.5,S-USD
1762012800,0.14214,0.14377,0.14245,0.14376,169882.3,S-USD
1762016400,0.14235,0.14356,0.1434,0.14265,221234.7,S-USD
1762020000,0.14245,0.1432,0.14259,0.14307,196768.0,S-USD
1762023600,0.14264,0.14335,0.14301,0.14334,121573.3,S-USD
1762027200,0.14284,0.14396,0.14328,0.14291,97852.5,S-USD
1762030800,0.14045,0.14308,0.14291,0.14085,182703.5,S-USD
1762034400,0.14075,0.14284,0.14077,0.14266,264967.3,S-USD
1762038000,0.14225,0.14305,0.14266,0.14257,109482.9,S-USD
1762041600,0.14146,0.14244,0.14244,0.14159,111052.3,S-USD
1762045200,0.1408,0.14163,0.14155,0.14096,183640.1,S-USD
1762048800,0.1404,0.1416,0.14082,0.14049,261794.2,S-USD
1762052400,0.13983,0.14083,0.14037,0.14008,245566.5,S-USD
1762056000,0.13971,0.14212,0.13999,0.1421,152253.1,S-USD
1762059600,0.14049,0.14212,0.14205,0.14199,133368.9,S-USD
1762063200,0.14152,0.14248,0.14197,0.14211,199325.7,S-USD
1762066800,0.142,0.14371,0.14218,0.14313,196150.6,S-USD
1762070400,0.14198,0.14337,0.1433,0.14222,213563.4,S-USD
1762074000,0.14017,0.14278,0.14236,0.14044,281705.6,S-USD
1762077600,0.13868,0.14052,0.14042,0.1396,216805.3,S-USD
1762081200,0.13954,0.14166,0.13963,0.14158,144813.2,S-USD
1762084800,0.14041,0.14192,0.14158,0.14068,111313.9,S-USD
1762088400,0.13921,0.14068,0.14051,0.13973,163691.9,S-USD
1762092000,0.13674,0.13981,0.13981,0.1379,325340.9,S-USD
1762095600,0.13645,0.13839,0.13798,0.13645,284447.7,S-USD
1762099200,0.13375,0.13777,0.13646,0.1375,579577.4,S-USD
1762102800,0.13656,0.13802,0.13743,0.13795,175283.3,S-USD
1762106400,0.13643,0.13802,0.13802,0.13683,220453.3,S-USD
1762110000,0.13519,0.13739,0.13695,0.13663,310673.8,S-USD
1762113600,0.13586,0.1373,0.13649,0.1371,168590.3,S-USD
1762117200,0.13736,0.13853,0.13741,0.1382,140020.7,S-USD
1762120800,0.13723,0.13853,0.13824,0.13823,88858.1,S-USD
1762124400,0.1383,0.14074,0.1383,0.14071,259739.3,S-USD
1762128000,0.13833,0.1412,0.14067,0.13833,236435.6,S-USD
1762131600,0.13683,0.13872,0.13843,0.13703,247815.8,S-USD
1762135200,0.13413,0.13703,0.13703,0.13591,418107.5,S-USD
1762138800,0.13151,0.13617,0.13591,0.13174,535673.3,S-USD
1762142400,0.1304,0.13363,0.13181,0.13347,836669.2,S-USD
1762146000,0.13171,0.13418,0.13369,0.132,443957.5,S-USD
1762149600,0.12924,0.13282,0.13184,0.13042,471429.0,S-USD
1762153200,0.12982,0.13194,0.13037,0.13108,269912.6,S-USD
1762156800,0.12825,0.13162,0.13095,0.13062,255151.3,S-USD
1762160400,0.12933,0.13204,0.13037,0.12963,339869.8,S-USD
1762164000,0.12756,0.13051,0.12981,0.12773,280350.2,S-USD
1762167600,0.12801,0.13015,0.12801,0.12862,359751.8,S-USD
