time,low,high,open,close,volume,symbol
1761955200,0.2271,0.2294,0.2294,0.2292,15657.34,SAFE-USD
1761958800,0.2278,0.2299,0.2292,0.2278,14371.95,SAFE-USD
1761962400,0.2268,0.2291,0.2278,0.2291,12486.81,SAFE-USD
1761966000,0.2289,0.2299,0.2294,0.2294,14763.18,SAFE-USD
1761969600,0.228,0.2299,0.2292,0.2281,6329.33,SAFE-USD
1761973200,0.2272,0.2283,0.2276,0.2276,4456.99,SAFE-USD
1761976800,0.2273,0.2288,0.228,0.2284,4393.38,SAFE-USD
1761980400,0.2284,0.2319,0.2284,0.2315,10719.28,SAFE-USD
1761984000,0.2312,0.2331,0.2316,0.233,25889.34,SAFE-USD
1761987600,0.2301,0.2333,0.2332,0.2309,33553.3,SAFE-USD
1761991200,0.2308,0.2332,0.2311,0.2327,19787.85,SAFE-USD
1761994800,0.2318,0.2332,0.233,0.2327,5441.36,SAFE-USD
1761998400,0.2321,0.234,0.2327,0.2338,33934.56,SAFE-USD
1762002000,0.2314,0.2346,0.2339,0.2328,20289.79,SAFE-USD
1762005600,0.2302,0.2333,0.2333,0.2313,28638.78,SAFE-USD
1762009200,0.2312,0.2338,0.2312,0.2331,13511.3,SAFE-USD
1762012800,0.2328,0.2343,0.2332,0.233,14273.88,SAFE-USD
1762016400,0.2329,0.2336,0.2331,0.2334,2947.31,SAFE-USD
1762020000,0.2332,0.2339,0.2334,0.2339,2157.31,SAFE-USD
1762023600,0.2335,0.2339,0.2338,0.2339,1014.54,SAFE-USD
1762027200,0.2344,0.2355,0.2344,0.2345,1267.65,SAFE-USD
1762030800,0.2327,0.2347,0.2346,0.2327,1448.42,SAFE-USD
1762034400,0.2321,0.2338,0.2324,0.2335,5956.59,SAFE-USD
1762038000,0.2335,0.2349,0.2336,0.2344,5934.0,SAFE-USD
1762041600,0.2317,0.2341,0.2341,0.2318,18308.91,SAFE-USD
1762045200,0.2312,0.2324,0.2318,0.2319,33907.21,SAFE-USD
1762048800,0.2313,0.2334,0.2318,0.2317,11413.32,SAFE-USD
1762052400,0.2308,0.2325,0.2318,0.2311,10556.49,SAFE-USD
1762056000,0.231,0.2342,0.2312,0.2341,19035.55,SAFE-USD
1762059600,0.2328,0.2344,0.2342,0.2338,21172.03,SAFE-USD
1762063200,0.2337,0.2353,0.2339,0.2352,21810.37,SAFE-USD
1762066800,0.2353,0.238,0.2353,0.2375,31555.62,SAFE-USD
