time,low,high,open,close,volume,symbol
1761955200,0.003507,0.003507,0.003507,0.003507,1012,SHPING-USD
1761958800,0.003507,0.003525,0.003507,0.003514,553199,SHPING-USD
1761962400,0.003507,0.003518,0.003507,0.003518,866,SHPING-USD
1761966000,0.003511,0.003515,0.003511,0.003512,37079,SHPING-USD
1761969600,0.003508,0.003533,0.003533,0.003509,20077,SHPING-USD
1761973200,0.003508,0.003533,0.003508,0.00351,4673,SHPING-USD
1761976800,0.003506,0.003514,0.003514,0.003507,297776,SHPING-USD
1761980400,0.003505,0.003509,0.003506,0.003509,90909,SHPING-USD
1761984000,0.003506,0.003532,0.003532,0.003506,120585,SHPING-USD
1761987600,0.003505,0.003548,0.003508,0.003505,101117,SHPING-USD
1761991200,0.00351,0.003567,0.003531,0.003523,537312,SHPING-USD
1761994800,0.003518,0.00358,0.003518,0.00358,116014,SHPING-USD
1761998400,0.003481,0.003547,0.003547,0.003488,692400,SHPING-USD
1762002000,0.00348,0.00353,0.003483,0.00353,494823,SHPING-USD
1762005600,0.003498,0.003514,0.003514,0.003498,64113,SHPING-USD
1762009200,0.003447,0.003557,0.003557,0.003547,757128,SHPING-USD
1762012800,0.003474,0.003539,0.003539,0.003474,1991,SHPING-USD
1762016400,0.00347,0.003526,0.00347,0.003505,66586,SHPING-USD
1762020000,0.003477,0.003512,0.003477,0.003512,86316,SHPING-USD
1762027200,0.003498,0.003551,0.00354,0.003551,428799,SHPING-USD
1762030800,0.003431,0.003553,0.003472,0.003553,337252,SHPING-USD
1762034400,0.003463,0.003544,0.003463,0.003542,260151,SHPING-USD
1762038000,0.003466,0.00355,0.003526,0.00355,288662,SHPING-USD
1762041600,0.00346,0.003547,0.003544,0.003547,6101,SHPING-USD
1762045200,0.003484,0.003501,0.003501,0.003484,39426,SHPING-USD
1762048800,0.003483,0.003483,0.003483,0.003483,930,SHPING-USD
1762052400,0.003512,0.003549,0.003524,0.003549,43978,SHPING-USD
1762056000,0.003502,0.003513,0.003513,0.003505,101441,SHPING-USD
1762059600,0.003487,0.003512,0.003501,0.003512,1104,SHPING-USD
1762063200,0.003547,0.003582,0.003547,0.003582,4103,SHPING-USD
1762066800,0.003483,0.003587,0.003536,0.003552,237698,SHPING-USD
1762070400,0.003526,0.003527,0.003526,0.003527,26875,SHPING-USD
1762074000,0.003467,0.003585,0.003511,0.003467,75164,SHPING-USD
1762084800,0.003445,0.003509,0.00346,0.003509,87298,SHPING-USD
1762088400,0.003498,0.003509,0.003509,0.003509,3038,SHPING-USD
1762092000,0.003429,0.003482,0.003435,0.003472,125028,SHPING-USD
1762095600,0.003433,0.003482,0.003481,0.003462,866383,SHPING-USD
1762102800,0.003451,0.003529,0.003451,0.003529,132043,SHPING-USD
1762110000,0.003458,0.003519,0.003519,0.003458,141223,SHPING-USD
1762117200,0.003467,0.003472,0.003467,0.003472,686,SHPING-USD
1762120800,0.003453,0.003571,0.003454,0.003571,35550,SHPING-USD
1762124400,0.003503,0.003582,0.003513,0.003582,43898,SHPING-USD
1762128000,0.003466,0.003555,0.003529,0.003466,4415,SHPING-USD
1762131600,0.003461,0.003596,0.003461,0.003545,2341741,SHPING-USD
1762135200,0.003506,0.003588,0.003523,0.003506,1498723,SHPING-USD
1762138800,0.003456,0.003564,0.003513,0.003457,272010,SHPING-USD
1762142400,0.003444,0.003515,0.003444,0.003486,565315,SHPING-USD
1762146000,0.003479,0.003534,0.003483,0.003534,60955,SHPING-USD
1762153200,0.003426,0.003507,0.003507,0.003426,13897,SHPING-USD
1762156800,0.003426,0.00345,0.003441,0.003433,7666,SHPING-USD
1762160400,0.003426,0.003492,0.003428,0.003492,282193,SHPING-USD
1762164000,0.003426,0.003487,0.003426,0.003487,9405,SHPING-USD
1762167600,0.003426,0.003439,0.003426,0.003438,68285,SHPING-USD
1762171200,0.003429,0.003484,0.003429,0.003478,42704,SHPING-USD
1762174800,0.003427,0.003481,0.003456,0.003434,327796,SHPING-USD
1762182000,0.003432,0.00355,0.003487,0.003497,1299061,SHPING-USD
1762185600,0.00342,0.00355,0.003499,0.003478,4099263,SHPING-USD
1762189200,0.003481,0.003505,0.003505,0.003481,15284,SHPING-USD
1762192800,0.003429,0.00353,0.003429,0.003515,182544,SHPING-USD
1762196400,0.003416,0.003483,0.003483,0.003416,364846,SHPING-USD
1762200000,0.003415,0.003459,0.003459,0.003415,212658,SHPING-USD
1762203600,0.003375,0.00346,0.003415,0.003416,525727,SHPING-USD
1762207200,0.003381,0.003471,0.003381,0.003411,222497,SHPING-USD
1762214400,0.003207,0.003409,0.003409,0.003331,4494570,SHPING-USD
1762218000,0.003296,0.003368,0.003359,0.003351,1219060,SHPING-USD
1762221600,0.003279,0.003385,0.003279,0.003385,75385,SHPING-USD
1762225200,0.003256,0.003374,0.003319,0.003333,1847710,SHPING-USD
1762228800,0.003285,0.003356,0.003335,0.003356,276114,SHPING-USD
1762232400,0.003328,0.003391,0.003357,0.003328,664920,SHPING-USD
1762236000,0.0033,0.003328,0.003328,0.0033,180713,SHPING-USD
1762239600,0.00329,0.003364,0.00329,0.003364,112181,SHPING-USD
1762243200,0.003311,0.003374,0.003332,0.003311,13880,SHPING-USD
1762246800,0.003315,0.003328,0.003328,0.003315,2989,SHPING-USD
1762250400,0.003284,0.003339,0.003323,0.003284,290802,SHPING-USD
1762254000,0.00322,0.003296,0.003284,0.003238,1810093,SHPING-USD
1762257600,0.00322,0.003269,0.003269,0.003221,228153,SHPING-USD
1762261200,0.003236,0.003303,0.003236,0.003303,94573,SHPING-USD
1762264800,0.00326,0.003281,0.003281,0.003261,133637,SHPING-USD
1762268400,0.003222,0.00325,0.003225,0.003222,126559,SHPING-USD
1762272000,0.003222,0.003244,0.003244,0.003236,648438,SHPING-USD
1762275600,0.003222,0.003243,0.003225,0.003226,170347,SHPING-USD
1762279200,0.003207,0.003228,0.003225,0.003207,435604,SHPING-USD
1762282800,0.003204,0.003215,0.003215,0.003204,314345,SHPING-USD
1762286400,0.00317,0.003211,0.00321,0.00317,1253348,SHPING-USD
1762290000,0.003145,0.003173,0.00317,0.003149,692045,SHPING-USD
1762293600,0.003146,0.003199,0.003146,0.00316,880197,SHPING-USD
1762297200,0.00316,0.0032,0.003161,0.003183,1038874,SHPING-USD
1762300800,0.003157,0.003237,0.0032,0.003159,1022928,SHPING-USD
1762304400,0.003151,0.003198,0.003172,0.003189,566344,SHPING-USD
1762308000,0.00317,0.003205,0.003196,0.003196,52603,SHPING-USD
1762311600,0.003185,0.00323,0.003203,0.003201,414122,SHPING-USD
1762315200,0.00319,0.003211,0.003204,0.00321,303973,SHPING-USD
1762318800,0.003205,0.003214,0.003214,0.003205,290105,SHPING-USD
1762322400,0.003169,0.003211,0.003208,0.003169,552874,SHPING-USD
1762326000,0.003146,0.003205,0.003178,0.003205,188142,SHPING-USD
1762329600,0.00315,0.00317,0.00317,0.00315,4815,SHPING-USD
1762336800,0.003151,0.003228,0.003151,0.003228,124385,SHPING-USD
1762340400,0.003204,0.003208,0.003208,0.003204,400966,SHPING-USD
1762344000,0.003158,0.003222,0.003221,0.003158,133210,SHPING-USD
1762347600,0.003151,0.003206,0.003168,0.003206,363345,SHPING-USD
1762351200,0.003164,0.003215,0.003168,0.003174,39162,SHPING-USD
1762354800,0.003174,0.003232,0.003232,0.003189,252766,SHPING-USD
1762358400,0.003166,0.00321,0.00321,0.003206,14520,SHPING-USD
1762362000,0.003206,0.003232,0.003232,0.003214,185704,SHPING-USD
1762365600,0.003186,0.003217,0.003212,0.003217,418054,SHPING-USD
1762369200,0.003167,0.003267,0.003232,0.003255,987450,SHPING-USD
1762372800,0.00317,0.003249,0.003249,0.00317,493767,SHPING-USD
