time,low,high,open,close,volume,symbol
1761955200,0.1626,0.1717,0.1715,0.164,66036.15,SYND-USD
1761958800,0.162,0.1653,0.1634,0.162,46017.35,SYND-USD
1761962400,0.1618,0.1641,0.1618,0.1641,15866.14,SYND-USD
1761966000,0.1645,0.1689,0.1645,0.1687,80405.27,SYND-USD
1761969600,0.1663,0.1685,0.1683,0.1663,21935.02,SYND-USD
1761973200,0.1662,0.1674,0.1663,0.1674,7407.68,SYND-USD
1761976800,0.1673,0.1679,0.1679,0.1677,7000.48,SYND-USD
1761980400,0.1682,0.1683,0.1682,0.1682,751.37,SYND-USD
1761984000,0.1686,0.1694,0.1688,0.1689,3973.44,SYND-USD
1761987600,0.168,0.1695,0.1686,0.1688,21580.86,SYND-USD
1761991200,0.1689,0.17,0.1691,0.1697,23461.96,SYND-USD
1761994800,0.1696,0.172,0.17,0.1711,29334.83,SYND-USD
1761998400,0.1681,0.1729,0.171,0.1699,102803.62,SYND-USD
1762002000,0.1698,0.1716,0.17,0.1711,37872.63,SYND-USD
1762005600,0.1708,0.1782,0.1708,0.1782,166855.02,SYND-USD
1762009200,0.1769,0.1823,0.178,0.1777,161417.86,SYND-USD
1762012800,0.1714,0.1796,0.1775,0.1714,103316.66,SYND-USD
1762016400,0.169,0.1713,0.1713,0.1702,37701.83,SYND-USD
1762023600,0.1701,0.171,0.1701,0.171,13720.73,SYND-USD
1762027200,0.1701,0.1711,0.1707,0.1711,8188.62,SYND-USD
1762030800,0.1695,0.172,0.1712,0.1695,28441.93,SYND-USD
1762034400,0.1677,0.1701,0.1701,0.1681,22222.08,SYND-USD
1762038000,0.166,0.1677,0.1675,0.1667,83695.24,SYND-USD
1762041600,0.162,0.1663,0.1663,0.1624,84076.03,SYND-USD
1762045200,0.1617,0.1637,0.1621,0.1632,19298.05,SYND-USD
1762048800,0.1631,0.1642,0.1634,0.1631,8969.11,SYND-USD
1762056000,0.1626,0.1648,0.1628,0.1636,21560.97,SYND-USD
1762059600,0.1641,0.1644,0.1641,0.1644,641.64,SYND-USD
1762063200,0.1634,0.1648,0.1644,0.1634,35549.52,SYND-USD
1762066800,0.1627,0.1639,0.1632,0.1639,12778.6,SYND-USD
1762070400,0.1618,0.1637,0.1636,0.1622,49324.61,SYND-USD
1762074000,0.1615,0.1659,0.1624,0.1615,148197.95,SYND-USD
1762077600,0.1605,0.1615,0.1615,0.161,60001.95,SYND-USD
1762081200,0.1609,0.1622,0.1611,0.1622,20129.57,SYND-USD
1762084800,0.1618,0.1632,0.1622,0.1625,28558.82,SYND-USD
1762088400,0.1618,0.163,0.1626,0.1618,48179.66,SYND-USD
1762092000,0.1593,0.1618,0.1618,0.1613,51565.49,SYND-USD
1762095600,0.1604,0.1647,0.1604,0.1633,91657.1,SYND-USD
1762099200,0.1621,0.1633,0.1633,0.1621,6728.08,SYND-USD
1762102800,0.1615,0.1623,0.1621,0.1615,2316.1,SYND-USD
1762106400,0.1612,0.1631,0.1614,0.1616,15017.02,SYND-USD
1762110000,0.1612,0.1616,0.1616,0.1613,1962.08,SYND-USD
1762113600,0.1609,0.1629,0.161,0.1629,22690.99,SYND-USD
1762117200,0.1627,0.1637,0.1633,0.1627,7406.47,SYND-USD
1762120800,0.162,0.1626,0.1626,0.162,1877.55,SYND-USD
1762124400,0.1617,0.1637,0.1621,0.1637,28656.62,SYND-USD
1762128000,0.1612,0.1641,0.1634,0.1615,46158.71,SYND-USD
1762131600,0.1601,0.1621,0.1615,0.1604,91348.8,SYND-USD
1762135200,0.1577,0.1606,0.1604,0.1579,86118.95,SYND-USD
1762138800,0.1554,0.1582,0.1577,0.1554,59153.41,SYND-USD
1762142400,0.1517,0.1552,0.1552,0.1517,101751.89,SYND-USD
1762146000,0.1449,0.1514,0.1514,0.1452,238062.02,SYND-USD
1762149600,0.1415,0.1463,0.1452,0.1423,93355.58,SYND-USD
1762153200,0.1413,0.1429,0.1425,0.1413,42456.79,SYND-USD
1762156800,0.139,0.1418,0.1418,0.1392,29524.43,SYND-USD
1762160400,0.1392,0.1492,0.1392,0.1421,126362.0,SYND-USD
1762164000,0.1422,0.1426,0.1426,0.1422,13637.62,SYND-USD
1762167600,0.1401,0.1421,0.1421,0.1406,75598.24,SYND-USD
1762171200,0.1405,0.1431,0.1405,0.1418,51522.31,SYND-USD
1762174800,0.1402,0.1408,0.1406,0.1407,19185.64,SYND-USD
1762178400,0.1399,0.1412,0.1403,0.1408,28405.21,SYND-USD
1762182000,0.1355,0.141,0.1405,0.1361,56083.76,SYND-USD
1762185600,0.1325,0.1371,0.1354,0.1342,166577.09,SYND-USD
1762189200,0.1343,0.1358,0.1346,0.1351,26533.2,SYND-USD
1762192800,0.1336,0.1351,0.1351,0.1336,8959.44,SYND-USD
1762196400,0.132,0.1338,0.1338,0.1328,10194.46,SYND-USD
1762200000,0.1317,0.1338,0.1329,0.1318,30517.67,SYND-USD
1762203600,0.1321,0.1335,0.1321,0.133,17062.66,SYND-USD
1762207200,0.1319,0.1334,0.1328,0.1325,7819.47,SYND-USD
1762210800,0.1327,0.1341,0.1327,0.1341,89466.25,SYND-USD
1762214400,0.1331,0.1352,0.1342,0.1331,138190.21,SYND-USD
1762218000,0.1313,0.1338,0.1338,0.132,163109.4,SYND-USD
1762221600,0.131,0.1317,0.1313,0.1312,16714.63,SYND-USD
1762225200,0.1309,0.1325,0.1312,0.1321,25784.57,SYND-USD
1762228800,0.1314,0.1326,0.1324,0.1314,2159.23,SYND-USD
1762232400,0.125,0.1311,0.1311,0.125,57637.74,SYND-USD
1762236000,0.1251,0.1262,0.1252,0.1251,36897.81,SYND-USD
1762239600,0.1243,0.1256,0.1251,0.1243,4604.17,SYND-USD
1762243200,0.1244,0.126,0.1246,0.1245,142651.02,SYND-USD
1762246800,0.1226,0.1251,0.1243,0.1244,70598.13,SYND-USD
1762250400,0.124,0.1252,0.1252,0.1244,3549.77,SYND-USD
1762254000,0.1236,0.1302,0.1241,0.1256,137389.81,SYND-USD
1762257600,0.1245,0.134,0.1253,0.1295,382898.82,SYND-USD
1762261200,0.1294,0.1316,0.1295,0.1298,119026.35,SYND-USD
1762264800,0.1289,0.1329,0.1296,0.1319,26941.86,SYND-USD
1762268400,0.13,0.1329,0.1323,0.13,30244.21,SYND-USD
1762272000,0.1232,0.1299,0.1299,0.1237,208198.92,SYND-USD
1762275600,0.1188,0.1241,0.1232,0.1188,80456.66,SYND-USD
1762279200,0.113,0.1193,0.1188,0.1143,221587.75,SYND-USD
1762282800,0.1122,0.115,0.115,0.113,34235.99,SYND-USD
1762286400,0.1099,0.1142,0.1122,0.1142,118487.93,SYND-USD
1762290000,0.1118,0.1174,0.1139,0.1174,159827.56,SYND-USD
1762293600,0.1126,0.119,0.1174,0.1145,269974.38,SYND-USD
1762297200,0.1149,0.1164,0.1149,0.1151,58965.71,SYND-USD
1762300800,0.1141,0.1168,0.1154,0.1143,66874.5,SYND-USD
1762304400,0.1123,0.1144,0.1142,0.1138,57717.82,SYND-USD
1762308000,0.1136,0.1157,0.1141,0.1157,43372.72,SYND-USD
1762311600,0.1158,0.1198,0.1158,0.1183,37496.84,SYND-USD
1762315200,0.1169,0.1186,0.1186,0.117,9539.38,SYND-USD
1762318800,0.1162,0.1182,0.1171,0.118,50446.61,SYND-USD
1762322400,0.117,0.1182,0.118,0.117,9239.82,SYND-USD
1762326000,0.1169,0.1176,0.1176,0.1171,11853.46,SYND-USD
1762329600,0.115,0.1172,0.1171,0.1154,70442.28,SYND-USD
1762333200,0.1151,0.1168,0.1151,0.1166,15506.75,SYND-USD
1762336800,0.1166,0.1181,0.1166,0.1174,59654.26,SYND-USD
1762340400,0.1171,0.1184,0.1179,0.1171,10577.92,SYND-USD
1762344000,0.117,0.1187,0.117,0.1177,8586.16,SYND-USD
1762347600,0.1175,0.1203,0.1175,0.1195,14448.54,SYND-USD
1762351200,0.1175,0.1196,0.1192,0.1175,35556.41,SYND-USD
1762354800,0.1165,0.1186,0.1171,0.1186,133985.36,SYND-USD
1762358400,0.1172,0.1229,0.1187,0.1224,137563.11,SYND-USD
1762362000,0.1224,0.1303,0.1224,0.1289,179806.88,SYND-USD
1762365600,0.1285,0.14,0.1289,0.1349,213789.36,SYND-USD
1762369200,0.1289,0.1362,0.1346,0.1309,309827.5,SYND-USD
1762372800,0.1298,0.1319,0.131,0.1298,88516.21,SYND-USD
1762376400,0.1296,0.1303,0.1296,0.1296,16716.75,SYND-USD
1762380000,0.1282,0.1307,0.1292,0.1298,25956.18,SYND-USD
1762383600,0.1277,0.1295,0.1295,0.128,36705.48,SYND-USD
1762387200,0.1247,0.1275,0.1273,0.1247,96579.87,SYND-USD
1762390800,0.1241,0.1253,0.1251,0.1245,40091.84,SYND-USD
1762394400,0.1237,0.1251,0.1244,0.1251,50426.28,SYND-USD
1762398000,0.1253,0.1274,0.1256,0.1255,42840.71,SYND-USD
1762401600,0.125,0.21,0.1264,0.1947,1543566.75,SYND-USD
1762405200,0.1617,0.1931,0.1927,0.1635,706238.06,SYND-USD
1762408800,0.1612,0.1677,0.1636,0.1621,197230.3,SYND-USD
1762412400,0.1612,0.163,0.1622,0.1612,38107.99,SYND-USD
1762416000,0.1559,0.1617,0.1608,0.1582,268284.74,SYND-USD
1762419600,0.1545,0.1586,0.1579,0.1559,23121.88,SYND-USD
1762423200,0.1556,0.1718,0.1559,0.1624,774956.24,SYND-USD
1762426800,0.1579,0.1626,0.1625,0.1585,61399.0,SYND-USD
1762430400,0.1543,0.1575,0.1575,0.1544,35822.92,SYND-USD
1762434000,0.1538,0.1724,0.1547,0.1623,236623.6,SYND-USD
1762437600,0.1594,0.1646,0.1613,0.1619,208815.39,SYND-USD
1762441200,0.1537,0.1625,0.1609,0.155,182500.58,SYND-USD
1762444800,0.1505,0.1565,0.155,0.1507,56849.87,SYND-USD
1762448400,0.1503,0.1577,0.1507,0.1517,160479.52,SYND-USD
1762452000,0.1479,0.1512,0.1512,0.149,43860.23,SYND-USD
1762455600,0.1482,0.1498,0.1492,0.1486,16074.54,SYND-USD
1762459200,0.1478,0.1489,0.1489,0.1478,2305.47,SYND-USD
1762462800,0.1459,0.1502,0.148,0.1485,42022.71,SYND-USD
1762466400,0.1473,0.1509,0.1477,0.1489,38550.64,SYND-USD
1762470000,0.15,0.1524,0.1506,0.1518,49347.29,SYND-USD
1762473600,0.1499,0.1532,0.1528,0.1514,44490.37,SYND-USD
1762477200,0.1436,0.1513,0.1513,0.1438,68545.56,SYND-USD
1762480800,0.1436,0.1454,0.1436,0.1454,18853.27,SYND-USD
1762484400,0.1454,0.1468,0.1454,0.1464,4356.34,SYND-USD
1762488000,0.145,0.1472,0.1464,0.1471,18349.31,SYND-USD
1762491600,0.145,0.1462,0.1462,0.1451,44059.72,SYND-USD
1762495200,0.1443,0.146,0.1451,0.1453,12185.23,SYND-USD
1762498800,0.1453,0.148,0.1453,0.1464,5171.41,SYND-USD
1762502400,0.1436,0.1469,0.1469,0.1436,39137.1,SYND-USD
1762506000,0.1422,0.144,0.144,0.1422,4145.93,SYND-USD
1762509600,0.1423,0.1452,0.1423,0.1452,45235.83,SYND-USD
1762513200,0.1419,0.1446,0.1442,0.1432,24167.21,SYND-USD
1762516800,0.1399,0.1424,0.1423,0.1399,44006.56,SYND-USD
1762520400,0.139,0.1401,0.1399,0.139,18728.89,SYND-USD
1762524000,0.1386,0.142,0.139,0.1417,6522.9,SYND-USD
1762527600,0.1411,0.1456,0.1417,0.1456,113038.09,SYND-USD
1762531200,0.1454,0.1554,0.1454,0.1554,29375.99,SYND-USD
1762534800,0.1544,0.1603,0.1565,0.158,146195.6,SYND-USD
1762538400,0.1562,0.1594,0.1585,0.1591,12981.96,SYND-USD
1762542000,0.1589,0.1646,0.1592,0.164,37202.35,SYND-USD
1762545600,0.1623,0.1715,0.1634,0.1685,37386.58,SYND-USD
1762549200,0.1714,0.1804,0.1714,0.1733,125069.22,SYND-USD
1762552800,0.1584,0.174,0.1732,0.1613,228438.38,SYND-USD
1762556400,0.1594,0.1632,0.1609,0.1632,46155.24,SYND-USD
1762560000,0.1615,0.1635,0.1626,0.1625,44125.82,SYND-USD
1762563600,0.1616,0.1631,0.1624,0.163,21134.54,SYND-USD
1762567200,0.1635,0.1656,0.1635,0.1654,16221.29,SYND-USD
1762570800,0.1649,0.1673,0.1655,0.1649,44587.15,SYND-USD
1762574400,0.1627,0.1656,0.1648,0.1627,18232.13,SYND-USD
1762578000,0.1604,0.1621,0.1621,0.1612,19577.87,SYND-USD
1762581600,0.1604,0.1624,0.161,0.1624,16052.5,SYND-USD
1762585200,0.162,0.163,0.162,0.1628,3564.83,SYND-USD
1762588800,0.1621,0.1734,0.1629,0.1731,56834.25,SYND-USD
1762592400,0.1719,0.1776,0.1731,0.1721,116751.27,SYND-USD
