time,low,high,open,close,volume,symbol
1761955200,0.000691,0.0006989,0.0006929,0.0006979,108175561,TOSHI-USD
1761958800,0.0006975,0.000706,0.0006976,0.0006988,145602167,TOSHI-USD
1761962400,0.0006929,0.0006994,0.0006981,0.0006984,69605482,TOSHI-USD
1761966000,0.000697,0.000701,0.0006992,0.000701,64332997,TOSHI-USD
1761969600,0.0006933,0.0007017,0.0007013,0.0006949,98430734,TOSHI-USD
1761973200,0.0006933,0.0006973,0.0006958,0.0006972,97160330,TOSHI-USD
1761976800,0.0006914,0.0006986,0.0006972,0.0006953,104581210,TOSHI-USD
1761980400,0.0006936,0.0006991,0.000696,0.0006971,86704480,TOSHI-USD
1761984000,0.0006913,0.0006975,0.0006974,0.0006972,137533583,TOSHI-USD
1761987600,0.0006925,0.0006991,0.0006971,0.0006956,113938933,TOSHI-USD
1761991200,0.0006948,0.0007024,0.0006956,0.0007004,82957930,TOSHI-USD
1761994800,0.000694,0.0007018,0.0007005,0.0006972,61989327,TOSHI-USD
1761998400,0.0006955,0.0007002,0.0006983,0.000698,90216707,TOSHI-USD
1762002000,0.0006882,0.0006978,0.0006978,0.0006893,92714497,TOSHI-USD
1762005600,0.0006787,0.00069,0.00069,0.0006822,247941409,TOSHI-USD
1762009200,0.0006817,0.0006893,0.0006817,0.0006858,82881278,TOSHI-USD
1762012800,0.0006823,0.0006898,0.0006857,0.0006886,183305506,TOSHI-USD
1762016400,0.0006852,0.0006894,0.0006881,0.0006863,86340327,TOSHI-USD
1762020000,0.0006866,0.0006962,0.0006866,0.0006911,249548781,TOSHI-USD
1762023600,0.0006845,0.000694,0.0006909,0.0006922,199078279,TOSHI-USD
1762027200,0.0006905,0.0007039,0.0006922,0.0006999,180698469,TOSHI-USD
1762030800,0.0006912,0.0007,0.0006999,0.0006926,179004992,TOSHI-USD
1762034400,0.0006893,0.0006987,0.0006922,0.0006976,96239875,TOSHI-USD
1762038000,0.0006969,0.0007181,0.0006976,0.0007171,142432175,TOSHI-USD
1762041600,0.0007003,0.0007155,0.0007151,0.0007007,194342471,TOSHI-USD
1762045200,0.0006981,0.0007026,0.0007002,0.0006991,49595713,TOSHI-USD
1762048800,0.000698,0.0007056,0.0006991,0.000699,67964993,TOSHI-USD
1762052400,0.0006969,0.0007055,0.0006992,0.0007016,149251739,TOSHI-USD
1762056000,0.0006995,0.0007049,0.0007015,0.0007012,72050876,TOSHI-USD
1762059600,0.0006969,0.0007028,0.0007026,0.0007007,25067515,TOSHI-USD
1762063200,0.000698,0.0007027,0.0007005,0.0007019,9287177,TOSHI-USD
1762066800,0.0006982,0.0007059,0.0007019,0.0007059,65787198,TOSHI-USD
1762070400,0.0006977,0.0007062,0.0007058,0.0006999,39755012,TOSHI-USD
1762074000,0.0006923,0.000703,0.0006999,0.000694,28164852,TOSHI-USD
1762077600,0.000686,0.000695,0.0006932,0.0006875,55294122,TOSHI-USD
1762081200,0.0006876,0.0006962,0.000688,0.0006941,58498004,TOSHI-USD
1762084800,0.0006893,0.0006967,0.0006944,0.0006908,82063469,TOSHI-USD
