time,low,high,open,close,volume,symbol
1761955200,0.002139,0.002164,0.002148,0.002161,5756999,TURBO-USD
1761958800,0.002157,0.002179,0.002161,0.002161,3759606,TURBO-USD
1761962400,0.002143,0.002178,0.002159,0.002178,5356406,TURBO-USD
1761966000,0.002178,0.002202,0.002178,0.0022,1115113,TURBO-USD
1761969600,0.002187,0.002204,0.002204,0.002188,4328817,TURBO-USD
1761973200,0.002175,0.00219,0.002187,0.002189,8181641,TURBO-USD
1761976800,0.002176,0.002194,0.002184,0.002194,1256026,TURBO-USD
1761980400,0.002192,0.002214,0.002192,0.002214,4012637,TURBO-USD
1761984000,0.00221,0.002274,0.002214,0.002269,3860898,TURBO-USD
1761987600,0.002236,0.002276,0.00227,0.002246,4991109,TURBO-USD
1761991200,0.002241,0.002268,0.002246,0.002266,4169501,TURBO-USD
1761994800,0.002255,0.002278,0.002267,0.002277,5225965,TURBO-USD
1761998400,0.002264,0.002284,0.002276,0.002267,4870748,TURBO-USD
1762002000,0.002237,0.002276,0.002265,0.002247,6441369,TURBO-USD
1762005600,0.00222,0.002251,0.002248,0.002231,9280796,TURBO-USD
1762009200,0.002228,0.002258,0.002232,0.002248,9823377,TURBO-USD
1762012800,0.002245,0.002262,0.002255,0.002247,7411739,TURBO-USD
1762016400,0.002238,0.00225,0.002238,0.002239,5972244,TURBO-USD
1762020000,0.00224,0.002283,0.00224,0.002253,27252665,TURBO-USD
1762023600,0.00224,0.002264,0.002252,0.002264,5620223,TURBO-USD
1762027200,0.002264,0.002285,0.002264,0.002275,12303362,TURBO-USD
1762030800,0.002243,0.002281,0.002275,0.002243,7495975,TURBO-USD
1762034400,0.002242,0.002264,0.002245,0.002264,5366711,TURBO-USD
1762038000,0.002258,0.002286,0.002259,0.002283,8653057,TURBO-USD
1762041600,0.002259,0.002283,0.002283,0.002268,3285466,TURBO-USD
1762045200,0.002261,0.002272,0.002267,0.002265,3953190,TURBO-USD
1762048800,0.002261,0.002275,0.002263,0.002262,1374374,TURBO-USD
1762052400,0.002245,0.002262,0.00226,0.002245,3524671,TURBO-USD
1762056000,0.002243,0.002301,0.002243,0.002296,3550113,TURBO-USD
1762059600,0.002266,0.002295,0.002295,0.002277,715803,TURBO-USD
1762063200,0.002275,0.002283,0.00228,0.002279,1109665,TURBO-USD
1762066800,0.002273,0.002288,0.002273,0.002281,2744801,TURBO-USD
1762070400,0.002265,0.002287,0.002287,0.002266,5854893,TURBO-USD
1762074000,0.002233,0.002278,0.002268,0.00225,11278123,TURBO-USD
1762077600,0.002222,0.002245,0.002245,0.002241,2651053,TURBO-USD
1762081200,0.002243,0.002266,0.002246,0.002266,3317586,TURBO-USD
1762084800,0.00223,0.002263,0.002263,0.002237,1562517,TURBO-USD
1762088400,0.002198,0.002229,0.002229,0.002212,4643311,TURBO-USD
1762092000,0.002147,0.002209,0.002206,0.002151,14343901,TURBO-USD
1762095600,0.002149,0.002176,0.00215,0.002156,2743495,TURBO-USD
1762099200,0.002122,0.002173,0.00216,0.002167,12618032,TURBO-USD
1762102800,0.002149,0.00217,0.00217,0.002156,1764181,TURBO-USD
1762106400,0.002145,0.002167,0.002156,0.002146,3432238,TURBO-USD
1762110000,0.002119,0.002149,0.002149,0.002128,21798206,TURBO-USD
1762113600,0.002124,0.002136,0.002125,0.002136,1796954,TURBO-USD
1762117200,0.002131,0.002142,0.00214,0.002131,2257365,TURBO-USD
1762120800,0.002125,0.002164,0.002131,0.002161,50828366,TURBO-USD
1762124400,0.00216,0.002207,0.002161,0.002201,16111061,TURBO-USD
1762128000,0.002139,0.002216,0.002201,0.002139,104116831,TURBO-USD
1762131600,0.002117,0.002149,0.002141,0.00213,11151064,TURBO-USD
1762135200,0.002128,0.00216,0.002131,0.002135,110849691,TURBO-USD
1762138800,0.002056,0.002132,0.002132,0.002059,13500662,TURBO-USD
1762142400,0.002013,0.002066,0.002057,0.002066,16861387,TURBO-USD
1762146000,0.002043,0.00208,0.002067,0.002045,14784193,TURBO-USD
1762149600,0.002018,0.002047,0.002043,0.00203,13774547,TURBO-USD
1762153200,0.002029,0.002059,0.002029,0.002046,5986371,TURBO-USD
