time,low,high,open,close,volume,symbol
1761955200,0.9992,0.9994,0.9994,0.9994,627.11,USD1-USD
1761958800,0.9992,0.9993,0.9993,0.9993,815.84,USD1-USD
1761962400,0.9991,0.9993,0.9993,0.9991,850.37,USD1-USD
1761966000,0.999,0.9991,0.999,0.9991,9687.45,USD1-USD
1761969600,0.999,0.9991,0.999,0.9991,549.31,USD1-USD
1761973200,0.9989,0.9991,0.9991,0.9989,521.3,USD1-USD
1761976800,0.9989,0.999,0.999,0.9989,118.52,USD1-USD
1761980400,0.9987,0.9989,0.9989,0.9987,52126.51,USD1-USD
1761984000,0.9987,0.9988,0.9988,0.9988,229377.26,USD1-USD
1761987600,0.9986,0.9987,0.9987,0.9986,316.54,USD1-USD
1761991200,0.9986,0.9987,0.9986,0.9987,1088.17,USD1-USD
1761994800,0.9987,0.9987,0.9987,0.9987,469.73,USD1-USD
1761998400,0.9985,0.9987,0.9987,0.9987,2295.41,USD1-USD
1762002000,0.9986,0.9987,0.9987,0.9987,2902.49,USD1-USD
1762005600,0.9986,0.9987,0.9986,0.9987,3583.13,USD1-USD
1762009200,0.9986,0.9988,0.9988,0.9987,1907.02,USD1-USD
1762012800,0.9986,0.9988,0.9987,0.9988,2954.36,USD1-USD
1762016400,0.9986,0.9988,0.9987,0.9988,1090.01,USD1-USD
1762020000,0.9986,0.9988,0.9988,0.9986,796.05,USD1-USD
1762023600,0.9986,0.9987,0.9987,0.9987,55732.54,USD1-USD
1762027200,0.9987,0.9987,0.9987,0.9987,3218.87,USD1-USD
1762030800,0.9986,0.9988,0.9987,0.9988,1540.15,USD1-USD
1762034400,0.9987,0.9988,0.9987,0.9988,443.91,USD1-USD
1762038000,0.9987,0.9988,0.9988,0.9988,740.52,USD1-USD
1762041600,0.9987,0.9988,0.9987,0.9988,541.91,USD1-USD
1762045200,0.9987,0.9988,0.9988,0.9987,781.27,USD1-USD
1762048800,0.9986,0.9988,0.9987,0.9986,306.77,USD1-USD
1762052400,0.9986,0.9988,0.9988,0.9987,553.66,USD1-USD
1762056000,0.9986,0.9988,0.9987,0.9986,127330.8,USD1-USD
1762059600,0.9986,0.9987,0.9987,0.9987,1321.19,USD1-USD
1762063200,0.9986,0.9988,0.9987,0.9988,402.42,USD1-USD
1762066800,0.9986,0.9988,0.9986,0.9988,7.71,USD1-USD
1762074000,0.9988,0.9989,0.9988,0.9989,2598.73,USD1-USD
1762077600,0.9988,0.9991,0.9989,0.9991,1127.02,USD1-USD
1762081200,0.9989,0.9991,0.9991,0.9991,32.08,USD1-USD
1762084800,0.999,0.999,0.999,0.999,148.68,USD1-USD
1762088400,0.9989,0.999,0.999,0.999,1047.23,USD1-USD
1762092000,0.9989,0.999,0.999,0.9989,961.49,USD1-USD
1762095600,0.9989,0.9991,0.999,0.9991,1379.77,USD1-USD
1762099200,0.999,0.9991,0.9991,0.9991,1461.18,USD1-USD
1762102800,0.999,0.9991,0.999,0.999,1592.98,USD1-USD
1762106400,0.9989,0.999,0.999,0.999,1964.83,USD1-USD
1762110000,0.9989,0.999,0.999,0.999,2211.39,USD1-USD
1762113600,0.999,0.9991,0.9991,0.9991,371.64,USD1-USD
1762117200,0.999,0.9991,0.9991,0.9991,530.45,USD1-USD
1762120800,0.999,0.9991,0.999,0.999,6761.28,USD1-USD
1762124400,0.999,0.9992,0.9991,0.9992,1761.51,USD1-USD
1762128000,0.9991,0.9992,0.9992,0.9991,2313.85,USD1-USD
1762131600,0.9992,0.9995,0.9992,0.9995,850.7,USD1-USD
1762135200,0.9994,0.9995,0.9995,0.9995,1887.56,USD1-USD
1762138800,0.9994,0.9995,0.9995,0.9995,1814.27,USD1-USD
1762142400,0.9993,0.9995,0.9995,0.9994,2050.76,USD1-USD
1762146000,0.9992,0.9994,0.9994,0.9993,17024.46,USD1-USD
1762153200,0.9992,0.9993,0.9993,0.9993,355.09,USD1-USD
1762156800,0.9991,0.9992,0.9992,0.9992,9887.93,USD1-USD
1762160400,0.9992,0.9993,0.9992,0.9993,42.49,USD1-USD
1762167600,0.9992,0.9994,0.9993,0.9992,1246.56,USD1-USD
1762171200,0.9992,0.9993,0.9992,0.9993,294.72,USD1-USD
1762174800,0.9991,0.9993,0.9993,0.9991,989.44,USD1-USD
1762178400,0.9991,0.9992,0.9992,0.9992,55732.43,USD1-USD
1762182000,0.999,0.9992,0.9991,0.9991,3110.18,USD1-USD
1762185600,0.999,0.9991,0.9991,0.9991,2516.29,USD1-USD
1762189200,0.999,0.9992,0.9991,0.9991,4681.74,USD1-USD
1762192800,0.999,0.9991,0.9991,0.999,405.58,USD1-USD
1762196400,0.999,0.9991,0.9991,0.9991,4143.46,USD1-USD
1762200000,0.9989,0.999,0.999,0.999,16685.71,USD1-USD
1762203600,0.9989,0.9991,0.999,0.9991,873.2,USD1-USD
1762207200,0.9989,0.9991,0.999,0.9989,297.95,USD1-USD
1762210800,0.9989,0.999,0.9989,0.9989,3974.72,USD1-USD
1762214400,0.9989,0.9991,0.999,0.999,1836.47,USD1-USD
1762218000,0.999,0.9991,0.9991,0.9991,2710.2,USD1-USD
1762221600,0.9989,0.9991,0.999,0.9989,1933.49,USD1-USD
1762225200,0.9989,0.999,0.999,0.999,695.3,USD1-USD
1762228800,0.9989,0.9991,0.999,0.999,506.17,USD1-USD
1762232400,0.9987,0.9989,0.9989,0.9988,11132.64,USD1-USD
1762236000,0.9988,0.999,0.9988,0.9989,157520.54,USD1-USD
1762239600,0.9988,0.999,0.9989,0.9988,2672.17,USD1-USD
1762243200,0.9987,0.9988,0.9988,0.9987,7278.26,USD1-USD
1762246800,0.9986,0.9988,0.9986,0.9987,128.65,USD1-USD
1762250400,0.9986,0.9988,0.9987,0.9987,443.37,USD1-USD
1762254000,0.9987,0.9988,0.9987,0.9988,1937.72,USD1-USD
1762257600,0.9986,0.9989,0.9988,0.9989,1977.18,USD1-USD
1762261200,0.9987,0.9988,0.9988,0.9987,3250.32,USD1-USD
1762264800,0.9987,0.9989,0.9988,0.9988,23817.72,USD1-USD
1762268400,0.9986,0.9989,0.9988,0.9988,9861.33,USD1-USD
1762272000,0.9986,0.9989,0.9987,0.9989,4740.22,USD1-USD
1762275600,0.9987,0.9989,0.9988,0.9988,4349.45,USD1-USD
1762279200,0.9986,0.999,0.9988,0.999,23642.2,USD1-USD
1762282800,0.9987,0.999,0.999,0.9988,12603.26,USD1-USD
1762286400,0.9987,0.999,0.9987,0.9987,37266.95,USD1-USD
1762290000,0.9987,0.9989,0.9987,0.9987,16492.63,USD1-USD
1762293600,0.9987,0.9993,0.9988,0.9991,5367.34,USD1-USD
1762297200,0.999,0.9993,0.9991,0.9991,3504.65,USD1-USD
1762300800,0.999,0.9992,0.9992,0.999,2243.61,USD1-USD
1762304400,0.999,0.9993,0.9991,0.9992,7317.0,USD1-USD
1762308000,0.9992,0.9993,0.9993,0.9993,9550.09,USD1-USD
1762311600,0.9992,0.9993,0.9993,0.9992,1854.02,USD1-USD
1762315200,0.9992,0.9993,0.9993,0.9993,4912.49,USD1-USD
1762318800,0.9992,0.9993,0.9992,0.9993,1593.87,USD1-USD
1762322400,0.9992,0.9993,0.9993,0.9992,309.61,USD1-USD
1762326000,0.9992,0.9993,0.9992,0.9992,1139.29,USD1-USD
1762329600,0.9992,0.9992,0.9992,0.9992,215.94,USD1-USD
1762333200,0.9991,0.9992,0.9992,0.9991,70.55,USD1-USD
1762336800,0.9992,0.9993,0.9992,0.9993,291.76,USD1-USD
1762340400,0.9992,0.9994,0.9993,0.9992,3134.76,USD1-USD
1762344000,0.9991,0.9993,0.9992,0.9991,2794.59,USD1-USD
1762347600,0.999,0.9991,0.9991,0.9991,1455.1,USD1-USD
1762351200,0.9988,0.9991,0.9991,0.9989,22975.84,USD1-USD
1762354800,0.9988,0.9989,0.9988,0.9989,1904.09,USD1-USD
1762358400,0.9988,0.999,0.9989,0.999,1644.16,USD1-USD
1762362000,0.9988,0.9989,0.9989,0.9988,3459.79,USD1-USD
1762365600,0.9988,0.9989,0.9989,0.9988,15604.81,USD1-USD
1762369200,0.9988,0.999,0.9989,0.9989,20898.19,USD1-USD
1762372800,0.9989,0.999,0.999,0.9989,4377.56,USD1-USD
1762376400,0.9988,0.999,0.999,0.9989,653.56,USD1-USD
1762380000,0.9988,0.9989,0.9989,0.9989,1849.79,USD1-USD
1762383600,0.9988,0.9989,0.9989,0.9989,14020.04,USD1-USD
1762387200,0.9988,0.9989,0.9989,0.9988,3006.12,USD1-USD
1762390800,0.9988,0.9989,0.9989,0.9989,530.29,USD1-USD
1762394400,0.9988,0.999,0.9989,0.999,9499.26,USD1-USD
1762398000,0.9988,0.999,0.999,0.9989,2980.16,USD1-USD
1762401600,0.9988,0.999,0.9989,0.9989,31161.39,USD1-USD
1762405200,0.9988,0.9991,0.999,0.9988,1768.44,USD1-USD
1762408800,0.9987,0.9989,0.9988,0.9989,1011.6,USD1-USD
1762412400,0.9987,0.9989,0.9989,0.9989,257.72,USD1-USD
1762416000,0.9988,0.9989,0.9989,0.9988,619.43,USD1-USD
1762419600,0.9988,0.9989,0.9988,0.9988,224.68,USD1-USD
1762423200,0.9987,0.999,0.999,0.9988,3030.49,USD1-USD
1762426800,0.9987,0.9989,0.9988,0.9988,21651.47,USD1-USD
1762430400,0.9987,0.999,0.9989,0.9987,63931.46,USD1-USD
1762434000,0.9987,0.9988,0.9988,0.9988,92042.31,USD1-USD
1762437600,0.9986,0.9989,0.9988,0.9988,96782.52,USD1-USD
1762441200,0.9988,0.9991,0.9988,0.9989,48628.92,USD1-USD
1762444800,0.9987,0.999,0.9989,0.999,908.09,USD1-USD
1762448400,0.9988,0.999,0.999,0.9989,11843.95,USD1-USD
1762452000,0.9988,0.9989,0.9989,0.9988,1367.8,USD1-USD
1762455600,0.9989,0.9991,0.9991,0.999,14609.0,USD1-USD
1762459200,0.9989,0.9991,0.9989,0.999,14464.39,USD1-USD
1762462800,0.9988,0.9989,0.9989,0.9989,883.44,USD1-USD
1762466400,0.9988,0.9989,0.9988,0.9989,1232.93,USD1-USD
1762470000,0.9988,0.9989,0.9989,0.9988,879.31,USD1-USD
1762473600,0.9988,0.9989,0.9989,0.9989,264.05,USD1-USD
1762477200,0.9988,0.9989,0.9989,0.9989,4842.61,USD1-USD
1762480800,0.9988,0.999,0.999,0.9989,10026.58,USD1-USD
1762484400,0.9988,0.999,0.9989,0.9989,1039.73,USD1-USD
