time,low,high,open,close,volume,symbol
1777485600,0.665,0.7853,0.7853,0.677,132231.35,VIRTUAL-USD
1777489200,0.672,0.6804,0.6767,0.6757,46358.73,VIRTUAL-USD
1777492800,0.6756,0.6868,0.6756,0.6838,74087.54,VIRTUAL-USD
1777496400,0.6808,0.6938,0.6834,0.6872,97226.5,VIRTUAL-USD
1777500000,0.685,0.6924,0.6872,0.6895,64448.99,VIRTUAL-USD
1777503600,0.6845,0.6921,0.6892,0.6903,58102.52,VIRTUAL-USD
1777507200,0.6877,0.7036,0.691,0.698,147900.86,VIRTUAL-USD
1777510800,0.6953,0.7078,0.698,0.7053,58981.85,VIRTUAL-USD
1777514400,0.687,0.7113,0.7057,0.6913,65288.31,VIRTUAL-USD
1777518000,0.6863,0.696,0.6909,0.694,32460.52,VIRTUAL-USD
1777521600,0.684,0.6941,0.694,0.6867,13414.28,VIRTUAL-USD
1777525200,0.6833,0.6897,0.6884,0.6874,7875.63,VIRTUAL-USD
1777528800,0.6858,0.6905,0.6877,0.6905,4131.63,VIRTUAL-USD
1777532400,0.689,0.6949,0.6908,0.6949,18039.42,VIRTUAL-USD
1777536000,0.6893,0.6928,0.6928,0.6904,2240.05,VIRTUAL-USD
1777539600,0.6904,0.6973,0.6904,0.6909,18376.52,VIRTUAL-USD
1777543200,0.6889,0.696,0.6903,0.696,3794.62,VIRTUAL-USD
1777546800,0.6908,0.6967,0.6967,0.6947,3221.6,VIRTUAL-USD
1777550400,0.6918,0.6998,0.6936,0.6936,20224.85,VIRTUAL-USD
1777554000,0.6885,0.6972,0.6964,0.6885,3479.41,VIRTUAL-USD
1777557600,0.6892,0.6956,0.6892,0.6909,14948.41,VIRTUAL-USD
1777561200,0.6894,0.6946,0.6901,0.692,12484.13,VIRTUAL-USD
1777564800,0.688,0.6923,0.692,0.6892,701.41,VIRTUAL-USD
1777568400,0.6852,0.6893,0.6892,0.6893,6057.41,VIRTUAL-USD
1777572000,0.6859,0.69,0.6893,0.6877,14137.7,VIRTUAL-USD
1777575600,0.685,0.69,0.6887,0.685,3228.92,VIRTUAL-USD
1777579200,0.685,0.6877,0.6866,0.6857,4262.4,VIRTUAL-USD
1777582800,0.685,0.6864,0.6864,0.6852,2833.9,VIRTUAL-USD
1777586400,0.6821,0.6852,0.6852,0.6848,3725.42,VIRTUAL-USD
1777590000,0.683,0.6882,0.6848,0.6882,11057.29,VIRTUAL-USD
1777593600,0.6868,0.6925,0.6893,0.6868,16076.01,VIRTUAL-USD
