time,low,high,open,close,volume,symbol
1761955200,0.001104,0.001111,0.001104,0.001111,4948949,VTHO-USD
1761958800,0.001105,0.001113,0.001111,0.001105,4984087,VTHO-USD
1761962400,0.001087,0.00111,0.0011,0.00111,23805199,VTHO-USD
1761966000,0.001108,0.001111,0.001108,0.001109,2459764,VTHO-USD
1761969600,0.0011,0.001108,0.001108,0.0011,6028472,VTHO-USD
1761973200,0.001097,0.001104,0.001101,0.001104,2312888,VTHO-USD
1761976800,0.0011,0.001106,0.001105,0.001106,455670,VTHO-USD
1761980400,0.001097,0.001117,0.001112,0.001112,20889002,VTHO-USD
1761984000,0.001107,0.001113,0.001113,0.001113,1785610,VTHO-USD
1761987600,0.001107,0.001113,0.001111,0.001113,4801640,VTHO-USD
1761991200,0.001109,0.001115,0.001111,0.001114,2688454,VTHO-USD
1761994800,0.001108,0.001114,0.001114,0.001111,6415167,VTHO-USD
1761998400,0.001113,0.001117,0.001113,0.001115,6942899,VTHO-USD
1762002000,0.001106,0.001118,0.001116,0.001112,5671378,VTHO-USD
1762005600,0.001101,0.001111,0.001111,0.001107,3034313,VTHO-USD
1762009200,0.0011,0.001111,0.001105,0.001108,34278301,VTHO-USD
1762012800,0.001106,0.001113,0.001108,0.001106,5997848,VTHO-USD
1762016400,0.001102,0.00111,0.001103,0.001104,5904857,VTHO-USD
1762020000,0.001102,0.001108,0.001103,0.001108,1716747,VTHO-USD
1762023600,0.001105,0.00111,0.001108,0.001108,1060228,VTHO-USD
1762027200,0.001108,0.001111,0.001109,0.001111,12792234,VTHO-USD
1762030800,0.001105,0.001112,0.00111,0.001105,4484200,VTHO-USD
1762034400,0.0011,0.001107,0.001101,0.001106,6834848,VTHO-USD
1762038000,0.001107,0.00111,0.001108,0.001108,2900983,VTHO-USD
1762041600,0.001104,0.001109,0.001109,0.001107,3893284,VTHO-USD
1762045200,0.001099,0.001107,0.001105,0.001099,1957175,VTHO-USD
1762048800,0.001097,0.001102,0.0011,0.001097,3757921,VTHO-USD
1762052400,0.001092,0.0011,0.001096,0.001096,7151610,VTHO-USD
1762056000,0.001098,0.001108,0.001101,0.001108,1255176,VTHO-USD
1762059600,0.001099,0.001108,0.001108,0.001105,2341812,VTHO-USD
1762063200,0.001103,0.001107,0.001103,0.001107,27853,VTHO-USD
1762066800,0.001107,0.001112,0.001109,0.001108,4786838,VTHO-USD
1762070400,0.001097,0.001107,0.001107,0.001097,2982748,VTHO-USD
1762074000,0.00109,0.001099,0.001099,0.00109,19025169,VTHO-USD
1762077600,0.001079,0.00109,0.001088,0.001082,12422445,VTHO-USD
1762081200,0.001045,0.001082,0.00108,0.001048,65654526,VTHO-USD
1762084800,0.001053,0.001067,0.001056,0.001065,15363669,VTHO-USD
1762088400,0.001054,0.001068,0.001068,0.001064,8650715,VTHO-USD
1762092000,0.001046,0.001067,0.001064,0.00105,17911295,VTHO-USD
1762095600,0.001042,0.001063,0.001051,0.001042,14889954,VTHO-USD
1762099200,0.001037,0.001054,0.001046,0.00105,8566046,VTHO-USD
1762102800,0.001049,0.001053,0.00105,0.00105,11661812,VTHO-USD
1762106400,0.00105,0.001061,0.00105,0.001057,5387004,VTHO-USD
1762110000,0.001053,0.001094,0.001055,0.001069,8097638,VTHO-USD
1762113600,0.001065,0.001074,0.001066,0.001074,3605888,VTHO-USD
1762117200,0.001067,0.00108,0.001072,0.001067,6246008,VTHO-USD
1762120800,0.001067,0.001079,0.001067,0.001079,2755289,VTHO-USD
1762124400,0.001079,0.001094,0.001079,0.001094,6421685,VTHO-USD
1762128000,0.001082,0.001098,0.001095,0.001082,5719673,VTHO-USD
1762131600,0.001064,0.001081,0.001079,0.001064,19528869,VTHO-USD
1762135200,0.001053,0.001067,0.001065,0.001064,10600979,VTHO-USD
1762138800,0.001025,0.001054,0.001052,0.001027,34328625,VTHO-USD
1762142400,0.00101,0.00104,0.001025,0.001037,35391906,VTHO-USD
1762146000,0.001025,0.001039,0.001039,0.001025,2545388,VTHO-USD
1762149600,0.001005,0.001024,0.001024,0.001015,8030407,VTHO-USD
1762153200,0.00101,0.00102,0.001014,0.00101,8953645,VTHO-USD
1762156800,0.001001,0.001017,0.001012,0.001014,10173083,VTHO-USD
1762160400,0.001,0.001015,0.001015,0.001003,12431439,VTHO-USD
1762164000,0.000995,0.001007,0.001006,0.001004,8571386,VTHO-USD
1762167600,0.001006,0.001013,0.001006,0.001012,13029381,VTHO-USD
1762171200,0.001007,0.001016,0.001013,0.001007,7903640,VTHO-USD
1762174800,0.000999,0.001013,0.001011,0.001012,11401573,VTHO-USD
1762178400,0.001009,0.00103,0.001013,0.00103,5371256,VTHO-USD
1762182000,0.000972,0.001029,0.001027,0.000993,66999426,VTHO-USD
1762185600,0.000991,0.001018,0.000993,0.00101,44164924,VTHO-USD
1762189200,0.001009,0.001027,0.001009,0.001027,10992790,VTHO-USD
1762192800,0.001014,0.001037,0.001028,0.001014,14808712,VTHO-USD
1762196400,0.001,0.001016,0.00101,0.001002,18792459,VTHO-USD
1762200000,0.000987,0.001,0.000999,0.000991,14614423,VTHO-USD
1762203600,0.000982,0.001,0.000992,0.000993,6265626,VTHO-USD
1762207200,0.00098,0.000991,0.000991,0.000983,2781655,VTHO-USD
1762210800,0.000982,0.000994,0.000984,0.000994,8576429,VTHO-USD
1762214400,0.000981,0.001005,0.000992,0.000997,8914275,VTHO-USD
1762218000,0.000997,0.001005,0.000998,0.001,3794134,VTHO-USD
1762221600,0.000995,0.001004,0.001003,0.001003,1235989,VTHO-USD
1762225200,0.001003,0.001009,0.001005,0.001009,6071167,VTHO-USD
1762228800,0.001002,0.001016,0.001008,0.001002,1821929,VTHO-USD
1762232400,0.000958,0.001004,0.001002,0.000958,18068309,VTHO-USD
1762236000,0.000961,0.000987,0.000961,0.00097,14183484,VTHO-USD
1762239600,0.000951,0.00097,0.000969,0.00096,27258075,VTHO-USD
1762243200,0.000956,0.00098,0.000961,0.00097,4391114,VTHO-USD
1762246800,0.000967,0.000978,0.000971,0.000972,15526289,VTHO-USD
1762250400,0.00097,0.000975,0.000975,0.000973,7213206,VTHO-USD
1762254000,0.000973,0.000979,0.000976,0.000977,4199354,VTHO-USD
1762257600,0.000966,0.000992,0.000975,0.000966,7245548,VTHO-USD
1762261200,0.000961,0.000973,0.000973,0.000961,6118627,VTHO-USD
1762264800,0.000966,0.001002,0.000967,0.000994,8642332,VTHO-USD
1762268400,0.000979,0.000998,0.000998,0.00098,17059848,VTHO-USD
1762272000,0.000964,0.000987,0.000982,0.000966,12177543,VTHO-USD
