time,low,high,open,close,volume,symbol
1761955200,1.51,1.53,1.51,1.53,9307.486,VVV-USD
1761958800,1.52,1.53,1.53,1.52,2125.896,VVV-USD
1761962400,1.52,1.56,1.52,1.56,4331.842,VVV-USD
1761966000,1.55,1.55,1.55,1.55,1586.857,VVV-USD
1761969600,1.55,1.56,1.55,1.56,2922.815,VVV-USD
1761973200,1.55,1.56,1.56,1.56,4559.438,VVV-USD
1761976800,1.55,1.57,1.56,1.57,664.079,VVV-USD
1761980400,1.56,1.57,1.56,1.57,452.736,VVV-USD
1761984000,1.56,1.58,1.57,1.58,9177.833,VVV-USD
1761987600,1.59,1.61,1.59,1.59,3659.998,VVV-USD
1761991200,1.59,1.61,1.59,1.61,10941.739,VVV-USD
1761994800,1.6,1.61,1.61,1.6,3150.408,VVV-USD
1761998400,1.6,1.61,1.6,1.61,3005.111,VVV-USD
1762002000,1.59,1.6,1.6,1.6,6433.335,VVV-USD
1762005600,1.59,1.6,1.6,1.59,6949.652,VVV-USD
1762009200,1.59,1.6,1.59,1.6,3861.05,VVV-USD
1762012800,1.6,1.6,1.6,1.6,3129.962,VVV-USD
1762016400,1.59,1.6,1.6,1.6,5658.977,VVV-USD
1762020000,1.59,1.6,1.6,1.6,11170.86,VVV-USD
1762027200,1.6,1.62,1.6,1.62,2299.136,VVV-USD
1762030800,1.58,1.61,1.61,1.59,5549.553,VVV-USD
1762034400,1.59,1.59,1.59,1.59,2288.816,VVV-USD
1762038000,1.59,1.6,1.59,1.6,2128.952,VVV-USD
1762041600,1.58,1.59,1.59,1.58,2680.929,VVV-USD
1762045200,1.58,1.58,1.58,1.58,877.931,VVV-USD
1762048800,1.58,1.58,1.58,1.58,0.166,VVV-USD
1762052400,1.57,1.58,1.58,1.58,1411.487,VVV-USD
1762056000,1.59,1.59,1.59,1.59,642.756,VVV-USD
1762059600,1.58,1.59,1.59,1.59,2547.156,VVV-USD
1762066800,1.59,1.59,1.59,1.59,178.485,VVV-USD
1762074000,1.57,1.58,1.58,1.57,1302.266,VVV-USD
1762077600,1.56,1.57,1.57,1.57,563.505,VVV-USD
1762081200,1.57,1.58,1.57,1.58,6596.286,VVV-USD
1762084800,1.57,1.58,1.58,1.57,6621.875,VVV-USD
1762088400,1.55,1.57,1.57,1.56,9433.805,VVV-USD
1762092000,1.54,1.56,1.56,1.54,8871.046,VVV-USD
1762095600,1.54,1.54,1.54,1.54,1202.786,VVV-USD
1762099200,1.53,1.54,1.54,1.54,8523.147,VVV-USD
1762102800,1.54,1.54,1.54,1.54,2926.499,VVV-USD
1762106400,1.54,1.56,1.54,1.56,3256.507,VVV-USD
