time,low,high,open,close,volume,symbol
1770832800,0.07705,0.07855,0.07795,0.07786,158429.6,WAL-USD
1770836400,0.07747,0.0781,0.07786,0.07785,11923.1,WAL-USD
1770840000,0.077,0.07855,0.07781,0.07855,21489.4,WAL-USD
1770843600,0.0788,0.07989,0.0788,0.07933,3080.9,WAL-USD
1770847200,0.079,0.07931,0.07931,0.07912,816.6,WAL-USD
1770850800,0.07772,0.07905,0.07901,0.07863,13926.0,WAL-USD
1770854400,0.07895,0.07947,0.07914,0.07909,38490.9,WAL-USD
1770858000,0.0789,0.07996,0.07918,0.07936,59528.9,WAL-USD
1770861600,0.07887,0.07996,0.07919,0.07909,111268.6,WAL-USD
1770865200,0.07899,0.07986,0.079,0.07977,52974.0,WAL-USD
1770868800,0.07943,0.08039,0.07952,0.07979,13139.2,WAL-USD
1770872400,0.07956,0.08117,0.0798,0.08116,27830.2,WAL-USD
1770876000,0.08073,0.0824,0.0809,0.08153,15566.1,WAL-USD
1770879600,0.08152,0.08237,0.08153,0.08229,15739.4,WAL-USD
1770883200,0.08191,0.08307,0.0825,0.08242,23817.8,WAL-USD
1770886800,0.08176,0.08301,0.08203,0.08263,4692.1,WAL-USD
1770890400,0.08234,0.084,0.08262,0.08377,180734.0,WAL-USD
1770894000,0.08311,0.08408,0.08378,0.08339,65377.0,WAL-USD
1770897600,0.08183,0.08337,0.08307,0.08213,33933.7,WAL-USD
1770901200,0.08128,0.08212,0.08186,0.08129,42724.2,WAL-USD
1770904800,0.0808,0.08157,0.08128,0.08132,29517.4,WAL-USD
1770908400,0.08039,0.08231,0.08138,0.08077,22880.3,WAL-USD
1770912000,0.07949,0.08087,0.08076,0.07954,4494.7,WAL-USD
1770915600,0.07923,0.08007,0.07954,0.07968,7960.5,WAL-USD
1770919200,0.07947,0.08018,0.08017,0.07994,2993.7,WAL-USD
1770922800,0.07926,0.08097,0.08001,0.08054,10898.4,WAL-USD
1770926400,0.07966,0.08046,0.08046,0.07981,1836.3,WAL-USD
1770930000,0.07967,0.08002,0.0799,0.07967,10996.0,WAL-USD
1770933600,0.07989,0.08118,0.07989,0.08118,6753.5,WAL-USD
1770937200,0.08094,0.08157,0.08103,0.08144,2364.0,WAL-USD
1770940800,0.08112,0.0817,0.08157,0.08148,10021.6,WAL-USD
1770944400,0.08148,0.08233,0.08148,0.08198,6324.4,WAL-USD
1770948000,0.08232,0.08375,0.08234,0.08375,10589.4,WAL-USD
1770951600,0.08291,0.08415,0.08348,0.084,39160.7,WAL-USD
1770955200,0.0824,0.08399,0.08399,0.08268,66958.3,WAL-USD
1770955200,0.0824,0.08399,0.08399,0.08268,66958.3,WAL-USD
1770958800,0.08239,0.0824,0.08239,0.0824,734.9,WAL-USD
1770962400,0.0824,0.08295,0.0824,0.08285,796.2,WAL-USD
1770966000,0.08256,0.0838,0.08295,0.0838,2614.9,WAL-USD
1770969600,0.08481,0.0854,0.0854,0.08481,3321.1,WAL-USD
1770973200,0.08385,0.08498,0.08498,0.08431,971.7,WAL-USD
1770976800,0.0852,0.08559,0.0852,0.08559,469.9,WAL-USD
1770980400,0.08366,0.08619,0.08568,0.08385,17837.2,WAL-USD
1770987600,0.0835,0.0844,0.0835,0.0844,959.0,WAL-USD
1770991200,0.08488,0.08631,0.08488,0.08572,6941.4,WAL-USD
1770994800,0.08552,0.08654,0.08604,0.08599,21481.2,WAL-USD
1770998400,0.08681,0.08771,0.08681,0.08723,22895.3,WAL-USD
1771002000,0.08635,0.08713,0.08662,0.08635,7384.3,WAL-USD
1771005600,0.08628,0.08702,0.08636,0.08699,22563.9,WAL-USD
1771009200,0.08669,0.08686,0.08674,0.08669,1052.5,WAL-USD
1771012800,0.08629,0.08702,0.08659,0.08697,3732.5,WAL-USD
1771016400,0.08647,0.08704,0.08689,0.08678,3236.7,WAL-USD
1771020000,0.08573,0.08652,0.08639,0.08573,1465.1,WAL-USD
1771023600,0.08525,0.08686,0.08564,0.08686,10917.9,WAL-USD
1771027200,0.08625,0.08666,0.08628,0.08644,19479.7,WAL-USD
1771030800,0.08551,0.0862,0.08602,0.08551,1324.3,WAL-USD
1771034400,0.08444,0.0855,0.0855,0.08482,18855.0,WAL-USD
1771041600,0.08389,0.08449,0.08449,0.08405,5798.0,WAL-USD
1771045200,0.08298,0.08389,0.08389,0.08298,6575.8,WAL-USD
1771048800,0.08289,0.08334,0.08291,0.08334,473.2,WAL-USD
1771056000,0.08363,0.08455,0.08363,0.08455,343.9,WAL-USD
1771063200,0.08463,0.08559,0.08463,0.08538,625.7,WAL-USD
1771070400,0.0854,0.08622,0.08622,0.0854,2843.7,WAL-USD
1771077600,0.08544,0.08691,0.08548,0.08691,438.5,WAL-USD
1771081200,0.08687,0.08705,0.08687,0.08701,4940.1,WAL-USD
1771084800,0.08686,0.08781,0.08686,0.08781,1484.6,WAL-USD
1771088400,0.0878,0.08845,0.0878,0.08813,38467.5,WAL-USD
1771092000,0.08854,0.089,0.08899,0.08854,3438.3,WAL-USD
1771095600,0.0888,0.08941,0.0888,0.08941,2852.9,WAL-USD
1771099200,0.08859,0.08917,0.08917,0.08859,16866.3,WAL-USD
1771106400,0.0882,0.08856,0.08832,0.0882,5341.7,WAL-USD
1771110000,0.08823,0.08863,0.08823,0.08863,113.5,WAL-USD
1771113600,0.08762,0.08842,0.08833,0.08805,840.1,WAL-USD
1771117200,0.08772,0.08858,0.08858,0.08772,1325.4,WAL-USD
1771120800,0.08729,0.08803,0.08792,0.08803,304.8,WAL-USD
1771128000,0.08785,0.08836,0.08792,0.08812,10314.9,WAL-USD
1771142400,0.087,0.0885,0.0885,0.087,5593.7,WAL-USD
1771153200,0.08583,0.08696,0.08696,0.08583,1210.2,WAL-USD
1771156800,0.0838,0.08466,0.08466,0.0838,4331.0,WAL-USD
1771164000,0.08337,0.08341,0.08341,0.08337,23127.0,WAL-USD
1771167600,0.08337,0.08376,0.08376,0.08337,3791.9,WAL-USD
1771174800,0.08235,0.08318,0.08318,0.08235,4559.6,WAL-USD
1771185600,0.08133,0.08198,0.08136,0.08198,2234.4,WAL-USD
1771192800,0.08217,0.08237,0.08237,0.08217,3044.6,WAL-USD
1771203600,0.0814,0.08148,0.08148,0.08147,6497.0,WAL-USD
1771225200,0.08065,0.08095,0.08095,0.08065,2565.1,WAL-USD
1771228800,0.08017,0.08076,0.08076,0.08036,62796.5,WAL-USD
1771239600,0.08032,0.08359,0.08033,0.08359,5933.4,WAL-USD
1771246800,0.08112,0.08434,0.08434,0.08112,5496.5,WAL-USD
1771254000,0.08101,0.08219,0.08114,0.08219,5211.2,WAL-USD
1771264800,0.08197,0.08244,0.08219,0.08197,1307.3,WAL-USD
1771272000,0.08252,0.0841,0.08252,0.0841,6123.5,WAL-USD
1771282800,0.08349,0.0836,0.08349,0.0836,2433.0,WAL-USD
