time,low,high,open,close,volume,symbol
1761955200,0.1655,0.1659,0.1655,0.1655,17702.89,WAXL-USD
1761966000,0.1666,0.1672,0.1666,0.1668,32593.57,WAXL-USD
1761969600,0.1659,0.1668,0.1668,0.166,83530.04,WAXL-USD
1761973200,0.1659,0.1669,0.1659,0.1667,13571.94,WAXL-USD
1761984000,0.1713,0.1718,0.1713,0.1713,175.16,WAXL-USD
1761987600,0.1721,0.1736,0.1734,0.1721,11365.39,WAXL-USD
1761991200,0.1725,0.1738,0.1725,0.1738,235.57,WAXL-USD
1761994800,0.1727,0.1741,0.1737,0.1741,2053.88,WAXL-USD
1762002000,0.1733,0.174,0.1733,0.174,13.94,WAXL-USD
1762005600,0.1737,0.1755,0.1737,0.1755,2611.1,WAXL-USD
1762009200,0.1755,0.1772,0.1755,0.1772,31402.84,WAXL-USD
1762012800,0.1762,0.1767,0.1766,0.1762,5555.73,WAXL-USD
1762016400,0.1753,0.1771,0.1766,0.1771,26836.33,WAXL-USD
1762020000,0.1769,0.1782,0.1769,0.1782,6226.0,WAXL-USD
1762023600,0.1784,0.1791,0.1784,0.1789,16958.54,WAXL-USD
1762027200,0.1787,0.1797,0.1793,0.1792,43850.98,WAXL-USD
1762030800,0.1787,0.179,0.1789,0.1788,10968.02,WAXL-USD
1762034400,0.1774,0.18,0.1774,0.1793,50202.94,WAXL-USD
1762038000,0.1797,0.1814,0.1804,0.1814,18254.78,WAXL-USD
1762045200,0.1794,0.1866,0.1799,0.1798,83820.02,WAXL-USD
1762048800,0.1795,0.1798,0.1797,0.1795,109.95,WAXL-USD
1762052400,0.1791,0.1795,0.1791,0.1795,587.45,WAXL-USD
1762056000,0.1794,0.1825,0.1794,0.1825,428.48,WAXL-USD
1762059600,0.1824,0.1827,0.1824,0.1827,4478.64,WAXL-USD
1762063200,0.1842,0.1945,0.1845,0.1924,15834.86,WAXL-USD
1762066800,0.1857,0.1924,0.1924,0.1858,38125.76,WAXL-USD
1762070400,0.1858,0.1887,0.1858,0.1887,5057.8,WAXL-USD
1762074000,0.1842,0.1927,0.191,0.1872,20925.09,WAXL-USD
1762077600,0.1848,0.1925,0.1898,0.188,2329.24,WAXL-USD
1762084800,0.1846,0.1898,0.1898,0.1846,20689.99,WAXL-USD
1762088400,0.1842,0.1857,0.1844,0.1857,2.75,WAXL-USD
1762092000,0.1808,0.1944,0.1851,0.1808,32955.8,WAXL-USD
1762095600,0.1821,0.1834,0.1821,0.1827,1325.97,WAXL-USD
1762099200,0.1806,0.183,0.1827,0.183,10659.71,WAXL-USD
1762102800,0.1822,0.1846,0.1831,0.1822,2256.15,WAXL-USD
1762110000,0.1776,0.1841,0.1822,0.1789,58751.52,WAXL-USD
1762113600,0.1788,0.1801,0.1788,0.1801,2165.42,WAXL-USD
1762117200,0.18,0.1812,0.18,0.1812,455.01,WAXL-USD
1762124400,0.1775,0.181,0.1809,0.1775,226.0,WAXL-USD
1762128000,0.1763,0.1775,0.1775,0.1763,502.24,WAXL-USD
1762131600,0.1718,0.1758,0.1758,0.1718,36396.36,WAXL-USD
1762135200,0.1711,0.175,0.1718,0.1716,10812.03,WAXL-USD
1762138800,0.166,0.1702,0.1702,0.166,2031.07,WAXL-USD
