time,low,high,open,close,volume,symbol
1761955200,0.577,0.581,0.579,0.581,487.8,XTZ-USD
1761958800,0.577,0.581,0.581,0.577,53.61,XTZ-USD
1761962400,0.574,0.58,0.574,0.58,2023.41,XTZ-USD
1761966000,0.579,0.581,0.579,0.58,2983.57,XTZ-USD
1761969600,0.577,0.581,0.581,0.577,8407.47,XTZ-USD
1761973200,0.577,0.579,0.577,0.577,64.29,XTZ-USD
1761976800,0.576,0.581,0.577,0.581,9473.57,XTZ-USD
1761980400,0.581,0.584,0.581,0.584,2295.31,XTZ-USD
1761984000,0.583,0.588,0.584,0.588,10684.9,XTZ-USD
1761987600,0.577,0.588,0.588,0.578,193953.56,XTZ-USD
1761991200,0.578,0.58,0.578,0.58,5227.04,XTZ-USD
1761994800,0.579,0.583,0.579,0.583,38812.25,XTZ-USD
1761998400,0.582,0.584,0.583,0.584,12606.33,XTZ-USD
1762002000,0.579,0.584,0.583,0.582,13422.13,XTZ-USD
1762005600,0.577,0.583,0.583,0.579,6072.29,XTZ-USD
1762009200,0.579,0.583,0.582,0.583,4867.05,XTZ-USD
1762012800,0.582,0.586,0.583,0.584,1197.25,XTZ-USD
1762016400,0.582,0.584,0.584,0.582,636.59,XTZ-USD
1762020000,0.581,0.584,0.583,0.583,4200.24,XTZ-USD
1762023600,0.581,0.584,0.583,0.581,1856.41,XTZ-USD
1762027200,0.581,0.583,0.582,0.581,11957.88,XTZ-USD
1762030800,0.576,0.582,0.581,0.576,3204.77,XTZ-USD
1762034400,0.576,0.579,0.578,0.577,1786.49,XTZ-USD
1762038000,0.577,0.579,0.577,0.579,3026.73,XTZ-USD
1762041600,0.575,0.579,0.579,0.575,2141.62,XTZ-USD
1762045200,0.574,0.577,0.575,0.576,2865.72,XTZ-USD
1762048800,0.575,0.576,0.576,0.575,1974.61,XTZ-USD
1762052400,0.573,0.575,0.575,0.574,479.94,XTZ-USD
1762056000,0.575,0.58,0.575,0.58,4484.87,XTZ-USD
1762059600,0.578,0.581,0.581,0.581,3337.31,XTZ-USD
1762063200,0.58,0.582,0.581,0.581,115.88,XTZ-USD
1762066800,0.581,0.583,0.581,0.581,5505.58,XTZ-USD
1762070400,0.579,0.581,0.58,0.581,897.12,XTZ-USD
1762074000,0.577,0.579,0.577,0.579,573.15,XTZ-USD
1762077600,0.573,0.578,0.578,0.576,2093.81,XTZ-USD
1762081200,0.575,0.581,0.575,0.581,10540.27,XTZ-USD
1762084800,0.579,0.581,0.581,0.579,3157.91,XTZ-USD
1762088400,0.572,0.579,0.579,0.573,44746.89,XTZ-USD
1762092000,0.566,0.574,0.573,0.566,19780.88,XTZ-USD
1762095600,0.565,0.569,0.566,0.565,2112.57,XTZ-USD
1762099200,0.561,0.57,0.565,0.57,8561.09,XTZ-USD
1762102800,0.568,0.57,0.57,0.569,3046.94,XTZ-USD
1762106400,0.568,0.572,0.569,0.568,19676.61,XTZ-USD
1762110000,0.565,0.568,0.568,0.567,1766.05,XTZ-USD
1762113600,0.566,0.574,0.566,0.574,4349.98,XTZ-USD
1762117200,0.574,0.576,0.575,0.574,12450.81,XTZ-USD
1762120800,0.57,0.574,0.573,0.574,6317.26,XTZ-USD
1762124400,0.574,0.581,0.575,0.58,9671.51,XTZ-USD
1762128000,0.57,0.58,0.579,0.57,10527.63,XTZ-USD
1762131600,0.566,0.571,0.57,0.566,1965.55,XTZ-USD
1762135200,0.559,0.565,0.565,0.562,5397.63,XTZ-USD
1762138800,0.545,0.56,0.56,0.545,31358.84,XTZ-USD
1762142400,0.545,0.554,0.546,0.554,10425.01,XTZ-USD
1762146000,0.549,0.557,0.555,0.549,5255.19,XTZ-USD
1762149600,0.542,0.55,0.549,0.547,13348.67,XTZ-USD
1762153200,0.549,0.552,0.55,0.549,1425.54,XTZ-USD
1762156800,0.542,0.548,0.547,0.546,17826.59,XTZ-USD
1762160400,0.545,0.55,0.549,0.545,7118.75,XTZ-USD
1762164000,0.54,0.549,0.545,0.544,11851.16,XTZ-USD
1762167600,0.544,0.55,0.544,0.548,8660.63,XTZ-USD
1762171200,0.548,0.552,0.549,0.551,1507.48,XTZ-USD
1762174800,0.548,0.553,0.551,0.551,19305.1,XTZ-USD
1762178400,0.55,0.554,0.551,0.552,8472.85,XTZ-USD
1762182000,0.515,0.551,0.551,0.528,218431.5,XTZ-USD
1762185600,0.524,0.54,0.526,0.539,57251.77,XTZ-USD
1762189200,0.537,0.546,0.538,0.544,31357.34,XTZ-USD
1762192800,0.537,0.544,0.544,0.537,2680.68,XTZ-USD
1762196400,0.531,0.536,0.536,0.531,13835.06,XTZ-USD
1762200000,0.524,0.532,0.53,0.532,5603.32,XTZ-USD
1762203600,0.523,0.531,0.528,0.531,6442.47,XTZ-USD
1762207200,0.525,0.53,0.529,0.526,17324.59,XTZ-USD
1762210800,0.526,0.533,0.526,0.533,1148.1,XTZ-USD
1762214400,0.53,0.539,0.532,0.536,5144.28,XTZ-USD
1762218000,0.535,0.539,0.536,0.536,6293.48,XTZ-USD
1762221600,0.534,0.538,0.536,0.534,7435.21,XTZ-USD
1762225200,0.533,0.539,0.534,0.536,15104.51,XTZ-USD
1762228800,0.533,0.536,0.536,0.533,7559.92,XTZ-USD
1762232400,0.516,0.535,0.534,0.516,54754.52,XTZ-USD
1762236000,0.518,0.532,0.518,0.522,14144.55,XTZ-USD
1762239600,0.514,0.522,0.522,0.516,19131.54,XTZ-USD
1762243200,0.515,0.526,0.516,0.523,7345.41,XTZ-USD
1762246800,0.522,0.525,0.523,0.525,3444.4,XTZ-USD
1762250400,0.524,0.527,0.525,0.527,5574.53,XTZ-USD
1762254000,0.527,0.531,0.528,0.528,6597.98,XTZ-USD
1762257600,0.523,0.528,0.528,0.526,8808.28,XTZ-USD
1762261200,0.522,0.526,0.525,0.525,12646.3,XTZ-USD
1762264800,0.522,0.54,0.525,0.538,26923.93,XTZ-USD
1762268400,0.531,0.539,0.538,0.532,10160.58,XTZ-USD
1762272000,0.522,0.535,0.532,0.522,27237.58,XTZ-USD
1762275600,0.509,0.526,0.522,0.518,69442.91,XTZ-USD
1762279200,0.503,0.519,0.518,0.519,48231.07,XTZ-USD
1762282800,0.511,0.521,0.518,0.511,32714.98,XTZ-USD
1762286400,0.497,0.519,0.512,0.51,124621.86,XTZ-USD
1762290000,0.496,0.515,0.511,0.512,186499.47,XTZ-USD
