time,low,high,open,close,volume,symbol
1761955200,0.1135,0.114,0.1137,0.114,29377.7,ZETA-USD
1761958800,0.1136,0.116,0.1141,0.1145,166266.9,ZETA-USD
1761962400,0.1136,0.1146,0.1146,0.1143,22896.7,ZETA-USD
1761966000,0.1142,0.1146,0.1145,0.1145,15263.0,ZETA-USD
1761969600,0.1138,0.1144,0.1141,0.1142,41314.3,ZETA-USD
1761973200,0.114,0.1145,0.1143,0.1141,33050.2,ZETA-USD
1761976800,0.1139,0.1145,0.1141,0.1144,28221.6,ZETA-USD
1761980400,0.1143,0.1162,0.1144,0.1162,71889.2,ZETA-USD
1761984000,0.116,0.1168,0.1161,0.1167,36648.4,ZETA-USD
1761987600,0.1159,0.1168,0.1166,0.1164,38920.2,ZETA-USD
1761991200,0.1163,0.1173,0.1166,0.1171,36552.4,ZETA-USD
1761994800,0.117,0.1175,0.1172,0.1171,4040.3,ZETA-USD
1761998400,0.1164,0.1172,0.1169,0.1171,86242.7,ZETA-USD
1762002000,0.1161,0.1173,0.1171,0.1165,16298.8,ZETA-USD
1762005600,0.1157,0.1168,0.1165,0.1168,24306.3,ZETA-USD
1762009200,0.1164,0.1169,0.1165,0.1169,451.0,ZETA-USD
1762012800,0.1166,0.1173,0.117,0.1166,5622.3,ZETA-USD
1762016400,0.1165,0.1171,0.1165,0.1171,710.1,ZETA-USD
1762020000,0.1163,0.1173,0.1173,0.1167,202862.9,ZETA-USD
1762023600,0.1166,0.1172,0.1166,0.117,11579.6,ZETA-USD
1762027200,0.1168,0.1173,0.1168,0.1172,9561.0,ZETA-USD
1762030800,0.1165,0.1172,0.1172,0.1165,11602.7,ZETA-USD
1762034400,0.1161,0.1169,0.1164,0.1169,176107.4,ZETA-USD
1762038000,0.1165,0.117,0.1169,0.1168,69094.2,ZETA-USD
1762041600,0.1164,0.1169,0.1167,0.1164,40851.0,ZETA-USD
1762045200,0.1164,0.117,0.1166,0.1169,17523.5,ZETA-USD
1762048800,0.117,0.1175,0.1171,0.1171,11037.8,ZETA-USD
1762052400,0.1166,0.1172,0.1172,0.1169,34309.3,ZETA-USD
1762056000,0.1174,0.1182,0.1174,0.1182,1697.4,ZETA-USD
1762059600,0.1179,0.119,0.1182,0.1186,54552.3,ZETA-USD
1762063200,0.1184,0.119,0.1184,0.119,16255.7,ZETA-USD
1762066800,0.1188,0.12,0.119,0.1195,23595.1,ZETA-USD
1762070400,0.1193,0.1204,0.1195,0.1195,51022.6,ZETA-USD
1762074000,0.1179,0.1195,0.1192,0.1184,38848.7,ZETA-USD
1762077600,0.1173,0.1186,0.1186,0.1176,22043.2,ZETA-USD
1762081200,0.1173,0.1192,0.1176,0.1191,49104.6,ZETA-USD
1762084800,0.1185,0.1193,0.1185,0.1191,40919.5,ZETA-USD
1762088400,0.1175,0.1181,0.118,0.1176,24803.7,ZETA-USD
1762092000,0.1155,0.1177,0.1177,0.1156,80342.4,ZETA-USD
1762095600,0.1153,0.1164,0.116,0.1161,65052.2,ZETA-USD
1762099200,0.115,0.1161,0.1156,0.116,26357.5,ZETA-USD
1762102800,0.1157,0.1166,0.116,0.1163,33839.9,ZETA-USD
1762106400,0.116,0.1164,0.1163,0.1161,31782.3,ZETA-USD
1762110000,0.1152,0.1161,0.1161,0.1155,140912.2,ZETA-USD
1762113600,0.1156,0.116,0.1156,0.1159,9556.4,ZETA-USD
1762117200,0.1159,0.1165,0.116,0.1161,21964.2,ZETA-USD
1762120800,0.1161,0.117,0.1164,0.117,88311.2,ZETA-USD
1762124400,0.1174,0.1193,0.1174,0.1186,97032.8,ZETA-USD
1762128000,0.1163,0.1183,0.1183,0.1163,19143.5,ZETA-USD
1762131600,0.1153,0.1168,0.1162,0.1153,22534.7,ZETA-USD
1762135200,0.1143,0.1151,0.1151,0.1145,37158.4,ZETA-USD
1762138800,0.1105,0.1141,0.1141,0.1105,59230.1,ZETA-USD
1762142400,0.1088,0.1103,0.1102,0.1103,184496.6,ZETA-USD
1762146000,0.1096,0.1114,0.1103,0.1096,60783.3,ZETA-USD
1762149600,0.1074,0.1096,0.1095,0.109,79840.1,ZETA-USD
1762153200,0.1084,0.1096,0.1089,0.1091,87683.1,ZETA-USD
1762156800,0.1088,0.1093,0.1091,0.1088,7866.3,ZETA-USD
1762160400,0.1085,0.1103,0.1093,0.1085,129794.8,ZETA-USD
1762164000,0.1077,0.1087,0.1087,0.1079,24367.8,ZETA-USD
1762167600,0.1079,0.1092,0.1079,0.1092,29758.5,ZETA-USD
1762171200,0.1088,0.1092,0.109,0.1088,17056.1,ZETA-USD
1762174800,0.1083,0.1091,0.1088,0.1091,9017.5,ZETA-USD
1762178400,0.1089,0.1098,0.1096,0.1093,45610.0,ZETA-USD
1762182000,0.101,0.1093,0.1093,0.1032,241633.5,ZETA-USD
1762185600,0.1023,0.1063,0.1033,0.1055,173252.0,ZETA-USD
1762189200,0.1056,0.1074,0.1058,0.1066,59345.1,ZETA-USD
1762192800,0.105,0.1066,0.1065,0.1051,63794.8,ZETA-USD
1762196400,0.1032,0.1049,0.1049,0.1034,37113.4,ZETA-USD
1762200000,0.1015,0.1037,0.1034,0.1019,158646.7,ZETA-USD
1762203600,0.1008,0.1034,0.1019,0.1028,94883.1,ZETA-USD
1762207200,0.1017,0.103,0.1025,0.1025,62059.0,ZETA-USD
1762210800,0.1016,0.1026,0.102,0.1024,62473.8,ZETA-USD
1762214400,0.1016,0.1067,0.1024,0.1057,186716.7,ZETA-USD
1762218000,0.1049,0.1063,0.1052,0.105,92697.1,ZETA-USD
1762221600,0.1049,0.106,0.1052,0.1049,21196.2,ZETA-USD
1762225200,0.1056,0.1063,0.1057,0.1061,47148.5,ZETA-USD
1762228800,0.1054,0.1066,0.106,0.1054,72681.2,ZETA-USD
1762232400,0.1003,0.1059,0.1059,0.1004,122895.7,ZETA-USD
1762236000,0.1003,0.1047,0.1004,0.1018,199635.5,ZETA-USD
1762239600,0.1003,0.1022,0.1017,0.1008,173460.0,ZETA-USD
1762243200,0.0997,0.1034,0.1008,0.103,152843.6,ZETA-USD
1762246800,0.1023,0.1034,0.103,0.1034,86060.3,ZETA-USD
1762250400,0.1029,0.1035,0.1035,0.1034,6196.8,ZETA-USD
1762254000,0.102,0.1042,0.1034,0.102,9186.8,ZETA-USD
1762257600,0.1008,0.1017,0.1017,0.1008,11263.1,ZETA-USD
1762261200,0.0995,0.101,0.1006,0.1,58899.3,ZETA-USD
1762264800,0.0996,0.1051,0.0996,0.1045,151683.5,ZETA-USD
1762268400,0.102,0.1051,0.1047,0.1024,106267.6,ZETA-USD
1762272000,0.0995,0.1035,0.1024,0.1001,160935.3,ZETA-USD
1762275600,0.097,0.1003,0.1,0.0994,158570.3,ZETA-USD
1762279200,0.0959,0.0995,0.0985,0.099,126373.4,ZETA-USD
1762282800,0.0979,0.1005,0.0993,0.0981,114432.1,ZETA-USD
1762286400,0.0939,0.0999,0.0981,0.0978,375164.9,ZETA-USD
1762290000,0.0935,0.0982,0.0978,0.0973,266040.4,ZETA-USD
1762293600,0.0974,0.1008,0.0975,0.1004,139920.6,ZETA-USD
1762297200,0.0995,0.1006,0.1006,0.0996,142274.4,ZETA-USD
1762300800,0.0971,0.0999,0.0997,0.0971,31557.4,ZETA-USD
1762304400,0.0925,0.0972,0.0971,0.0968,250149.9,ZETA-USD
1762308000,0.0972,0.1004,0.0972,0.1004,254848.3,ZETA-USD
1762311600,0.0998,0.1009,0.1,0.1004,159859.8,ZETA-USD
1762315200,0.0996,0.1008,0.1007,0.0997,47542.9,ZETA-USD
1762318800,0.0989,0.1003,0.0997,0.0989,106952.5,ZETA-USD
1762322400,0.0984,0.0992,0.0989,0.099,38098.1,ZETA-USD
1762326000,0.0978,0.0984,0.0984,0.0982,22818.3,ZETA-USD
1762329600,0.0962,0.0977,0.0977,0.0972,71212.0,ZETA-USD
1762333200,0.0976,0.0983,0.0976,0.0977,55822.7,ZETA-USD
1762336800,0.0971,0.098,0.0977,0.0973,42375.3,ZETA-USD
1762340400,0.0977,0.0986,0.0978,0.0986,35916.9,ZETA-USD
1762344000,0.0985,0.0999,0.0986,0.0996,111707.9,ZETA-USD
1762347600,0.1,0.1016,0.1,0.1011,56079.7,ZETA-USD
1762351200,0.0993,0.1013,0.1013,0.1001,79989.8,ZETA-USD
1762354800,0.0997,0.1006,0.1,0.1004,76969.6,ZETA-USD
1762358400,0.0994,0.1009,0.1005,0.1009,52677.7,ZETA-USD
1762362000,0.1005,0.1016,0.1007,0.1011,26848.0,ZETA-USD
1762365600,0.1006,0.1013,0.1009,0.101,36461.2,ZETA-USD
1762369200,0.1006,0.1012,0.101,0.1006,63419.5,ZETA-USD
1762372800,0.1005,0.1012,0.101,0.1006,10922.0,ZETA-USD
1762376400,0.101,0.1026,0.101,0.1019,73387.2,ZETA-USD
1762380000,0.1015,0.1023,0.1022,0.1023,45158.4,ZETA-USD
1762383600,0.1016,0.1024,0.1024,0.1016,89336.1,ZETA-USD
1762387200,0.101,0.1019,0.1015,0.1012,62612.5,ZETA-USD
1762390800,0.1,0.1011,0.1011,0.1005,150522.6,ZETA-USD
1762394400,0.0998,0.1016,0.1004,0.1011,46832.8,ZETA-USD
1762398000,0.101,0.1018,0.1013,0.1014,30681.2,ZETA-USD
1762401600,0.1012,0.1019,0.1015,0.1015,28695.0,ZETA-USD
1762405200,0.0995,0.1016,0.1016,0.0995,153023.8,ZETA-USD
1762408800,0.0993,0.1005,0.0998,0.0995,27783.6,ZETA-USD
1762412400,0.0991,0.1002,0.0993,0.0991,22510.6,ZETA-USD
1762416000,0.0989,0.0997,0.0992,0.0995,25830.1,ZETA-USD
1762419600,0.0991,0.1005,0.0993,0.1003,54877.1,ZETA-USD
1762423200,0.0997,0.1004,0.1001,0.1,53629.7,ZETA-USD
1762426800,0.0995,0.1001,0.0997,0.0996,5409.1,ZETA-USD
1762430400,0.0989,0.0999,0.0997,0.0991,4497.5,ZETA-USD
1762434000,0.0991,0.1011,0.0991,0.1008,16935.9,ZETA-USD
1762437600,0.0985,0.1006,0.1006,0.0987,8137.8,ZETA-USD
1762441200,0.0975,0.1003,0.0985,0.0979,78062.1,ZETA-USD
1762444800,0.0966,0.0984,0.0978,0.098,111694.7,ZETA-USD
1762448400,0.0975,0.0988,0.0975,0.0984,133932.7,ZETA-USD
1762452000,0.0972,0.0996,0.0984,0.099,14231.5,ZETA-USD
1762455600,0.0984,0.0995,0.0987,0.0995,45818.1,ZETA-USD
1762459200,0.0978,0.0995,0.0994,0.0985,44227.3,ZETA-USD
1762462800,0.0983,0.0996,0.0984,0.0992,21832.9,ZETA-USD
1762466400,0.0986,0.0996,0.0992,0.0991,259376.6,ZETA-USD
1762470000,0.0982,0.0996,0.0987,0.0996,24498.2,ZETA-USD
1762473600,0.0995,0.1011,0.0998,0.1006,98915.0,ZETA-USD
1762477200,0.1,0.1018,0.1006,0.1018,21135.7,ZETA-USD
1762480800,0.1011,0.103,0.1017,0.1029,54319.0,ZETA-USD
1762484400,0.1019,0.1035,0.1028,0.1024,10422.5,ZETA-USD
